,Under 18 years old,Over 65 years old,Median age,White,Black,American Indian,Asian,Hawaiian,Higher education achievement,High school achievement,Literacy,Urban population ,Population density (number of people/square mile),Unemployement,Crime rate,Firearms death rate,Number of firearm death,Poverty rate,Number of people under poverty level,GINI index,Median income (in USD),2016 Trump vote share,2020 Trump vote share,Governor: democrat (1) / republican (0),Gun ownership rate,Adult obesity rate,Hypertension,Number of Covid-19 deaths in 2020 / State population,People without healthcare,Access to care score
Under 18 years old,1.0,-0.7838834809427104,-0.9139297087487525,-0.0630717553931968,0.016943524795562263,0.31179315020874754,-0.10050454515939189,-0.006746781610776917,-0.3097415664652732,-0.13440675437838073,-0.03438313954446037,0.09365371657097944,-0.3968514214591324,-0.2394115050732354,0.19852579545351043,0.3833759857995591,0.07599996166134501,0.11080315880667334,0.038358971993100746,-0.14309202308208813,-0.1313865501344598,0.4144630508270354,0.5205240832491614,-0.32871431455635775,0.3909218757526646,-0.18903294676599416,-0.05267839730205644,0.13810462307275737,0.5104723888161709,-0.49897182850413485
Over 65 years old,-0.7838834809427104,1.0,0.883971610055369,0.20111948996802761,-0.10476550040605832,-0.1988454022393111,-0.025523677836933892,0.07144173467247136,-0.08721761606263666,0.1737161993651636,0.11546410249839964,-0.3306828953310898,0.10391969440517027,-0.005180734933790233,-0.1810819692354346,-0.15227511725212015,-0.1758392492805757,0.09218310189198703,-0.22795919708632337,-0.10960675942135911,-0.24688013537184014,-0.05483214686320404,-0.12153939563365727,0.15937815952810816,-0.09246120908099478,0.2738505372135558,0.19257653281410206,0.06169410128254097,-0.3585305005720029,0.2844281840157937
Median age,-0.9139297087487525,0.883971610055369,1.0,0.17958610560298974,0.017227703902693015,-0.3643336205291775,-0.03711597969365352,-0.06659349709229904,0.11724536792250871,0.12076193014361049,0.08554816458192034,-0.270874079396957,0.3062015370820086,0.09629720740221827,-0.1589525639408369,-0.2781360454243924,-0.08744294765092749,-0.010751817308967989,-0.09749768322122483,0.008327674625049906,-0.05940553253003025,-0.20596993421793588,-0.3158872193516871,0.2567994041484321,-0.25109670719915683,0.26327912206365556,0.2053887702142382,-0.15231482229397997,-0.40545379652240965,0.3439401348506898
White,-0.0630717553931968,0.20111948996802761,0.17958610560298974,1.0,-0.5368968108362395,0.015582434357901208,-0.7179809424314492,-0.5937989370972258,-0.048032419042631454,0.41250970036774365,0.6306775490782306,-0.44408222643197715,-0.24794681368676186,-0.5286246389854363,-0.4289295336041996,0.04183338554775477,-0.20155064679590165,-0.13649007303222238,-0.2797362506808296,-0.31770483391275445,-0.2640113601808309,0.3511515638389812,0.3489996845831856,-0.1703975825199933,0.40385036327890267,0.09618735914727196,-0.11212042203403157,0.2538971834242344,-0.1132712033663797,0.1713606061676582
Black,0.016943524795562263,-0.10476550040605832,0.017227703902693015,-0.5368968108362395,1.0,-0.33008429183243154,-0.10348199379522152,-0.17802040213376152,-0.1707887949899505,-0.5431581594666951,-0.4450581834593869,0.03942924204567041,0.22673702613726315,0.14952319723915705,0.6623495644494591,0.25479516825990217,0.2762334555331988,0.4410310909588506,0.22907759014794024,0.35689992908292284,-0.21372516575935827,0.08044661304415938,0.0013029017577662141,-0.05552108727136927,-0.07227104415803774,-0.05097908255377376,0.5155781293859675,-0.25189282244800654,0.2495445879059002,-0.4580752192441141
American Indian,0.31179315020874754,-0.1988454022393111,-0.3643336205291775,0.015582434357901208,-0.33008429183243154,1.0,-0.1018867963389215,0.00888905290365889,-0.17311752071958053,0.17048635718081004,0.1233542756608644,-0.1730809407905613,-0.30805031766320345,-0.004121264129517021,0.07040041539458224,0.4130625765600478,-0.15291935823028155,0.07632000775790929,-0.22860613301716412,0.02184904161243446,-0.03982745129500901,0.20118882869396512,0.22789723637153328,-0.2176869922008876,0.404968296102666,-0.0927266359814796,-0.10626368062564838,0.4690366558876994,0.294504443022671,-0.03462062455812665
Asian,-0.10050454515939189,-0.025523677836933892,-0.03711597969365352,-0.7179809424314492,-0.10348199379522152,-0.1018867963389215,1.0,0.8880044406005406,0.29553358769097565,0.011352349292385877,-0.33520350236659235,0.47551947341590384,0.21544413041981042,0.44918183398788675,-0.12774678752538396,-0.4461443015062609,0.018828244004142135,-0.2984991102045334,0.17013481846471806,0.014763064075580997,0.5465320919964879,-0.5448314857622173,-0.49680633981300953,0.313236267133733,-0.5567415684386833,0.00026366731958841734,-0.26685666932925356,-0.2225652625127313,-0.2567736869657962,0.27508652235351744
Hawaiian,-0.006746781610776917,0.07144173467247136,-0.06659349709229904,-0.5937989370972258,-0.17802040213376152,0.00888905290365889,0.8880044406005406,1.0,0.04462586373681819,0.14218010922053279,-0.1426445355401919,0.21245404210588506,-0.03160626251940007,0.20479856474244157,-0.1109461060454852,-0.212084356428939,-0.15311486023014279,-0.19749387305778793,-0.11130190221010577,-0.20009475800190776,0.30120228869661664,-0.28786950121762406,-0.21861007571227645,0.13714962325714863,-0.28139250539959515,0.041455947782550864,-0.11629666293390187,-0.07799658788136289,-0.1727623913599982,0.1818391572660063
Higher education achievement,-0.3097415664652732,-0.08721761606263666,0.11724536792250871,-0.048032419042631454,-0.1707887949899505,-0.17311752071958053,0.29553358769097565,0.04462586373681819,1.0,0.43743552825344256,0.16582706715219472,0.45019252078544547,0.5229872919094792,0.1421972988993042,-0.4767638095943018,-0.7143297185841828,-0.0771921088133582,-0.7518306774989209,0.042454514089654734,0.05718061988924078,0.8413732980959758,-0.7456045006420566,-0.7640851319108187,0.2038228708348904,-0.6273222940708791,-0.15376000211496424,-0.6872271838896172,-0.17735909342070427,-0.46623881391986677,0.6004309295604201
High school achievement,-0.13440675437838073,0.1737161993651636,0.12076193014361049,0.41250970036774365,-0.5431581594666951,0.17048635718081004,0.011352349292385877,0.14218010922053279,0.43743552825344256,1.0,0.7969373570354659,-0.17915894069917826,-0.04828645364531509,-0.36060096892080185,-0.5772636758682158,-0.2879569769319202,-0.520968954046987,-0.7525120600449966,-0.6007771688394368,-0.5389329414175485,0.4180246250330785,-0.12256246709692481,-0.10004030923714977,-0.08011904709570153,0.044487950091661954,0.061095869879827853,-0.5120399616707855,0.3073521566217387,-0.4339003177471826,0.593964360252778
Literacy,-0.03438313954446037,0.11546410249839964,0.08554816458192034,0.6306775490782306,-0.4450581834593869,0.1233542756608644,-0.33520350236659235,-0.1426445355401919,0.16582706715219472,0.7969373570354659,1.0,-0.37919185222133145,-0.16504707935374324,-0.5594010192298741,-0.3831860573578765,-0.07489022732627638,-0.5729756532351518,-0.48852680430449413,-0.6905009003749667,-0.5927449701038879,0.10654968747106555,0.14802181640947684,0.12703658765864972,-0.16607750456143688,0.239616966627505,0.15388882755727978,-0.22257820905737313,0.36532061410241023,-0.3745622951603835,0.46341869607228203
Urban population ,0.09365371657097944,-0.3306828953310898,-0.270874079396957,-0.44408222643197715,0.03942924204567041,-0.1730809407905613,0.47551947341590384,0.21245404210588506,0.45019252078544547,-0.17915894069917826,-0.37919185222133145,1.0,0.5189632586916781,0.5507963295208816,0.007508180309044482,-0.44551114312039425,0.26725830370192216,-0.29495391506520546,0.3947053528773911,0.3151555123429451,0.5572203234657223,-0.5496810071791535,-0.49877041692008034,0.30079314455318923,-0.6881055664457331,-0.3010306013014424,-0.502852745000938,-0.2870661891515969,-0.07526450795519209,0.09244348189778008
Population density (number of people/square mile),-0.3968514214591324,0.10391969440517027,0.3062015370820086,-0.24794681368676186,0.22673702613726315,-0.30805031766320345,0.21544413041981042,-0.03160626251940007,0.5229872919094792,-0.04828645364531509,-0.16504707935374324,0.5189632586916781,1.0,0.40724812583914993,-0.1264891323544786,-0.5953615633579219,-0.02719086304330774,-0.2523088161454359,0.11543978289866601,0.37027139704719203,0.5133583369465403,-0.4697541160138833,-0.5200083599928788,0.21501177775069716,-0.8026227715603927,-0.07574092914019928,-0.16657813852697362,-0.07197076147376026,-0.3521401745684478,0.34809057761118456
