,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,21.864930053878094,20.922022778594364,22.370975917234013,21.540522108125604,21.249468531913617,23.763978180331346,21.200236978253535,20.279093933904353,21.819027989136618,22.592995155903438,20.94552632800782,21.52832657126492,22.95636243353124,21.207685748493855,21.25130881073141,20.494285173975946,21.916668221062178
2021-02-20,22.325622312174946,21.39001675750189,22.925040557703966,21.90066605939647,21.84049737431165,24.449487689020554,21.727127920373736,20.858300363451995,22.467809144056734,23.14891144571371,21.595073421398236,22.083345705706538,23.636662584028638,21.904228693409365,21.793726788089984,21.065244800162525,22.44282324329949
2021-02-21,22.764902161342942,21.81777812273928,23.374981577491965,22.26088654464983,22.37401760264526,25.05874763596522,22.165630598136957,21.287961078815844,23.129745431502894,23.640667513783104,22.05342692458184,22.58334281874236,24.216962734526017,22.340028290446043,22.249043452447008,21.44965525471155,22.83096894272508
2021-02-22,23.05132093798053,22.093832371214077,23.750972480619467,22.52948065278541,22.8009389542421,25.490555972161957,22.500309579469743,21.672232545754554,23.76728817420969,24.058381531800286,22.490726630801642,22.97838817911261,24.75198860776938,22.64181994500594,22.51890432769086,21.789924159078144,23.1503603933872
2021-02-23,23.232302910330045,22.28290743521636,23.89532427900984,22.78301577096006,23.09827947125422,25.76926739891315,22.686122393073674,21.890015608704758,24.158988596695586,24.320284027936083,22.720692231270363,23.226972488805988,25.05017688301017,22.813717421008015,22.69163989412003,22.01275135709418,23.324782766443896
2021-02-24,23.588940935800238,22.651781564026187,24.224884036697915,23.05927919823485,23.379766188802105,26.194892960809476,23.03256553698211,22.212247141719605,24.45120405446992,24.664788128181204,23.08809514471437,23.53453141604791,25.430477033507557,23.19167060398844,22.99468586429873,22.303428601894968,23.58179686117916
2021-02-25,24.73755004573931,24.19975706469237,24.926495677747837,23.483191608681338,23.896525142355692,26.779878033385987,24.265374114289077,23.852703864763402,24.992212536281595,25.213195622408605,23.676274128106716,23.989311298818404,26.085953132497,23.647411856914186,24.911757745476308,23.543599369131307,24.047785857123092
2021-02-26,25.53967655681322,24.850036303767926,25.49614874603802,24.01586697284884,24.510812103603406,27.487560911754855,24.859685062760636,24.508478248894615,25.695151370980813,25.876598314653616,24.31259644199491,24.566612251443388,26.826853583989163,24.196971869195238,25.65641744096642,24.10940127336877,24.700878116526663
2021-02-27,26.40439652969628,25.549873510663627,26.212554666768387,24.728949901243386,25.003194294978844,28.335041045940407,25.59517105772816,25.275975183487656,26.229758246267703,26.42631551860563,25.108626532795206,25.180244331344177,27.231227409751035,24.95020655620215,26.354053792593426,24.893717885140838,25.4585406900301
2021-02-28,27.190189393771405,26.226222821769017,26.863122329542982,25.443322261409776,25.851201836839518,29.14985419779498,26.262898444254457,25.98669730960217,27.138055802150056,27.27131779698706,25.77324843486009,25.913120990120337,28.15242801174058,25.53592667055258,27.01952609552176,25.462946446815433,26.19018987775758
2021-03-01,27.71650790094567,26.68395349880688,27.294376229295345,25.987918588142144,26.34176219054331,29.695015996043693,26.73183084577139,26.533696342787987,27.615578977723423,27.613957221018698,26.447951663587684,26.443927685437963,28.37468996224586,26.080146716135754,27.599931426600545,26.001886581985964,26.70501776502523
2021-03-02,27.97551834516673,26.992887998090715,27.537317373884953,26.44517688372071,26.795072124422795,29.979992036952726,27.056460860049015,26.878739716602624,28.039463421732982,27.94428907296684,26.744595793127996,26.81100700314773,28.642976566248635,26.45144516469046,27.873106044276238,26.428692097944285,26.943121423359216
2021-03-03,28.501655859571745,27.50687131138436,27.97238000674056,26.94377928925684,27.20188404451186,30.490626151169064,27.572626340733937,27.4490214801204,28.331675912228,28.37261093159428,27.362595257687573,27.23745821252372,29.028400918751363,27.029796398951778,28.407617062380183,26.93229371777601,27.52445094598326
2021-03-04,29.09583817674983,28.07893461848402,28.541808363018216,27.696297306832182,27.834636352690776,31.16106642201528,28.148734419808623,28.016374970657616,28.867301934622066,29.07602237458749,27.954626590055362,27.847693999855096,29.70870106924875,27.568133270318043,28.962578292541146,27.42408357730305,28.044556265056222
2021-03-05,29.114834089461247,28.102294285197903,28.554674726940085,27.7106022808863,27.857424230875402,31.184150546333406,28.17199940813683,28.04861221832599,28.915544334069708,29.082676929868366,27.981962966934137,27.86814469411171,29.712007967898376,27.585202867593676,28.98463840115775,27.454418067212508,28.06952993416316
