,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,54.147143491624156,55.20161726034419,53.16281706521792,59.66330433313265,54.265015010813464,58.41684575985276,57.532018512680125,55.829712675165624,54.8989124311253,55.47598687639714,58.323136078359056,57.35582159069907,56.152789968505516,58.778153916464525,54.076844554697736,52.560336130504666,54.97956084487881
2021-03-06,55.43080707206284,56.60505479557552,54.963950907160196,61.22552471357585,55.97516032790604,60.36692020901613,59.11891968019752,56.91513407992068,56.68557965131375,56.83787552583223,59.758243506300765,59.08797085113185,57.82039253452519,60.14841853336447,55.57777955546881,54.03558668367817,55.89706868673818
2021-03-07,56.64106948387403,57.877448280091386,56.21634946108445,62.58054739475467,57.29824830479132,62.03644826084181,60.292946753985916,58.36764979620831,59.38037027471535,58.444984499466514,60.7108549645636,60.77433543357876,59.141328233581014,61.24823380535866,56.93133021550989,55.16322192225471,57.10918338531912
2021-03-08,57.29085707397621,58.50549933063592,57.169491510058535,63.41325510599911,58.46028580905645,63.20242758982491,61.126985298655605,59.474474198919935,61.54835154927594,59.614249567006645,61.82652247529078,61.90861132587173,60.160882597861026,62.11619559471469,57.70336479100342,56.097734875586376,58.12110889615244
2021-03-09,57.601477172164344,58.98875457541959,58.292501224445175,64.42853225464754,59.42405597904588,64.05795098960256,61.96057545005872,59.973030382492226,63.81003837479827,61.1319123983102,62.297630996069756,63.03644920935013,61.0956860667552,62.61553964283061,58.35786012041571,56.52469052074059,58.51689533756192
2021-03-10,58.4723367836853,59.88657295538943,59.29981297257026,65.34656694569522,60.6219264003383,65.25554586739513,62.93823521401439,60.695918523815074,64.99456984260924,62.23828393485088,63.25256465079178,64.28018105693796,62.047725250009606,63.39624593612058,59.47211303035484,57.24728985918927,59.46162502834601
2021-03-11,59.49407201819069,60.9585010730217,60.838521509636436,66.51064041312016,62.01485807951951,66.60090042297735,64.04351507546833,61.857521059396426,66.71500887574854,63.69831365514285,64.193766578476,65.79666505551502,63.26397061614911,64.37951805020518,60.70192667313598,58.52331015779181,60.411520673014905
2021-03-12,59.900324951646496,61.24030699922784,61.262418862281464,66.76394845325358,62.431222881250086,67.16312712606548,64.36069204965098,62.18601929300877,67.4969849041647,63.98684939132856,64.53766509936607,66.45209436127622,63.639988117952505,64.6450054488995,61.129801199353125,58.95182119397168,60.866969813330655
2021-03-13,60.30663420003273,61.934798335807024,62.54243719861302,67.53169373888286,63.45339774509454,68.1751029330297,65.29244846437264,62.72858958372718,70.64580065280576,65.14815314772348,64.83951164829246,67.79000177916085,64.84411382503528,65.3056554183417,61.54712236476329,59.42438721238617,61.38615784076456
2021-03-14,60.5866957213765,62.61970890189598,63.26021919348558,68.10900641354372,63.90338389981421,68.45816987842177,65.90891803265058,63.23101547607993,70.79601581121982,65.68266362734161,65.28620707184531,68.66017252075353,65.37795198755973,65.82145121895935,62.46024389323496,59.955280648803026,61.78712219035709
2021-03-15,60.90451624030213,63.021806666356305,64.0685602701221,68.73298441238975,64.6869075062266,69.29709517779207,66.46381461305394,63.80146881165159,72.50761765470988,66.62660656849084,65.65649599376519,69.55998947624482,66.0868512597266,66.23987092464071,63.02888308206114,60.457184185589696,62.258347374744325
2021-03-16,61.02702987664073,63.3215849418764,64.64902595621878,69.04459889094531,65.25471755938005,69.73077434236313,66.85527741581829,64.22290628403046,73.68759363908414,67.19906436452938,65.85014378823406,70.00937992567314,66.56638349452473,66.51801946989008,63.248530121751934,60.7828150537803,62.47302155566636
2021-03-17,61.539730245201824,63.896329340943296,65.413248078928,69.47454707017386,66.08045877183893,70.4470285934083,67.40544647833985,64.77660475260156,74.25693612386175,67.80531849605046,66.3155235140878,70.72683509749132,67.15931222556108,66.95095270022878,63.812756939170114,61.475523081612224,63.06045910646267
2021-03-18,62.20967136561153,64.66961645142136,66.33120836497741,70.09122632430395,66.97168795713539,71.20586051278639,68.14322915949357,65.43979399432098,75.12137584186804,68.62663019608493,66.8581342591503,71.60758341685681,67.93478517102169,67.56959284568234,64.59317174780426,62.25669430881728,63.68398647770464
2021-03-19,62.69911079013217,65.24852154374877,67.2781558141234,70.76377678089598,67.91269504798858,72.0543154499889,68.81995411399343,66.0456153655407,76.38081614677345,69.58319391524103,67.6143031209528,72.81005700464921,68.7192494196019,68.09590539974879,65.42120903527716,63.08491114035514,64.1712242041516
2021-03-20,63.35096201002814,66.04095002505215,68.35997663468353,71.34883579034378,68.8024826281506,72.88052458156461,69.59311807817878,66.9429735492,77.41098022889037,70.41267664356648,68.2591162749299,73.93771683655993,69.51521998565728,68.84790656751707,66.31227422726916,64.1003996818521,64.83549176485685
2021-03-21,64.02126654072983,66.8811762684753,69.20814769678772,71.93368073783691,69.63298910403552,73.66049491831541,70.35353583308616,67.73007335502507,78.40982898217086,71.20683742346783,68.81029955505132,74.79943301233982,70.28771986750135,69.55730428609233,67.09757300953375,65.02482714961474,65.48269251022806
2021-03-22,64.29158271993487,67.22128841052569,69.78158685709253,72.32290756339535,70.11750334180813,74.13296079890256,70.72614459351423,68.17974762746333,78.92473449559625,71.69561414115014,69.12478478825359,75.26463125331244,70.72298695710015,69.89236411087799,67.47603466144832,65.52466819538411,65.87613245653394
2021-03-23,64.34400307386653,67.37091510426681,70.63156243132626,72.7550466975567,70.6695580583854,74.64757195511592,71.18234491877953,68.3694705291379,79.54645817483984,72.04138005241839,69.67891573781924,75.782579380311,71.29207953328044,70.08029315747174,67.62227887042616,65.6691573507637,66.05161465690121
2021-03-24,64.82095187191909,67.93223194546738,71.29570545317354,73.20175106963642,71.27542397527232,75.25775539091332,71.6806612233439,68.77774763645834,79.9678345707488,72.55458046188669,70.17090002682995,76.27549480459267,71.81145321988788,70.50216534293389,68.20760284885134,66.17333414329212,66.4919415382236
2021-03-25,65.37489206642381,68.5849120298862,71.98768192100057,73.58042427808597,71.91459776358832,75.86162081027122,72.21191384570797,69.6221699859402,80.50314813618976,73.04198637945737,70.68835847539061,76.80855458791642,72.35522023954557,71.01380157771092,68.68025176088744,67.06356915887496,67.08598931267663
2021-03-26,65.64153620953242,69.11582034876854,73.03053540998901,74.22768359959503,72.69079417993352,76.63740812489083,72.74941236667385,70.24090124855626,81.22452453209876,73.7136223479176,71.1951231875231,77.46512381036386,73.04195166094205,71.40393989025642,69.31441230679677,67.84145688167581,67.48202251204037
2021-03-27,66.37492419180721,69.77495825450083,73.86713973147226,74.67404053765586,73.23092608716672,77.31109850082834,73.29220143670958,70.93605041856941,81.72987122853425,74.1303970255975,71.73083895122404,78.02282143083828,73.61267728469534,71.90478247180329,69.88555966764059,68.71930599223784,67.98790866743204
