,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,11.85560115259816,12.65374949584482,13.997168363425725,13.160791716432987,14.761317735176338,14.00118990148977,13.390173939097535,13.6895510674789,13.622305615678805,13.787998089697094,13.210475886475592,13.522911102259345,13.264215868599557,13.49153069397305,12.724143789143675,13.389264618730857,14.204383559953621
2021-02-20,12.048130227892248,12.898190338681657,14.246840523489428,13.45419569402063,15.156543620587343,14.445530027412282,13.723362496392099,14.078532047607235,13.916168297987214,14.093338502215076,13.582755592971413,13.92926828121681,13.590291759318351,13.930724178058624,13.056062830184084,13.71772091040442,14.569853064296337
2021-02-21,12.253642407608835,13.107362445552488,14.490489824750973,13.714403149912348,15.502295317303641,14.81901937725402,14.014352634532196,14.404804638205272,14.307051674346372,14.351056307197014,13.886019498710047,14.259485645183643,13.876744018872857,14.258866665256363,13.337429693156865,14.008524259875353,14.886710194719237
2021-02-22,12.388973082071455,13.226218067482932,14.685099201953793,13.91282923888846,15.775423578187945,15.074784265926098,14.200890424415999,14.59462759303638,14.645937479504704,14.565743136840892,14.16962190760001,14.531305130737659,14.081155538773325,14.510281604872844,13.507628627826605,14.216135394953179,15.03720288989255
2021-02-23,12.455552979085258,13.306307782409844,14.788977769499436,14.069585687899604,15.98520333852151,15.276425308774778,14.318546835913407,14.730613869088183,14.895405237725441,14.709916050616416,14.32621669902472,14.708948431899108,14.210099464070213,14.69934875681404,13.618326539130877,14.349949082593291,15.127882926270875
2021-02-24,12.701466711524967,13.592968287728173,14.935284615546736,14.224597065316525,16.213021279502886,15.5705113795335,14.543221704090143,14.952536134797201,15.037809194698726,14.858881224267819,14.567862204814016,14.898718933484007,14.42257566374214,14.896539166857146,13.835374690843661,14.56590575901854,15.344729106682658
2021-02-25,12.848844785717736,13.88476923849145,15.264277931820757,14.489779901197794,16.599727212257267,15.96772383244458,14.83129449003655,15.21223385536647,15.30842765087139,15.186749164710292,14.925248336596955,15.225230425519774,14.719030911919871,15.232955792609395,14.097047148218369,14.859699168664648,15.569523066523393
2021-02-26,13.294138475945683,14.258406315114312,15.585745725264438,14.861775192941865,17.03797744034288,16.3848015877349,15.217343916280846,15.62340363067962,15.732121369976293,15.547189576870904,15.302381920289902,15.6097093191693,15.10511122969347,15.597504793176613,14.5744428284546,15.257240735258673,15.937297087189725
2021-02-27,13.740541683354381,14.731698256326109,15.996741770667088,15.260540857055314,17.529602070235583,16.844511448816753,15.650723192282927,16.066420258675617,16.150920960741225,15.904760484566513,15.770965338803773,16.049863215013282,15.536979412556338,16.04598715190233,14.969551337851364,15.70136213551458,16.316723780477144
2021-02-28,14.162333490085494,15.093796638611874,16.402562835552438,15.705933596410846,18.025448454254196,17.32890682149437,16.07401706079319,16.497547094914005,16.642792675935247,16.330796874937644,16.21810019065996,16.52415881285573,15.977511500547218,16.496492503580203,15.517600981684275,16.162480565277427,16.649902211631538
2021-03-01,14.476781906750476,15.387134727850333,16.628031562876302,16.024986033350153,18.372674904577774,17.745411531686774,16.38297570465633,16.849547027043172,16.972174219762586,16.59105244063018,16.588343426674047,16.867582042831554,16.274084990550918,16.89673560654911,15.775523109833506,16.449317811790298,17.01438367339802
2021-03-02,14.631756922808835,15.59348912998274,16.804339716428743,16.258472709491077,18.575173848052405,17.932197774037036,16.578073270044115,17.069622035893474,17.224710636829116,16.790889287900256,16.77195422831738,17.076530237919624,16.463886666392522,17.110237713164924,15.931860392620079,16.647348432636953,17.247561526872126
2021-03-03,14.910677543527042,15.92528122636708,17.070221471465636,16.56097745167324,18.89486792788199,18.29269599876629,16.87949694117793,17.34658866147418,17.45454167362561,17.044684196375492,17.108940511607333,17.45124392935433,16.762005811544867,17.489211897468266,16.26199902861956,16.951703154249646,17.507340669460927
2021-03-04,15.281627142423348,16.240578118940682,17.41578653956115,16.949874726622863,19.2732038109469,18.71784629883013,17.218091482929594,17.69787218446281,17.75752097957486,17.459408500967335,17.447195177128226,17.827735869384515,17.102282050924206,17.873148216288488,16.65125332268855,17.284469097926028,17.840501280270338
2021-03-05,15.733286572972524,16.823549497889335,17.90418572234125,17.47683865143339,19.778715652034823,19.19638530050238,17.689042515554764,18.137018185454533,18.23881074170648,17.936680345364955,17.889456189249373,18.329732896129364,17.57923072179409,18.376838956976457,17.11915582079992,17.767157725850264,18.23860737657446
2021-03-06,16.09652320425768,17.44283794984541,18.451973682427298,17.9486861834786,20.45255581070522,19.825923895428183,18.211661526405212,18.577140164205147,18.71213771665233,18.37339212247749,18.434564983370425,18.973734394091252,18.121982535670774,19.047951536833235,17.56169972098228,18.326949537891753,18.580214861453086
2021-03-07,16.550703968590465,17.92658876260941,18.731251708165374,18.449338999098966,20.842682228094773,20.336468850431213,18.680414113792473,19.085975598732972,19.240993622786846,18.74024246396937,18.831134228233086,19.442529667166554,18.59080824540135,19.533811451159757,18.084650262946877,18.804056894966195,19.029372381903425
2021-03-08,17.061131597068453,18.15618234506685,19.195576004525726,18.834860114289334,21.356602002747202,20.74686672917691,19.06400228884256,19.55375308865239,19.80249545531867,19.24380158006826,19.416624645731957,19.904463486170727,18.97391194365502,19.987486932235445,18.427072686226744,19.177749693094075,19.43857511295483
2021-03-09,17.20787790419102,18.457854761706464,19.623927751706944,19.300766048514124,21.662225406795297,21.01853206316946,19.355589757483088,19.80659480733474,20.413077408381074,19.714893026288372,19.69033767765121,20.214826388558162,19.285211084990316,20.253988865671236,18.67607136923056,19.494492106941546,19.744637247599904
2021-03-10,17.597565725377976,18.846271449617767,20.028157543767797,19.722920746643876,22.08922526456368,21.48583171594218,19.73989731995838,20.20360154676273,20.85801117833445,20.16706979107444,20.094885378620113,20.67320719149499,19.675519220988008,20.725329986459492,19.0832310491561,19.893156527243253,20.146983539041717
2021-03-11,18.04845873846027,19.262961755944676,20.604243126158856,20.294483084622225,22.720005895002835,22.033789763767768,20.22999724819397,20.701793923395524,21.444810059395408,20.814454295984632,20.526225047062084,21.164750032250673,20.180918591666273,21.23014221194891,19.625324248385713,20.402420152159976,20.59932303926234
2021-03-12,18.42855131599955,19.893774127831158,21.2192999065462,20.831598449750793,23.392138844262078,22.616249385239314,20.818844377531804,21.26018395604798,22.031159447487205,21.410025816516573,21.13670848099928,21.82896852235288,20.7753693141343,21.91013521524781,20.270989391278626,21.006222163186152,21.065174738761474
2021-03-13,19.61422110206468,20.847142397882422,21.98688967200973,21.709602799724454,24.172557405555445,23.389843195001838,21.64688731441566,22.026355909493923,23.10053198582183,22.099976665490736,22.018375267703323,22.70793741081374,21.620347604518958,22.723644506420523,20.9650440221585,21.860934027963037,21.81459758258508
2021-03-14,19.767379901207757,21.277008081775286,22.464572091340003,22.060925492543223,24.571676032973606,23.78496410920592,22.059961183107177,22.433517123867798,23.259642005376232,22.4666554134526,22.291752475540655,23.054872405639735,22.01768501550438,23.11105680645139,21.39659130278109,22.25619019892089,22.210489807931356
2021-03-15,20.012838611991764,21.470476473033244,22.773212955728514,22.571554607326988,24.959638919746908,24.206503125933715,22.39838072125947,22.800347356720437,23.93289283559842,22.93323017737066,22.69465377912855,23.47250029124552,22.38163051251924,23.54435576960966,21.77634363910102,22.619129094707812,22.541822294870737
2021-03-16,20.124372175565068,21.656003913947405,23.08732306228045,22.857072722800254,25.236879162152615,24.462564342904034,22.62752576045822,23.023016255950054,24.303600644667632,23.269139443771646,22.94486226844148,23.745396923626473,22.627734975008366,23.794674648895384,21.958592201594794,22.865393815263303,22.73996276821332
2021-03-17,20.451654639956637,21.990084371324322,23.59636310077629,23.250608107282716,25.752407126313123,24.89186051165373,22.992111577674237,23.406021903560305,24.69545915168877,23.752796995490634,23.26570095028983,24.115068346712025,22.985319765367848,24.196931982538924,22.32010213656064,23.233302580737746,23.18623624877106
2021-03-18,20.811573666894088,22.492264527029448,24.10613696829805,23.766569270488464,26.29610936978331,25.38146487944843,23.47460347718281,23.86680782536604,25.3237630037847,24.285820976216794,23.648674448604424,24.587069429390404,23.483481888056772,24.700927355501243,22.82309927283614,23.73587699736845,23.6391009617584
2021-03-19,21.33295763744609,22.92339127641567,24.70954137306805,24.36703851040691,26.918215049086296,25.901234437209308,23.981429302252664,24.351092203920285,26.007582578896404,24.930357670400134,24.25077372472313,25.197383999949356,24.022031534716838,25.305762950406265,23.427713123645614,24.280380012502782,24.018863856979806
2021-03-20,21.86121485343237,23.460217918544963,25.286834152456706,24.964794445810238,27.546525605242035,26.525970456119058,24.58932478956528,24.98895086569255,26.668336633665465,25.506102576448107,24.760595449209564,25.74639637024847,24.61292282227702,25.920290498520743,23.99390512061868,24.8527094583149,24.62587190619816
2021-03-21,22.398749865685637,24.12165810141428,25.883298458582374,25.63837287254943,28.13881072415877,27.168003117175786,25.21112702508687,25.613470448626902,27.404692625843705,26.198299353115452,25.28602175693251,26.352434877620254,25.232637467816332,26.531391585167807,24.667025070048076,25.47412224299759,25.260980917431773
2021-03-22,22.68749833949418,24.31829054600631,26.197422630204755,26.137965746814498,28.51751919817455,27.512676743165947,25.554503479888066,25.95239608912525,27.83842945214531,26.68838852790386,25.644495471914958,26.76827669572553,25.593386669306465,26.94883494299685,25.057883798179372,25.82234014350461,25.583880973576623
2021-03-23,22.81065609376927,24.515758276643872,26.606944570114436,26.555278371838217,28.854855031320195,27.764327597224522,25.815041824508132,26.135434271246822,28.303089296419472,26.968834488488177,26.06519451609872,27.283313857497966,25.899326667323844,27.38443368952519,25.191981079351862,26.139348536535735,25.75818079973148
2021-03-24,23.19440961987495,24.90429523692993,27.11424418072836,27.092837242885302,29.33498591909657,28.21441174810942,26.22932006211423,26.498846117527865,28.796025495172024,27.507830142475644,26.456361132247526,27.73624293174879,26.34303720126634,27.837406308909905,25.70252608441055,26.584478655950328,26.067559145099292
2021-03-25,23.66073182977487,25.440781236844455,27.619426682206203,27.60630835577373,29.87508006865144,28.7388122851583,26.769197334345485,27.09276513826728,29.23842945214531,28.01954348361071,26.965158082238567,28.275408429200912,26.865810651011294,28.390588597418606,26.240717172958256,27.11560509774068,26.65545034687484
2021-03-26,24.037031513680905,25.82223444343717,28.237048731993674,28.34387739432925,30.547222400636347,29.331049116670464,27.330063005261845,27.631638196655363,29.87025145605619,28.71669567288386,27.46543751351418,28.914763191046877,27.454630482031934,29.038788265278747,26.899072263464564,27.711074420546897,27.14052803443375
2021-03-27,24.637416917045076,26.48462547240951,28.680970301934142,28.912009858394654,31.03718153477843,29.84589406192433,27.906644539296966,28.224093538386505,30.281012114911693,29.069787373225378,27.912985210421432,29.464037370927738,28.012458521437704,29.650617182388597,27.464072312997097,28.284784668354813,27.640539317531296
2021-03-28,24.988955792415418,26.858327167326458,29.099873445347953,29.629679894241434,31.611536903933928,30.42285025177296,28.42487704024203,28.7365690686807,30.861927447526043,29.5755456401045,28.376605905570223,30.045073386875934,28.539728654550824,30.252670493062954,28.08379339734335,28.826552697995705,28.07934352453247
2021-03-29,25.405884132941402,27.0981560219978,29.781138105214605,30.176718689378,32.21325523726071,30.863934626318166,28.828477372067756,29.116842002884525,31.558845580507366,30.36257793568808,28.967728840267572,30.67612783719793,29.00238284975825,30.842923373149823,28.407401821541878,29.276989677739373,28.391495683548072
2021-03-30,25.4978036294754,27.463944087211335,30.119384209969304,30.566466641294163,32.51938858334986,31.17369204311595,29.076950666753685,29.324730138085414,32.12058797411129,30.745198350808963,29.22418642769302,30.95337028941965,29.272490112816943,31.095235991689925,28.645683359323446,29.558180872304593,28.584033808071247
2021-03-31,25.933922154322783,27.7926828382877,30.532201029873754,31.027529751708744,33.01148085627421,31.61153907633679,29.481059401997356,29.721800197059885,32.524106125926245,31.195706718253607,29.60121005150154,31.384976196530868,29.687664647519043,31.526550234729413,29.196435900081966,29.985405196947454,28.934944513952004
2021-04-01,26.211481579717884,28.296368155995122,31.050821915848854,31.641781010832396,33.50365990869614,32.066439670584465,29.970862893519218,30.148318393209973,33.06398026991943,31.756385233040074,30.058718696079644,31.966128623523264,30.199869258701774,32.08380944609292,29.777685944670335,30.508389324113324,29.31344785886123
2021-04-02,26.758263043286703,28.86335532330324,31.609819328240086,32.47537548808767,34.18930551390774,32.674632193041866,30.616894828089798,30.80293046874276,33.76252814867076,32.42648511484836,30.66614736365708,32.723747821886896,30.85435409106092,32.85342534145934,30.521839963001753,31.17103480566488,29.88820625712469
2021-04-03,27.143798481118193,29.59054975144838,32.18731555794962,33.264897450065845,34.763770016801395,33.28670423913762,31.274021895208747,31.428623202538198,34.919955965590844,32.99046642610902,31.22018684142522,33.443058099433586,31.52098119728942,33.588794596235196,31.182550779870997,31.871008251858953,30.416257468261758
2021-04-04,27.521901632292842,29.987185013532372,32.823486970940124,33.89537206221362,35.41992953291107,33.96544622120832,31.762078798598964,31.908684613987933,35.195695903002694,33.65092261947945,31.79160810416715,34.147594188157846,32.033277152283034,34.322234147028645,31.64960858129864,32.37820439107475,30.83965787163341
2021-04-05,27.649437537719695,30.24877828800871,33.126664450603165,34.33817301156975,35.80645793232955,34.354820363233664,32.08837126352887,32.2025005472238,35.8003192441666,34.05400853283215,32.151421177390716,34.600741325469414,32.372851462771585,34.796150225955095,31.939089888747738,32.7110495707251,31.12657582699217
2021-04-06,27.725148778983645,30.39709069275456,33.3385300302118,34.571295602906936,36.07520647122962,34.68779850244128,32.27502484869275,32.384914343312886,36.27862970034897,34.30598466994033,32.41907788191352,34.87597216166118,32.57633530055799,35.06069323053205,32.06422053504137,32.91172041027517,31.279855918255677
2021-04-07,28.066417566133573,30.797132713419106,33.692266785159696,34.99319362516393,36.45634365290408,35.113761126960654,32.68005343066261,32.76304235339171,36.72103365732226,34.75494984359173,32.763634951282,35.285167691548295,32.97603743196669,35.49382902325496,32.517333078772836,33.29672798469625,31.615374103604438
