,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.23406197722285554,0.02650940967954673,0.0,0.0,0.0,0.0,0.04903478456912575,0.09059508546729746,0.0,0.0,0.06402709189539013,0.0,1.9878749719343634e-15,7.863319852243141e-17,1.0568970381885374e-16,6.35050938627392e-17,0.0009834628954946988
Arizona,5.221517662690189e-16,3.856061570981282e-17,0.0,0.0,2.1047234077761645e-17,8.690569919812536e-17,0.057528892128431874,0.1762069752329492,0.0,1.0912898448500985e-15,0.03479658652703233,0.0,0.0,1.3426428549384764e-16,4.1697276167868914e-17,0.0,0.21362064950234616
Florida,0.0,0.04715590297036771,4.901626933882247e-16,0.0,0.0,0.11360475155588111,0.0,6.244716886107354e-17,1.0409637381443373e-16,0.0,0.03306950604885856,6.040690739290696e-17,0.0,0.0,0.0,0.010127721518308028,8.195213171274807e-17
Georgia,0.0,0.03411632091131329,4.283603990415502e-17,8.480202471073333e-17,3.418732500592827e-16,1.7480827242796886e-17,0.030362380254894232,8.768581853749032e-18,0.0,0.0,0.010439076170967026,0.000656679109083102,0.0,5.673277500130297e-17,4.930850759826516e-17,0.09511348875094307,1.3656881615170535e-16
Hawaii,0.0,1.5207273745609168e-16,0.20823704195639584,0.0,4.222885199983822e-16,0.07900797615368245,0.03247073545484372,6.392111878490321e-17,0.31815623644484137,0.4166051271195527,0.0013939826548433486,0.038724679662984075,0.7395008413644988,1.057758403297916e-16,0.0,0.0,0.0
Iowa,0.0,1.3459472685070072e-17,2.089375096849444e-17,5.323167291329495e-16,0.0,0.0,0.026432462089264183,0.06182199757418075,5.156094559310699e-16,3.1067407491663844e-16,6.452443056792833e-18,9.443618367793071e-19,8.657084368617197e-16,0.0,0.12186507167113465,9.693382889184439e-05,9.61009700636839e-17
Idaho,6.547496919639961e-16,0.07935422759208108,3.9376909875769233e-16,0.009592733557024337,9.606791368177291e-17,3.446646549401547e-17,0.044147572615629106,6.327323427811694e-17,0.0,7.937798980028034e-16,0.036820077281503966,0.07323093905330584,0.0,0.013273719744128248,0.0,0.0,0.0
Indiana,2.322686314115696e-15,0.0,0.0,0.0,0.0,0.01537505085291524,0.016186033301949444,0.026463046610227848,0.0,1.2930783209678065e-15,0.014115131600857218,0.0,0.0,1.768095243840498e-17,0.050984410916233194,6.207446805195289e-17,0.015792336872113857
Kansas,3.791454997181809e-16,0.006456259096938227,0.0,0.0,0.0,0.0,0.05429126009718985,0.08218153223578682,0.0,0.0,0.04495273981633241,0.04057862571902278,2.6987702742198915e-16,0.08113136912254686,0.0376090515763234,9.975680913708554e-17,0.0
Louisiana,0.5007027179069345,0.051236812789307355,7.672971821333784e-16,3.6051010412529983e-17,0.0,0.0,0.0,0.07903170880386327,3.3707653754873773e-16,0.0,0.10405065617256468,1.185659972130886e-16,1.3705738464434987e-15,0.0754854358665451,1.0727076485899883e-16,1.5170112358695436e-16,0.38383087074830613
Massachusetts,0.0,1.2464026518133333e-16,0.0,0.0,0.0,0.18336559479980616,0.05184403376955564,0.07768982936606336,0.0,0.0,0.090549360026657,0.02259518003742327,4.928380790465395e-16,0.23843602128175184,0.0,3.1195667082899753e-18,0.0
Missouri,0.22016687200033777,0.029078099373373526,0.0,0.0,1.2334103965513358e-15,1.9116911676204887e-18,0.005615817765910446,0.017505979109008692,2.0123075057232123e-16,1.8884759543118066e-16,0.01587467148470725,0.0,0.0,0.007705021201683001,1.7552089422422364e-16,7.368410023971932e-17,0.10821681960723592
Mississippi,1.8583225236401546e-16,0.12812541565771055,0.0,0.0,2.261217990574939e-16,0.0,0.0787403906504347,0.07347361533984377,4.463182235921982e-16,2.7659744493911647e-16,5.718586852553905e-18,3.9693225654302333e-17,2.37020835559731e-16,4.9941541445774e-17,0.0,0.0050987814662918395,1.7511220338356503e-16
Montana,0.035803169592964944,1.6013308413058068e-16,0.0,3.304389129297727e-17,5.041746926978564e-16,0.03800924145742821,0.03993035663795939,0.026426057473687058,0.0,0.0,1.1814276493052512e-17,0.02327502602107388,0.0,9.051646647571732e-17,0.12800091931017032,0.11923009418043305,0.0
North Carolina,9.688430613330468e-16,4.762298455699828e-17,0.0,0.0,0.0,2.3441834994757943e-17,0.028442256408404427,0.015226238445741846,0.0,1.8202675530410042e-16,0.00020892395475468982,0.023782125837634595,7.887996379871103e-17,4.6783078204165544e-17,0.1231686279891324,2.7623594545809302e-18,0.0
North Dakota,0.0,0.15378129214425623,2.396257111109664e-16,3.7588795630837704e-16,7.797238111089529e-16,0.0,0.04078118585230293,0.002768655142186336,1.2791003579208112e-16,8.109454705198494e-16,2.9029066565098374e-17,1.713024583061694e-17,0.0,0.09997641126016066,0.0,0.0,7.727650984390433e-17
Nebraska,1.5362060581947112e-15,3.797037646537759e-17,0.0,0.119511565734037,0.25510604695660805,0.10328115972817803,0.028031721950802505,3.237821224722577e-17,0.031135296513797685,0.22529288810520137,7.275018299122397e-18,0.11612227863718119,0.2604991586355028,3.9233131459330535e-17,0.045403541157430775,0.0,2.3870066079983987e-16
New Mexico,0.00926526327690641,0.02395755395487667,0.5060884817345637,8.384425903164569e-16,2.5276507257131595e-16,0.013547701909868719,1.7076184216646695e-18,0.04106309049970201,0.0,0.0,0.00344027172184769,3.040880289273787e-17,7.388603042263072e-17,0.14487635717454808,5.835369235715014e-17,0.528693772347131,8.420185122065549e-17
Nevada,0.0,9.723140556264826e-17,6.610494908963183e-16,0.07791802341446284,8.371401193720514e-16,0.03712042963648857,0.047100246801227666,0.0038810172823729974,0.00023476424982575984,2.7474757109460256e-16,0.004294556270206978,0.10965589668819252,2.397382661390366e-16,1.2637319372112488e-17,0.012299609520819928,8.673678817079375e-17,4.0980131614520854e-16
Oklahoma,7.903833837419327e-17,0.12021585416213411,0.0,2.614953766077109e-16,0.0,1.5965236170805657e-17,0.01251709657159894,0.02459102690367235,1.3919789257191577e-16,0.0,0.058454072361082486,0.0,0.0,7.708478782654521e-17,3.2569245123446623e-17,0.0,0.0
Pennsylvania,0.0,3.819031944422348e-06,0.07233303814677658,0.053466630383183646,0.0,0.048399589093396055,0.016462797199644844,0.001704978069130936,0.1325582323620184,5.886129164492053e-16,0.08046089661641369,0.05804481231819771,0.0,0.024923189086708666,0.0,1.2926274137125357e-16,2.82651506366971e-16
Rhode Island,6.551833728329903e-16,0.0,7.249217453270062e-17,2.8976308707231816e-16,1.7256650286441482e-17,0.06986525096350604,0.04538457965309862,0.07786552202206878,2.907576446953057e-16,0.0,0.0800176809255986,0.0015417207867194414,3.3175230208330833e-16,5.882048485366232e-17,7.356536629956327e-18,2.362051985635478e-16,0.0379774056227674
South Carolina,2.1929073140691813e-15,0.0652294965649821,0.0,5.288887806227047e-16,0.0,0.0775436336715334,0.03406406991485909,0.016977918714235974,1.1525069093520912e-16,1.333663813866058e-16,0.035790425758478586,0.05411028890096648,0.0,2.2284472572417185e-17,0.07006480888546003,2.8422765610000487e-16,0.0
South Dakota,0.0,0.0012084435302525838,2.1116920806960725e-16,0.0,7.192141681058616e-16,0.021393327835968777,0.05102106372711607,0.00036584484683104034,0.0,0.0,0.009277045436023545,1.8211597096805518e-17,2.706238281963531e-16,3.30377725574767e-17,4.943648897460357e-17,0.0,2.437693059562096e-16
Tennessee,2.448128505472269e-16,5.940792107411591e-17,4.2362088929228094e-16,0.0,0.0,1.8224635819134916e-17,0.04130253315089372,0.007607352880723461,3.8581640352967863e-16,2.763679349188688e-16,3.76596944101049e-17,1.608041838551294e-17,1.4137093860495535e-16,3.0158434994881147e-16,0.2747238044075321,0.0,0.13176549509411653
Texas,0.0,0.03852251292345939,0.0,8.165527311322181e-17,4.261330062256211e-16,0.0,0.01165754698816888,0.05645974639392027,2.896842377839235e-16,8.08606121501843e-16,0.040095390057741515,6.912889657384059e-18,3.5366870465967226e-16,1.3792278853572696e-16,8.069990518676354e-17,0.0,0.025216045623646714
