,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.1401941481908919,0.11423738863553783,5.54761717203002e-16,0.0,5.524682787815298e-16,0.0,0.04993990017669858,0.06436416917455656,0.0,0.04698245546074626,1.724431238125989e-18,0.0,7.230782692477736e-17,0.10229481163511124,0.0,0.06779643888888641,0.0
Arizona,0.15505764104145364,0.05405485488041986,3.488593957423916e-16,0.0,4.964097860696677e-16,0.0,0.05704174917003893,0.19918542460697428,3.315765198264307e-16,3.050972508731085e-17,1.3667116631155972e-16,0.0,2.7583434703984086e-16,0.05006903447770998,3.168687152901775e-16,0.06025431748158757,0.31609984764354826
Florida,3.5140347662970806e-16,3.8307227989573863e-17,0.16651158092336707,1.0445152707587578e-16,1.0864668459717404e-15,0.15883344509254327,0.0,5.0548962627489313e-17,3.2091862652409785e-16,1.1292504685079938e-17,0.0,0.0,0.0,0.04173297300777347,0.0,0.0008610050839909206,0.0
Georgia,0.06692007893433581,0.049648398113263326,2.5107227997914487e-16,9.850330445294665e-17,0.0,1.033390855838804e-16,0.03229864123107922,2.076086697616514e-17,5.226393295101417e-17,0.06282245694251093,0.0,0.0,0.0,0.11917106861963984,0.0,0.054731212550686255,0.0
Hawaii,0.0,2.4679559976310418e-17,0.2840414616152423,0.0,0.48752118738871797,0.08421904241110377,0.03641116723659111,6.99626646194126e-17,0.00019317104606321738,0.18887592704796302,3.158537508801427e-17,0.23359226286935453,0.11210801716904345,4.184173352846793e-17,7.842472858189538e-17,0.0,0.0
Iowa,3.872228059031979e-16,5.672495997407664e-17,4.603009346845745e-16,1.854155566437895e-17,0.0,0.0,0.025887620494720525,0.02598268530270991,0.0,1.8499236212487033e-16,0.0,0.0,0.022041597828585117,0.011016410389242694,0.11530616595338776,0.11046768773444007,0.0
Idaho,0.0,9.972786631039795e-18,5.2576554214970974e-18,0.11137897768196373,0.0,5.161610950370007e-06,0.04459345535535941,0.0,5.799695433518804e-17,0.13239454978777346,0.03393988628092045,0.0,0.005895132850259974,0.011840242972331627,0.0,0.0,1.5167554304574851e-15
Indiana,2.6867885086906407e-16,2.0612972623522908e-17,2.4683760137209513e-16,0.0,0.0,0.0,0.014826262164312487,7.614098904873457e-18,1.005684207620561e-16,3.2967088080005492e-18,0.06359859320495168,0.0,0.05224023532108299,0.008445685764750322,0.010888030234420303,0.0,0.0
Kansas,0.0,1.167865900387031e-17,5.3883378654353754e-17,0.01418498761884609,0.0,0.03582617743456113,0.05264149584485785,0.08642464999555809,0.0,1.1743625621391021e-17,0.05514619559343792,1.6015010700636815e-16,0.03247428645820005,0.017333013612391476,0.06433774080142197,0.0035665798901573288,7.959991725172842e-16
Louisiana,0.012518267753488068,0.08241718926283931,0.05735881287342374,0.0,3.171966822363921e-16,0.0,4.60764747482658e-18,0.1333053111446317,0.0,0.01847223254447956,0.08659708399783964,0.0,1.0439264701710503e-17,0.08893732751995621,0.0,0.0,0.1846133020239112
Massachusetts,0.0,3.6880470347414425e-17,0.0,0.0,9.065718525988266e-16,0.2409759608806345,0.050075455375537634,0.0762912042533964,0.0,1.443736809308509e-17,0.09096036298385889,0.46846078557393706,0.04199760008738714,2.859583229930518e-18,0.0,1.398014744675189e-17,0.0
Missouri,0.1352171603028667,0.13950973224028154,4.4065547435400865e-17,1.540558040629409e-16,0.0,3.2584597227441453e-17,0.006274622933528091,0.041560979598262035,2.7985524114246876e-17,0.006403405991022235,0.0,0.0,1.4131684016545714e-16,0.10825375398640091,8.604037319960477e-18,0.01160416257506377,0.49928685033253967
Mississippi,0.21447392460142412,0.06729538711382067,0.0,1.734710291359073e-16,5.425059034635928e-16,0.0,0.0772462702233885,0.07563711379392164,0.0,1.4354703623008332e-17,0.10118203215873689,0.0,3.5683920534275416e-17,0.03912265778040647,6.86450599548948e-17,0.04964239303418171,0.0
Montana,2.7816561987831223e-16,1.3916810659341343e-16,2.4449464970141517e-16,4.5728106283215606e-17,0.0,0.03728140394993591,0.0391576009946788,0.02979054281580533,5.476265240855017e-17,1.1074957146795849e-16,0.019687885443298674,0.09546431495776408,0.004065656042438817,0.005595103445122693,0.04675254526226779,0.09309027555800341,0.0
North Carolina,2.559394753423594e-17,0.05677042922191836,0.0,3.4915618860821395e-17,1.2265563802042342e-16,0.0,0.027500617334392463,6.897476902261699e-19,1.45558696759872e-16,1.8039210549315228e-16,0.0,2.1445627838562438e-16,0.06620600589777569,0.037382221763621284,0.08990540320674151,3.8816225797780765e-18,0.0
North Dakota,0.0,0.008457325906189474,5.512770737864126e-17,0.018402080880371884,0.0,1.8484807528482098e-17,0.0417136959856953,9.306581774478981e-18,0.0,0.07582465709021777,2.86659581728773e-16,8.873436290332286e-17,0.017024931509902842,0.0,0.0,2.1985848035014685e-17,0.0
Nebraska,1.4064812682568206e-16,0.06240190227852129,8.41475375042537e-17,0.010726870034215304,0.27955102537040244,0.0,0.027103529745401516,1.5424651658467565e-16,0.2121401850799572,0.01896532596120931,0.008442518968873651,7.6954222401703205e-16,0.1818434943400516,0.014537359092671082,5.189848997093462e-17,0.0,2.400295617585407e-15
New Mexico,0.0,0.004611655678774134,0.16632367528140957,9.669459732180396e-18,0.0,0.08874590836840208,7.306717961252408e-19,0.07187706823105541,2.165214998380147e-16,3.2722495285471485e-19,4.907775351874346e-18,7.148378939587672e-16,0.0,1.1872013788716274e-17,0.0,0.1546576087797313,0.0
Nevada,5.62348561813919e-16,9.587234691319349e-17,0.0,0.05679201911439315,0.0,0.025364248374268296,0.050564355013548695,0.019777354072300156,6.658297697845401e-16,0.0179656582361386,0.0,5.937362834596917e-16,7.116560484129961e-18,0.013571886286610152,1.4368457365432398e-16,1.3829317063040212e-16,5.718497009138809e-16
Oklahoma,0.039797379287043994,0.03878413660530568,2.099853658642507e-17,0.0,1.5872394356178807e-16,0.0,0.011558850636300702,0.00033499734503267335,6.393567490526292e-17,3.3442841510056944e-18,0.18070622133004435,0.0,0.0,0.022476626575271063,0.0,8.265921122332875e-17,0.0
Pennsylvania,2.4492127076447545e-16,4.24399085223917e-17,0.023306263200334035,0.06568373829353533,0.0,0.05604530373830255,0.016325916254889345,0.0075040178799117285,0.0,6.201134524965677e-18,0.04608288501527913,0.0,0.0037364503933476033,9.568084172184577e-18,6.903315022604522e-17,1.7946807378495307e-17,6.463073935012771e-16
Rhode Island,0.0,2.4945872480907845e-17,4.0638778438258284e-17,4.2035640467989424e-17,0.0,0.12794001415401252,0.0454604349233092,0.05728268671496906,0.0,1.4897714018135314e-17,0.0502391588506272,0.0,0.01816485879359427,0.008366076880004129,0.0,3.0626878866544926e-16,0.0
South Carolina,0.0,0.08735100806986962,1.318031884391528e-16,0.07859779848843873,0.0,0.03771433087439051,0.0329612812783133,0.031991575273872794,0.14543890287514782,0.06400341936458051,0.06090201820449097,5.774536680035197e-16,0.023389246626945914,0.004883378075822243,0.03034343227593982,3.839416320210272e-16,6.224582685017634e-16
South Dakota,0.11797297542119323,0.0008705586590230033,0.0,2.29223396551373e-16,0.0,0.015184805814906555,0.05170312173911746,0.003066709482306563,1.9065762149754466e-16,0.0,1.400346235071871e-16,0.0,1.4962632673575488e-17,0.09044285122649574,3.9290196395497026e-17,0.01617565004862553,0.0
Tennessee,1.6658766380239776e-16,5.991714879540514e-17,0.0,0.0,2.805071546521733e-16,0.0,0.039794230022160725,1.3577778839086946e-18,5.294006951120221e-17,8.84201080754562e-17,0.0,0.0,0.006267183044047442,0.016019574918215176,0.3939848687614445,0.12533509256946593,0.0
Texas,0.11784842446730244,0.058069807039883826,1.416945120294818e-16,0.0,1.9920115325500872e-16,5.036537214322431e-17,0.011714823970845103,0.07355565898519953,3.7855315540088874e-16,8.412967260177595e-17,0.0,0.0,0.0,0.05055148421322219,0.0,0.041921428058934194,0.0
Utah,1.474514954580286e-16,0.15761234796047474,0.08311675953075048,0.04771658530465285,0.0,0.0,0.025257549549889825,0.0,3.433056412960484e-17,1.6465104793546488e-17,6.255079492742374e-17,1.960682308927762e-15,7.369089211401712e-21,0.019142824817687126,0.0,0.1378425116719155,0.0
Virginia,1.3205582460873444e-16,0.014575717651798999,0.06548430423212018,0.2762010789970311,0.0,1.4877555164900785e-16,0.0,5.08184182274822e-18,1.862133611544035e-16,8.910213766840371e-17,7.177973748744505e-17,0.0,0.11959690665610208,0.019174205373909882,0.24848181350437606,0.07205363607432975,3.318333819430764e-16
Vermont,1.715411124779409e-16,1.2117004918478569e-17,2.351915180121509e-16,0.0,7.420832867154609e-17,0.04192462089497461,0.04069577805970866,6.9370027459711325e-18,0.6422277409988315,0.139466232455618,0.030902860662111137,0.0,0.06848985434092125,0.013462777500161819,1.0786314876280515e-16,1.1387307702823803e-16,1.3289197453756165e-15
Washington,0.0,0.0033321606820783645,0.15385714234335132,0.096841163487567,0.1267313573771609,2.805018904669011e-17,0.0062278990664070815,3.427855030561484e-17,0.0,0.14614768099086026,0.0016084920704833388,9.763150748677457e-16,0.08503845777523568,0.066740405425826,1.0622491677845551e-16,0.0,1.7666951319445001e-15
Wisconsin,0.0,2.104444337740004e-17,1.688308126911033e-16,0.16926097810910753,0.10619642986371834,0.0,0.06960786928102757,0.0,1.9426471923800884e-16,0.07790752721920745,0.0,0.0,0.08448011705184953,0.0,0.0,9.216920547998939e-18,2.4369846976360134e-15
Wyoming,0.0,6.1983927431183e-19,6.350575203605135e-17,0.054213721989877575,1.9090008030511684e-16,0.04993957640101385,0.01541580593820198,0.0020678513295361114,0.0,0.003768470907672869,0.17000380523504588,0.2024826365989534,0.05493996781322823,0.019436244639645165,0.0,3.4973752129340084e-17,0.0
