,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,8.39096312712318e-17,2.8571477980839596e-17,1.033056439490423e-17,0.0,1.0514213641736086e-16,0.009705195855614341,0.05340589908109596,0.17047998405476272,0.0,1.7642159061865307e-16,3.1665971139167166e-17,9.743095768061609e-17,0.0,4.9027056998450875e-17,0.0,0.0,0.10583127743986503
Arizona,0.000384760815984669,1.7486295206418966e-16,9.884895941676551e-18,1.2363275538586332e-15,3.552808661496184e-16,0.004105778174274465,0.058514597633351303,0.2275857457579098,0.0,7.45773763154784e-16,4.2963349154430824e-17,1.0158138764103989e-16,0.0,0.0,0.008773428791294497,1.4102622181667558e-16,0.14552838909690438
Florida,7.623302900400439e-18,0.02766623570994922,0.019411796624720923,0.0,0.0,0.15020072372038296,1.5886766929159423e-18,0.0,3.5527756517318294e-16,1.7560072412840497e-16,0.021785420496068023,0.0,0.0,1.15752766017285e-16,0.0,0.05224517804079688,0.0
Georgia,1.9658764355910827e-16,0.0,0.030036913509603934,0.0,0.0,3.400837283226016e-18,0.034874207244740676,1.1853353600367525e-16,4.191223800106479e-16,0.0,1.2292974571390193e-17,3.3919457616615046e-16,5.350903656993598e-17,0.0,0.0,0.04258568941132693,3.5939946765178865e-16
Hawaii,1.934784519693048e-16,7.238087322554734e-17,0.2863585764557511,4.98739095771409e-16,7.96162247747134e-17,0.07577701883651614,0.03591336620265134,0.0,0.0,0.11475612278791004,0.008536973159457888,0.04728763745103434,0.11277805031486483,0.01014674131891327,0.0,0.0,7.228511409232419e-16
Iowa,0.0,0.0,6.830377523504194e-18,3.688081801719991e-16,2.307474415443803e-16,0.0,0.027190485487605245,0.03190267465809442,0.0,7.978704624672165e-16,1.9942908852579842e-17,0.0,0.02104735004920948,0.0,0.13015250035103004,2.0781816473584907e-16,0.0
Idaho,1.2122450226870194e-16,0.1116828746842685,0.05508127265935646,0.03326817024272166,4.321949610572976e-16,5.182994604249064e-18,0.044759483072145084,6.183769058747754e-17,0.0,0.09718851948218112,0.06617498688499109,4.792953259595966e-16,0.006845828148271196,0.021196929838316923,0.0,2.2298683676852185e-18,3.857862380246546e-16
Indiana,0.0,0.026271257566339995,0.012362009708333545,3.467493785452407e-16,0.0,0.01575764942355349,0.014183025811513062,0.018645563125813665,1.362015861389189e-16,0.0,0.06856779309368433,0.0323184741981169,0.05198178178416333,8.798810666985847e-18,0.014320303168294067,0.0,1.7237459289803914e-16
Kansas,0.0,0.0,0.009637216776082513,2.6337875528607674e-16,5.11406072544876e-16,0.0,0.0527064311126911,0.07356650900013309,0.0,0.0,0.0348194896800787,0.02204547032217061,0.03227375682596231,0.09404168329750422,0.11076435981902365,0.0,0.04582112022978255
Louisiana,0.0771120937378132,2.3144608852792826e-17,1.0784333253767106e-18,1.934772303241155e-16,3.257974898255318e-16,6.651919141377471e-17,0.0,0.1250146243317607,0.0,6.514109490657368e-17,0.07744830165362904,0.0,0.0,0.10221663177012544,7.129634346758054e-17,0.0,0.3311033976021569
Massachusetts,1.71012418780878e-16,4.045167758462159e-17,0.018554456334004214,0.0,3.4843408283005844e-16,0.17426539280475495,0.04686682479642181,0.0669919621074369,3.7939988761884676e-16,3.806598111297006e-17,0.07720948742175027,0.12569992357780818,0.04159002556848821,0.277507316871444,5.4734389035693967e-17,1.53008491667973e-16,2.5126385347351565e-17
Missouri,1.1414730933383335e-16,0.11544003606958726,2.0524385379633314e-19,0.0,0.0,1.6881366638778206e-18,0.007266467538078997,0.06302676360465365,2.4138454171844026e-17,0.0,0.0,0.0,1.3065514587128097e-16,9.403712539585778e-17,1.3862155860549857e-16,6.184656148890064e-16,0.10022714387138251
Mississippi,0.5145276142415182,0.14766635620037216,0.0012576397700354877,0.0,1.590671425949943e-16,0.007124549158035344,0.07722179379983815,0.0,0.0,3.487739235509618e-16,6.862508398255304e-17,3.303984712230412e-16,0.0,0.0,0.033402091394100844,0.0,2.416415591927068e-17
