,AL,CA,CO,CT,DE,IL,KY,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,6.194931892442931e-17,3.5722627305852833e-16,0.0,0.0,0.12122948829295792,0.031128900560452186,0.0,0.032731196759836934,1.7631832877591806e-17,2.005400094474544e-16,0.0,0.04861857356257123,1.693164941452622e-16,0.012260369988993379,0.15846753935713956
Arkansas,0.06965767595705304,0.0,2.6907278867720277e-16,4.9242942516593165e-17,4.0324316086871477e-16,0.0381520938776398,1.622694036890538e-16,6.107759020987521e-17,1.344087964686396e-16,0.0,0.0,1.667682975408893e-17,6.581898083069697e-17,0.03911299001837632,4.869863464308094e-16
Arizona,0.0,0.0,0.0,8.732224492568136e-17,0.0,0.02458060063447291,0.11446403418252768,0.0,5.4766412615823275e-17,0.0,0.0,0.03273085628063482,2.5723771956961246e-16,0.023699577658703775,0.2313718465298795
Florida,1.007725045120779e-17,0.0,8.632709983827843e-17,1.5426509830951337e-16,0.05465462832131164,0.041867518533605375,0.05224573863876646,0.0,2.630474668979995e-18,0.0,6.185265364283807e-16,0.033225318636497504,2.1570100868430647e-16,0.02644948868006733,0.0
Georgia,0.039286550834965475,8.25630694142457e-16,0.0,0.0,6.20465112927875e-18,0.039902001305846285,9.497045110743298e-18,0.06062786779955932,2.5407393863104002e-17,0.0,1.1329012642547958e-16,0.08054569046881774,0.0,0.008441325280557814,0.0
Hawaii,0.048673008779198425,0.0,0.0,0.010998667417142515,0.02545433455037124,0.030221300342919234,0.0,0.07807768881721013,0.1081013485230892,0.03952830492336108,0.0844838978030418,5.4670658323624084e-17,0.0,0.04094341797936863,0.0
Iowa,0.026999103501981158,0.0,6.307062804794921e-17,1.224295890133697e-16,2.297961904110429e-16,0.020727939749108176,0.12648573446655495,1.497960826560285e-16,0.0,8.760644136282594e-17,6.530005857557769e-17,5.5362338454024675e-17,0.0941712073720827,0.03915683277399616,0.016447850585330527
Idaho,0.0,4.987812730731589e-16,0.09255286849331412,0.040694255554821826,3.361026734705064e-17,0.037998052403621724,0.0,0.1351237173067138,0.0,0.03984994114827725,1.7490002533867563e-17,0.06348613098930696,1.7235850379126887e-16,0.0277225033394236,0.0
Indiana,7.54585507763e-18,0.0,6.951812788610505e-17,0.0,0.0,0.026923320488061328,0.0,0.0,0.12359664149276439,0.05761690691512514,1.5999915097466007e-16,9.669122990922727e-17,0.04353716220643983,0.0362121352088171,0.0
Kansas,0.0,1.6426589040783976e-16,8.010476159703548e-17,0.0029910024183927033,5.762009490548598e-17,0.023744655442284924,0.05209496936730596,4.635850381807001e-17,0.041345860807024355,0.034434238302135184,0.0,0.06219170015702613,0.019923291972192326,0.034041881987877096,0.07301045014099983
Louisiana,1.2320779811548248e-16,0.0,0.0,3.4729882705301755e-17,0.04263712996490999,0.023162239923679565,0.1178576551195745,0.05293142496987429,0.0,1.451116011342746e-16,0.0,0.08111357461336191,0.0,0.005395451694021108,0.046701812030411016
Massachusetts,1.9185241280755873e-16,0.0,9.908534789167136e-17,0.0,0.1339221952493659,0.03754247421529059,3.0006490474742034e-16,1.1226913496087398e-16,0.0,0.035563188814622594,0.0,0.08760448664310495,1.3030614226776982e-16,0.041219345964116416,0.21098867961150378
Maine,7.776725407517937e-17,9.540979117872439e-18,0.12788724589455278,0.28753895809333424,5.807257886375483e-17,0.035758501990313926,0.0,0.23424103590086487,0.0645274471293527,0.1410661841444268,0.40225555274518754,4.497400030864908e-17,6.700594112088352e-18,0.03398936931171271,1.4869832795638693e-16
Missouri,0.0,1.2300614964241157e-16,1.976150697328035e-16,0.0,2.2605466121710986e-17,0.012381217281651764,0.13501702933176085,3.176094158308496e-17,1.0490375443412525e-16,4.889009524660142e-17,0.0,0.0394700536255026,0.0,7.956236724883263e-19,0.055366125194397084
Mississippi,7.85010434808564e-17,2.4347557876280235e-16,0.0,0.0,0.0,0.042040866291038925,1.0927020947497181e-16,0.021683418526040155,0.04775031434225328,0.03630428377081789,2.1192602954664186e-16,0.022313473586469193,0.0,0.03000194132764421,0.03764112594884104
Montana,0.16101687791966568,0.0,9.303825148347936e-17,0.0,3.270779273237552e-17,8.278033971476654e-18,0.10460264575361367,2.199575157429967e-17,0.05467225613908212,0.09389015956465994,0.0,1.686600523847478e-17,0.09943270620900342,0.03583169810868369,0.04532964034666623
North Carolina,0.0,0.0,0.0,4.351982282591623e-18,5.5121890132532676e-17,0.016932743103661392,0.014336493356554712,0.0,0.06806470263258255,0.00013825482623069148,1.5671163045694644e-16,3.8160931223397594e-17,0.13946106821208745,0.03344632031069313,1.3810702798391916e-16
