"State","County","p0_Dose1_12Plus","K_Dose1_12Plus","v_Dose1_12Plus","correlation_Dose1_12Plus","MAE_Dose1_12Plus","p0_Dose1_18Plus","K_Dose1_18Plus","v_Dose1_18Plus","correlation_Dose1_18Plus","MAE_Dose1_18Plus","p0_Dose1_65Plus","K_Dose1_65Plus","v_Dose1_65Plus","correlation_Dose1_65Plus","MAE_Dose1_65Plus"
"AL","Autauga County",7.42430147793586,61.0585883582863,0.0131104028863896,0.989653659540634,2.08329053196514,9.61008428044729,23.1215997442378,0.0130592489417269,0.987525639103258,2.28679794584351,17.1920115311814,78.7980453088599,0.0164309816641164,0.967218076324174,4.15925808286368
"AL","Baldwin County",7.92531273492775,75.0181927041435,0.013294668323182,0.992570659441837,2.01843278026678,10.0310672712963,28.6388474132702,0.0131541008283828,0.991661566579347,2.17457632071777,20.6625549236555,98.5653060612845,0.0138688024993369,0.965333843072066,5.22586513434331
"AL","Barbour County",7.46447335176286,66.1709581644573,0.0129412609703513,0.995498611091645,1.39717749073056,9.51425930067454,25.1131992711221,0.0128430301582163,0.995749332798893,1.3838467791856,26.0621428523004,88.8809763078778,0.00976386941665798,0.980045367504691,2.76296726392779
"AL","Bibb County",7.24926456005156,48.7138417168544,0.0136689391757843,0.996609470963501,0.813484299946175,9.4854082462851,18.519123094479,0.0137827100334857,0.996458967024496,0.859389580141531,26.370503062038,68.0965447544701,0.012463654144936,0.976133173953684,1.90664324429685
"AL","Blount County",7.13829524612159,47.0392630666375,0.0117345064060854,0.990139984562984,1.41095073761244,9.59142795730583,18.1321225924792,0.011616337250347,0.989491251776045,1.50748093927337,20.580008898689,63.0974035232122,0.0111927810807722,0.975212669037295,2.30094130739363
"AL","Bullock County",9.30229212408154,76.0510186358729,0.0124934115864903,0.982559529317752,3.31914100293532,11.8251505040789,28.2285839641868,0.0124563058751908,0.979193755525679,3.59066125282399,23.9109210629674,106.545015844806,0.00916357966508554,0.966251008690045,4.83939495021071
"AL","Butler County",10.3059185227941,57.7782294592788,0.0131575572716958,0.985551401279121,1.98415330426755,13.9829243376091,21.9375697054788,0.0134847334597507,0.984057533620138,2.12804347053354,24.9831125553365,75.6179644325246,0.0158577661323257,0.971310641087062,3.10259960575425
"AL","Calhoun County",7.77187221120987,72.2414306584016,0.0120288743826484,0.989245466295837,2.41849324109497,9.96076787587186,27.7961760253159,0.0117139172710402,0.988226153438549,2.61108778316174,23.2706309235134,101.439507140504,0.0099376276604935,0.973458232057294,4.29317067410597
"AL","Chambers County",7.84221336338326,44.0108707760153,0.0121235933215174,0.986390600666651,1.44704673202138,10.5364670400382,16.7123826461634,0.0122249318969661,0.984589912527897,1.56266970536844,16.4060381155192,56.0187237585024,0.0181888722485963,0.955905911292077,3.0672396282578
"AL","Cherokee County",9.88882125109779,48.0141350295029,0.00970226418346221,0.986003581732551,1.50578145402641,13.8098707710212,18.5147538487793,0.00967713463739433,0.98542139379066,1.57849212595766,24.8279397288736,67.6096245465868,0.0094945193874925,0.962784763092202,2.60968917034315
"AL","Chilton County",6.94707550871035,51.9150303749732,0.0141895743155495,0.993628248057424,1.26519757267783,9.11685300150207,19.9255680698083,0.0141888339834174,0.992803889328414,1.39381520921694,19.5219995828358,72.7920562899149,0.0188658179148109,0.983245122877789,2.46493989391668
"AL","Choctaw County",16.3002388255473,100.587932431793,0.011077092392994,0.988682758437514,3.12200331134385,21.8697614645444,38.5969140205372,0.0109615639713888,0.988237369050773,3.2714666402764,34.3563864062998,99.1685416798113,0.0174425658573616,0.97325586297374,3.73334352864294
"AL","Clarke County",15.0062947782912,77.9970269010554,0.0109854235659962,0.987513918078562,2.44382104797704,21.3212258617665,29.6918976047116,0.0108451646103692,0.98733131811593,2.46940202100249,43.3045146236874,94.2609909532055,0.0102178447163504,0.968673129780212,2.82216236903033
"AL","Clay County",12.8173516157571,61.6188898304869,0.0114523578218851,0.986469801556842,2.05448528253906,17.94583167366,23.5581086635169,0.0115694688356281,0.985743983629631,2.16261153426699,32.2182102744145,80.8671680920297,0.0127458432768143,0.968012875366201,3.0007835158373
"AL","Cleburne County",9.64779068508163,49.3458551365003,0.00967354557820647,0.985914132865683,1.619528356115,13.5625031023513,19.2256565716932,0.00953334319034727,0.98517575958156,1.7354257884298,28.6943058642828,75.4407112050862,0.00721306141304956,0.971422247827013,2.39133255733101
"AL","Coffee County",9.7819243189966,66.8569231999927,0.0103325828722913,0.984614172325216,2.28913663643169,12.9943747424717,25.6150185391022,0.0102604373093456,0.982948472549408,2.497262475533,23.3353072817547,81.1824789250908,0.0174807931986226,0.957032180942718,4.14886601779261
"AL","Colbert County",11.6786882134788,66.8146329631282,0.0122243903487634,0.986034362636196,2.26864901953901,15.7385518270711,25.0993096935063,0.0124483226408685,0.984044127671878,2.47145776205272,19.7399987769683,82.570729840562,0.0244274185284688,0.966737454001124,4.04968281537187
"AL","Conecuh County",15.7140913008578,67.4701635895056,0.0105345125102507,0.985328252771141,2.10200539222777,23.0562119529726,25.4371895261897,0.0106805204092399,0.984027103438153,2.14475640580927,37.1879184726002,80.0103539465583,0.0126234003316545,0.960904938801113,2.70626004290473
"AL","Coosa County",9.25714742352948,60.0789346051928,0.0103589090053796,0.983394887438048,2.21461904487739,12.011865402687,22.7923907100863,0.0102506363896568,0.982790250205097,2.28847402629874,23.9755576653066,83.0889926046138,0.00879317808910096,0.964954947567344,3.41682408394683
"AL","Covington County",9.45751999694639,58.1888374740558,0.0115587801713644,0.989044060624618,1.77892501997437,12.8083235827753,22.4978363088783,0.0114288052991099,0.989295854256835,1.80868915003272,26.3212368720375,79.0106826209604,0.012222677681029,0.979507889567754,2.47739879593755
"AL","Crenshaw County",10.2556676638521,49.500255472832,0.0119695583918315,0.984245131510934,1.69459467469169,14.4866909479152,19.0661532054126,0.0121974548443879,0.982784331642328,1.82341004903954,25.0225836479307,72.301087977277,0.016582877688993,0.976175031334576,2.61670221858349
"AL","Cullman County",7.76400160703516,57.9380747480815,0.0108835277720729,0.983904685448917,2.23348508961313,10.1336429251039,22.3713811424604,0.0107976425108778,0.983269479009871,2.35045146191666,22.4565301048366,79.5333599421593,0.0113881206186117,0.946019807201734,4.52390824061037
"AL","Dale County",13.8977345551588,75.1252174196491,0.0117261913341605,0.990682360142864,1.93756390987298,18.88391647794,28.8854735615868,0.0118736512200923,0.989738878416919,2.119625524268,29.3777586183175,84.557939952396,0.0132777191399952,0.966828355529881,3.37759185482553
"AL","Dallas County",13.7729465841075,71.1595110089407,0.0112833739649109,0.983670933214325,2.22335285972296,19.4711476067446,26.8807635176935,0.0115065402849429,0.980818796991667,2.43637360041003,29.8187336176316,86.8098054421761,0.0172611927379123,0.941363905937591,5.14213886429423
"AL","DeKalb County",7.66834703845949,51.3141163347468,0.011992891672635,0.990794680985939,1.47238751859261,10.3052807046437,19.7862962783407,0.0120766516046042,0.990251188777918,1.5502249522774,22.5198096270719,70.3216022560633,0.0130949837182816,0.978276161007801,2.46137051649695
"AL","Elmore County",7.07872223754469,65.9131970730607,0.0133711958354789,0.991803132729015,1.98517613600046,8.91878814765904,25.2296948437569,0.0133205695667116,0.990409116772983,2.19016333963242,18.1310004462633,93.9311035974072,0.0166613544794711,0.968652145471056,5.26847102519021
"AL","Escambia County",9.30739929972679,55.7270516644719,0.0122753302595625,0.989244724210771,1.57352534221572,12.4606959263337,21.4905937425285,0.0124361927590362,0.988653755989618,1.66401826543838,25.8615801775677,85.8517102522198,0.0191988676751427,0.961419253109149,4.10735247446107
"AL","Etowah County",9.32383084073577,60.9126025943209,0.0115887395002028,0.988986469200395,1.96488450914436,12.4536249825181,23.2883557257164,0.0114361667784205,0.987898576461799,2.10450514964075,23.9142307682637,80.9091265071103,0.0127791183088426,0.971821366980353,3.44999405141915
"AL","Fayette County",8.66619896788883,50.6235808639178,0.0107482813227567,0.983100335932192,1.91367773233151,11.7319289005875,19.3638096342788,0.0107104124571889,0.981852446899126,2.01453203899274,23.2433196241568,69.8289428768004,0.0111086389993971,0.951512603458615,3.53333801176314
"AL","Franklin County",11.3403128864963,66.1288959867668,0.011317024992962,0.983897472334995,2.36454798094062,15.6037843889273,25.3131394283545,0.0114785506317047,0.982347318191287,2.52733657369381,26.767819120738,86.4766587205467,0.0188785646144059,0.952680089323583,4.71831210109625
"AL","Geneva County",12.0225750463726,57.9674508873871,0.0102897312834446,0.986717599952154,1.83580776847688,17.0346668237824,22.6675812475688,0.0103025272013666,0.985749919196591,1.9908761691056,30.4307993979498,80.8612167172625,0.0144041727701763,0.964692733727779,3.20048428203907
"AL","Greene County",15.972376698316,73.7749112432464,0.0129006813276384,0.983700314514265,2.53624343739186,22.5971928390242,27.5428384877,0.013592187929293,0.981418060400839,2.73683536660763,30.1288662923098,86.228006352717,0.0198670050335751,0.967836082372256,3.66331110500038
"AL","Hale County",14.4501974066637,89.0858187501457,0.0116392021003749,0.985053032236985,3.1683910786876,19.7778367469324,33.3003628820514,0.0114672691570844,0.982120807420379,3.39564209179779,32.5896151248527,96.9123005289302,0.0111977690434511,0.952364457206306,4.88312393130011
"AL","Henry County",13.6258269368472,67.3644301398685,0.010306696764691,0.9863946336703,2.09306530618934,19.1320418909455,26.114204585069,0.0101937511819706,0.984992073292505,2.27544615180284,33.038269169226,86.5721735215506,0.00969473414254167,0.963579250913863,3.18871629523303
"AL","Houston County",9.05742912997151,59.9635492636115,0.0129402937184942,0.98581671762613,2.00383673565334,11.8599855367302,22.9350675369112,0.0132055636335671,0.984027822390688,2.22721757160711,13.6626676824211,78.1592503124676,0.0282375843703155,0.958620927133754,5.22045338218278
"AL","Jackson County",10.9468049771303,70.1614006026691,0.0116210082342557,0.987678800019525,2.11725616278355,14.4227835720868,26.905267285641,0.0117240068608573,0.986522329928271,2.29343868977483,23.8016117733008,91.5396985729734,0.0193441902674429,0.960388730287974,4.95259637604992
"AL","Jefferson County",9.73576514267363,80.2574300624215,0.0148804645399683,0.98859704836049,2.89134952919957,12.2332265403057,29.9494591742861,0.0151633603040616,0.985969758819853,3.26057175891488,14.7018436899151,94.2296844420172,0.0241612626656694,0.969569506861599,5.6903416864836
"AL","Lamar County",11.0823690867378,94.56798437834,0.00706096025700066,0.936411966857356,4.64319841016091,14.1781788472741,37.4680088309297,0.00686111816341922,0.936959647965714,4.88456276453713,33.1726984937691,142.492330234754,0.00469732167379011,0.931029080295524,5.64928301868417
"AL","Lauderdale County",10.1981806945834,64.6991381408642,0.0132546152561659,0.986244781064765,2.30200887364134,13.3162063147004,24.5915694087851,0.0134204235463818,0.984201362935303,2.55587663267286,17.6899392591157,83.2873900472916,0.022819778042957,0.960548625947045,4.95919834341201
"AL","Lawrence County",12.3115084026055,63.811419155156,0.0129027339173446,0.986777895848039,2.07111920305251,16.8191857244209,24.6075424072674,0.0132227079920826,0.985723792120352,2.26531910361513,28.3884948937198,89.6155898123526,0.0219648515568717,0.979453847240197,3.08419880536462
"AL","Lee County",8.814632828326,50.9094643619341,0.0139105197562269,0.981542455743306,1.95761985186863,11.5521545472587,18.9989833737805,0.0144537265312275,0.977938549661729,2.21936120738833,10.922791725499,67.1870434764915,0.0375236403417011,0.949937538035578,4.78484207271623
"AL","Limestone County",4.9988933857838,75.6229019668042,0.00915196660820639,0.943165186673677,4.24876758344393,6.24356833861014,29.548627738325,0.00882440245720202,0.943486496265501,4.42450800485181,20.1295760885631,107.352305732211,0.00663116241588237,0.926225362579707,6.13998217322665
"AL","Lowndes County",12.1121043304852,72.0907922941168,0.0146865063677343,0.988030830340914,2.37175176636928,15.8602982959472,26.7739164808755,0.0152783427801186,0.985900712245886,2.58223617999937,25.72812829418,90.8815429058386,0.0190268407421014,0.976617769464074,3.71816982224129
"AL","Macon County",13.1276472194312,65.2651562188241,0.0132133967352247,0.986182412411139,2.05833861977333,17.7118225629612,23.9594772539302,0.0137198987684458,0.983557304953907,2.30281188027423,24.3423136488912,81.1798354729556,0.0227533458025724,0.962479833320894,3.97540258935559
"AL","Madison County",9.38520012035918,80.6388116389028,0.0162755769906588,0.989194501262112,2.98650259165231,11.4378424323807,30.0133358765231,0.01687789044779,0.986679581249273,3.42600736590259,12.6673259597536,92.6974000964272,0.0337785500130403,0.973697657170867,5.06652629323942
"AL","Marengo County",13.6108032330676,84.2797150060895,0.0113194640927409,0.985126939267144,3.13336269819677,18.7451607687511,31.7969958149589,0.0111626361767035,0.984241109181425,3.23207061000703,37.7968541482864,97.6484727143402,0.0102479369124353,0.958896925377861,4.08636913179436
