"cnty_fips","display_name","Value","theme_range"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",172.1,"59.4 - 193.6 (626)"
02050,"""Bethel, (AK)""",271.6,"249.3 - 287.2 (622)"
02060,"""Bristol Bay, (AK)""",-1,
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",280,"249.3 - 287.2 (622)"
02090,"""Fairbanks North Star, (AK)""",210.9,"193.7 - 222.1 (623)"
02100,"""Haines, (AK)""",182.3,"59.4 - 193.6 (626)"
02105,"""Hoonah-Angoon, (AK)""",-1,
02110,"""Juneau, (AK)""",179.5,"59.4 - 193.6 (626)"
02122,"""Kenai Peninsula, (AK)""",200.9,"193.7 - 222.1 (623)"
02130,"""Ketchikan Gateway, (AK)""",174.4,"59.4 - 193.6 (626)"
02150,"""Kodiak Island, (AK)""",155.3,"59.4 - 193.6 (626)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",168.4,"59.4 - 193.6 (626)"
02180,"""Nome, (AK)""",326.5,"287.3 - 645.6 (621)"
02185,"""North Slope, (AK)""",246,"222.2 - 249.2 (624)"
02188,"""Northwest Arctic, (AK)""",310.2,"287.3 - 645.6 (621)"
02195,"""Petersburg, (AK)""",234.1,"222.2 - 249.2 (624)"
02198,"""Prince of Wales-Hyder, (AK)""",255,"249.3 - 287.2 (622)"
02220,"""Sitka, (AK)""",209.3,"193.7 - 222.1 (623)"
02230,"""Skagway, (AK)""",-1,
02240,"""Southeast Fairbanks, (AK)""",200,"193.7 - 222.1 (623)"
02261,"""Valdez-Cordova, (AK)""",178,"59.4 - 193.6 (626)"
02158,"""Kusilvak, (AK)""",-1,
02275,"""Wrangell, (AK)""",-1,
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",185.7,"59.4 - 193.6 (626)"
06001,"""Alameda, (CA)""",171.4,"59.4 - 193.6 (626)"
06005,"""Amador, (CA)""",200,"193.7 - 222.1 (623)"
06007,"""Butte, (CA)""",235.8,"222.2 - 249.2 (624)"
06009,"""Calaveras, (CA)""",190.4,"59.4 - 193.6 (626)"
06011,"""Colusa, (CA)""",200.2,"193.7 - 222.1 (623)"
06013,"""Contra Costa, (CA)""",169.8,"59.4 - 193.6 (626)"
06015,"""Del Norte, (CA)""",208.4,"193.7 - 222.1 (623)"
06017,"""El Dorado, (CA)""",173.3,"59.4 - 193.6 (626)"
06021,"""Glenn, (CA)""",259.1,"249.3 - 287.2 (622)"
06023,"""Humboldt, (CA)""",260.5,"249.3 - 287.2 (622)"
06031,"""Kings, (CA)""",226.8,"222.2 - 249.2 (624)"
06033,"""Lake, (CA)""",230.6,"222.2 - 249.2 (624)"
06035,"""Lassen, (CA)""",198.3,"193.7 - 222.1 (623)"
06041,"""Marin, (CA)""",123.5,"59.4 - 193.6 (626)"
06043,"""Mariposa, (CA)""",225.3,"222.2 - 249.2 (624)"
06045,"""Mendocino, (CA)""",196.1,"193.7 - 222.1 (623)"
06047,"""Merced, (CA)""",227.1,"222.2 - 249.2 (624)"
06049,"""Modoc, (CA)""",222.2,"222.2 - 249.2 (624)"
06053,"""Monterey, (CA)""",152.4,"59.4 - 193.6 (626)"
06055,"""Napa, (CA)""",175,"59.4 - 193.6 (626)"
06057,"""Nevada, (CA)""",180.1,"59.4 - 193.6 (626)"
06061,"""Placer, (CA)""",174.8,"59.4 - 193.6 (626)"
06063,"""Plumas, (CA)""",173.3,"59.4 - 193.6 (626)"
06067,"""Sacramento, (CA)""",216.3,"193.7 - 222.1 (623)"
06069,"""San Benito, (CA)""",182.9,"59.4 - 193.6 (626)"
06075,"""San Francisco, (CA)""",155.6,"59.4 - 193.6 (626)"
06077,"""San Joaquin, (CA)""",227.7,"222.2 - 249.2 (624)"
06079,"""San Luis Obispo, (CA)""",191.2,"59.4 - 193.6 (626)"
06081,"""San Mateo, (CA)""",152.1,"59.4 - 193.6 (626)"
06083,"""Santa Barbara, (CA)""",175,"59.4 - 193.6 (626)"
06085,"""Santa Clara, (CA)""",153.9,"59.4 - 193.6 (626)"
06087,"""Santa Cruz, (CA)""",158,"59.4 - 193.6 (626)"
06089,"""Shasta, (CA)""",256.4,"249.3 - 287.2 (622)"
06091,"""Sierra, (CA)""",238.2,"222.2 - 249.2 (624)"
06093,"""Siskiyou, (CA)""",244.1,"222.2 - 249.2 (624)"
06095,"""Solano, (CA)""",191.5,"59.4 - 193.6 (626)"
06097,"""Sonoma, (CA)""",180.1,"59.4 - 193.6 (626)"
06099,"""Stanislaus, (CA)""",247.7,"222.2 - 249.2 (624)"
06101,"""Sutter, (CA)""",226.3,"222.2 - 249.2 (624)"
06103,"""Tehama, (CA)""",244.9,"222.2 - 249.2 (624)"
06105,"""Trinity, (CA)""",197.6,"193.7 - 222.1 (623)"
06109,"""Tuolumne, (CA)""",217.1,"193.7 - 222.1 (623)"
06113,"""Yolo, (CA)""",180.6,"59.4 - 193.6 (626)"
06115,"""Yuba, (CA)""",278.7,"249.3 - 287.2 (622)"
15001,"""Hawaii, (HI)""",200.2,"193.7 - 222.1 (623)"
15003,"""Honolulu, (HI)""",175.2,"59.4 - 193.6 (626)"
15005,"""Kalawao, (HI)""",-1,
15007,"""Kauai, (HI)""",157.2,"59.4 - 193.6 (626)"
15009,"""Maui, (HI)""",156.9,"59.4 - 193.6 (626)"
41003,"""Benton, (OR)""",153.9,"59.4 - 193.6 (626)"
41005,"""Clackamas, (OR)""",173.5,"59.4 - 193.6 (626)"
41007,"""Clatsop, (OR)""",215.3,"193.7 - 222.1 (623)"
41009,"""Columbia, (OR)""",212.4,"193.7 - 222.1 (623)"
41011,"""Coos, (OR)""",241.7,"222.2 - 249.2 (624)"
41013,"""Crook, (OR)""",245.3,"222.2 - 249.2 (624)"
41015,"""Curry, (OR)""",226.5,"222.2 - 249.2 (624)"
41017,"""Deschutes, (OR)""",174.1,"59.4 - 193.6 (626)"
41019,"""Douglas, (OR)""",200.6,"193.7 - 222.1 (623)"
41021,"""Gilliam, (OR)""",-1,
41027,"""Hood River, (OR)""",223.8,"222.2 - 249.2 (624)"
41029,"""Jackson, (OR)""",175.8,"59.4 - 193.6 (626)"
41031,"""Jefferson, (OR)""",202.3,"193.7 - 222.1 (623)"
41033,"""Josephine, (OR)""",190.8,"59.4 - 193.6 (626)"
41035,"""Klamath, (OR)""",228.8,"222.2 - 249.2 (624)"
41037,"""Lake, (OR)""",198.4,"193.7 - 222.1 (623)"
41039,"""Lane, (OR)""",183.7,"59.4 - 193.6 (626)"
41041,"""Lincoln, (OR)""",192.6,"59.4 - 193.6 (626)"
41043,"""Linn, (OR)""",223.6,"222.2 - 249.2 (624)"
41047,"""Marion, (OR)""",190.3,"59.4 - 193.6 (626)"
41051,"""Multnomah, (OR)""",198.2,"193.7 - 222.1 (623)"
41053,"""Polk, (OR)""",164.1,"59.4 - 193.6 (626)"
41055,"""Sherman, (OR)""",235.4,"222.2 - 249.2 (624)"
41057,"""Tillamook, (OR)""",196.5,"193.7 - 222.1 (623)"
41065,"""Wasco, (OR)""",244.7,"222.2 - 249.2 (624)"
41067,"""Washington, (OR)""",160.9,"59.4 - 193.6 (626)"
41069,"""Wheeler, (OR)""",-1,
41071,"""Yamhill, (OR)""",201.9,"193.7 - 222.1 (623)"
53007,"""Chelan, (WA)""",153.3,"59.4 - 193.6 (626)"
53009,"""Clallam, (WA)""",180.5,"59.4 - 193.6 (626)"
53011,"""Clark, (WA)""",188.6,"59.4 - 193.6 (626)"
53015,"""Cowlitz, (WA)""",228.1,"222.2 - 249.2 (624)"
53027,"""Grays Harbor, (WA)""",220,"193.7 - 222.1 (623)"
53029,"""Island, (WA)""",174.6,"59.4 - 193.6 (626)"
53031,"""Jefferson, (WA)""",162,"59.4 - 193.6 (626)"
53033,"""King, (WA)""",160.1,"59.4 - 193.6 (626)"
53035,"""Kitsap, (WA)""",203.2,"193.7 - 222.1 (623)"
53037,"""Kittitas, (WA)""",184.1,"59.4 - 193.6 (626)"
53039,"""Klickitat, (WA)""",152.2,"59.4 - 193.6 (626)"
53041,"""Lewis, (WA)""",244.7,"222.2 - 249.2 (624)"
53045,"""Mason, (WA)""",201,"193.7 - 222.1 (623)"
53047,"""Okanogan, (WA)""",196.6,"193.7 - 222.1 (623)"
53049,"""Pacific, (WA)""",279.2,"249.3 - 287.2 (622)"
53053,"""Pierce, (WA)""",229.5,"222.2 - 249.2 (624)"
53055,"""San Juan, (WA)""",93.5,"59.4 - 193.6 (626)"
53057,"""Skagit, (WA)""",189.2,"59.4 - 193.6 (626)"
53059,"""Skamania, (WA)""",151.4,"59.4 - 193.6 (626)"
53061,"""Snohomish, (WA)""",180.8,"59.4 - 193.6 (626)"
53067,"""Thurston, (WA)""",179.9,"59.4 - 193.6 (626)"
53069,"""Wahkiakum, (WA)""",171.4,"59.4 - 193.6 (626)"
53073,"""Whatcom, (WA)""",172.6,"59.4 - 193.6 (626)"
53077,"""Yakima, (WA)""",239.2,"222.2 - 249.2 (624)"
04001,"""Apache, (AZ)""",200.2,"193.7 - 222.1 (623)"
04003,"""Cochise, (AZ)""",212.3,"193.7 - 222.1 (623)"
04005,"""Coconino, (AZ)""",169.6,"59.4 - 193.6 (626)"
04007,"""Gila, (AZ)""",252.8,"249.3 - 287.2 (622)"
04009,"""Graham, (AZ)""",221.7,"193.7 - 222.1 (623)"
