State code,Under 18 years old,Over 65 years old,Median age,White,Black,American Indian,Asian,Hawaiian,Higher education achievement,High school achievement,Literacy,Urban population ,Population density (number of people/square mile),Unemployement,Crime rate,Firearms death rate,Number of firearm death,Poverty rate,Number of people under poverty level,GINI index,Median income (in USD),2016 Trump vote share,2020 Trump vote share,Governor: democrat (1) / republican (0),Gun ownership rate,Adult obesity rate,Hypertension,Number of Covid-19 deaths in 2020 / State population,People without healthcare,Access to care score
AL,0.222,0.17800000000000002,39.0,0.6809,0.2664,0.0052,0.0136,0.0005,0.26,0.86,0.852,0.59,97.0,0.031,8.3,21.4,1046.0,0.1613,795989.0,41.74,50536.0,0.6208,0.62,0.0,0.555,0.361,0.425,2.135346718510519e-05,0.097,0.13666379557852426
AK,0.24599999999999994,0.131,34.0,0.6458,0.0328,0.1489,0.0623,0.0125,0.3,0.93,0.908,0.66,1.0,0.063,8.4,23.0,177.0,0.1062,76933.0,47.69,77640.0,0.5128,0.528,0.0,0.645,0.305,0.328,4.9757704584133576e-05,0.115,0.5779500430663221
AZ,0.225,0.185,38.0,0.7722,0.045,0.045,0.0331,0.0021,0.3,0.87,0.869,0.898,66.0,0.057,5.9,15.2,1094.0,0.1388,1043764.0,46.82,58945.0,0.4867,0.491,0.0,0.463,0.314,0.325,1.2570896766559272e-05,0.111,0.286534596612116
AR,0.23200000000000004,0.177,38.0,0.7672,0.1532,0.0068,0.0152,0.0029,0.23,0.87,0.863,0.562,58.0,0.04,8.6,17.7,541.0,0.1636,496260.0,47.0,47597.0,0.6057,0.624,0.0,0.572,0.374,0.41,3.0353197225532207e-05,0.091,0.2675854148722366
CA,0.225,0.152,37.0,0.597,0.0579,0.0077,0.1449,0.004,0.34,0.83,0.769,0.95,254.0,0.075,4.6,7.9,3184.0,0.13,5149742.0,49.0,75235.0,0.3162,0.343,1.0,0.283,0.262,0.278,1.7564185138355795e-06,0.078,0.5745047372954349
CO,0.21900000000000006,0.151,37.0,0.84,0.0416,0.0098,0.0318,0.0015,0.41,0.92,0.901,0.862,57.0,0.055999999999999994,3.9,14.3,812.0,0.096,565873.0,45.9,72331.0,0.4325,0.419,1.0,0.451,0.238,0.258,1.2415919048902398e-05,0.078,0.6023542922767728
CT,0.20400000000000007,0.182,41.0,0.7592,0.1072,0.0028,0.0451,0.0003,0.39,0.91,0.914,0.88,734.0,0.068,2.8,4.6,172.0,0.0969,344146.0,49.0,78444.0,0.4093,0.392,1.0,0.236,0.291,0.309,3.166645490250855e-05,0.059,0.7717484926787251
DE,0.20900000000000007,0.2,41.0,0.6876,0.2218,0.0039,0.0387,0.0006,0.32,0.9,0.893,0.833,508.0,0.053,5.6,10.9,111.0,0.1105,109400.0,45.0,68287.0,0.4172,0.398,1.0,0.344,0.344,0.272,7.619916119306116e-05,0.066,0.5848406546080964
FL,0.19700000000000004,0.213,42.0,0.7512,0.1607,0.0028,0.0273,0.0006,0.3,0.88,0.803,0.912,409.0,0.049,5.0,12.6,2704.0,0.1308,2870487.0,49.0,55660.0,0.4902,0.512,0.0,0.353,0.27,0.335,2.7004707246391926e-06,0.131,0.1946597760551249
GA,0.23599999999999996,0.147,37.0,0.5862,0.3161,0.0036,0.0398,0.0006,0.31,0.87,0.833,0.7509999999999999,188.0,0.032,6.7,14.9,1571.0,0.1411,1528558.0,48.16,58700.0,0.5077,0.493,0.0,0.492,0.331,0.348,7.845594924493448e-06,0.134,0.06833189778926213
HI,0.21200000000000002,0.196,39.0,0.2495,0.0183,0.0026,0.3779,0.1006,0.33,0.92,0.841,0.919,219.0,0.066,2.7,4.5,66.0,0.0929,130649.0,43.69,81275.0,0.3003,0.343,1.0,0.149,0.339,0.307,1.2006735072096912e-05,0.041,0.7958656330749354
