,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,22.573904845210436,20.979421437378193,26.94487226126873,21.4723197947611,21.155113669681988,21.553298883353225,22.027842497819993,21.41892055183015,22.448118601251124,22.847365914130258,21.24515227950717,21.4913072145207,23.510103197185284,22.100695717173853,21.018388320041915,26.27827831931466,20.10898193350041
2021-02-20,23.073285446327432,21.42414524942735,27.44506907837447,21.945020103545914,21.71495046253903,22.18758993552069,22.629997421525445,22.04632252026564,23.005829224748574,23.446028492168885,21.80394657521012,22.04871225232683,24.162203028912394,22.750963182048476,21.469080214049434,26.78665146042378,20.538141427925755
2021-02-21,23.50476349112752,21.770576325186457,27.982284343272706,22.38371073577049,22.28043495765449,22.756436987326204,23.11521816170554,22.533276699610134,23.57261908452537,23.96625197648889,22.25461914511829,22.547068250466676,24.7143028606395,23.156040741533843,21.87774325924611,27.296593549198775,20.859287505519784
2021-02-22,23.683532786673794,22.01890261347243,28.36043975983589,22.71488031635545,22.73826891120755,23.236630191637957,23.48377577197577,22.901849526617756,24.091080383531644,24.395599962062988,22.634342787642424,22.938820350558935,25.24035277650305,23.455312719310736,22.142779944735143,27.594830788475022,21.132533335028924
2021-02-23,23.81687919729775,22.138353442036244,28.662167895803393,22.958925917350093,23.063819095381877,23.554179188580463,23.685220095196197,23.13545662829984,24.322421166116616,24.5972713009391,22.827001316564964,23.186471053517295,25.4706023558208,23.6428082621306,22.318964342519344,27.90168627551226,21.283563218064565
2021-02-24,24.06230208222007,22.566128368264945,28.90432574381526,23.22177539611826,23.342612029385744,23.94941322646585,24.071273952016394,23.489042832572387,24.568542849777767,24.92240606578859,23.16862503743748,23.493008709647118,25.822702187547907,23.978241102444102,22.68205196808262,28.137438076939535,21.55262191362879
2021-02-25,24.461823784857028,23.713350603243935,29.462875152529723,23.667673635317097,23.867903932947176,24.489374916453666,24.75174665260253,25.00601827509816,25.024239950277813,25.46082663684719,24.402689682775865,23.947243691830693,26.42690185100212,24.506336552682697,23.094803640769868,28.682950885087845,22.459495933438138
2021-02-26,25.116723898486455,24.328253623885804,30.215919393397005,24.20655502082183,24.511055899641857,25.12166881265216,25.43853776174439,25.736427544399344,25.567695461983647,26.076078556938764,24.984120808076398,24.521372186434274,27.083201346183426,25.081988015629367,23.80024243204691,29.425465677796513,23.133551064240958
2021-02-27,25.8474318316473,25.148257074469342,31.07478242462632,24.82947367358829,24.982635694351817,25.772880926333496,26.199445000917024,26.48692355266788,26.226624035782933,26.57855525854622,25.701712342136243,25.135506925788206,27.552951766865686,25.892720314643974,24.534639304032464,30.251786216393995,23.843109398478223
2021-02-28,26.447554940481652,25.774745102473307,32.02181105802584,25.569860228463394,25.890107114258644,26.538360775076793,26.89519712592471,27.19782570469582,26.92089099241469,27.378713381801937,26.37510199895012,25.862443320418652,28.361351093774093,26.52743460386392,25.331119337836796,31.133130302132454,24.50609310299653
2021-03-01,27.11547604742275,26.21019664595939,32.40751340091856,26.105708552897482,26.393712397734426,27.061310381369502,27.423910790740408,27.764968699525415,27.435757474200773,27.712586815221186,26.908391992404162,26.39714467438363,28.609251262046996,27.015773504940704,25.882732085659896,31.44663575057878,25.118171081217017
2021-03-02,27.290342585396555,26.521417739305324,32.752275592146326,26.552459316758082,26.891451277817545,27.406708888223655,27.696732218572837,28.094446500670532,27.803459079285368,28.030058378667402,27.23053192769533,26.761736232477237,28.8134509255012,27.416815838632708,26.09331378309872,31.813387321037155,25.380583651644322
2021-03-03,27.839949872992698,27.062646541263845,33.261237031928495,27.0039936960018,27.2979763569553,27.84879361431243,28.191935028076905,28.605118506831996,28.132345049842,28.44673735324349,27.796032647258244,27.188645706686792,29.165550757228306,28.028751721829494,26.654420310911707,32.369331178447275,25.97885350659715
2021-03-04,28.41688142905208,27.55528244906171,33.80992092702873,27.683073385062144,27.932273160705606,28.485279662109406,28.761576393589294,29.174809649419053,28.69121817905696,29.11499393065574,28.36646100490318,27.7983920318211,29.81765058895541,28.50640583381032,27.224874328449673,32.842352525764056,26.513616487411156
2021-03-05,28.432767528143128,27.57151683820412,33.825261728362705,27.70056584691616,27.960372449295637,28.514166081940047,28.782584032842973,29.201197301400214,28.72383746192513,29.117733298700855,28.393514913279116,27.818684072998174,29.81973458222449,28.522134422641475,27.241224859312343,32.86207242938803,26.535421740501825
2021-03-06,28.448653627234165,27.58775122734653,33.84060252969669,27.718058308770175,27.98847173788567,28.543052501770692,28.803591672096655,29.227584953381356,28.7564567447933,29.120472666745975,28.42056882165505,27.838976114175253,29.821818575493577,28.537863011472638,27.257575390175013,32.881792333012,26.557226993592494
2021-03-07,28.46453972632521,27.60398561648895,33.855943331030666,27.73555077062419,28.016571026475702,28.571938921601333,28.824599311350333,29.253972605362502,28.78907602766147,29.123212034791095,28.447622730030986,27.859268155352336,29.823902568762666,28.553591600303797,27.27392592103768,32.90151223663597,26.579032246683166
2021-03-08,28.480425825416255,27.620220005631356,33.87128413236465,27.753043232478205,28.044670315065737,28.60082534143199,28.845606950604015,29.28036025734365,28.821695310529638,29.125951402836215,28.474676638406923,27.879560196529415,29.825986562031748,28.569320189134956,27.290276451900354,32.921232140259946,26.600837499773835
2021-03-09,28.496311924507292,27.636454394773768,33.886624933698634,27.77053569433222,28.07276960365577,28.62971176126263,28.866614589857694,29.306747909324795,28.85431459339781,29.128690770881335,28.50173054678286,27.899852237706494,29.828070555300833,28.585048777966115,27.306626982763024,32.940952043883925,26.6226427528645
2021-03-10,28.512198023598337,27.65268878391618,33.90196573503262,27.788028156186236,28.100868892245803,28.658598181093275,28.887622229111372,29.33313556130594,28.886933876265978,29.131430138926454,28.528784455158785,27.920144278883573,29.830154548569915,28.600777366797274,27.32297751362569,32.9606719475079,26.644448005955173
2021-03-11,28.52808412268938,27.668923173058595,33.9173065363666,27.80552061804025,28.128968180835837,28.687484600923916,28.908629868365058,29.359523213287083,28.91955315913415,29.13416950697157,28.55583836353473,27.940436320060652,29.832238541839,28.616505955628433,27.339328044488365,32.98039185113187,26.66625325904585
2021-03-12,28.543970221780427,27.685157562201,33.93264733770059,27.823013079894267,28.157067469425872,28.716371020754565,28.92963750761873,29.38591086526824,28.952172442002315,29.13690887501669,28.58289227191066,27.96072836123773,29.834322535108083,28.632234544459592,27.355678575351035,33.00011175475585,26.68805851213651
2021-03-13,28.559856320871464,27.70139195134341,33.94798813903457,27.840505541748282,28.185166758015903,28.745257440585206,28.950645146872407,29.412298517249383,28.984791724870487,29.13964824306181,28.6099461802866,27.981020402414806,29.836406528377168,28.647963133290755,27.372029106213702,33.01983165837982,26.70986376522718
2021-03-14,28.57574241996251,27.71762634048582,33.96332894036855,27.857998003602294,28.213266046605934,28.774143860415844,28.971652786126096,29.438686169230525,29.017411007738655,29.142387611106926,28.63700008866254,28.00131244359189,29.83849052164625,28.663691722121907,27.388379637076376,33.039551562003794,26.731669018317856
2021-03-15,28.59162851905355,27.733860729628237,33.97866974170253,27.875490465456313,28.24136533519597,28.803030280246496,28.992660425379775,29.465073821211675,29.050030290606827,29.145126979152046,28.66405399703847,28.021604484768968,29.840574514915335,28.67942031095307,27.40473016793905,33.05927146562777,26.75347427140852
2021-03-16,28.6075146181446,27.750095118770652,33.99401054303652,27.892982927310324,28.269464623786003,28.831916700077144,29.013668064633453,29.491461473192828,29.082649573474995,29.147866347197162,28.691107905414405,28.041896525946047,29.84265850818442,28.695148899784233,27.421080698801717,33.078991369251746,26.775279524499197
2021-03-17,28.62340071723564,27.766329507913056,34.0093513443705,27.910475389164336,28.297563912376038,28.860803119907793,29.03467570388714,29.517849125173978,29.115268856343164,29.150605715242282,28.71816181379034,28.062188567123126,29.844742501453503,28.71087748861539,27.437431229664384,33.09871127287572,26.797084777589866
2021-03-18,28.639286816326678,27.782563897055464,34.02469214570448,27.927967851018355,28.32566320096607,28.889689539738434,29.05568334314081,29.544236777155124,29.147888139211332,29.1533450832874,28.74521572216627,28.08248060830021,29.84682649472259,28.72660607744655,27.453781760527054,33.11843117649969,26.81889003068053
2021-03-19,28.655172915417726,27.798798286197876,34.04003294703846,27.94546031287237,28.353762489556104,28.91857595956908,29.076690982394492,29.57062442913627,29.180507422079504,29.15608445133252,28.772269630542205,28.10277264947728,29.848910487991674,28.74233466627771,27.470132291389724,33.13815108012366,26.8406952837712
2021-03-20,28.671059014508764,27.815032675340294,34.055373748372446,27.962952774726386,28.38186177814614,28.94746237939972,29.09769862164817,29.597012081117413,29.213126704947673,29.15882381937764,28.79932353891814,28.123064690654363,29.850994481260756,28.75806325510887,27.486482822252395,33.15787098374764,26.862500536861873
2021-03-21,28.68694511359981,27.8312670644827,34.07071454970643,27.9804452365804,28.409961066736173,28.976348799230372,29.118706260901856,29.623399733098566,29.24574598781584,29.16156318742276,28.82637744729408,28.143356731831446,29.85307847452984,28.773791843940028,27.502833353115065,33.177590887371615,26.884305789952542
2021-03-22,28.70283121269085,27.84329872375626,34.08605535104041,27.997937698434416,28.438060355326204,29.00523521906101,29.13917455694891,29.649787385079705,29.27836527068401,29.16430255546788,28.85343135567002,28.163648773008525,29.855162467798923,28.784503910306693,27.519183883977743,33.195420743491376,26.906111043043214
2021-03-23,28.718717311781894,27.96249999468554,34.10139615237439,28.01543016028843,28.46615964391624,29.03412163889165,29.17339610476506,29.676175037060858,29.31098455355218,29.167041923513,28.88048526404595,28.183940814185604,29.85724646106801,28.92313729951791,27.535534414840406,33.26144681096865,26.927916296133883
2021-03-24,28.734603410872936,28.081701265614814,34.116736953708376,28.032922622142447,28.494258932506273,29.0630080587223,29.20761765258123,29.702562689041997,29.343603836420353,29.169781291558124,28.907539172421888,28.204232855362683,29.859330454337094,29.061770688729137,27.551884945703083,33.327472878445924,26.94972154922456
2021-03-25,28.750489509963984,28.254487342371952,34.13207775504236,28.05041508399646,28.522358221096304,29.091894478552945,29.248715826281956,29.72895034102315,29.37622311928852,29.17252065960324,28.93459308079781,28.224524896539766,29.861414447606176,29.264364739362634,27.56823547656575,33.41759705160196,26.97152680231522
2021-03-26,28.76637560905502,28.28438060358813,34.147418556376344,28.067907545850478,28.550457509686336,29.12078089838359,29.271476330957192,29.7553379930043,29.40884240215669,29.175260027648356,28.961646989173758,28.24481693771684,29.86349844087526,29.29639702620339,27.584586007428417,33.443459609614635,26.99333205540589
2021-03-27,28.782261708146073,28.619145650016474,34.16275935771033,28.08540000770449,28.578556798276374,29.149667318214235,29.336687958327545,29.809698882971528,29.441461685024862,29.17799939569348,29.008566340805572,28.26510897889392,29.865582434144347,29.669552840629624,27.60093653829109,33.597845397914035,27.02763071291919
2021-03-28,28.911108152766406,28.655355222763486,34.24798453259168,28.139156792774926,28.606656086866405,29.219282083045343,29.398678287733173,29.897646219597593,29.595805653487403,29.222399276450552,29.1330795217024,28.32864301291399,29.941616511549885,29.697169330898582,27.61728706915376,33.61567525403379,27.05736078905297
2021-03-29,28.974214214803727,28.727290137693778,35.020734445617336,28.688252910958642,28.983099922196153,29.413840981898918,29.56980714893485,30.01713937076986,30.225514568124808,29.982100892846468,29.3087243269772,28.70370741188122,30.979001682729265,29.900703188450976,27.783493227719738,34.08307132720857,27.086795826318106
2021-03-30,29.010207973807997,29.032395377785242,35.411013603995876,29.096408641281485,29.284228330295477,29.54283497882055,29.69346864092566,30.10133812109436,30.470662642785115,30.339696606232472,29.41700145740675,28.945433905846745,31.405051598592816,30.281176679780746,27.94182935575415,34.4549441284923,27.118654121856054
2021-03-31,29.097646759895284,29.115812125913298,36.075016035444555,29.578151481065703,29.698436281081385,29.876579682674375,29.91529108405317,30.32775477012054,30.839634585551032,30.864850837225845,29.660382779394038,29.330821355665652,32.05715143031991,30.65698389981585,28.179982582288932,34.97520957890179,27.1507091099731
2021-04-01,29.187865124965654,29.741428717657993,36.863153771031094,30.34009078429231,30.36114604072882,30.300993128503144,30.34949109211922,30.66455697983434,31.30644277909068,31.675339806959464,30.081860981290667,29.969600707306892,32.76555075722832,31.538373226660468,28.496313332988457,35.80590815570852,27.21050174827616
2021-04-02,29.30241621408599,30.166809819142582,37.81617014531471,31.251381104726534,31.08952961221488,30.746705537740116,30.877330113383813,31.098465968483392,31.850107519894213,32.523944779661115,30.607424872833533,30.718409303209327,33.44790016827317,32.31070971590578,29.101264923565818,36.625129784119444,27.350757732613246
2021-04-03,29.898383658672447,31.00508233148533,38.75471991196896,32.088409243157344,31.578366500482037,31.113225958344675,31.434960326138498,31.554784599941897,32.35400381591412,33.173149972610894,31.176785363118064,31.380523295544187,33.84370050481898,33.61349124974671,29.73167849384808,37.627856889708895,27.788609954960485
2021-04-04,29.8998526572667,31.04050293337992,38.805328760142416,32.09737706572282,31.603859660717195,31.137424078448817,31.45138779688082,31.598036041634042,32.383304496633514,33.173149972610894,31.215682805945665,31.392649897317806,33.84370050481899,33.62797888546417,29.734988486159626,37.68256277635425,27.80756625263709
2021-04-05,29.901321655860947,31.067875045503673,38.85593760831588,32.10634488828829,31.629352820952356,31.163761531336547,31.478584308250344,31.66213163728318,32.41260517735291,33.173149972610894,31.257151743739236,31.404776499091433,33.84370050481899,33.642466521181625,29.738298478471172,37.73726866299961,27.850406219826304
2021-04-06,30.65789047926434,31.887536990998328,40.32366492653128,33.91146970684376,33.13390138254409,32.12538419828654,32.50435252141844,32.69660413119793,33.54697002968183,35.00427638169844,32.300942904366394,32.80909529479634,35.52185025240965,35.19486906694132,30.776714974878775,38.88420932269546,28.656442171155234
2021-04-07,31.088795064686895,32.35072083873463,40.72773130239653,34.59746054588419,33.88153600959387,32.68289897283394,33.07304046825026,33.19320874461841,34.10413568856031,35.71759153673173,32.77552422352409,33.46680208418036,36.226049915863854,35.81637689748636,31.395049244977333,39.40922752828416,29.075182573837772
