,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,52.03394453602823,54.91242353641469,51.06090377218871,57.67087881885484,51.32738517959809,56.24040409324311,58.19636110282623,56.963684277771215,53.255179353036596,55.738069283191756,59.80485174755164,57.68256330252882,57.481551534149204,58.768428443124606,54.824358659218184,52.07638215007692,57.04613874895133
2021-03-06,53.33841092349819,56.28114025610693,52.72581638839156,59.33378928738113,52.831050711910024,58.01723653825934,59.743926411626845,58.194065026123916,55.47910459925897,57.317514954163315,61.22313479248275,59.42209696275982,59.057417970528356,60.14591897161102,56.42610635893717,53.55618079677102,57.731728683470934
2021-03-07,54.5838452824876,57.48554245172159,53.34543535561165,60.440424309144895,53.78284877399563,59.624741061459794,61.13347132578761,59.66939282516603,58.05328647655296,59.072233594790305,62.279946393080905,60.91220858160103,60.24550427495048,61.24285389869403,57.75161042957528,54.565281131418736,58.95500609404901
2021-03-08,55.21457714713601,58.03810490856888,54.171346062666046,61.197151296323064,54.87257065213509,60.620253232926444,61.94263044821216,60.68357132304896,60.28078066724171,60.44856088743173,63.35292696391437,62.01051362752936,61.093865020927275,62.11726637880171,58.48269690476671,55.58713246711386,59.97703505717337
2021-03-09,55.440644117233184,58.4436474460453,55.28081974971314,62.187057275818205,55.84723796767916,61.61408993198511,62.60572063583801,61.183303136691144,61.817837717595296,61.7297207405379,63.823930517954665,63.08796687247661,61.930194908030344,62.61099034859698,59.12968817623255,55.89202116114702,60.35966883646048
2021-03-10,56.45462702886926,59.31571765946754,56.30651507558417,63.136001600568456,57.032983822039924,62.84215022547156,63.538946643010476,62.23021760686993,62.867522789015524,62.697974417717845,64.72092668701573,64.48513656236959,62.90237816842838,63.39086933357865,60.200559236486896,56.536574843364406,61.217224258836964
2021-03-11,57.51122735653355,60.36618854438456,57.58538666925088,64.30271298019616,58.37061152271475,64.24342348584716,64.64450454102548,63.38878771586209,64.45656804454349,64.09626997390522,65.62761069761201,65.81908659566517,64.01817077322762,64.37578049939773,61.333121434193444,57.84733483339465,62.09904999804186
2021-03-12,57.835631838932855,60.620839035921286,57.74891063279661,64.60171603919699,58.53362858370771,64.66248211329011,65.00170593884157,63.798640030798786,65.40170012503108,64.49173935868727,65.88540282563156,66.34324811521432,64.34421635541328,64.64293411992885,61.74403866563314,58.29564614160878,62.4268810788365
2021-03-13,58.16003632133216,61.11072482540092,59.01020842341177,65.35611061867685,59.61270250024161,66.08517899438235,65.82549337959352,64.23254445528507,69.27903717530477,66.29213015155257,66.29203479780766,67.52612453010599,65.26689999258039,65.29839378722797,62.19124245419952,58.79325117884209,62.75471215963113
2021-03-14,59.005644372196116,61.80026502698956,59.90735313439581,66.21613065012501,60.41666341037138,66.48646319165523,66.42638013648198,64.84492429619326,69.4883645107567,66.8363201848895,66.64456757903862,67.8941037140213,65.87447344773682,65.81966079745406,63.044400586436566,59.24922606775576,63.068230935320926
2021-03-15,59.40472628240991,62.141870093302224,60.35368926055335,66.76422492860854,61.05009002655628,67.22485945669976,66.97133164490998,65.38922205804022,71.19301309611005,67.88706619583367,67.04166231137233,68.75897788166824,66.43421991744131,66.23848743364363,63.557842325298644,59.713775502209145,63.46356433874068
2021-03-16,59.55909341633922,62.388192459060726,60.988460913952444,67.06871413119678,61.76495407639305,67.75733592054102,67.31629595300885,65.71178555659239,72.34458018194383,68.57149749214751,67.27923277172668,69.18291047593196,66.82887290670159,66.515215870059,63.80202029556819,60.02292387577384,63.68280942919078
2021-03-17,60.23414304310954,62.964323951199816,61.851296057165115,67.54048402264098,62.57769742246589,68.51019888233654,67.82372861996294,66.32959405005417,72.8554625790345,69.04195802872258,67.692303946232,69.97463476785617,67.3809137361944,66.94845190014874,64.33634201610604,60.73386074295025,64.17220231216217
2021-03-18,60.9851603864364,63.725694165139906,62.871152242939196,68.24215599545334,63.59514857229158,69.37155652393047,68.53284819273767,67.03718857726118,73.75313570345354,69.85244857652295,68.20637013543787,70.75825897027862,68.11892344362585,67.56590762201198,65.09318042537127,61.51684722452177,64.6862652049308
2021-03-19,61.59389465429502,64.25386188123852,63.8252218358561,69.03462036136007,64.55069108479809,70.2658485545618,69.18281616459545,67.67236645133761,74.92525302549227,70.74404915753625,68.85557954146255,71.74231668537703,68.8143466654954,68.09553795010657,65.85274757925689,62.450105259672235,65.02927517413711
2021-03-20,62.253844772561784,65.03093173221335,64.88810669436592,69.85522194170787,65.49368137167924,71.16017669420799,69.96204374707311,68.54709997839177,76.16398825924871,71.71779796508821,69.4429718328146,72.49954901021313,69.59427183519415,68.84850584358624,66.64052330363332,63.50937242411672,65.63978295384159
2021-03-21,63.00821190649109,65.8549510175793,66.06818137884818,70.64039142607507,66.3523140602528,71.98321704226635,70.70920733058833,69.30142779586683,77.28176805054476,72.56335279266204,69.98784060842593,73.206839224234,70.35322213130364,69.5567183575727,67.45456192454337,64.41422124422498,66.21243450089473
2021-03-22,63.38549472699639,66.19219950040494,66.46784408820112,71.01509644082303,66.74083254057254,72.37069752986017,71.04494991827184,69.69885793177102,77.75392068642525,73.04794762843048,70.28163924250723,73.66319402370598,70.7270512359135,69.89333457613432,67.80558557272352,64.91244832424421,66.55573449031299
2021-03-23,63.460544353766714,66.30044450704395,67.00993831780694,71.43882261162514,67.2538932127275,72.8990102964292,71.31960634688905,69.87921692740278,78.43744930050703,73.42119785361237,70.67429141176108,74.26923327222767,71.17485483648902,70.08562424886607,67.95041514471089,65.04921517511637,66.70186913945096
2021-03-24,64.0832615332614,66.86459379750603,67.61106047785526,71.92817955533285,67.81412454817075,73.52170033136974,71.777208335683,70.35041732980683,78.8853487538511,73.86405372952022,71.09681730033986,74.81423180762764,71.66879953661235,70.50704112688834,68.50927460357725,65.54550542245453,67.0731716212465
2021-03-25,64.66704542789036,67.52155146244864,68.40169378045069,72.41003118835981,68.33272655675285,74.16328054491198,72.29846199925444,71.04237793477428,79.45348263319548,74.344789679248,71.60379822360223,75.38375851132358,72.20347931911371,71.01757472372891,69.00015524479392,66.42368337756058,67.67990881466007
2021-03-26,65.32252915868716,68.01802953098397,69.15700501471798,73.08975079276892,68.94516580888101,74.92234343495504,72.78494965423826,71.50309878286355,80.18677612182309,74.96510680824957,72.0260236171464,76.04040827901062,72.74816123968554,71.41094533039418,69.6014300340638,67.21906080867869,68.01192571829606
2021-03-27,65.95417911312177,68.70529657559499,69.91443160221912,73.7018286093005,69.16285540580019,75.50484649434803,73.317529119338,72.08038131807169,80.82002060491509,75.43849654846446,72.46618939951641,76.51697243326969,73.29051272826406,71.91225114062843,70.20792973930325,68.08316844067389,68.53048776018035
