,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
2021-02-19,13.617040377553337,13.111610032274694,15.601639727760698,13.849958582087623,14.689089102874846,14.043998960193264,13.456121611445672,13.211380413802416,14.700246194555275,14.016423505615577,13.155352941287763,13.587962231530401,12.908444351321677,13.685807832625846,13.201350053058423,14.607252076991216,12.886001940801778
2021-02-20,13.917311579497058,13.40592930469803,15.91467930820852,14.09850709468036,15.120187774340868,14.439109912027872,13.824449365832516,13.584868399273585,15.007153677624203,14.350107791667428,13.506566058109707,13.97831883610878,13.278715786831041,14.139187732043087,13.527424337179518,14.93870434388447,13.18864460072404
2021-02-21,14.201084734507601,13.675299177474363,16.238835544339764,14.33709876864659,15.46314620218384,14.78995748445509,14.136522872252055,13.90179651790263,15.380959766201013,14.7110030731395,13.789631862149047,14.329899975374266,13.597059541462162,14.444400222108943,13.812253894107126,15.2327451783534,13.449870764659531
2021-02-22,14.358260519696982,13.814878717730448,16.440417618926304,14.543452293149747,15.73371668417108,15.049176934211012,14.336447673458572,14.096735807487068,15.690534349152083,14.980488344643277,14.064767403880793,14.593858405667428,13.809868637106055,14.620243911722941,13.978616064086792,15.398817361293812,13.607874096671438
2021-02-23,14.448943492006904,13.910561006492493,16.621948248918798,14.686943380099443,15.940145596621589,15.243554241538558,14.463797029653266,14.232182779211367,15.886194035411956,15.190361986896088,14.218032178418474,14.79642552963561,14.028574155231686,14.773257594051842,14.07390414612081,15.531561492970445,13.674073394541194
2021-02-24,14.674992381870295,14.147582265509907,16.729949818255882,14.830662210671475,16.185537601769937,15.541316464546423,14.694841366066798,14.46149236251767,15.998180072361587,15.292534743552748,14.466582575524496,14.985818379761321,14.161967353537602,15.02810304147484,14.27118346699676,15.708209045849276,13.908969701036861
2021-02-25,14.924513719770939,14.413855255900202,17.07977522551694,15.129104735434606,16.565576059741428,15.899351440755792,14.980474742601576,14.719966524293834,16.315411191137727,15.57385139324353,14.833490832231785,15.314337693132716,14.463353927076959,15.3670541494184,14.501778139744701,16.002571642201122,14.094908397985153
2021-02-26,15.349653055003596,14.776220979068105,17.50911348869911,15.495332085339177,17.020602689454766,16.346600555729506,15.388028869509819,15.11801387569077,16.694587769721892,15.947539468033673,15.199483381247449,15.760155365970748,14.820987302495732,15.747229157146348,14.952056919092277,16.50198228575575,14.476035465324783
2021-02-27,15.829382509312737,15.168462671320032,17.988725284733988,15.912958676235117,17.54458474341838,16.844974004989567,15.848347307848446,15.555291903415256,17.163832579278846,16.42313232901615,15.650888552847901,16.123420166129623,15.134910754569985,16.253078282794313,15.412102494225998,16.99746649678756,14.897015964385375
2021-02-28,16.249308690397573,15.551858193682007,18.542018471144914,16.389917639604842,18.01944416865602,17.325835289997638,16.27414203444019,15.981346542025811,17.60227425814729,16.8949053238637,16.111904389928196,16.628379589212535,15.612497327853019,16.659813713748665,15.93876918957029,17.599400954449568,15.393035813100434
2021-03-01,16.54627980739266,15.797061921908892,18.73652126731575,16.690243132487826,18.40231965882348,17.71756551793122,16.581593570678518,16.34601851854195,17.881048835376987,17.208663749993768,16.47350669007307,16.913250550309208,15.951338212419698,16.997946500582437,16.22300538235718,17.812542735113094,15.66705899453002
2021-03-02,16.731658523186542,16.002295982430766,18.954709277004326,16.93711939419653,18.584926742870742,17.895616467863185,16.76396120211527,16.579541405251696,18.0976389998738,17.45412881067995,16.674395600427633,17.089843680578365,16.21445997521624,17.21276287772705,16.389734050363533,17.998717673439074,15.90850780150969
2021-03-03,17.01790302322256,16.30504779642682,19.237571475416292,17.266179385439095,18.89203252811976,18.211086937507087,17.047360749221,16.873549608186973,18.28873740711381,17.698208072383864,17.046387275232412,17.414321816597017,16.47231622032881,17.611653371406472,16.704006782105797,18.361206933083487,16.219756203436347
2021-03-04,17.361578129260003,16.615264518901192,19.54782909581918,17.619728149040846,19.26652262426503,18.59704091779562,17.390823680648705,17.249721561172052,18.589082375204065,17.975870080606438,17.411680669702935,17.80143110007927,16.820397098815,17.946687716929006,17.03915943880378,18.67291162158537,16.516035090342722
2021-03-05,17.848719200679188,17.09025979074875,20.092410675215987,18.143573470288885,19.77667103780028,19.09131862985181,17.873303632221642,17.696795392067266,19.093121611036967,18.524039801304795,17.87334116583178,18.286666133855174,17.342628356955185,18.55803424391043,17.467530523611185,19.177203545634242,16.89499588728764
2021-03-06,18.31789662149983,17.612604002323103,20.74757558428889,18.691709033228975,20.45027821500021,19.75227859718519,18.41795885271295,18.1000365280335,19.699165091235415,19.13898361919818,18.459409532385298,18.77791135881044,17.796686644944195,19.2816246260726,17.98754585367404,19.800118728296418,17.360019548780667
2021-03-07,18.795090248572595,18.101328857956823,21.061775694796996,19.135827347078134,20.902324307677805,20.29078763112219,18.92917688514833,18.586224958784605,20.030531510601804,19.624457447728936,18.83793320513973,19.279184011372777,18.45324893870867,19.753627064969784,18.50779281350725,20.26666881801448,17.85130799264835
2021-03-08,19.202869270166712,18.34594652404135,21.609237734395737,19.497871231492894,21.41512645466795,20.728007868017038,19.266373575006735,19.093581233807022,20.569840200747453,20.056822239178512,19.368009250223288,19.754615036023576,19.008604253851523,20.102996382206605,18.849287267004375,20.617810516631998,18.14513045773403
2021-03-09,19.431910842163425,18.668204328150292,21.960968907608756,19.993498963247003,21.682925300988348,20.99017439380781,19.522781361205396,19.359933859463347,21.082423843264202,20.477598728914128,19.650715786251094,20.121490421020365,19.474852367856858,20.41025233167568,19.030608385446623,20.773939105477673,18.381501823549907
2021-03-10,19.775290290106586,19.041694434899913,22.246966408566255,20.383300862761246,22.11412186043173,21.40659167522052,19.914154814099934,19.787095955538383,21.4773983213471,20.809970133907186,20.086989474171677,20.59281966266627,19.870342518914473,20.914715866290393,19.39806170300445,21.06642840879641,18.7954993519319
2021-03-11,20.251288973962584,19.524817942338622,22.929998890520334,20.97081543974868,22.722333928116203,21.980369205954158,20.395185748982726,20.28215803162063,22.098623744117408,21.34690403502774,20.537592199453183,21.160175896202844,20.456057303345716,21.37124316778029,19.93020373093344,21.65709553397946,19.272937617170808
2021-03-12,20.80712871051544,20.091835102413196,23.567316208692137,21.462722327644858,23.431560069257106,22.609704211307537,20.985274835380242,20.87914598770953,22.707474271664804,21.896472561759687,21.172238464374857,21.79363011460989,20.993598587099502,22.262199323308153,20.568754075284033,22.33553661854219,19.843092686781443
2021-03-13,21.644934245139822,20.941089875262197,24.304631247947125,22.229973836162817,24.198272228772886,23.528418471731133,21.821943262961486,21.60536380336813,23.711886873913713,22.932362291821534,21.975907593552787,22.589966007904845,21.842730352705363,22.964688151755215,21.3013638015576,22.946117471786796,20.654299498888264
2021-03-14,22.0982437646425,21.376420317693377,24.88231968638283,22.7397329224783,24.58040118993508,23.862298286917845,22.263859619577136,22.01495182163833,24.083488700135295,23.319280514255794,22.329310191586977,22.87910443232206,22.120420681203157,23.4865155318016,21.793855140786384,23.579333241155958,21.04214069976926
2021-03-15,22.360767249483985,21.65887140722982,25.204294408093414,23.177286749787488,24.995222800026045,24.265202339937684,22.607595899086142,22.372827674973355,24.55848889699485,23.8168482644651,22.702777063470652,23.335662011781817,22.790153834106032,23.779286972622202,22.123195448201685,23.87315834675421,21.426239679989024
2021-03-16,22.538637354218167,21.895825678674413,25.508096333321163,23.48993756970353,25.231902807926893,24.50907056572889,22.826154673958754,22.594976449199482,24.920718125006065,24.103996986740555,22.947663529592425,23.579282470860765,23.11537254965428,23.961570336273592,22.324299528667847,24.04626026535659,21.639787694747792
2021-03-17,22.88440279525043,22.244675533385024,26.054119518274526,23.937333652990002,25.715738189935944,24.92911939799113,23.167641364713916,22.993130578008216,25.454258284767924,24.484921526177278,23.30213986988805,23.97655028307145,23.467694135779617,24.423953188800112,22.679231673182024,24.474584477368882,22.041331922306124
2021-03-18,23.3172393865667,22.7573859668497,26.57472194833722,24.413198929340133,26.261653409632725,25.445303735405076,23.67484571666067,23.444151622338456,26.10251349951231,25.091260414656073,23.704276105111596,24.496464349312166,23.98398827032105,24.960120718891428,23.195771803743575,24.974888604559425,22.559579080991362
2021-03-19,23.805377415500367,23.152516127749042,27.257591562551877,24.958237842228982,26.903825962324206,26.012141878492216,24.1589737741349,23.952233519295014,26.754714036349675,25.712873897748374,24.292730454051025,25.14473997472442,24.59706650726818,25.55407189347822,23.765293653584365,25.58000609130621,23.009516326933984
2021-03-20,24.47360872359551,23.779890137319722,27.95489603134519,25.501020704992364,27.55118136331946,26.620243726514232,24.788225521098923,24.594706546960072,27.39954997348864,26.40110547148891,24.776788520598497,25.6879207049961,25.19326855014463,26.179373787758877,24.406090290978693,26.25478860786267,23.580873942126896
2021-03-21,25.064736033265913,24.478517250550144,28.542453028054894,26.052024859221046,28.158028011551053,27.248097411797467,25.45655359042338,25.193905550479545,28.02756396823549,27.04509084965614,25.247515731790198,26.34950574723117,25.931834643943255,26.947570839072892,25.03192071040598,26.8910753639332,24.2092540586004
2021-03-22,25.359318528996745,24.757668887937836,28.891888650805576,26.50836268919207,28.562565681102743,27.637280404944423,25.796917219437056,25.52563611603544,28.40480155240362,27.4438795577041,25.593361440608863,26.771680794614443,26.52772725961239,27.265061503564556,25.338310701310533,27.175575862073412,24.531188846654715
2021-03-23,25.498446011913813,24.94956259208403,29.28136036884892,27.067266791352846,28.792619409725663,27.89845096272555,26.020539364726655,25.712715409518694,28.995168717739755,27.999519055441212,26.077773573810163,27.08554407169658,26.83463993277454,27.480465994122095,25.45799914838764,27.27578830769969,24.692658793026023
2021-03-24,25.846858279003047,25.38338581496326,29.724707856120386,27.589691928343328,29.250908102783654,28.375575647054674,26.4446565911099,26.08409647591798,29.50452337706681,28.436381225208997,26.483621326707375,27.59101482542789,27.251336531927493,27.950439753253224,25.924606353411743,27.720005784357156,25.072706739760545
2021-03-25,26.389352774259205,25.948945641493573,30.305466858130984,28.087840473502467,29.78904959046957,28.904605246562685,26.977696545008826,26.671174888965187,29.941273065807124,28.929443445748987,26.989462774924426,28.126116219352483,27.768302272383693,28.55349857926276,26.489181110082786,28.322896445276,25.622744748599313
2021-03-26,26.891091783942134,26.46990575092093,31.0497343739461,28.80562856298252,30.4503357093715,29.545497599778585,27.551515840341906,27.200095455512983,30.66459768833859,29.659759456535244,27.503208943831236,28.763040501113856,28.38490624934538,29.125933125810082,27.12578344252979,29.018988831111834,26.21844313149859
2021-03-27,27.49529709350052,27.104088338449824,31.63758445394522,29.35567660069944,30.941656372758082,30.098894236540637,28.16984904786059,27.790877769330006,31.130643583866586,30.3243516848513,27.951032268090508,29.21835411160471,28.901330631389335,29.91476659751971,27.788770941067362,29.69963149790423,26.81377634204681
2021-03-28,27.957350501839397,27.639346785043603,32.269148038529615,30.079147519781746,31.50211861584532,30.728142694538057,28.659090726509802,28.293838298315332,31.572905980314246,30.96526969183096,28.415349411722413,29.828140235404586,29.524586699574357,30.48490467176975,28.401421179318884,30.401063175668646,27.339442467634225
