,AL,CA,CO,CT,DE,IL,KY,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.0,2.132580077857705e-15,4.53328456128877e-16,4.244917090777465e-16,0.10761550017658118,0.030152143544927717,0.0,6.002826038595852e-17,3.800974905637878e-17,2.581345747455884e-16,0.0,0.040995983984468826,0.0,6.008541958449185e-16,0.13926697852210337
Arkansas,0.05256306331861648,0.0,0.0,0.0,0.0,0.03711920742475471,0.0,4.855996790723707e-17,0.0,0.0,0.0,0.0,4.572798644306768e-16,0.009071197935157269,6.713978951393305e-17
Arizona,0.0,2.303931981809432e-15,3.2389903399907393e-16,8.962287109528294e-16,0.0,0.023513263041829716,0.15690487634316352,6.347141781244797e-17,0.0014502072971591528,0.0,7.156167624036698e-16,0.033757611559693576,0.0,0.0,0.22678348292159461
Florida,0.0,0.0,4.853171838264871e-18,0.0014633706066408429,0.02003535840836964,0.04341700595930514,0.0,0.0,2.860448302739778e-17,0.0,0.0,0.04004972249141247,2.683492860543361e-16,0.0,2.257925356307645e-17
Georgia,2.1491417465836797e-17,8.792743595969345e-16,3.977145247263569e-17,0.0,1.1537435774550825e-17,0.039908931065295264,3.2931262065639404e-16,0.0,0.0,1.136222933048161e-16,0.0,0.18597230583819876,0.0,0.0,1.2238973585745276e-16
Hawaii,0.00040420178861512646,0.1764045548130981,0.03596645447123931,0.18432501432810025,0.017128565402788485,0.03640675150262642,3.292104708149966e-18,0.03992428267716694,3.244980149499573e-17,0.010452127367205544,0.09423318846036846,0.0,0.0,1.6828351013737306e-16,1.1999887691701785e-17
Iowa,0.0,0.0,0.0,0.0,1.0019086864950129e-16,0.018651078847208565,0.126516957968606,8.262009371759168e-17,0.0,8.279522728554961e-17,2.772510630142391e-16,0.0,0.016661471586191537,0.0,5.566632993575244e-17
Idaho,5.33719892275589e-17,0.0,0.05482749225143446,0.0,0.02928697489025516,0.040444327061034825,0.0,4.780906023856523e-16,0.055597669999997795,0.0,0.0,0.03871536348641361,1.339523249766836e-16,0.0,6.969392319028342e-17
Indiana,0.0,0.0,9.354136431740417e-17,0.0,0.0,0.023529622316783162,0.0,0.0,0.06817980322498574,0.03999748273312971,0.0,1.1182867782830175e-16,0.0,0.0,5.83009207746663e-17
Kansas,7.000389821666363e-17,3.895238037663927e-16,0.0,6.816619431562561e-16,0.008857187947694247,0.023434325117949358,0.1329001865277691,8.418161686863097e-17,6.27359565656793e-17,1.929229383029473e-05,0.0,0.0,4.653068839148516e-16,1.5842259781776823e-16,5.7007227431728704e-18
Louisiana,0.012705431963393554,0.09817517223594878,0.0,1.1126706789748218e-16,0.02295858231313609,0.026480910061948307,0.19878934022283243,0.0,0.11512475080493727,3.4568148962578505e-16,3.077671831263153e-17,0.0,0.0,0.0,5.160782513401902e-17
Massachusetts,1.7926284384734204e-17,1.4826892508761032e-15,0.0,5.244961088159076e-16,0.15755461660499845,0.036066395170996614,0.0,4.594915325616912e-17,0.03136855336823152,1.6436059050874189e-16,3.305288573227353e-16,0.07059690565366389,0.0,1.0012004233292264e-16,0.24385607600456033
Maine,0.0,0.0,0.07780728277423012,0.29123876404551735,0.0,0.03533341108061191,0.0,0.5659037773107013,0.06891665693255251,0.11874365538885366,0.4204370100076432,3.382710778154774e-17,0.0,0.0,1.5197402574916306e-16
Missouri,0.00887437598087848,1.0895049862051e-17,0.0,0.0,0.0,0.0141010896040862,0.03731722609439714,3.180742938431027e-17,4.047466634624827e-17,0.0,1.858511040179589e-15,0.08558955094773031,0.0,2.6667733405066774e-16,0.033202436802012694
Mississippi,0.0,2.0022388619493087e-17,3.2645014224293753e-16,6.44739491758413e-16,3.462077765312502e-17,0.03713802441502893,0.005853544146412756,2.5921704682519235e-16,0.053708694392687446,0.0,3.6820261035956573e-16,0.09377996984693102,0.0,0.0,0.07033291718168906
Montana,0.15279148310734192,1.6803052492038692e-16,0.002477111652787775,5.93978140596175e-17,0.0,9.614261694226249e-19,0.06317154137340529,1.943160436290044e-16,0.08984831227191319,0.0,3.4576363268729156e-16,2.7030515412779232e-17,0.13029065085585903,3.688801918823674e-16,0.13485239005906086
North Carolina,3.1193285464809857e-18,1.538145876510609e-16,5.553318280691635e-17,0.0,0.0,0.013818472272744317,0.0,0.0,2.1107417159796896e-17,5.734434347238401e-17,5.060181477218618e-16,6.975697485465428e-17,0.0980923230064219,4.544041094098752e-16,4.187163369646589e-17
North Dakota,0.04988490919221907,0.05481005835031587,0.01166014035319627,0.0,0.059475504451043194,0.022972864307387948,0.0,0.0,4.487596063337078e-17,0.0,0.0,0.0,1.6217282003387484e-16,0.0,2.600347698957209e-17
Nebraska,9.141544432728611e-17,3.767033262397911e-16,0.03615734975136925,0.0,0.04087741674658671,0.024357656189345645,1.6176128170397725e-16,0.0953090454222643,0.0,0.0665071264904331,0.0,5.929230630780102e-18,0.0,0.0,1.978957009991299e-17
New Mexico,0.25194762520659686,0.5269133431358295,0.09594592563300662,0.08013926847435895,0.005673812435480595,0.006757711148620579,0.07810113131936418,0.0,0.0027131775191930737,0.0,1.5319532990322063e-16,1.3681276164051459e-17,8.200882735072764e-17,0.6151567469872333,0.0016351641615523222
Nevada,1.1133442274533403e-16,0.05585860632335102,0.0014046320168634887,0.0,0.0011656213034321333,0.038711305008516536,0.0,1.43309080762711e-17,0.0,2.78633228575413e-16,0.05246679077453065,0.07443049387426255,1.2383131089188377e-16,0.0,3.549925337889206e-17
Oklahoma,4.177596248597109e-17,0.0,0.0,0.0,2.7050049230079997e-19,0.04206562745603317,0.0,0.0,0.12546850171390145,8.994717300647443e-17,2.2936836410354657e-16,5.538917848685321e-17,4.568817332089738e-17,3.738742369911446e-17,2.6085135803282497e-17
Pennsylvania,1.239353699237499e-17,0.0,0.16966157196508164,0.0481530467892965,5.279556360236054e-18,0.042424837391859566,0.0,1.0859470091686221e-16,0.05204552805831145,0.04980148843662764,1.6985580129527473e-16,0.0,2.8626401170434854e-16,5.35279673177059e-16,1.203506895944426e-17
Rhode Island,3.4625533560693293e-17,3.840174687954534e-17,0.014966252480857683,0.0,0.10726445456791073,0.04137060611022947,0.0,2.1519097158979355e-17,0.11610595008063003,0.04837378264800804,6.5160558998117024e-18,0.016618587312825426,0.0,6.783534988659837e-17,0.04571093879966474
South Carolina,1.7488785836486323e-17,0.0,4.000927259470809e-18,0.0,0.20295229160627418,2.3193861827860035e-20,0.0,0.02772656445477896,0.00543499958805457,0.0946449465343812,0.0,4.8829755343315906e-17,0.128402005809609,0.0,7.417759074920124e-18
South Dakota,0.0,6.855448897971178e-16,1.0632957967768039e-16,5.518861683643824e-16,0.04371103187514275,0.03478199427231344,5.4871453628753486e-17,0.0,9.154094707178054e-18,4.403179397368339e-17,8.759942866088996e-16,0.12196647130488468,0.0,4.619764356078874e-16,0.031799361338773945
