,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.026189075740612883,0.05386600165601795,0.009008686854259776,0.0,0.0,0.060797148045831695,0.03276554477694141,5.4447880872183736e-17,0.0,0.0,0.010811759845613915,4.178881338372048e-17,1.0000875838246484e-15,2.883808070169638e-16,0.15688366792823108,0.0,0.08334777671040694
Arizona,0.05553822577497498,0.0550928176446402,0.010234931785086755,0.0,0.0,7.43152826603033e-17,0.025219358919594675,0.12544256067465903,5.06102557667643e-16,5.164753656344247e-16,0.008546094514717247,0.0,0.0,0.0,0.15698655095685687,0.11927951595798486,0.18847903553948234
Florida,0.0,0.0632419517375992,0.019770763681370204,0.0,6.415808816535998e-16,0.1272353888339076,0.04873554778209493,7.275920634127044e-18,0.0,0.009835763537437536,1.470620412549629e-17,1.436186028603232e-16,0.0,0.0,1.4533730122168187e-16,1.4559994170878427e-16,0.0
Georgia,0.022997199909535918,0.05716120091050128,0.029580812806700177,0.0,0.0,2.1160915901485833e-16,0.04366397826786421,2.0694281087589415e-17,0.0,6.539323871357501e-16,0.0,3.7494716836788e-17,0.0,0.009806203745853625,1.560980077836005e-16,0.014692416732889953,0.0
Hawaii,1.623592753297043e-17,3.767602549387128e-18,0.29547845936975187,0.0,1.1485329827101825e-15,0.09350699933061896,0.040568914022007165,2.2376985891562386e-17,0.19025921718300187,0.3339440863044709,0.019399712698789182,0.04515307809281096,0.5728782374864065,1.6492798275451694e-16,6.982261990806649e-17,0.0,2.5709144015062524e-16
Iowa,0.0,0.05335219565546296,0.009408022506409914,0.0,0.0,5.710619898693344e-17,0.01945889198631284,0.022349296219658994,0.0,0.0,3.127781221746517e-17,0.0,5.698242540430556e-17,0.0,0.0831517682542665,0.11060251475347167,1.6534083130403943e-17
Idaho,0.07797702986919126,0.0,0.041274117189454604,7.817047735368703e-16,1.41000138010418e-16,7.9653780378854e-17,0.04377719000375269,0.0020755323196778664,2.4189803321244252e-17,2.5045703332147283e-16,0.06716837953750351,0.07003600066754488,5.852946930999198e-16,0.012606246321069216,8.955509944730267e-17,4.1932032552515884e-17,1.900335357823968e-16
Indiana,0.0005274222382644305,0.05468535398175398,0.017258508244097335,5.218654465180644e-16,1.9216478749354105e-16,5.003593026020603e-17,0.02424217315379309,0.027291353017838638,2.9672793100513025e-05,1.1672441071115034e-16,0.0,1.9635519799682316e-17,1.5743167204478433e-16,2.224612552610133e-16,9.947554932554503e-18,0.03587340456221247,0.0
Kansas,0.03889361959774013,8.21748242866559e-18,0.021497809744929403,1.8602359546134914e-16,2.3845383950084714e-16,0.0,0.024401281636603826,0.1045259628979933,0.0,1.2307899398879643e-16,0.0811641080736027,0.039566792561424646,0.0,0.2204943901091055,0.021254513963057747,0.0,2.2971533529536625e-16
Louisiana,0.14594849418562625,0.0,0.01191874662432229,4.527626551364355e-16,0.0,0.007156111554526348,0.029115555684490722,0.18722322275487877,0.0,0.0,0.12461631086240892,0.0,0.0,0.035082372136973086,0.0,4.706529852804835e-17,0.5167847156382366
