,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.10774442642920679,0.04055591627768659,1.1899966800214016e-15,0.0,0.0,0.0,0.03403805099795004,0.08875778690866762,0.0,0.0,4.515676748189873e-17,1.9856149746049692e-16,8.176979331357262e-18,0.07890284708155317,0.0,5.554927179394063e-16,0.14659310375936022
Arizona,0.0,0.05338076440689247,1.434273055672061e-15,0.0,0.0,0.00011918733067711779,0.026202550879904623,0.26873134039054963,0.0,3.3894554303118736e-16,8.734417897283364e-17,0.0,0.0,0.04418159695090614,1.2995599589019443e-16,0.06736756783549588,0.18567360227088694
Florida,1.7560250210224995e-16,0.04089317065306126,0.1862212166578916,6.423272804407797e-17,0.0,3.7097307021990285e-16,0.04745399616540627,0.0,5.571333391536415e-16,0.02994943865195641,1.69697788490239e-17,0.0,0.027863588447033457,0.04652484097316589,8.209085448335075e-17,0.0,0.0
Georgia,0.0,0.046016064076441356,3.6433882255507387e-16,1.658030703499294e-16,0.0,0.0,0.04483614545712281,3.401887604080611e-16,0.0,0.038903986074171185,2.085608595745404e-17,0.0,0.03351420145892515,0.09417966351509173,1.2061287317242144e-16,0.0,0.0
Hawaii,0.0,6.878051731440983e-17,0.03365490988141925,1.7576733850116764e-16,0.2072130244565309,0.01908146110891336,0.03877924193371167,0.0,0.0,0.08766204454943942,9.72512523761083e-18,0.0,0.08128931930406202,0.002863284640624909,2.0241410439852958e-17,0.0,0.0
Iowa,4.562322741819003e-16,1.450110871493093e-17,8.388855731605885e-16,2.3260608267927615e-17,0.0,1.867870458440618e-16,0.019812464816981623,0.0,0.0,0.0,3.567123787617623e-17,0.0,1.751312679352493e-17,5.583010052175139e-19,0.07189746987909251,2.5310729179715735e-16,0.004645956688304776
Idaho,0.0,3.950921277869252e-17,0.0,0.15126571264413974,0.03143465896427348,9.852455101375582e-17,0.04387402341036645,2.475871383324262e-16,8.3009158510491185e-16,0.028213370761399664,0.01812860028843837,1.3279447282243816e-16,0.061180880957742004,0.040775361969495244,3.567756692989164e-17,1.0851839712654689e-16,1.1075294598528879e-16
Indiana,0.0,0.0036638040846738887,0.0,0.009619911074610027,2.379852853867025e-16,0.0,0.023761507640190287,0.0,3.454596998876425e-16,0.0,0.033904145364201346,1.7334204838105133e-16,0.02115987533894807,0.008599598696094151,0.0020392381206363005,3.8604878779777605e-17,2.3745721643327056e-16
Kansas,1.005326464437184e-16,1.4177294351468077e-16,4.733415874230598e-16,0.014924418779270157,3.090985876283085e-16,0.03279570395215888,0.02487988705862298,0.0,0.0,0.0,0.06580443727509364,0.19158872214623732,0.012403341512591676,0.015102757998429854,0.08224617186703918,9.333443255720974e-17,1.6501557065229377e-16
Louisiana,0.042736121234720904,5.193940797899838e-17,1.9569024040888264e-16,2.1948571244536635e-16,0.0,0.0010875059879857877,0.029161206173214577,0.06130053580540477,0.0,0.0,0.14486817443358502,1.4038762308815988e-16,0.0049567437446818696,0.09603674294384408,6.487648918295255e-17,0.001807893004283926,0.13175844180770915
Massachusetts,0.0,5.736503805791628e-17,6.427401489368151e-16,1.0070782458345882e-16,0.19266292987527886,0.2606311581150764,0.03752523636843773,0.012965904068300378,5.166869265005051e-17,3.8374913865506873e-17,0.10349920215659454,0.14774841864591495,0.04848200394420924,0.0014935795087674794,0.0,0.0,2.1671676768680176e-16
Missouri,0.210134167800186,0.03947904689817854,6.748838771866654e-16,1.8534296400453603e-16,6.767152276878164e-17,8.172088042771618e-17,0.015728330605085564,0.04722734388170974,0.0,0.0,0.026252415329321044,0.0,0.007248220937353316,0.1128086531078271,5.057117349235564e-17,0.12045854166247104,0.2813765290800342
Mississippi,0.41179650568984527,0.08413913351025844,1.207823741638769e-15,1.4624049853847747e-16,6.927663929307367e-18,8.079184887535423e-17,0.03985217184163575,0.050456674716280216,0.0,0.0,0.06253409807225173,0.0,0.009778222770678633,0.03247658867257456,2.7897739309954025e-17,9.919154993417978e-17,0.0
Montana,0.16640141110671094,0.1971391524069726,4.972575805069455e-16,0.0,1.9887289307910623e-16,0.0,0.0,0.036046517930607855,0.0,0.0,0.046893425189637475,1.9260013506521734e-16,0.008823937370240665,2.041783423452097e-19,0.06862395546999842,0.00012097888886219463,0.013762867264536436
North Carolina,0.0,3.531443611396893e-17,2.702097458916731e-16,3.3396035053158634e-17,0.0,9.112750192492587e-17,0.013853235285339107,0.0,0.0,1.339169063877236e-16,1.0797376278169106e-17,1.909101034750501e-17,0.005008471252279663,0.011968126979909387,0.060728841291141686,0.0,2.8954974268941e-17
North Dakota,0.0,3.129794671381545e-17,2.1074203993027976e-17,0.1591318383235273,0.07774563131109787,0.09378146934007103,0.025236369706443038,2.628580404555325e-16,0.0,0.0,6.218504813119042e-17,0.0,0.03786136256643363,0.02521143909491697,2.5677698854507113e-17,2.850370312763929e-16,0.0
Nebraska,1.1961460467946328e-16,1.1159706268520213e-17,0.0,0.06802292042023377,0.04129254939327823,0.036337216393175935,0.02479401690590678,3.6331561765936426e-16,0.25374632513528306,0.17841031851662947,9.04116369206016e-18,0.13570243683319091,0.0456141918400758,0.0021809314048689393,2.466238626452657e-17,0.0,1.4103267978373552e-16
New Mexico,9.35395424311869e-17,0.03533151620083103,0.22530576911086903,0.0,0.1313716516007736,0.12019147678607385,0.006833124962793016,0.22425088578771873,0.0,2.672967709627515e-16,2.3999380566894785e-17,0.0,0.05004582046947682,0.0037697624641966185,1.6291939458584978e-17,0.4086251504809455,1.7322331991118795e-16
Nevada,5.437027157431796e-16,9.766879767416406e-17,0.0,0.028825367214176407,0.03586894666489696,2.064566086312183e-17,0.043863100179016776,0.13262674437877264,0.030937064378096138,0.03812202818409852,8.880524786019946e-17,0.0,0.07087973166374678,0.045267499641551336,2.1618095672507562e-17,7.572360247691933e-17,0.0
Oklahoma,0.0,0.0345990100460403,0.0,0.0,4.701210463078195e-17,0.0,0.04406748733069709,0.0,0.0,0.0,0.1161054563861332,6.443802027090063e-17,0.021222282259756357,0.03527306977968995,7.737469112067965e-17,1.547638512793497e-16,1.2096308113149212e-16
Pennsylvania,0.0,7.355108734236371e-17,0.13681062520634255,0.05583272665753988,0.042140717478265595,0.05710274362396156,0.04497501247217619,0.0,7.044347233265268e-16,0.0,0.06536651168215787,0.04860216626279492,0.06013282139874366,0.003072031500021568,3.7870075098544916e-17,0.0,2.2258670601127406e-16
Rhode Island,0.0,2.607045067080514e-17,0.0,0.07986288183162873,0.10191253506169998,0.04852386176322849,0.044611852416819565,0.0026790644365883944,1.6340092429408238e-16,5.4201205902412585e-17,0.059151918949562086,0.0,0.03539345778153616,0.03149389059300191,1.0967250616093394e-16,0.0,2.1429594752354897e-16
South Carolina,0.0,7.626846367913099e-17,0.007300830385480356,0.05029402605901494,0.07689809926499577,0.15634974890673212,0.0,0.0200669306425606,5.61358540788811e-16,0.12627517939108915,0.06968748542784906,2.0807554546077122e-16,0.06961412817437962,0.017996558887028172,0.07086114653499673,4.365466093865522e-17,3.30515644150417e-16
South Dakota,0.0002201702652466596,0.049407708070249634,1.0437027890355937e-15,2.0650746581784732e-16,0.0,0.05809732052425061,0.038592657632086164,0.0,0.0,5.4044420974328654e-17,3.071781940838878e-17,0.0,0.01527867856399108,0.07930938567476253,5.2584446625866685e-17,1.1993470345494768e-16,0.0
Tennessee,0.06093407104442491,0.25271727225320784,6.659260665096324e-16,0.0,0.0,5.3264166428266384e-17,0.0,1.3064106414907948e-16,2.4314776605093995e-16,9.638481668956468e-17,3.882073154152059e-18,1.8785336887031644e-16,0.0,0.0033871428184047286,0.3985647251762728,0.33424480434893095,0.19869603611849204
Texas,3.3126429660091e-05,0.03599270046102412,1.7060867447276064e-16,1.2444944323643012e-17,6.809269396879204e-17,0.0,0.04104478376926778,3.2613983744915914e-17,0.0,0.0,2.352699180878644e-18,0.0,0.0,0.0486063049056312,5.835077753794591e-17,1.3630943633145612e-16,0.03749346301067788
Utah,4.569912157026401e-17,0.04221805692167605,0.0,1.186822777865933e-16,0.0,0.0,0.04763637769176366,5.776651604400484e-16,0.0,1.9255430583342559e-16,6.509390083003793e-17,2.7422805220959922e-16,0.024315206842075013,0.034429454143132816,2.1106835868844072e-17,0.027534363896645535,0.0
Virginia,3.8949963046541747e-17,0.008360572564723428,0.17248581900656879,0.16518884751673701,2.0675792330662855e-16,0.0,0.03804107112094353,1.2083533111068382e-16,1.5728389507079205e-15,0.170931915740081,3.184637035051467e-17,6.013030878394092e-16,0.007425638455351886,0.0008854024662875659,0.21516644705246443,0.03984069988236636,0.0
Vermont,5.235883341475622e-16,0.03610611116808227,0.08156358065788682,6.177676266612235e-17,0.0614592559289096,0.11590114616769488,0.028602633615291185,0.054890271052838134,0.6068819795448452,0.11271755506122305,0.0009771807677318154,0.10349582933441334,0.08887731960949004,0.0014267682019190246,9.983480296981736e-18,0.0,0.0
Washington,0.0,1.7754813683682336e-16,0.15665724909353615,0.03967105791754742,6.006766503302966e-17,0.0,0.04487429038894474,3.1106583105827525e-16,0.10843463094178171,0.1251125601535102,0.0060964061834571015,0.11148295158003271,0.051141891030451185,0.056024665269951826,0.0,0.0,0.0
