,AL,AR,CA,CO,CT,DE,IL,KY,ME,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.0,2.756902373387405e-17,0.0,0.0,3.4396562878135214e-16,0.08333052443808843,0.05679813284772789,0.11311213209946716,1.622566040060635e-17,1.0705475219602686e-17,0.025755819870872578,2.295723062173204e-18,0.020890850576154883,0.0,0.0,0.017717355341376133,0.26640764888036333
Arizona,4.0288952729561345e-16,2.5037003267000183e-17,1.3875017675051332e-16,1.4518046208999927e-16,0.0,0.0,0.053384715200769234,0.19345992108675583,0.0,4.949376202712059e-17,0.023692411677595768,3.172553362540136e-16,0.020719459252033532,3.931788210515904e-18,3.548869247098599e-17,0.03092596167726406,0.2524634758665162
Florida,0.0,0.07995761310246025,0.09569569431317447,0.0,0.03949305429551292,0.12453863519544746,0.030126321022668972,5.312917206841775e-17,0.0,1.9295355132282228e-16,0.0,1.203489903488791e-16,0.02827715987610214,3.478176215173257e-17,0.0,0.02510591326042224,0.0
Georgia,0.0,7.689387439180798e-17,0.0,5.58562705258521e-16,2.0222717479110263e-17,0.0,0.034108223399554154,1.463505869232825e-17,0.0,2.320548660187574e-16,0.0,2.325128680765432e-16,0.027568884558125454,9.556641675663733e-17,0.0,0.008306668134015515,7.053243351786559e-18
Hawaii,0.0,2.833251799700654e-18,0.3190868794659354,0.0,0.19291802371891215,0.03388958916341005,0.01933727565365731,4.71691580704456e-17,0.15641579022587251,0.32860827996238867,0.009401751411675376,0.00805983763975964,0.04520450266149187,4.643614599933242e-17,1.653056068458506e-17,0.03747833898676108,3.4560579021563655e-15
Iowa,1.6864716637607097e-16,1.0852703596059173e-17,7.213193971020531e-17,2.1799137992382563e-16,2.1894748179501372e-16,5.268544931921748e-16,0.02720582507896002,0.053148293799679995,2.0490593717069653e-16,0.0,0.0,4.414589851311598e-16,0.03034102303546068,2.6395831777072582e-17,0.053200098404314215,0.046674911591924106,0.0
Idaho,0.08709337610109369,0.04515224298620533,5.0653456988430384e-17,0.020848188042425785,8.207237085536946e-17,0.030123160344632492,0.027324051334219328,2.2585692274203936e-17,0.0,0.0,0.04036589439816054,0.004283862173429544,0.034345270626437024,0.017426585544852255,1.2711120581331228e-16,0.0243452071974826,2.228892661800333e-15
Indiana,0.0,0.06334358007724832,0.023306444619253578,0.0,0.0,0.0,0.028963388042876684,1.1880284702723764e-17,1.2620113287731272e-16,0.0,0.07841000502458528,1.301319972963756e-16,0.033752326303544126,8.324443544189417e-17,1.704558218664594e-16,0.039810578126725456,0.0
Kansas,0.013781691047203525,2.831698475079259e-17,0.0,0.04058973295859229,1.7440221826576277e-16,2.8876369611435804e-16,0.03397377511550537,0.07888777044026735,3.187014197432092e-16,4.5007444437360744e-17,0.03403546790354789,0.08874959466532956,0.0333007261231353,0.11017422356818447,0.08395373358176725,0.03876782902991252,0.0
Louisiana,0.24003024305814982,6.692020630149331e-17,0.07361701096422335,0.0,0.014063888326920423,0.03413041695871508,0.04676194239044718,0.1069507059655221,0.0,0.0,0.14195599697898761,1.63999809744258e-16,0.019465073490598474,0.0008609732468701236,4.6575212938112537e-17,0.006616694426912868,0.11200284875170302
Massachusetts,1.3155996183842813e-16,1.1199349752668808e-16,6.588997377547792e-18,0.0,0.2124841070211465,0.2301426657850741,0.039058092230591736,0.04483512780984026,2.6799973408222257e-17,0.0,0.10298563992579496,0.16392590148762182,0.035884836850065424,0.24555766386608538,0.00020689043024083118,0.041719770209003935,1.779033463513574e-15
Missouri,2.3718641083596514e-16,0.12283500686841217,1.459887961646692e-17,6.732688256127805e-16,7.407394901954432e-17,0.0,0.056375543491157074,0.06935257306894184,0.0,0.0,1.5328775566768495e-16,5.163594339036088e-17,0.01709913902836407,4.246040781846368e-18,0.0,0.002119887740763171,0.2196032593424136
Mississippi,0.350559592047988,0.10765983870666107,0.0,0.0,4.624539924485402e-16,9.161508357502512e-17,0.025953627866563564,0.04707525030791956,0.0,1.0589042060364614e-16,5.161962071935932e-17,2.6968281625839903e-17,0.029849305055963973,3.88714694823098e-17,0.0073678922241730855,0.03209175701614019,0.0
Montana,0.01731791288708836,7.276599928115194e-18,0.0,0.0,0.0,3.0560948736935156e-17,0.019449437233015614,9.889046339638953e-18,1.3688655414138794e-16,1.8352451899970199e-16,0.0,0.044113094012320435,0.03471349464960748,3.513380637251894e-17,0.19571129673789517,0.04480185801548574,0.0
