cnty_fips	display_name	Value	theme_range
2013	"""Aleutians East, (AK)"""	-1	
2016	"""Aleutians West, (AK)"""	-1	
2020	"""Anchorage, (AK)"""	81.2	18.7 - 88.8 (593)
2050	"""Bethel, (AK)"""	152.6	139.7 - 177.1 (590)
2060	"""Bristol Bay, (AK)"""	-1	
2068	"""Denali, (AK)"""	-1	
2070	"""Dillingham, (AK)"""	-1	
2090	"""Fairbanks North Star, (AK)"""	92.9	88.9 - 112.5 (594)
2100	"""Haines, (AK)"""	-1	
2105	"""Hoonah-Angoon, (AK)"""	-1	
2110	"""Juneau, (AK)"""	77.2	18.7 - 88.8 (593)
2122	"""Kenai Peninsula, (AK)"""	81.3	18.7 - 88.8 (593)
2130	"""Ketchikan Gateway, (AK)"""	57.1	18.7 - 88.8 (593)
2150	"""Kodiak Island, (AK)"""	-1	
2164	"""Lake and Peninsula, (AK)"""	-1	
2170	"""Matanuska-Susitna, (AK)"""	71.1	18.7 - 88.8 (593)
2180	"""Nome, (AK)"""	-1	
2185	"""North Slope, (AK)"""	-1	
2188	"""Northwest Arctic, (AK)"""	148.9	139.7 - 177.1 (590)
2195	"""Petersburg, (AK)"""	-1	
2198	"""Prince of Wales-Hyder, (AK)"""	125.5	112.6 - 139.6 (592)
2220	"""Sitka, (AK)"""	75	18.7 - 88.8 (593)
2230	"""Skagway, (AK)"""	-1	
2240	"""Southeast Fairbanks, (AK)"""	203.1	177.2 - 592.1 (592)
2261	"""Valdez-Cordova, (AK)"""	79.7	18.7 - 88.8 (593)
2158	"""Kusilvak, (AK)"""	-1	
2275	"""Wrangell, (AK)"""	-1	
2282	"""Yakutat, (AK)"""	-1	
2290	"""Yukon-Koyukuk, (AK)"""	172.5	139.7 - 177.1 (590)
6001	"""Alameda, (CA)"""	116.4	112.6 - 139.6 (592)
6005	"""Amador, (CA)"""	108	88.9 - 112.5 (594)
6007	"""Butte, (CA)"""	196.8	177.2 - 592.1 (592)
6009	"""Calaveras, (CA)"""	99.9	88.9 - 112.5 (594)
6011	"""Colusa, (CA)"""	154.2	139.7 - 177.1 (590)
6013	"""Contra Costa, (CA)"""	107.2	88.9 - 112.5 (594)
6015	"""Del Norte, (CA)"""	134.6	112.6 - 139.6 (592)
6017	"""El Dorado, (CA)"""	97.8	88.9 - 112.5 (594)
6021	"""Glenn, (CA)"""	222.5	177.2 - 592.1 (592)
6023	"""Humboldt, (CA)"""	127.8	112.6 - 139.6 (592)
6031	"""Kings, (CA)"""	137.6	112.6 - 139.6 (592)
6033	"""Lake, (CA)"""	139.9	139.7 - 177.1 (590)
6035	"""Lassen, (CA)"""	131.3	112.6 - 139.6 (592)
6041	"""Marin, (CA)"""	77.9	18.7 - 88.8 (593)
6043	"""Mariposa, (CA)"""	173.9	139.7 - 177.1 (590)
6045	"""Mendocino, (CA)"""	130.8	112.6 - 139.6 (592)
6047	"""Merced, (CA)"""	237.6	177.2 - 592.1 (592)
6049	"""Modoc, (CA)"""	147.5	139.7 - 177.1 (590)
6053	"""Monterey, (CA)"""	95.6	88.9 - 112.5 (594)
6055	"""Napa, (CA)"""	154.6	139.7 - 177.1 (590)
6057	"""Nevada, (CA)"""	98.7	88.9 - 112.5 (594)
6061	"""Placer, (CA)"""	122.4	112.6 - 139.6 (592)
6063	"""Plumas, (CA)"""	132.7	112.6 - 139.6 (592)
6067	"""Sacramento, (CA)"""	157.3	139.7 - 177.1 (590)
6069	"""San Benito, (CA)"""	125.5	112.6 - 139.6 (592)
6075	"""San Francisco, (CA)"""	88.1	18.7 - 88.8 (593)
6077	"""San Joaquin, (CA)"""	148.3	139.7 - 177.1 (590)
6079	"""San Luis Obispo, (CA)"""	91	88.9 - 112.5 (594)
6081	"""San Mateo, (CA)"""	86.6	18.7 - 88.8 (593)
6083	"""Santa Barbara, (CA)"""	115.1	112.6 - 139.6 (592)
6085	"""Santa Clara, (CA)"""	141.1	139.7 - 177.1 (590)
6087	"""Santa Cruz, (CA)"""	122.4	112.6 - 139.6 (592)
6089	"""Shasta, (CA)"""	152	139.7 - 177.1 (590)
6091	"""Sierra, (CA)"""	175	139.7 - 177.1 (590)
6093	"""Siskiyou, (CA)"""	126.9	112.6 - 139.6 (592)
6095	"""Solano, (CA)"""	155.4	139.7 - 177.1 (590)
6097	"""Sonoma, (CA)"""	102	88.9 - 112.5 (594)
6099	"""Stanislaus, (CA)"""	185.9	177.2 - 592.1 (592)
6101	"""Sutter, (CA)"""	173.1	139.7 - 177.1 (590)
6103	"""Tehama, (CA)"""	129.8	112.6 - 139.6 (592)
6105	"""Trinity, (CA)"""	76.6	18.7 - 88.8 (593)
6109	"""Tuolumne, (CA)"""	87.7	18.7 - 88.8 (593)
6113	"""Yolo, (CA)"""	141.1	139.7 - 177.1 (590)
6115	"""Yuba, (CA)"""	196.3	177.2 - 592.1 (592)
15001	"""Hawaii, (HI)"""	92.8	88.9 - 112.5 (594)
15003	"""Honolulu, (HI)"""	87.9	18.7 - 88.8 (593)
15005	"""Kalawao, (HI)"""	-1	
