cnty_fips,display_name,Value,theme_range
1001,"""Autauga, (AL)""",41.6,40.5 - 55.6 (641)
1003,"""Baldwin, (AL)""",39.5,37.2 - 40.4 (640)
1005,"""Barbour, (AL)""",37.3,37.2 - 40.4 (640)
1007,"""Bibb, (AL)""",42.9,40.5 - 55.6 (641)
1009,"""Blount, (AL)""",41.5,40.5 - 55.6 (641)
1011,"""Bullock, (AL)""",37.6,37.2 - 40.4 (640)
1013,"""Butler, (AL)""",41.7,40.5 - 55.6 (641)
1015,"""Calhoun, (AL)""",45.2,40.5 - 55.6 (641)
1017,"""Chambers, (AL)""",42,40.5 - 55.6 (641)
1019,"""Cherokee, (AL)""",42.5,40.5 - 55.6 (641)
1021,"""Chilton, (AL)""",46.6,40.5 - 55.6 (641)
1023,"""Choctaw, (AL)""",37.8,37.2 - 40.4 (640)
1025,"""Clarke, (AL)""",38.5,37.2 - 40.4 (640)
1027,"""Clay, (AL)""",40.5,40.5 - 55.6 (641)
1029,"""Cleburne, (AL)""",44.1,40.5 - 55.6 (641)
1031,"""Coffee, (AL)""",40.3,37.2 - 40.4 (640)
1033,"""Colbert, (AL)""",40,37.2 - 40.4 (640)
1035,"""Conecuh, (AL)""",45,40.5 - 55.6 (641)
1037,"""Coosa, (AL)""",43.4,40.5 - 55.6 (641)
1039,"""Covington, (AL)""",45.2,40.5 - 55.6 (641)
1041,"""Crenshaw, (AL)""",39.1,37.2 - 40.4 (640)
1043,"""Cullman, (AL)""",42.1,40.5 - 55.6 (641)
1045,"""Dale, (AL)""",41.8,40.5 - 55.6 (641)
1047,"""Dallas, (AL)""",44,40.5 - 55.6 (641)
1049,"""DeKalb, (AL)""",42.8,40.5 - 55.6 (641)
1051,"""Elmore, (AL)""",41.1,40.5 - 55.6 (641)
1053,"""Escambia, (AL)""",43.4,40.5 - 55.6 (641)
1055,"""Etowah, (AL)""",43.9,40.5 - 55.6 (641)
1057,"""Fayette, (AL)""",43.3,40.5 - 55.6 (641)
1059,"""Franklin, (AL)""",41.8,40.5 - 55.6 (641)
1061,"""Geneva, (AL)""",43.3,40.5 - 55.6 (641)
1063,"""Greene, (AL)""",32.8,31.1 - 34.3 (658)
1065,"""Hale, (AL)""",36.5,34.4 - 37.1 (632)
1067,"""Henry, (AL)""",40,37.2 - 40.4 (640)
1069,"""Houston, (AL)""",39.6,37.2 - 40.4 (640)
1071,"""Jackson, (AL)""",42.7,40.5 - 55.6 (641)
1073,"""Jefferson, (AL)""",34.9,34.4 - 37.1 (632)
1075,"""Lamar, (AL)""",42,40.5 - 55.6 (641)
1077,"""Lauderdale, (AL)""",38.9,37.2 - 40.4 (640)
1079,"""Lawrence, (AL)""",42.5,40.5 - 55.6 (641)
1081,"""Lee, (AL)""",39.8,37.2 - 40.4 (640)
1083,"""Limestone, (AL)""",38.6,37.2 - 40.4 (640)
1085,"""Lowndes, (AL)""",40.6,40.5 - 55.6 (641)
1087,"""Macon, (AL)""",35.9,34.4 - 37.1 (632)
1089,"""Madison, (AL)""",35.3,34.4 - 37.1 (632)
1091,"""Marengo, (AL)""",40.4,37.2 - 40.4 (640)
1093,"""Marion, (AL)""",40.7,40.5 - 55.6 (641)
1095,"""Marshall, (AL)""",41.7,40.5 - 55.6 (641)
1097,"""Mobile, (AL)""",41.6,40.5 - 55.6 (641)
1099,"""Monroe, (AL)""",38,37.2 - 40.4 (640)
