Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,AL,9802940,397800.00,4281160.00,5123980.00,0,199930.00,234135.00,256966.00,1153510.00,6323495.00,6211542.00,5901781.00,1925698.00,178402.00,2756927.00,3387580.00,586,128967.00,148357.00,154704.00,226596.00,6443263.00,3082225.00,62.9,3016529.00,72,165551,44.4,2850978.00,74.7,817299.00,95,2033679,68.8,2513048.00,51.3,2469625.00,59,2339106.00,61.3,699971.00,82.4,166307.00,1034208.00,1311808.00,725,166296,1034186,1268418,725,166208,1033697,1138481,720,37029,371740,290748,454,901175,35.9,901046,36.5,884985,37.8,668719,49.1,411292,58.8,443521,441580,15933,141,3081781,66.9,2512984,54.5,6322995,137193,212699,1034204,1311757,166298,725,
05/16/2022,20,AL,9798840,397800.00,4277760.00,5123280.00,0,199846.00,234037.00,256858.00,1153030.00,6322387.00,6210473.00,5900794.00,1925277.00,178400.00,2756532.00,3386869.00,586,128944.00,148332.00,154678.00,226547.00,6441961.00,3081952.00,62.9,3016275.00,72,165530,44.4,2850745.00,74.7,817235.00,95,2033510,68.8,2512778.00,51.2,2469375.00,59,2338886.00,61.3,699894.00,82.4,166301.00,1034098.00,1311656.00,723,166290,1034076,1268286,723,166202,1033587,1138379,718,37029,371690,290722,453,900899,35.9,900770,36.5,884743,37.8,668573,49.1,411222,58.8,443430,441398,15933,138,3081508,66.9,2512714,54.5,6321887,137169,212610,1034094,1311605,166292,723,
05/15/2022,20,AL,9795840,397800.00,4277760.00,5120280.00,0,199785.00,233965.00,256780.00,1152670.00,6317012.00,6205217.00,5895728.00,1922629.00,178369.00,2754102.00,3383955.00,586,128835.00,148206.00,154546.00,226235.00,6436745.00,3081198.00,62.8,3015580.00,72,165470,44.4,2850110.00,74.7,817072.00,95,2033038,68.8,2511927.00,51.2,2468579.00,59,2338146.00,61.3,699624.00,82.3,166278.00,1033802.00,1311124.00,723,166267,1033780,1267809,723,166179,1033291,1137958,718,37029,371560,290582,453,899895,35.8,899766,36.4,883798,37.8,667909,49,410844,58.7,442968,440861,15928,138,3080755,66.8,2511863,54.5,6316513,137052,212545,1033798,1311073,166269,723,
05/14/2022,19,AL,9795840,397800.00,4277760.00,5120280.00,0,199785.00,233965.00,256780.00,1152670.00,6316916.00,6205134.00,5895646.00,1922599.00,178368.00,2754057.00,3383907.00,584,128833.00,148204.00,154543.00,226232.00,6436617.00,3081121.00,62.8,3015505.00,72,165468,44.4,2850037.00,74.7,817051.00,95,2032986,68.8,2511897.00,51.2,2468552.00,59,2338120.00,61.3,699619.00,82.3,166274.00,1033790.00,1311110.00,723,166263,1033768,1267798,723,166175,1033279,1137948,718,37029,371556,290581,453,899888,35.8,899759,36.4,883791,37.8,667906,49,410843,58.7,442965,440857,15928,138,3080678,66.8,2511833,54.5,6316417,137050,212545,1033786,1311059,166265,723,
05/13/2022,19,AL,9785840,397800.00,4274160.00,5113880.00,0,199581.00,233726.00,256518.00,1151500.00,6313176.00,6201489.00,5892154.00,1920709.00,178341.00,2752193.00,3382058.00,584,128757.00,148117.00,154452.00,226009.00,6432870.00,3080476.00,62.8,3014914.00,72,165416,44.3,2849498.00,74.7,816886.00,95,2032612,68.8,2511297.00,51.2,2467986.00,58.9,2337605.00,61.3,699410.00,82.3,166253.00,1033553.00,1310768.00,723,166242,1033531,1267490,723,166154,1033042,1137691,718,37026,371435,290496,453,899083,35.8,898954,36.4,883028,37.8,667369,49,410556,58.7,442579,440446,15920,138,3080033,66.8,2511233,54.5,6312677,136969,212328,1033549,1310717,166244,723,
05/12/2022,19,AL,9771940,397800.00,4271160.00,5102980.00,0,199298.00,233394.00,256153.00,1149860.00,6309333.00,6197751.00,5888539.00,1918792.00,178318.00,2750337.00,3380099.00,579,128678.00,148028.00,154357.00,225784.00,6429046.00,3079807.00,62.8,3014288.00,72,165364,44.3,2848924.00,74.7,816726.00,95,2032198,68.7,2510739.00,51.2,2467473.00,58.9,2337123.00,61.3,699251.00,82.3,166233.00,1033341.00,1310442.00,723,166222,1033319,1267209,723,166134,1032830,1137441,718,37025,371351,290422,453,898250,35.8,898121,36.4,882237,37.7,666861,49,410259,58.7,442147,440047,15919,137,3079364,66.8,2510675,54.5,6308834,136886,212027,1033337,1310391,166224,723,
05/11/2022,19,AL,9753540,397200.00,4258360.00,5097980.00,0,198923.00,232955.00,255671.00,1147700.00,6305610.00,6194139.00,5885048.00,1916883.00,178296.00,2748532.00,3378204.00,578,128602.00,147942.00,154266.00,225559.00,6425342.00,3079283.00,62.8,3013811.00,72,165331,44.3,2848480.00,74.7,816609.00,95,2031871,68.7,2510123.00,51.2,2466915.00,58.9,2336608.00,61.2,699080.00,82.3,166215.00,1033141.00,1310048.00,719,166204,1033120,1266872,719,166116,1032631,1137147,714,37025,371257,290347,451,897459,35.8,897330,36.4,881483,37.7,666325,48.9,409944,58.6,441754,439656,15917,132,3078840,66.8,2510059,54.5,6305111,136805,211627,1033137,1309997,166206,719,
05/10/2022,19,AL,9746940,397200.00,4253060.00,5096680.00,0,198788.00,232797.00,255498.00,1146920.00,6303249.00,6191867.00,5882879.00,1915789.00,178249.00,2747358.00,3377065.00,577,128554.00,147887.00,154209.00,225430.00,6422945.00,3078789.00,62.8,3013374.00,72,165298,44.3,2848076.00,74.7,816514.00,95,2031562,68.7,2509666.00,51.2,2466489.00,58.9,2336217.00,61.2,698960.00,82.2,166178.00,1032949.00,1309821.00,718,166167,1032928,1266676,718,166079,1032439,1136986,713,37023,371180,290307,450,897004,35.7,896875,36.4,881058,37.7,666026,48.9,409768,58.6,441523,439440,15910,131,3078346,66.8,2509602,54.5,6302750,136754,211484,1032945,1309770,166169,718,
05/09/2022,19,AL,9741240,397200.00,4250560.00,5093480.00,0,198672.00,232661.00,255349.00,1146250.00,6294545.00,6183466.00,5874837.00,1911646.00,178196.00,2743376.00,3372396.00,577,128377.00,147687.00,153998.00,224943.00,6414361.00,3077478.00,62.8,3012201.00,71.9,165186,44.3,2847015.00,74.6,816246.00,95,2030769,68.7,2508122.00,51.2,2465110.00,58.9,2334977.00,61.2,698538.00,82.2,166133.00,1032423.00,1308853.00,713,166122,1032402,1265873,713,166034,1031915,1136320,708,37021,370962,290108,447,895229,35.7,895100,36.3,879391,37.7,664868,48.9,409132,58.6,440711,438484,15904,130,3077035,66.8,2508058,54.4,6294046,136565,211360,1032419,1308802,166124,713,
05/08/2022,19,AL,9741240,397200.00,4250560.00,5093480.00,0,198672.00,232661.00,255349.00,1146250.00,6294545.00,6183466.00,5874837.00,1911646.00,178196.00,2743376.00,3372396.00,577,128377.00,147687.00,153998.00,224943.00,6414302.00,3077440.00,62.8,3012163.00,71.9,165184,44.3,2846979.00,74.6,816232.00,95,2030747,68.7,2508105.00,51.2,2465093.00,58.9,2334960.00,61.2,698531.00,82.2,166131.00,1032416.00,1308845.00,713,166120,1032395,1265865,713,166032,1031908,1136312,708,37021,370958,290105,447,895228,35.7,895099,36.3,879390,37.7,664868,48.9,409132,58.6,440711,438483,15904,130,3076997,66.8,2508041,54.4,6294046,136565,211360,1032412,1308794,166122,713,
05/07/2022,18,AL,9740540,397200.00,4250560.00,5092780.00,0,198657.00,232644.00,255330.00,1146170.00,6294474.00,6183405.00,5874778.00,1911623.00,178193.00,2743350.00,3372356.00,575,128375.00,147685.00,153996.00,224940.00,6414197.00,3077377.00,62.8,3012100.00,71.9,165184,44.3,2846916.00,74.6,816205.00,95,2030711,68.7,2508078.00,51.2,2465069.00,58.9,2334936.00,61.2,698525.00,82.2,166127.00,1032409.00,1308829.00,713,166116,1032388,1265852,713,166028,1031901,1136299,708,37021,370954,290103,447,895215,35.7,895086,36.3,879377,37.7,664862,48.9,409127,58.6,440702,438479,15904,130,3076934,66.8,2508014,54.4,6293975,136563,211345,1032405,1308778,166118,713,
05/06/2022,18,AL,9733340,397100.00,4247660.00,5088580.00,0,198511.00,232472.00,255142.00,1145320.00,6294411.00,6183349.00,5874722.00,1911606.00,178193.00,2743329.00,3372316.00,573,128374.00,147684.00,153995.00,224938.00,6413997.00,3077279.00,62.8,3012006.00,71.9,165179,44.3,2846827.00,74.6,816174.00,95,2030653,68.7,2508027.00,51.2,2465022.00,58.9,2334892.00,61.2,698514.00,82.2,166125.00,1032387.00,1308802.00,713,166114,1032366,1265829,713,166026,1031879,1136279,708,37021,370946,290100,447,895186,35.7,895057,36.3,879349,37.7,664843,48.9,409118,58.6,440687,438467,15903,129,3076836,66.8,2507963,54.4,6293912,136562,211189,1032383,1308751,166116,713,
05/05/2022,18,AL,9719840,397100.00,4242660.00,5080080.00,0,198235.00,232150.00,254788.00,1143730.00,6290805.00,6179843.00,5871330.00,1909648.00,178151.00,2741548.00,3370536.00,570,128300.00,147600.00,153906.00,224708.00,6410410.00,3076727.00,62.7,3011507.00,71.9,165141,44.3,2846366.00,74.6,816037.00,95,2030329,68.7,2507427.00,51.1,2464464.00,58.9,2334375.00,61.2,698316.00,82.2,166098.00,1032158.00,1308461.00,710,166087,1032137,1265530,710,166000,1031650,1136020,705,37019,370831,290022,444,894412,35.7,894284,36.3,878609,37.6,664299,48.8,408775,58.5,440338,438053,15892,129,3076285,66.7,2507363,54.4,6290307,136484,210896,1032154,1308410,166089,710,
05/04/2022,18,AL,9713640,397000.00,4238960.00,5077680.00,0,198109.00,232002.00,254625.00,1143000.00,6287098.00,6176247.00,5867883.00,1907770.00,178106.00,2739785.00,3368638.00,569,128225.00,147514.00,153816.00,224487.00,6406700.00,3076115.00,62.7,3010956.00,71.9,165089,44.3,2845867.00,74.6,815877.00,95,2029990,68.7,2506812.00,51.1,2463894.00,58.8,2333847.00,61.2,698134.00,82.1,166065.00,1031926.00,1308112.00,709,166054,1031905,1265226,709,165967,1031418,1135758,704,37015,370727,289948,444,893637,35.6,893509,36.3,877869,37.6,663750,48.8,408441,58.5,439919,437707,15882,129,3075673,66.7,2506748,54.4,6286600,136403,210762,1031922,1308061,166056,709,
