Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,AS,117010,600.00,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,110267.00,98101.00,81981.00,8626.00,575,24603.00,83917.00,1172.00,232670.00,265734.00,261628.00,263148.00,110701.00,45333.00,95,39054.00,95,6690,95.0,32364.00,95,3214.00,95,29150,95.0,41726.00,88,35920.00,95,29610.00,94.5,2955.00,90.1,585,9461.00,31096.00,584,585,9460,25291,584,584,9439,19007,580,28,1208,1707,12,23097,55.4,23081,64.3,20003,67.6,7981,76.1,2269,76.8,4661,18434,2,0,45323,95,41726,95,110257,255757,271422,9461,31096,585,584,
05/16/2022,20,AS,117010,600.00,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,110158.00,98000.00,81887.00,8598.00,575,24585.00,83826.00,1172.00,232440.00,265460.00,261328.00,262294.00,110592.00,45323.00,95,39044.00,95,6689,95.0,32355.00,95,3211.00,95,29144,95.0,41707.00,88,35909.00,95,29599.00,94.5,2953.00,90.1,585,9459.00,31079.00,584,585,9458,25282,584,584,9437,18998,580,28,1208,1705,12,23053,55.3,23037,64.2,19965,67.5,7968,76,2264,76.7,4651,18400,2,0,45313,95,41707,95,110148,255505,271422,9459,31079,585,584,
05/15/2022,20,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,110158.00,98000.00,81887.00,8598.00,575,24585.00,83826.00,1172.00,232440.00,265460.00,261328.00,262294.00,110592.00,45323.00,95,39044.00,95,6689,95.0,32355.00,95,3211.00,95,29144,95.0,41707.00,88,35909.00,95,29599.00,94.5,2953.00,90.1,585,9459.00,31079.00,584,585,9458,25282,584,584,9437,18998,580,28,1208,1705,12,23053,55.3,23037,64.2,19965,67.5,7968,76,2264,76.7,4651,18400,2,0,45313,95,41707,95,110148,255505,271422,9459,31079,585,584,
05/14/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,110158.00,98000.00,81887.00,8598.00,575,24585.00,83826.00,1172.00,232440.00,265460.00,261328.00,262294.00,110591.00,45322.00,95,39043.00,95,6689,95.0,32354.00,95,3210.00,95,29144,95.0,41707.00,88,35909.00,95,29599.00,94.5,2953.00,90.1,585,9459.00,31079.00,584,585,9458,25282,584,584,9437,18998,580,28,1208,1705,12,23053,55.3,23037,64.2,19965,67.5,7968,76,2264,76.7,4651,18400,2,0,45312,95,41707,95,110148,255505,271422,9459,31079,585,584,
05/13/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,110052.00,97901.00,81794.00,8577.00,575,24570.00,83765.00,1142.00,232216.00,265192.00,261031.00,261653.00,110484.00,45315.00,95,39037.00,95,6688,95.0,32349.00,95,3209.00,95,29140,95.0,41681.00,87.9,35889.00,95,29579.00,94.4,2950.00,90,585,9458.00,31069.00,569,585,9457,25278,569,584,9436,18994,565,28,1208,1702,12,23002,55.2,22986,64,19919,67.3,7954,75.9,2257,76.5,4642,18358,2,0,45305,95,41681,95,110042,255259,271422,9458,31069,585,569,
05/12/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,109971.00,97824.00,81723.00,8568.00,575,24556.00,83704.00,1136.00,232045.00,264984.00,260804.00,261379.00,110403.00,45305.00,95,39028.00,95,6688,95.0,32340.00,95,3208.00,95,29132,94.9,41670.00,87.9,35881.00,95,29571.00,94.4,2949.00,90,585,9457.00,31062.00,566,585,9456,25274,566,584,9435,18990,562,28,1208,1702,11,22963,55.1,22947,64,19886,67.2,7947,75.9,2255,76.5,4635,18326,2,0,45295,95,41670,95,109961,255071,271422,9457,31062,585,566,
05/11/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,109877.00,97734.00,81640.00,8551.00,575,24541.00,83629.00,1132.00,231847.00,264740.00,260539.00,260860.00,110307.00,45292.00,95,39017.00,95,6686,94.9,32331.00,95,3208.00,95,29123,94.9,41656.00,87.9,35869.00,95,29559.00,94.3,2949.00,90,585,9455.00,31052.00,564,585,9454,25266,564,584,9433,18982,560,28,1208,1702,11,22919,55,22903,63.9,19847,67.1,7939,75.8,2253,76.4,4629,18288,2,0,45282,95,41656,95,109867,254853,271422,9455,31052,585,564,
05/10/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,109720.00,97582.00,81514.00,8520.00,575,24487.00,83526.00,1132.00,231516.00,264328.00,260137.00,259915.00,110145.00,45272.00,95,39001.00,95,6680,94.9,32321.00,95,3206.00,95,29115,94.9,41635.00,87.9,35849.00,95,29549.00,94.3,2948.00,89.9,585,9449.00,31037.00,564,585,9448,25252,564,584,9428,18977,560,28,1207,1702,11,22855,54.9,22839,63.7,19793,67,7920,75.6,2244,76.1,4615,18238,2,0,45262,95,41635,95,109710,254489,271422,9449,31037,585,564,
05/09/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,109639.00,97503.00,81442.00,8508.00,574,24467.00,83468.00,1130.00,231345.00,264114.00,259907.00,259549.00,110062.00,45261.00,95,38992.00,95,6679,94.8,32313.00,95,3204.00,95,29109,94.9,41627.00,87.8,35841.00,95,29541.00,94.3,2946.00,89.9,584,9446.00,31034.00,563,584,9445,25249,563,583,9425,18974,559,28,1206,1701,11,22805,54.8,22789,63.6,19749,66.9,7907,75.5,2243,76.1,4603,18200,2,0,45251,95,41627,95,109629,254301,271422,9446,31034,584,563,
05/08/2022,19,AS,117010,600,24100.00,92310.00,0,246898.00,316954.00,373416.00,3569560.00,109639.00,97503.00,81442.00,8508.00,574,24467.00,83468.00,1130.00,231345.00,264114.00,259907.00,259549.00,110062.00,45261.00,95,38992.00,95,6679,94.8,32313.00,95,3204.00,95,29109,94.9,41627.00,87.8,35841.00,95,29541.00,94.3,2946.00,89.9,584,9446.00,31034.00,563,584,9445,25249,563,583,9425,18974,559,28,1206,1701,11,22805,54.8,22789,63.6,19749,66.9,7907,75.5,2243,76.1,4603,18200,2,0,45251,95,41627,95,109629,254301,271422,9446,31034,584,563,
