Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,AZ,15057020,609500.00,5741020.00,8706500.00,0,206864.00,242618.00,267040.00,1150590.00,12269555.00,11864473.00,11049869.00,3560982.00,371295.00,4809569.00,7055628.00,33063.00,168568.00,191176.00,195972.00,272115.00,11996655.00,5337642.00,73.3,5110490.00,82.3,398827,69.5,4711663.00,83.6,1306309.00,95,3405354,79.9,4499044.00,61.8,4332547.00,69.8,4008980.00,71.1,1133332.00,86.6,334406.00,1645279.00,2510754.00,8605,334158,1645218,2344604,8567,333844,1644501,2022195,8440,50880,551151,526664,4637,1905221,42.3,1904187,44,1830960,45.7,1209850,56.7,713767,63,834055,1044709,24294,2163,5336552,77.9,4498723,65.7,12268307,179127,219845,1645260,2510691,334167,8605,
05/16/2022,20,AZ,15053220,609500.00,5738720.00,8705000.00,0,206811.00,242557.00,266973.00,1150300.00,12263915.00,11859173.00,11044915.00,3558658.00,371283.00,4807811.00,7051790.00,33031.00,168490.00,191090.00,195885.00,271937.00,11990937.00,5336610.00,73.3,5109655.00,82.3,398751,69.5,4710904.00,83.5,1306095.00,95,3404809,79.9,4498368.00,61.8,4331989.00,69.8,4008532.00,71.1,1133164.00,86.6,334398.00,1645127.00,2510249.00,8594,334150,1645066,2344217,8556,333836,1644349,2021918,8429,50880,551084,526571,4629,1903966,42.3,1902960,43.9,1829884,45.6,1209147,56.7,713387,63,833701,1043813,24293,2159,5335522,77.9,4498047,65.7,12262668,179045,219789,1645108,2510186,334159,8594,
05/15/2022,20,AZ,15053220,609500.00,5738720.00,8705000.00,0,206811.00,242557.00,266973.00,1150300.00,12258637.00,11854068.00,11040023.00,3556075.00,371265.00,4805811.00,7048558.00,33003.00,168418.00,191008.00,195798.00,271740.00,11985806.00,5335812.00,73.3,5108957.00,82.3,398699,69.5,4710258.00,83.5,1305934.00,95,3404324,79.9,4497859.00,61.8,4331549.00,69.8,4008134.00,71.1,1133004.00,86.6,334387.00,1644965.00,2509921.00,8586,334139,1644904,2343958,8548,333825,1644187,2021701,8421,50881,550996,526503,4624,1902893,42.3,1901888,43.9,1828920,45.6,1208455,56.7,712971,62.9,833289,1043158,24290,2156,5334725,77.9,4497538,65.7,12257390,178968,219789,1644946,2509858,334148,8586,
05/14/2022,19,AZ,15053220,609500.00,5738720.00,8705000.00,0,206811.00,242557.00,266973.00,1150300.00,12248554.00,11844225.00,11030629.00,3550701.00,371190.00,4801434.00,7043010.00,32920.00,168279.00,190849.00,195631.00,271329.00,11976090.00,5334370.00,73.3,5107652.00,82.3,398558,69.5,4709094.00,83.5,1305588.00,95,3403506,79.9,4496671.00,61.8,4330456.00,69.8,4007223.00,71.1,1132663.00,86.6,334341.00,1644561.00,2509201.00,8568,334093,1644502,2343331,8530,333780,1643785,2021254,8404,50875,550827,526348,4613,1900824,42.3,1899820,43.9,1826972,45.6,1207018,56.6,712048,62.9,832316,1042090,24272,2146,5333283,77.9,4496350,65.7,12247307,178821,219789,1644542,2509138,334102,8568,
05/13/2022,19,AZ,15030920,609500.00,5736820.00,8684600.00,0,206505.00,242197.00,266577.00,1148600.00,12239803.00,11835749.00,11022505.00,3545954.00,371124.00,4797467.00,7038433.00,32779.00,168159.00,190713.00,195487.00,270966.00,11967715.00,5333216.00,73.3,5106607.00,82.3,398465,69.5,4708142.00,83.5,1305288.00,95,3402854,79.9,4495643.00,61.8,4329577.00,69.8,4006445.00,71.1,1132342.00,86.5,334309.00,1644212.00,2508581.00,8541,334061,1644153,2342860,8503,333748,1643437,2020882,8378,50868,550676,526206,4592,1899094,42.2,1898094,43.8,1825397,45.6,1205879,56.6,711289,62.8,831500,1041196,24268,2130,5332134,77.9,4495322,65.6,12238561,178693,219464,1644193,2508518,334070,8541,
05/12/2022,19,AZ,15010320,609500.00,5730320.00,8670500.00,0,206222.00,241866.00,266212.00,1147020.00,12230590.00,11827010.00,11014102.00,3541158.00,371025.00,4793516.00,7033428.00,32621.00,168032.00,190572.00,195338.00,270600.00,11958860.00,5331771.00,73.3,5105376.00,82.3,398379,69.4,4706997.00,83.5,1304952.00,95,3402045,79.8,4494479.00,61.7,4328639.00,69.7,4005609.00,71,1132028.00,86.5,334241.00,1643847.00,2507896.00,8495,333993,1643789,2342400,8457,333682,1643075,2020520,8332,50858,550523,526083,4564,1897297,42.2,1896300,43.8,1823731,45.5,1204769,56.6,710547,62.8,830611,1040322,24257,2107,5330690,77.8,4494158,65.6,12229349,178559,219163,1643828,2507833,334002,8495,
05/11/2022,19,AZ,14988120,609400.00,5715820.00,8662900.00,0,205917.00,241508.00,265818.00,1145330.00,12217294.00,11814170.00,11002102.00,3534750.00,370473.00,4788597.00,7025768.00,32456.00,167850.00,190365.00,195125.00,270110.00,11945946.00,5329382.00,73.2,5103178.00,82.2,397937,69.4,4705241.00,83.4,1304523.00,95,3400718,79.8,4492459.00,61.7,4326852.00,69.7,4004062.00,71,1131560.00,86.5,333816.00,1643357.00,2506824.00,8462,333568,1643299,2341561,8424,333293,1642589,2019881,8299,50848,550320,525857,4535,1894380,42.2,1893388,43.8,1820966,45.5,1203013,56.5,709430,62.7,829288,1038846,24166,2080,5328303,77.8,4492139,65.6,12216055,178364,218839,1643338,2506762,333577,8462,
05/10/2022,19,AZ,14983320,609400.00,5713720.00,8660200.00,0,205851.00,241430.00,265733.00,1144960.00,12209174.00,11806786.00,10995159.00,3531168.00,370387.00,4785929.00,7020550.00,32308.00,167738.00,190246.00,195002.00,269836.00,11938051.00,5328033.00,73.2,5102054.00,82.2,397794,69.3,4704260.00,83.4,1304283.00,95,3399977,79.8,4491205.00,61.7,4325959.00,69.7,4003283.00,71,1131304.00,86.4,333766.00,1643074.00,2505946.00,8419,333518,1643016,2341044,8381,333243,1642306,2019476,8258,50845,550206,525743,4510,1892542,42.1,1891663,43.7,1819412,45.4,1201985,56.5,708796,62.7,828681,1037657,24142,2062,5326955,77.8,4490885,65.6,12207936,178246,218769,1643055,2505884,333527,8419,
05/09/2022,19,AZ,14975220,609400.00,5709720.00,8656100.00,0,205740.00,241300.00,265590.00,1144340.00,12199489.00,11797587.00,10986494.00,3526823.00,370359.00,4782623.00,7014245.00,32262.00,167605.00,190098.00,194848.00,269504.00,11928587.00,5326534.00,73.2,5100718.00,82.2,397676,69.3,4703042.00,83.4,1303964.00,95,3399078,79.8,4489888.00,61.7,4324945.00,69.7,4002453.00,71,1131013.00,86.4,333742.00,1642731.00,2505009.00,8406,333494,1642673,2340410,8368,333219,1641963,2019026,8245,50843,550073,525595,4502,1890423,42.1,1889548,43.7,1817508,45.4,1200678,56.4,708036,62.6,827942,1036288,24134,2059,5325456,77.8,4489569,65.6,12198252,178105,218651,1642712,2504948,333503,8406,
05/08/2022,19,AZ,14975220,609400.00,5709720.00,8656100.00,0,205740.00,241300.00,265590.00,1144340.00,12199470.00,11797571.00,10986478.00,3526816.00,370359.00,4782613.00,7014236.00,32262.00,167605.00,190098.00,194848.00,269504.00,11928381.00,5326416.00,73.2,5100606.00,82.2,397674,69.3,4702932.00,83.4,1303905.00,95,3399027,79.8,4489844.00,61.7,4324906.00,69.7,4002414.00,71,1130994.00,86.4,333739.00,1642712.00,2504987.00,8406,333491,1642654,2340393,8368,333216,1641944,2019009,8245,50843,550063,525586,4502,1890407,42.1,1889532,43.7,1817492,45.4,1200666,56.4,708028,62.6,827934,1036280,24134,2059,5325340,77.8,4489525,65.6,12198233,178104,218651,1642693,2504926,333500,8406,
05/07/2022,18,AZ,14975120,609400.00,5709620.00,8656100.00,0,205738.00,241298.00,265588.00,1144330.00,12187055.00,11785726.00,10975092.00,3520425.00,370287.00,4777709.00,7006882.00,32177.00,167434.00,189907.00,194646.00,269015.00,11916759.00,5324617.00,73.2,5099035.00,82.2,397555,69.3,4701480.00,83.4,1303413.00,95,3398067,79.8,4488336.00,61.7,4323712.00,69.7,4001396.00,71,1130592.00,86.4,333691.00,1642316.00,2503941.00,8388,333443,1642259,2339660,8350,333168,1641549,2018452,8227,50836,549887,525379,4490,1887844,42.1,1886971,43.6,1815073,45.4,1199012,56.4,706978,62.5,826760,1034908,24126,2050,5323542,77.7,4488017,65.5,12185819,177923,218649,1642297,2503880,333452,8388,
05/06/2022,18,AZ,14962020,609300.00,5708320.00,8644400.00,0,205558.00,241087.00,265356.00,1143330.00,12177912.00,11777081.00,10966859.00,3515498.00,370217.00,4773725.00,7001920.00,32050.00,167308.00,189767.00,194500.00,268639.00,11907924.00,5323179.00,73.1,5097775.00,82.1,397436,69.3,4700339.00,83.4,1303014.00,95,3397325,79.7,4487083.00,61.6,4322768.00,69.7,4000607.00,71,1130255.00,86.4,333649.00,1641954.00,2503124.00,8356,333401,1641897,2339150,8320,333126,1641188,2018096,8197,50830,549721,525238,4466,1886146,42,1885277,43.6,1813510,45.3,1197844,56.3,706186,62.5,825968,1034027,24111,2040,5322104,77.7,4486764,65.5,12176676,177789,218458,1641935,2503063,333410,8356,
