Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,BP2,351330,16100.00,156220.00,179010.00,0,0.00,0,0,0,319466.00,319464.00,319464.00,10441.00,14174.00,145992.00,159268.00,32,0,0,0,0,319466.00,146515.00,0,146513.00,0,0,#DIV/0!,146513.00,0,3996.00,0,142517,#DIV/0!,135267.00,0,135266.00,0,135266.00,0,3691.00,0,13493.00,54060.00,67714.00,0,13492,54060,67714,0,13492,54060,67714,0,196,1785,1710,0,48936,36.2,48936,36.2,48936,36.2,15581,53,2560,69.4,29766,18505,643,22,146513,0,135266,0,319464,0,0,54060,67714,13492,0,
05/16/2022,20,BP2,351330,16100.00,156220.00,179010.00,0,0.00,0,0,0,319458.00,319456.00,319456.00,10441.00,14174.00,145984.00,159268.00,32,0,0,0,0,319458.00,146514.00,0,146512.00,0,0,#DIV/0!,146512.00,0,3996.00,0,142516,#DIV/0!,135267.00,0,135266.00,0,135266.00,0,3691.00,0,13493.00,54060.00,67714.00,0,13492,54060,67714,0,13492,54060,67714,0,196,1785,1710,0,48929,36.2,48929,36.2,48929,36.2,15581,53,2560,69.4,29759,18505,643,22,146512,0,135266,0,319456,0,0,54060,67714,13492,0,
05/15/2022,20,BP2,351330,16100.00,156220.00,179010.00,0,0,0,0,0,319458.00,319456.00,319456.00,10441.00,14174.00,145984.00,159268.00,32,0,0,0,0,319458.00,146514.00,0,146512.00,0,0,#DIV/0!,146512.00,0,3996.00,0,142516,#DIV/0!,135267.00,0,135266.00,0,135266.00,0,3691.00,0,13493.00,54060.00,67714.00,0,13492,54060,67714,0,13492,54060,67714,0,196,1785,1710,0,48929,36.2,48929,36.2,48929,36.2,15581,53,2560,69.4,29759,18505,643,22,146512,0,135266,0,319456,0,0,54060,67714,13492,0,
05/14/2022,19,BP2,351330,16100.00,156220.00,179010.00,0,0,0,0,0,319458.00,319456.00,319456.00,10441.00,14174.00,145984.00,159268.00,32,0,0,0,0,319458.00,146514.00,0,146512.00,0,0,#DIV/0!,146512.00,0,3996.00,0,142516,#DIV/0!,135267.00,0,135266.00,0,135266.00,0,3691.00,0,13493.00,54060.00,67714.00,0,13492,54060,67714,0,13492,54060,67714,0,196,1785,1710,0,48929,36.2,48929,36.2,48929,36.2,15581,53,2560,69.4,29759,18505,643,22,146512,0,135266,0,319456,0,0,54060,67714,13492,0,
05/13/2022,19,BP2,351330,16100.00,156220.00,179010.00,0,0,0,0,0,319457.00,319455.00,319455.00,10441.00,14174.00,145984.00,159267.00,32,0,0,0,0,319457.00,146513.00,0,146511.00,0,0,#DIV/0!,146511.00,0,3996.00,0,142515,#DIV/0!,135267.00,0,135266.00,0,135266.00,0,3691.00,0,13493.00,54060.00,67714.00,0,13492,54060,67714,0,13492,54060,67714,0,196,1785,1710,0,48929,36.2,48929,36.2,48929,36.2,15581,53,2560,69.4,29759,18505,643,22,146511,0,135266,0,319455,0,0,54060,67714,13492,0,
05/12/2022,19,BP2,350430,16100.00,156220.00,178110.00,0,0,0,0,0,317600.00,317598.00,317598.00,10318.00,14170.00,144880.00,158518.00,32,0,0,0,0,317600.00,145998.00,0,145996.00,0,0,#DIV/0!,145996.00,0,3988.00,0,142008,#DIV/0!,134939.00,0,134938.00,0,134938.00,0,3682.00,0,13489.00,53855.00,67595.00,0,13488,53855,67595,0,13488,53855,67595,0,196,1780,1706,0,48291,35.8,48291,35.8,48291,35.8,15414,52.5,2538,68.9,29414,18212,643,22,145996,0,134938,0,317598,0,0,53855,67595,13488,0,
05/11/2022,19,BP2,349830,16100.00,155620.00,178110.00,0,0,0,0,0,317585.00,317583.00,317583.00,10318.00,14170.00,144870.00,158513.00,32,0,0,0,0,317585.00,145996.00,0,145994.00,0,0,#DIV/0!,145994.00,0,3988.00,0,142006,#DIV/0!,134937.00,0,134936.00,0,134936.00,0,3682.00,0,13489.00,53855.00,67593.00,0,13488,53855,67593,0,13488,53855,67593,0,196,1780,1706,0,48288,35.8,48288,35.8,48288,35.8,15412,52.5,2538,68.9,29412,18211,643,22,145994,0,134936,0,317583,0,0,53855,67593,13488,0,
05/10/2022,19,BP2,349730,16100.00,155520.00,178110.00,0,0,0,0,0,317578.00,317576.00,317576.00,10318.00,14170.00,144869.00,158507.00,32,0,0,0,0,317578.00,145993.00,0,145991.00,0,0,#DIV/0!,145991.00,0,3988.00,0,142003,#DIV/0!,134936.00,0,134935.00,0,134935.00,0,3682.00,0,13489.00,53854.00,67593.00,0,13488,53854,67593,0,13488,53854,67593,0,196,1780,1706,0,48285,35.8,48285,35.8,48285,35.8,15411,52.5,2538,68.9,29412,18208,643,22,145991,0,134935,0,317576,0,0,53854,67593,13488,0,
05/09/2022,19,BP2,349330,16100.00,155120.00,178110.00,0,0,0,0,0,317578.00,317576.00,317576.00,10318.00,14170.00,144869.00,158507.00,32,0,0,0,0,317578.00,145993.00,0,145991.00,0,0,#DIV/0!,145991.00,0,3988.00,0,142003,#DIV/0!,134936.00,0,134935.00,0,134935.00,0,3682.00,0,13489.00,53854.00,67593.00,0,13488,53854,67593,0,13488,53854,67593,0,196,1780,1706,0,48285,35.8,48285,35.8,48285,35.8,15411,52.5,2538,68.9,29412,18208,643,22,145991,0,134935,0,317576,0,0,53854,67593,13488,0,
05/08/2022,19,BP2,349330,16100.00,155120.00,178110.00,0,0,0,0,0,317578.00,317576.00,317576.00,10318.00,14170.00,144869.00,158507.00,32,0,0,0,0,317578.00,145993.00,0,145991.00,0,0,#DIV/0!,145991.00,0,3988.00,0,142003,#DIV/0!,134936.00,0,134935.00,0,134935.00,0,3682.00,0,13489.00,53854.00,67593.00,0,13488,53854,67593,0,13488,53854,67593,0,196,1780,1706,0,48285,35.8,48285,35.8,48285,35.8,15411,52.5,2538,68.9,29412,18208,643,22,145991,0,134935,0,317576,0,0,53854,67593,13488,0,
