Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,CO,12669775,493200.00,4658240.00,7518335.00,0,220010.00,256678.00,281600.00,1503990.00,10839626.00,10465462.00,9777615.00,2447645.00,342248.00,4196556.00,6290002.00,10820.00,188229.00,212021.00,217318.00,290552.00,10844889.00,4581783.00,79.6,4377573.00,88.7,317274,73.1,4060299.00,90.2,865513.00,95,3194786,89.0,4055362.00,70.4,3886568.00,78.7,3602852.00,80.1,786914.00,93.4,312768.00,1442018.00,2297639.00,2937,312741,1441942,2128976,2909,312410,1441365,1846273,2804,28965,375218,381793,938,2119018,52.3,2118477,54.5,2031007,56.4,1147430,69.4,602909,76.6,931233,1160708,26325,752,4580021,84.4,4055268,74.7,10837805,199719,233478,1442003,2297584,312749,2932,
05/16/2022,20,CO,12667875,493100.00,4657040.00,7517735.00,0,219977.00,256639.00,281557.00,1503760.00,10822871.00,10449151.00,9762050.00,2440272.00,342171.00,4189768.00,6280134.00,10798.00,187938.00,211690.00,216972.00,289677.00,10828315.00,4580436.00,79.5,4376424.00,88.7,317162,73.1,4059262.00,90.2,865261.00,95,3194001,89.0,4053978.00,70.4,3885425.00,78.7,3601855.00,80.1,786657.00,93.4,312710.00,1441628.00,2296710.00,2930,312683,1441552,2128288,2902,312353,1440975,1845730,2797,28960,375082,381678,937,2115828,52.2,2115292,54.4,2028287,56.3,1145883,69.3,602042,76.5,930258,1158505,26313,752,4578698,84.4,4053885,74.7,10821074,199410,233443,1441613,2296656,312691,2925,
05/15/2022,20,CO,12667575,493100.00,4657040.00,7517435.00,0,219971.00,256633.00,281551.00,1503730.00,10822732.00,10449017.00,9761923.00,2440229.00,342171.00,4189696.00,6280067.00,10798.00,187936.00,211687.00,216969.00,289672.00,10828079.00,4580287.00,79.5,4376284.00,88.7,317156,73.1,4059128.00,90.2,865199.00,95,3193929,89.0,4053917.00,70.4,3885364.00,78.7,3601795.00,80.1,786637.00,93.4,312709.00,1441595.00,2296683.00,2930,312682,1441519,2128261,2902,312352,1440942,1845704,2797,28960,375074,381666,937,2115815,52.2,2115279,54.4,2028275,56.3,1145877,69.3,602039,76.5,930254,1158496,26313,752,4578549,84.4,4053824,74.7,10820935,199408,233438,1441580,2296629,312690,2925,
05/14/2022,19,CO,12667575,493100.00,4657040.00,7517435.00,0,219971.00,256633.00,281551.00,1503730.00,10822361.00,10448647.00,9761560.00,2440042.00,342171.00,4189508.00,6279884.00,10798.00,187929.00,211680.00,216961.00,289649.00,10827562.00,4580054.00,79.5,4376062.00,88.7,317146,73.1,4058916.00,90.2,865109.00,95,3193807,89.0,4053769.00,70.4,3885221.00,78.7,3601652.00,80.1,786570.00,93.4,312707.00,1441517.00,2296615.00,2930,312680,1441441,2128198,2902,312350,1440864,1845641,2797,28960,375030,381643,937,2115764,52.2,2115228,54.4,2028227,56.3,1145846,69.3,602024,76.5,930231,1158468,26313,752,4578320,84.4,4053676,74.7,10820564,199401,233438,1441502,2296561,312688,2925,
05/13/2022,19,CO,12649675,493100.00,4655340.00,7501235.00,0,219661.00,256271.00,281153.00,1501600.00,10813996.00,10440529.00,9753736.00,2435865.00,342131.00,4186260.00,6274827.00,10778.00,187784.00,211515.00,216787.00,289154.00,10819162.00,4579119.00,79.5,4375260.00,88.6,317083,73.1,4058177.00,90.2,864880.00,95,3193297,88.9,4052952.00,70.4,3884520.00,78.7,3601018.00,80,786349.00,93.3,312677.00,1441265.00,2296085.00,2925,312650,1441189,2127783,2898,312320,1440612,1845293,2793,28960,374921,381532,936,2114292,52.2,2113760,54.4,2026919,56.3,1145090,69.3,601569,76.5,929756,1157482,26304,750,4577406,84.4,4052859,74.7,10812220,199247,233108,1441250,2296031,312658,2920,
05/12/2022,19,CO,12635675,493100.00,4648340.00,7494235.00,0,219418.00,255987.00,280842.00,1499940.00,10807143.00,10433881.00,9747338.00,2432568.00,342087.00,4183414.00,6270899.00,10743.00,187665.00,211381.00,216645.00,288762.00,10812274.00,4578277.00,79.5,4374515.00,88.6,317027,73.1,4057488.00,90.2,864659.00,95,3192829,88.9,4052172.00,70.4,3883841.00,78.7,3600393.00,80,786137.00,93.3,312643.00,1440985.00,2295631.00,2913,312616,1440909,2127430,2886,312286,1440332,1844992,2783,28959,374831,381414,933,2112927,52.1,2112398,54.4,2025691,56.3,1144375,69.2,601141,76.5,929294,1156592,26299,742,4576582,84.3,4052079,74.7,10805385,199121,232850,1440970,2295577,312624,2908,
05/11/2022,19,CO,12614675,492900.00,4632040.00,7489735.00,0,219053.00,255562.00,280375.00,1497450.00,10798260.00,10425195.00,9738895.00,2427973.00,342020.00,4179875.00,6265629.00,10736.00,187511.00,211205.00,216458.00,288217.00,10803758.00,4577782.00,79.5,4374072.00,88.6,316999,73.1,4057073.00,90.2,864556.00,95,3192517,88.9,4051340.00,70.4,3883100.00,78.7,3599678.00,80,785910.00,93.3,312613.00,1440654.00,2295162.00,2911,312586,1440578,2127052,2884,312256,1440001,1844640,2781,28960,374722,381296,932,2111195,52.1,2110669,54.4,2024109,56.2,1143402,69.2,600514,76.4,928713,1155456,26287,739,4576102,84.3,4051248,74.7,10796518,198958,232463,1440639,2295109,312594,2906,
05/10/2022,19,CO,12602075,492800.00,4627640.00,7481635.00,0,218834.00,255306.00,280095.00,1495950.00,10790660.00,10417832.00,9731774.00,2424161.00,341973.00,4176891.00,6261090.00,10706.00,187379.00,211056.00,216299.00,287764.00,10796193.00,4576889.00,79.5,4373287.00,88.6,316945,73.1,4056342.00,90.2,864323.00,95,3192019,88.9,4050556.00,70.3,3882444.00,78.7,3599073.00,80,785726.00,93.3,312576.00,1440428.00,2294651.00,2901,312549,1440352,2126667,2876,312219,1439776,1844304,2774,28957,374646,381192,931,2109655,52.1,2109132,54.3,2022714,56.2,1142550,69.2,599988,76.4,928248,1154396,26278,733,4575226,84.3,4050466,74.6,10788937,198818,232231,1440413,2294598,312557,2898,
05/09/2022,19,CO,12600275,492800.00,4626840.00,7480635.00,0,218803.00,255270.00,280055.00,1495740.00,10774037.00,10401712.00,9716308.00,2416435.00,341895.00,4170553.00,6250905.00,10684.00,187090.00,210729.00,215956.00,286847.00,10779764.00,4575473.00,79.5,4372126.00,88.6,316839,73.0,4055287.00,90.1,864077.00,95,3191210,88.9,4049177.00,70.3,3881303.00,78.6,3598066.00,80,785462.00,93.2,312527.00,1440039.00,2293718.00,2893,312500,1439963,2125972,2868,312170,1439387,1843743,2766,28957,374532,381044,929,2106614,52,2106102,54.3,2020094,56.1,1141066,69.1,599157,76.3,927314,1152306,26263,731,4573828,84.3,4049087,74.6,10772331,198512,232197,1440024,2293665,312508,2890,
05/08/2022,19,CO,12600275,492800.00,4626840.00,7480635.00,0,218803.00,255270.00,280055.00,1495740.00,10773927.00,10401609.00,9716217.00,2416402.00,341892.00,4170502.00,6250849.00,10684.00,187088.00,210727.00,215954.00,286843.00,10779520.00,4575319.00,79.5,4371981.00,88.6,316827,73.0,4055154.00,90.1,864021.00,95,3191133,88.9,4049114.00,70.3,3881241.00,78.6,3598008.00,80,785438.00,93.2,312523.00,1440004.00,2293694.00,2893,312496,1439928,2125949,2868,312166,1439352,1843724,2766,28957,374518,381034,929,2106602,52,2106090,54.3,2020086,56.1,1141062,69.1,599156,76.3,927313,1152295,26263,731,4573676,84.3,4049024,74.6,10772223,198510,232197,1439989,2293641,312504,2890,
