Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,DC,1911105,71300.00,679980.00,1159825.00,0,270791.00,313422.00,330881.00,2188050.00,1596634.00,1552045.00,1485835.00,293553.00,40009.00,575379.00,979605.00,1641.00,226233.00,254536.00,257251.00,336092.00,1499241.00,717134.00,95,687081.00,95,34819,95.0,652262.00,95,104153.00,95,548109,95.0,550456.00,78,529837.00,86.9,503530.00,87.2,85719.00,95,42093.00,185740.00,322049.00,574,42072,185720,301481,564,42049,185624,275319,538,3008,45187,37371,153,222544,40.4,222465,42,215171,42.7,106994,55.9,56336,65.7,93980,126815,1656,93,716851,95,550401,83.3,1596349,241732,289394,185731,322006,42090,574,
05/16/2022,20,DC,1910405,71300.00,679780.00,1159325.00,0,270692.00,313307.00,330760.00,2187250.00,1596634.00,1552045.00,1485835.00,293553.00,40009.00,575379.00,979605.00,1641.00,226233.00,254536.00,257251.00,336092.00,1498990.00,717018.00,95,686974.00,95,34813,95.0,652161.00,95,104122.00,95,548039,95.0,550393.00,78,529776.00,86.9,503470.00,87.2,85691.00,95,42090.00,185712.00,322017.00,574,42069,185692,301451,564,42046,185596,275290,538,3008,45173,37357,153,222505,40.4,222426,42,215139,42.7,106980,55.9,56326,65.7,93967,126789,1656,93,716736,95,550338,83.3,1596349,241732,289288,185703,321974,42087,574,
05/15/2022,20,DC,1910405,71300.00,679780.00,1159325.00,0,270692.00,313307.00,330760.00,2187250.00,1595232.00,1550691.00,1484514.00,293109.00,40007.00,574741.00,978843.00,1641.00,226034.00,254314.00,257023.00,335584.00,1497736.00,716810.00,95,686783.00,95,34804,95.0,651979.00,95,104088.00,95,547891,95.0,550189.00,78,529599.00,86.9,503299.00,87.1,85641.00,95,42090.00,185633.00,321892.00,574,42069,185613,301353,564,42046,185517,275198,538,3008,45140,37340,153,222187,40.4,222108,41.9,214834,42.7,106784,55.9,56230,65.7,93838,126600,1656,93,716528,95,550134,83.3,1594947,241519,289288,185624,321849,42087,574,
05/14/2022,19,DC,1910405,71300.00,679780.00,1159325.00,0,270692.00,313307.00,330760.00,2187250.00,1593927.00,1549452.00,1483317.00,292588.00,40002.00,574209.00,978076.00,1640.00,225849.00,254111.00,256815.00,334987.00,1496577.00,716569.00,95,686572.00,95,34786,94.9,651786.00,95,104041.00,95,547745,94.9,550000.00,77.9,529438.00,86.8,503145.00,87.1,85586.00,95,42083.00,185574.00,321769.00,574,42062,185555,301257,564,42039,185459,275109,538,3006,45121,37306,153,221908,40.3,221831,41.9,214570,42.6,106600,55.8,56121,65.6,93705,126454,1656,93,716289,95,549946,83.3,1593644,241322,289288,185566,321726,42080,574,
05/13/2022,19,DC,1908205,71300.00,678180.00,1158725.00,0,270380.00,312947.00,330379.00,2184730.00,1592343.00,1547936.00,1481842.00,291960.00,39995.00,573556.00,977157.00,1635.00,225625.00,253862.00,256560.00,334268.00,1495020.00,716239.00,95,686289.00,95,34770,94.9,651519.00,95,103961.00,95,547558,94.9,549679.00,77.9,529141.00,86.8,502864.00,87.1,85476.00,95,42074.00,185438.00,321595.00,572,42053,185419,301106,563,42030,185324,274973,537,3002,45061,37261,152,221536,40.3,221459,41.9,214213,42.6,106366,55.7,55983,65.5,93522,126266,1656,92,715960,95,549626,83.2,1592061,241082,288955,185430,321553,42071,572,
05/12/2022,19,DC,1906305,71300.00,678080.00,1156925.00,0,270111.00,312635.00,330050.00,2182550.00,1590580.00,1546222.00,1480173.00,291321.00,39985.00,572801.00,976165.00,1629.00,225375.00,253581.00,256271.00,333537.00,1493433.00,715893.00,95,685974.00,95,34753,94.8,651221.00,95,103890.00,95,547331,94.9,549407.00,77.8,528896.00,86.7,502632.00,87,85408.00,95,42066.00,185344.00,321426.00,571,42045,185327,300962,562,42022,185232,274842,536,2999,45033,37224,152,221148,40.3,221071,41.8,213839,42.5,106130,55.7,55845,65.4,93331,126071,1655,91,715615,95,549355,83.2,1590298,240815,288667,185336,321385,42063,571,
05/11/2022,19,DC,1902205,71100.00,676180.00,1154925.00,0,269530.00,311963.00,329340.00,2177860.00,1589157.00,1544852.00,1478847.00,290789.00,39978.00,572188.00,975380.00,1611.00,225173.00,253357.00,256041.00,332928.00,1491997.00,715596.00,95,685720.00,95,34739,94.8,650981.00,95,103841.00,95,547140,94.8,549099.00,77.8,528604.00,86.7,502357.00,87,85331.00,95,42054.00,185225.00,321252.00,568,42033,185209,300803,559,42010,185115,274699,533,2999,44995,37186,151,220795,40.2,220718,41.8,213497,42.5,105915,55.6,55723,65.3,93180,125872,1654,89,715318,95,549047,83.1,1588875,240600,288047,185217,321211,42051,568,
05/10/2022,19,DC,1900205,71100.00,674880.00,1154225.00,0,269247.00,311635.00,328994.00,2175570.00,1586956.00,1542701.00,1476764.00,289965.00,39969.00,571373.00,974008.00,1606.00,224861.00,253004.00,255681.00,331984.00,1490081.00,715240.00,95,685395.00,95,34723,94.7,650672.00,95,103754.00,95,546918,94.8,548792.00,77.8,528316.00,86.6,502081.00,86.9,85255.00,95,42050.00,185120.00,321054.00,568,42029,185104,300624,559,42006,185010,274532,533,2999,44963,37142,151,220295,40.1,220218,41.7,213029,42.4,105603,55.5,55545,65.2,92977,125577,1653,88,714963,95,548741,83.1,1586674,240266,287744,185112,321014,42047,568,
05/09/2022,19,DC,1897605,71100.00,674880.00,1151625.00,0,268878.00,311208.00,328544.00,2172590.00,1586956.00,1542701.00,1476764.00,289965.00,39969.00,571373.00,974008.00,1606.00,224861.00,253004.00,255681.00,331984.00,1489776.00,715150.00,95,685309.00,95,34719,94.7,650590.00,95,103723.00,95,546867,94.8,548690.00,77.7,528215.00,86.6,501980.00,86.9,85211.00,95,42046.00,185085.00,320991.00,568,42025,185069,300562,559,42002,184975,274470,533,2998,44945,37117,151,220245,40.1,220168,41.7,212980,42.4,105581,55.5,55529,65.2,92958,125546,1653,88,714873,95,548639,83.1,1586674,240266,287350,185077,320951,42043,568,
05/08/2022,19,DC,1897605,71100.00,674880.00,1151625.00,0,268878.00,311208.00,328544.00,2172590.00,1585927.00,1541711.00,1475811.00,289639.00,39963.00,570934.00,973424.00,1606.00,224715.00,252841.00,255516.00,331611.00,1488836.00,714963.00,95,685148.00,95,34710,94.7,650438.00,95,103695.00,95,546743,94.8,548538.00,77.7,528075.00,86.6,501851.00,86.9,85177.00,95,42044.00,185023.00,320903.00,568,42023,185007,300486,559,42000,184913,274405,533,2998,44927,37101,151,219993,40.1,219918,41.6,212746,42.4,105431,55.4,55443,65.1,92850,125403,1652,88,714686,95,548487,83.1,1585645,240111,287350,185015,320863,42041,568,
