Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131780.00,68237.00,66.7,58505.00,73.9,8032,64.7,50473.00,75.6,3852.00,80,46621,75.3,57375.00,56.1,50924.00,64.3,45159.00,67.7,3569.00,74.2,12536.00,31979.00,12839.00,21,12528,31977,6398,21,12505,31967,666,21,1108,2430,30,1,16492,28.7,16472,32.3,16428,36.4,5750,43.5,1515,42.4,13989,2071,432,0,68202,73.5,57369,61.8,130764,140878,178731,31979,12837,12532,21,
05/16/2022,20,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131780.00,68237.00,66.7,58505.00,73.9,8032,64.7,50473.00,75.6,3852.00,80,46621,75.3,57375.00,56.1,50924.00,64.3,45159.00,67.7,3569.00,74.2,12536.00,31979.00,12839.00,21,12528,31977,6398,21,12505,31967,666,21,1108,2430,30,1,16492,28.7,16472,32.3,16428,36.4,5750,43.5,1515,42.4,13989,2071,432,0,68202,73.5,57369,61.8,130764,140878,178731,31979,12837,12532,21,
05/15/2022,20,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131780.00,68237.00,66.7,58505.00,73.9,8032,64.7,50473.00,75.6,3852.00,80,46621,75.3,57375.00,56.1,50924.00,64.3,45159.00,67.7,3569.00,74.2,12536.00,31979.00,12839.00,21,12528,31977,6398,21,12505,31967,666,21,1108,2430,30,1,16492,28.7,16472,32.3,16428,36.4,5750,43.5,1515,42.4,13989,2071,432,0,68202,73.5,57369,61.8,130764,140878,178731,31979,12837,12532,21,
05/14/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131780.00,68237.00,66.7,58505.00,73.9,8032,64.7,50473.00,75.6,3852.00,80,46621,75.3,57375.00,56.1,50924.00,64.3,45159.00,67.7,3569.00,74.2,12536.00,31979.00,12839.00,21,12528,31977,6398,21,12505,31967,666,21,1108,2430,30,1,16492,28.7,16472,32.3,16428,36.4,5750,43.5,1515,42.4,13989,2071,432,0,68202,73.5,57369,61.8,130764,140878,178731,31979,12837,12532,21,
05/13/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131780.00,68237.00,66.7,58505.00,73.9,8032,64.7,50473.00,75.6,3852.00,80,46621,75.3,57375.00,56.1,50924.00,64.3,45159.00,67.7,3569.00,74.2,12536.00,31979.00,12839.00,21,12528,31977,6398,21,12505,31967,666,21,1108,2430,30,1,16492,28.7,16472,32.3,16428,36.4,5750,43.5,1515,42.4,13989,2071,432,0,68202,73.5,57369,61.8,130764,140878,178731,31979,12837,12532,21,
05/12/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,130801.00,114369.00,100278.00,7925.00,13493.00,83480.00,33791.00,37,127835.00,144511.00,150288.00,164692.00,131775.00,68235.00,66.7,58503.00,73.9,8032,64.7,50471.00,75.6,3852.00,80,46619,75.3,57373.00,56.1,50922.00,64.3,45157.00,67.7,3569.00,74.2,12536.00,31979.00,12837.00,21,12528,31977,6396,21,12505,31967,664,21,1108,2430,30,1,16491,28.7,16471,32.3,16427,36.4,5750,43.5,1515,42.4,13989,2070,432,0,68200,73.5,57367,61.8,130764,140878,178731,31979,12835,12532,21,
05/11/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,129369.00,113258.00,99376.00,7849.00,13482.00,83132.00,32718.00,37,126436.00,143107.00,148936.00,163113.00,130344.00,67860.00,66.3,58259.00,73.6,7915,63.8,50344.00,75.5,3847.00,79.9,46497,75.1,57055.00,55.8,50755.00,64.1,45067.00,67.5,3567.00,74.1,12525.00,31914.00,12595.00,21,12517,31912,6305,21,12494,31902,650,21,1108,2429,29,1,15956,28,15936,31.4,15893,35.3,5597,42.4,1474,41.3,13833,1691,432,0,67828,73.1,57050,61.5,129336,139339,178731,31914,12594,12521,21,
05/10/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,129369.00,113258.00,99376.00,7849.00,13482.00,83132.00,32718.00,37,126436.00,143107.00,148936.00,163113.00,130344.00,67860.00,66.3,58259.00,73.6,7915,63.8,50344.00,75.5,3847.00,79.9,46497,75.1,57055.00,55.8,50755.00,64.1,45067.00,67.5,3567.00,74.1,12525.00,31914.00,12595.00,21,12517,31912,6305,21,12494,31902,650,21,1108,2429,29,1,15956,28,15936,31.4,15893,35.3,5597,42.4,1474,41.3,13833,1691,432,0,67828,73.1,57050,61.5,129336,139339,178731,31914,12594,12521,21,
05/09/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,129369.00,113258.00,99376.00,7849.00,13482.00,83132.00,32718.00,37,126436.00,143107.00,148936.00,163113.00,130344.00,67860.00,66.3,58259.00,73.6,7915,63.8,50344.00,75.5,3847.00,79.9,46497,75.1,57055.00,55.8,50755.00,64.1,45067.00,67.5,3567.00,74.1,12525.00,31914.00,12595.00,21,12517,31912,6305,21,12494,31902,650,21,1108,2429,29,1,15956,28,15936,31.4,15893,35.3,5597,42.4,1474,41.3,13833,1691,432,0,67828,73.1,57050,61.5,129336,139339,178731,31914,12594,12521,21,
05/08/2022,19,FM,165900,12800.00,92440.00,60660.00,0,162138.00,209623.00,248636.00,3447630.00,129369.00,113258.00,99376.00,7849.00,13482.00,83132.00,32718.00,37,126436.00,143107.00,148936.00,163113.00,130342.00,67859.00,66.3,58258.00,73.6,7915,63.8,50343.00,75.4,3847.00,79.9,46496,75.1,57054.00,55.8,50754.00,64.1,45066.00,67.5,3567.00,74.1,12525.00,31914.00,12594.00,21,12517,31912,6304,21,12494,31902,649,21,1108,2429,29,1,15956,28,15936,31.4,15893,35.3,5597,42.4,1474,41.3,13833,1691,432,0,67827,73.1,57049,61.5,129336,139339,178731,31914,12593,12521,21,
