Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,GA,22029395,835500.00,8620840.00,12573055.00,0,207483.00,245095.00,271514.00,1452210.00,15053688.00,14667317.00,13760523.00,3673158.00,343193.00,5869456.00,8799401.00,41638.00,141783.00,163186.00,169599.00,242140.00,15150257.00,6961308.00,65.6,6745774.00,75.1,467383,53.7,6278391.00,77.4,1448779.00,95,4829612,73.3,5832430.00,54.9,5674536.00,63.1,5298567.00,65.3,1270330.00,83.7,321349.00,2154983.00,3343661.00,12437,321205,2154893,3186175,12263,320830,2153854,2812900,10983,35440,692536,539477,2877,2218181,38,2217408,39.1,2156054,40.7,1410288,51.6,756118,59.5,991787,1198918,25570,1906,6959310,69.9,5832116,58.6,15051448,151106,221160,2154936,3343505,321246,12429,
05/16/2022,20,GA,22002295,835200.00,8597840.00,12569255.00,0,207228.00,244794.00,271180.00,1450430.00,15025475.00,14640045.00,13734614.00,3661029.00,342986.00,5857459.00,8783492.00,41538.00,141517.00,162882.00,169280.00,241341.00,15122978.00,6957565.00,65.5,6742431.00,75,467003,53.6,6275428.00,77.3,1448193.00,95,4827235,73.3,5828491.00,54.9,5671042.00,63.1,5295473.00,65.3,1269487.00,83.7,321188.00,2153744.00,3341148.00,12411,321044,2153655,3184104,12239,320670,2152617,2811224,10962,35434,692088,539094,2871,2210367,37.9,2209602,39,2148734,40.6,1405087,51.4,753031,59.3,988388,1194565,25521,1893,6955570,69.8,5828178,58.5,15023239,150823,220888,2153697,3340993,321085,12403,
05/15/2022,20,GA,22002295,835200.00,8597840.00,12569255.00,0,207228.00,244794.00,271180.00,1450430.00,15025473.00,14640043.00,13734612.00,3661029.00,342986.00,5857457.00,8783492.00,41538.00,141517.00,162882.00,169280.00,241341.00,15122781.00,6957445.00,65.5,6742315.00,75,466998,53.6,6275317.00,77.3,1448154.00,95,4827163,73.3,5828447.00,54.9,5671004.00,63.1,5295436.00,65.3,1269479.00,83.7,321187.00,2153727.00,3341122.00,12411,321043,2153638,3184084,12239,320669,2152600,2811205,10962,35434,692081,539093,2871,2210346,37.9,2209581,39,2148713,40.6,1405079,51.4,753028,59.3,988382,1194550,25521,1893,6955450,69.8,5828134,58.5,15023237,150823,220888,2153680,3340967,321084,12403,
05/14/2022,19,GA,22002295,835200.00,8597840.00,12569255.00,0,207228.00,244794.00,271180.00,1450430.00,15025391.00,14639967.00,13734537.00,3661011.00,342985.00,5857426.00,8783442.00,41538.00,141516.00,162882.00,169279.00,241340.00,15122516.00,6957281.00,65.5,6742163.00,75,466989,53.6,6275174.00,77.3,1448102.00,95,4827072,73.3,5828383.00,54.9,5670943.00,63.1,5295381.00,65.3,1269465.00,83.7,321185.00,2153701.00,3341086.00,12411,321041,2153612,3184051,12239,320667,2152574,2811178,10962,35434,692072,539088,2871,2210325,37.9,2209560,39,2148693,40.6,1405065,51.4,753021,59.3,988374,1194537,25521,1893,6955286,69.8,5828070,58.5,15023155,150822,220888,2153654,3340931,321082,12403,
05/13/2022,19,GA,21982395,835100.00,8593240.00,12554055.00,0,207041.00,244572.00,270935.00,1449110.00,15015027.00,14629980.00,13724945.00,3656288.00,342895.00,5853038.00,8777617.00,41477.00,141419.00,162771.00,169161.00,241028.00,15112220.00,6955760.00,65.5,6740796.00,75,466872,53.6,6273924.00,77.3,1447825.00,95,4826099,73.3,5826868.00,54.9,5669597.00,63.1,5294164.00,65.3,1269135.00,83.7,321125.00,2153250.00,3340103.00,12390,320981,2153161,3183237,12218,320607,2152124,2810491,10942,35431,691889,538953,2862,2207497,37.9,2206736,38.9,2145995,40.5,1403142,51.3,751830,59.2,987119,1192989,25503,1886,6953767,69.8,5826556,58.5,15012795,150718,220688,2153203,3339949,321022,12382,
05/12/2022,19,GA,21950395,835100.00,8585340.00,12529955.00,0,206739.00,244216.00,270540.00,1447010.00,15004890.00,14620278.00,13715635.00,3651669.00,342810.00,5848661.00,8772005.00,41414.00,141323.00,162663.00,169046.00,240724.00,15102285.00,6954276.00,65.5,6739503.00,75,466773,53.6,6272730.00,77.3,1447548.00,95,4825182,73.3,5825301.00,54.9,5668258.00,63.1,5292975.00,65.2,1268791.00,83.6,321046.00,2152790.00,3339097.00,12368,320902,2152701,3182459,12196,320528,2151664,2809855,10928,35428,691698,538809,2856,2204840,37.8,2204084,38.9,2143463,40.5,1401302,51.3,750692,59.2,985959,1191506,25497,1878,6952284,69.8,5824989,58.5,15002659,150616,220367,2152743,3338943,320943,12360,
05/11/2022,19,GA,21930995,834500.00,8569540.00,12526955.00,0,206557.00,244000.00,270301.00,1445730.00,14993978.00,14609882.00,13705930.00,3647701.00,342702.00,5844382.00,8765559.00,41335.00,141221.00,162547.00,168927.00,240462.00,15091523.00,6952480.00,65.5,6737955.00,75,466577,53.6,6271378.00,77.3,1447288.00,95,4824090,73.2,5823420.00,54.8,5666616.00,63,5291539.00,65.2,1268447.00,83.6,320964.00,2152253.00,3337860.00,12343,320820,2152164,3181461,12171,320446,2151129,2809060,10904,35420,691534,538649,2844,2201768,37.8,2201017,38.8,2140633,40.5,1399389,51.2,749612,59.1,984655,1189768,25479,1866,6950489,69.8,5823108,58.5,14991748,150507,220172,2152206,3337706,320861,12335,
05/10/2022,19,GA,21898095,834300.00,8560040.00,12503755.00,0,206247.00,243634.00,269896.00,1443560.00,14993888.00,14609794.00,13705850.00,3647687.00,342702.00,5844355.00,8765496.00,41335.00,141220.00,162546.00,168926.00,240461.00,15091107.00,6952262.00,65.5,6737742.00,75,466565,53.6,6271177.00,77.3,1447219.00,95,4823958,73.2,5823296.00,54.8,5666497.00,63,5291428.00,65.2,1268423.00,83.6,320953.00,2152216.00,3337789.00,12338,320809,2152127,3181395,12166,320435,2151092,2809002,10899,35420,691523,538639,2841,2201721,37.8,2200970,38.8,2140588,40.5,1399363,51.2,749598,59.1,984636,1189743,25479,1863,6950271,69.8,5822984,58.5,14991658,150506,219841,2152169,3337635,320850,12330,
05/09/2022,19,GA,21875195,833600.00,8544340.00,12497255.00,0,206031.00,243379.00,269613.00,1442050.00,14968544.00,14585364.00,13682645.00,3636435.00,342452.00,5833713.00,8751145.00,41234.00,140981.00,162274.00,168640.00,239720.00,15066344.00,6948777.00,65.4,6734649.00,74.9,466230,53.5,6268419.00,77.3,1446646.00,95,4821773,73.2,5819390.00,54.8,5663071.00,63,5288424.00,65.2,1267611.00,83.6,320741.00,2151107.00,3335236.00,12306,320597,2151018,3179319,12137,320224,2149988,2807336,10876,35410,691117,538252,2832,2194863,37.7,2194118,38.7,2134141,40.4,1394692,51.1,746701,58.9,981701,1185871,25439,1852,6946790,69.7,5819078,58.4,14966318,150251,219612,2151060,3335082,320638,12298,
05/08/2022,19,GA,21875195,833600.00,8544340.00,12497255.00,0,206031.00,243379.00,269613.00,1442050.00,14968543.00,14585363.00,13682644.00,3636435.00,342452.00,5833713.00,8751144.00,41234.00,140981.00,162274.00,168640.00,239720.00,15066187.00,6948681.00,65.4,6734553.00,74.9,466226,53.5,6268327.00,77.3,1446610.00,95,4821717,73.2,5819359.00,54.8,5663046.00,63,5288404.00,65.2,1267605.00,83.6,320740.00,2151100.00,3335213.00,12306,320596,2151011,3179302,12137,320223,2149981,2807324,10876,35410,691115,538248,2832,2194849,37.7,2194104,38.7,2134130,40.4,1394689,51.1,746700,58.9,981695,1185863,25439,1852,6946694,69.7,5819047,58.4,14966317,150251,219612,2151053,3335059,320637,12298,
