Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,HI,3525580,124500.00,1323920.00,2077160.00,0,249004.00,291103.00,315911.00,1313320.00,2952794.00,2843863.00,2651714.00,768191.00,71318.00,1082325.00,1798849.00,302,208550.00,234815.00,237608.00,286160.00,2964783.00,1240438.00,87.6,1180937.00,95,88245,95.0,1092692.00,95,272107.00,95,820585,95.0,1110724.00,78.4,1059363.00,87.5,979367.00,87.8,249048.00,92.8,65447.00,366256.00,679002.00,19,65417,366197,627730,19,65233,365361,548754,19,11773,109511,127757,7,573317,51.6,573140,54.1,548122,56,353094,71.3,197677,79.4,255279,311802,6233,3,1238461,93.1,1109954,83.4,2950724,221750,264951,366206,678310,65419,19,
05/16/2022,20,HI,3520280,124500.00,1322320.00,2073460.00,0,248630.00,290666.00,315436.00,1311350.00,2946978.00,2838188.00,2646155.00,765235.00,71275.00,1079160.00,1796241.00,302,208139.00,234346.00,237110.00,285059.00,2958981.00,1239995.00,87.6,1180573.00,95,88226,95.0,1092347.00,95,271996.00,95,820351,95.0,1110317.00,78.4,1059006.00,87.4,979026.00,87.7,248911.00,92.7,65408.00,366101.00,678789.00,19,65378,366042,627567,19,65194,365206,548607,19,11771,109440,127693,7,572295,51.5,572133,54,547199,55.9,352453,71.2,197315,79.3,254717,311345,6230,3,1238044,93,1109564,83.4,2944952,221316,264553,366051,678114,65380,19,
05/15/2022,20,HI,3520280,124500.00,1322320.00,2073460.00,0,248630.00,290666.00,315436.00,1311350.00,2946970.00,2838180.00,2646149.00,765235.00,71273.00,1079160.00,1796235.00,302,208138.00,234346.00,237109.00,285059.00,2958949.00,1239979.00,87.6,1180557.00,95,88225,95.0,1092332.00,95,271993.00,95,820339,95.0,1110308.00,78.4,1058999.00,87.4,979020.00,87.7,248911.00,92.7,65406.00,366099.00,678784.00,19,65376,366040,627564,19,65192,365204,548605,19,11771,109440,127693,7,572290,51.5,572128,54,547194,55.9,352450,71.2,197314,79.3,254716,311341,6230,3,1238028,93,1109556,83.4,2944944,221316,264553,366049,678110,65378,19,
05/14/2022,19,HI,3520280,124500.00,1322320.00,2073460.00,0,248630.00,290666.00,315436.00,1311350.00,2946914.00,2838130.00,2646099.00,765220.00,71272.00,1079116.00,1796224.00,302,208134.00,234341.00,237105.00,285053.00,2958780.00,1239905.00,87.6,1180485.00,95,88224,95.0,1092261.00,95,271966.00,95,820295,95.0,1110265.00,78.4,1058969.00,87.4,978991.00,87.7,248900.00,92.7,65404.00,366082.00,678760.00,19,65374,366023,627553,19,65190,365187,548595,19,11771,109435,127687,7,572267,51.5,572106,54,547173,55.9,352431,71.2,197304,79.3,254698,311336,6230,3,1237954,93,1109513,83.4,2944888,221311,264553,366032,678086,65376,19,
05/13/2022,19,HI,3515380,124500.00,1321820.00,2069060.00,0,248284.00,290261.00,314997.00,1309520.00,2944823.00,2836061.00,2644058.00,764073.00,71256.00,1078122.00,1795143.00,302,207987.00,234171.00,236922.00,284626.00,2956658.00,1239735.00,87.6,1180328.00,95,88216,95.0,1092112.00,95,271925.00,95,820187,95.0,1110089.00,78.4,1058809.00,87.4,978835.00,87.7,248843.00,92.7,65389.00,366013.00,678668.00,19,65359,365954,627477,19,65175,365118,548523,19,11771,109401,127664,7,571973,51.5,571815,54,546895,55.9,352266,71.2,197203,79.2,254579,311162,6229,3,1237789,93,1109341,83.4,2942806,221155,264185,365963,677998,65361,19,
05/12/2022,19,HI,3511680,124500.00,1320120.00,2067060.00,0,248022.00,289956.00,314666.00,1308140.00,2942667.00,2833944.00,2641978.00,762864.00,71236.00,1077181.00,1793948.00,302,207834.00,233996.00,236736.00,284176.00,2954444.00,1239531.00,87.5,1180144.00,95,88207,95.0,1091937.00,95,271880.00,95,820057,94.9,1109895.00,78.4,1058637.00,87.4,978670.00,87.7,248770.00,92.7,65369.00,365950.00,678557.00,19,65339,365891,627388,19,65155,365055,548441,19,11771,109363,127629,7,571694,51.5,571537,54,546637,55.9,352117,71.2,197112,79.2,254460,311002,6229,3,1237589,93,1109155,83.4,2940662,220994,263907,365900,677895,65341,19,
05/11/2022,19,HI,3505280,124500.00,1314720.00,2066060.00,0,247570.00,289427.00,314092.00,1305760.00,2937015.00,2828392.00,2636500.00,759507.00,71211.00,1074547.00,1790955.00,302,207435.00,233537.00,236245.00,282925.00,2948552.00,1239189.00,87.5,1179858.00,95,88203,95.0,1091655.00,95,271795.00,95,819860,94.9,1109417.00,78.4,1058196.00,87.4,978238.00,87.7,248571.00,92.6,65344.00,365735.00,678319.00,19,65314,365676,627187,19,65131,364840,548248,19,11767,109260,127537,7,570649,51.4,570500,53.9,545665,55.8,351421,71.1,196648,79.1,253927,310501,6218,3,1237264,93,1108689,83.3,2935041,220571,263426,365685,677669,65316,19,
05/10/2022,19,HI,3502580,124500.00,1312820.00,2065260.00,0,247380.00,289204.00,313850.00,1304750.00,2936970.00,2828348.00,2636456.00,759484.00,71211.00,1074505.00,1790952.00,302,207432.00,233534.00,236241.00,282917.00,2948443.00,1239153.00,87.5,1179824.00,95,88198,94.9,1091626.00,95,271783.00,95,819843,94.9,1109394.00,78.4,1058174.00,87.4,978220.00,87.7,248564.00,92.6,65342.00,365728.00,678305.00,19,65312,365669,627174,19,65129,364833,548239,19,11767,109256,127534,7,570629,51.4,570480,53.9,545647,55.8,351407,71.1,196640,79.1,253915,310493,6218,3,1237228,93,1108666,83.3,2934996,220568,263223,365678,677655,65314,19,
05/09/2022,19,HI,3499380,124500.00,1311120.00,2063760.00,0,247154.00,288940.00,313563.00,1303560.00,2932523.00,2824014.00,2632258.00,757272.00,71207.00,1072466.00,1788550.00,300,207118.00,233176.00,235865.00,282093.00,2944013.00,1238853.00,87.5,1179570.00,95,88178,94.9,1091392.00,95,271716.00,95,819676,94.9,1109080.00,78.3,1057917.00,87.4,977982.00,87.6,248460.00,92.6,65337.00,365614.00,678111.00,18,65307,365555,627037,18,65124,364719,548121,18,11766,109201,127486,7,569924,51.4,569788,53.9,545054,55.7,351039,71,196442,79.1,253641,310062,6218,3,1236940,93,1108364,83.3,2930572,220236,262982,365564,677473,65309,18,
05/08/2022,19,HI,3499380,124500.00,1311120.00,2063760.00,0,247154.00,288940.00,313563.00,1303560.00,2932522.00,2824013.00,2632257.00,757272.00,71207.00,1072466.00,1788549.00,300,207118.00,233176.00,235864.00,282093.00,2943942.00,1238819.00,87.5,1179539.00,95,88177,94.9,1091362.00,95,271700.00,95,819662,94.9,1109060.00,78.3,1057897.00,87.3,977964.00,87.6,248451.00,92.6,65337.00,365599.00,678106.00,18,65307,365540,627032,18,65124,364704,548118,18,11766,109192,127486,7,569914,51.4,569778,53.9,545044,55.7,351030,71,196438,79.1,253637,310056,6218,3,1236907,93,1108344,83.3,2930571,220236,262982,365549,677468,65309,18,
