Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,ID,3449690,157600.00,1353480.00,1938610.00,0,193037.00,230686.00,257658.00,1186810.00,2493998.00,2425018.00,2268483.00,736767.00,88392.00,935458.00,1466344.00,3804.00,139558.00,162164.00,169433.00,253472.00,2518873.00,1104257.00,61.8,1066453.00,71.3,76787,49.1,989666.00,73.9,277440.00,95,712226,68.0,976957.00,54.7,944159.00,63.1,876095.00,65.4,253168.00,87.1,81656.00,331600.00,562840.00,861,81637,331590,530079,853,81577,331416,462260,842,12293,116580,123956,339,411212,42.1,411209,43.6,410977,46.9,283535,60.1,172986,68.3,180240,224552,6302,118,1104168,66.1,976911,58.5,2493880,149257,206461,331592,562818,81640,861,
05/16/2022,20,ID,3445790,157600.00,1351080.00,1937110.00,0,192818.00,230425.00,257367.00,1185470.00,2493341.00,2424421.00,2267979.00,736500.00,88385.00,935294.00,1465860.00,3802.00,139522.00,162124.00,169396.00,253380.00,2518141.00,1104127.00,61.8,1066353.00,71.3,76775,49.0,989578.00,73.9,277414.00,95,712164,68.0,976817.00,54.7,944044.00,63.1,876018.00,65.4,253138.00,87.1,81651.00,331577.00,562729.00,860,81632,331567,529993,852,81572,331393,462212,841,12293,116568,123938,339,411126,42.1,411123,43.5,410891,46.9,283481,60.1,172963,68.3,180209,224497,6302,118,1104038,66.1,976771,58.5,2493223,149218,206228,331569,562707,81635,860,
05/15/2022,20,ID,3445790,157600.00,1351080.00,1937110.00,0,192818.00,230425.00,257367.00,1185470.00,2492480.00,2423566.00,2267143.00,736037.00,88380.00,934907.00,1465391.00,3802.00,139473.00,162067.00,169333.00,253221.00,2517286.00,1104051.00,61.8,1066278.00,71.3,76771,49.0,989507.00,73.9,277394.00,95,712113,68.0,976732.00,54.7,943962.00,63.1,875940.00,65.4,253105.00,87.1,81649.00,331540.00,562683.00,860,81630,331530,529950,852,81570,331356,462173,841,12293,116554,123919,339,410992,42.1,410989,43.5,410758,46.9,283400,60.1,172925,68.3,180156,224416,6302,118,1103962,66.1,976686,58.5,2492362,149166,206228,331532,562661,81633,860,
05/14/2022,19,ID,3445790,157600.00,1351080.00,1937110.00,0,192818.00,230425.00,257367.00,1185470.00,2488069.00,2419170.00,2262778.00,733753.00,88353.00,933129.00,1462795.00,3792.00,139227.00,161773.00,169007.00,252435.00,2513043.00,1103444.00,61.7,1065678.00,71.3,76769,49.0,988909.00,73.9,277272.00,95,711637,68.0,976051.00,54.6,943287.00,63.1,875280.00,65.4,252957.00,87,81633.00,331315.00,562246.00,857,81614,331305,529519,849,81554,331131,461757,838,12292,116480,123847,338,410321,42,410318,43.5,410088,46.9,282969,60,172652,68.3,179896,224010,6298,117,1103355,66,976005,58.4,2487951,148902,206228,331307,562224,81617,857,
05/13/2022,19,ID,3440390,157600.00,1347580.00,1935210.00,0,192516.00,230064.00,256963.00,1183610.00,2487657.00,2418858.00,2262719.00,733708.00,88353.00,933070.00,1462442.00,3792.00,139203.00,161752.00,169003.00,252420.00,2512530.00,1103257.00,61.7,1065529.00,71.3,76669,49.0,988860.00,73.9,277250.00,95,711610,68.0,975862.00,54.6,943160.00,63.1,875252.00,65.4,252944.00,87,81627.00,331302.00,562076.00,857,81608,331292,529411,849,81548,331118,461748,838,12290,116473,123843,338,410296,42,410293,43.5,410063,46.9,282948,60,172637,68.3,179880,224001,6298,117,1103168,66,975816,58.4,2487539,148877,205905,331294,562054,81611,857,
05/12/2022,19,ID,3437290,157500.00,1345480.00,1934310.00,0,192343.00,229856.00,256732.00,1182540.00,2485842.00,2417091.00,2261008.00,732674.00,88325.00,932250.00,1461480.00,3787.00,139102.00,161634.00,168875.00,252064.00,2510707.00,1103039.00,61.7,1065330.00,71.2,76655,49.0,988675.00,73.8,277203.00,95,711472,67.9,975628.00,54.6,942951.00,63.1,875059.00,65.4,252872.00,87,81605.00,331218.00,561949.00,856,81586,331208,529309,848,81526,331034,461662,837,12290,116425,123819,338,409978,42,409975,43.5,409745,46.8,282722,60,172498,68.2,179726,223841,6294,117,1102950,66,975582,58.4,2485724,148769,205719,331210,561927,81589,856,
05/11/2022,19,ID,3430390,157400.00,1341580.00,1931410.00,0,191957.00,229395.00,256216.00,1180170.00,2484018.00,2415299.00,2259274.00,731600.00,88307.00,931435.00,1460497.00,3779.00,139000.00,161514.00,168746.00,251694.00,2508849.00,1102848.00,61.7,1065155.00,71.2,76642,49.0,988513.00,73.8,277168.00,95,711345,67.9,975357.00,54.6,942696.00,63,874827.00,65.3,252772.00,87,81585.00,331144.00,561773.00,855,81566,331134,529149,847,81506,330960,461525,836,12289,116382,123765,336,409612,42,409609,43.5,409381,46.8,282466,60,172318,68.2,179545,223659,6291,117,1102759,66,975311,58.4,2483900,148660,205306,331136,561751,81569,855,
05/10/2022,19,ID,3426290,157400.00,1341280.00,1927610.00,0,191727.00,229121.00,255910.00,1178760.00,2482723.00,2414033.00,2258072.00,730933.00,88296.00,930872.00,1459786.00,3769.00,138927.00,161430.00,168656.00,251465.00,2507521.00,1102688.00,61.7,1065008.00,71.2,76627,49.0,988381.00,73.8,277133.00,95,711248,67.9,975202.00,54.6,942548.00,63,874692.00,65.3,252736.00,86.9,81574.00,331095.00,561680.00,853,81555,331085,529063,845,81495,330911,461452,834,12289,116360,123753,334,409374,42,409371,43.4,409143,46.8,282322,60,172230,68.1,179439,223530,6288,117,1102598,66,975156,58.4,2482605,148582,205061,331087,561658,81558,853,
05/09/2022,19,ID,3422490,157400.00,1337480.00,1927610.00,0,191515.00,228867.00,255626.00,1177450.00,2479710.00,2412161.00,2257711.00,730763.00,88293.00,930724.00,1456924.00,3769.00,138759.00,161305.00,168629.00,251406.00,2504316.00,1101252.00,61.6,1064186.00,71.2,75925,48.5,988261.00,73.8,277090.00,95,711171,67.9,973830.00,54.5,941697.00,63,874559.00,65.3,252686.00,86.9,81566.00,331046.00,560365.00,853,81547,331036,528269,845,81488,330867,461370,834,12289,116334,123729,334,409293,42,409290,43.5,409064,46.8,282267,60,172200,68.1,179414,223474,6288,117,1101162,65.9,973784,58.3,2479592,148402,204833,331038,560343,81550,853,
05/08/2022,19,ID,3422490,157400.00,1337480.00,1927610.00,0,191515.00,228867.00,255626.00,1177450.00,2478879.00,2411330.00,2256900.00,730360.00,88289.00,930392.00,1456429.00,3769.00,138712.00,161249.00,168568.00,251268.00,2503493.00,1101138.00,61.6,1064073.00,71.2,75913,48.5,988160.00,73.8,277071.00,95,711089,67.9,973747.00,54.5,941615.00,63,874483.00,65.3,252670.00,86.9,81564.00,331021.00,560309.00,853,81545,331011,528214,845,81486,330842,461321,834,12289,116328,123719,334,409157,42,409154,43.5,408928,46.8,282180,59.9,172151,68.1,179358,223395,6287,117,1101048,65.9,973701,58.3,2478761,148352,204833,331013,560287,81548,853,
