Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,IH2,2968895,108500.00,1314580.00,1545815.00,0,142543.00,0,0,0,2256955.00,2172314.00,1988486.00,407506.00,41191.00,1054289.00,1161304.00,171,108361.00,0,0,0,2256955.00,1099400.00,52.8,1051385.00,0,93639,#DIV/0!,957746.00,0,179340.00,0,778406,#DIV/0!,874074.00,42,837579.00,0,761656.00,0,141197.00,0,38730.00,395039.00,440299.00,6,38703,394951,403919,6,38658,394682,328310,6,3491,79889,57816,1,278044,31.8,277972,33.2,264062,34.7,158518,43.2,71713,50.8,132752,142861,2312,119,1099014,0,873915,0,2256383,0,0,394965,440240,38704,6,
05/16/2022,20,IH2,2965895,108400.00,1311680.00,1545815.00,0,142399.00,0,0,0,2256519.00,2171887.00,1988078.00,407361.00,41188.00,1054090.00,1161070.00,171,108340.00,0,0,0,2256519.00,1099336.00,52.8,1051324.00,0,93633,#DIV/0!,957691.00,0,179328.00,0,778363,#DIV/0!,874002.00,42,837513.00,0,761593.00,0,141172.00,0,38729.00,395002.00,440265.00,6,38702,394914,403891,6,38657,394645,328285,6,3491,79871,57809,1,277930,31.8,277858,33.2,263958,34.7,158451,43.2,71684,50.8,132694,142807,2310,119,1098950,0,873843,0,2255947,0,0,394928,440206,38703,6,
05/15/2022,20,IH2,2965895,108400.00,1311680.00,1545815.00,0,142399.00,0,0,0,2256411.00,2171784.00,1987981.00,407327.00,41188.00,1054033.00,1161019.00,171,108335.00,0,0,0,2256411.00,1099303.00,52.8,1051296.00,0,93631,#DIV/0!,957665.00,0,179322.00,0,778343,#DIV/0!,873983.00,42,837494.00,0,761577.00,0,141167.00,0,38729.00,394994.00,440254.00,6,38702,394906,403880,6,38657,394637,328277,6,3491,79868,57807,1,277907,31.8,277835,33.2,263936,34.7,158431,43.2,71676,50.8,132680,142798,2310,119,1098917,0,873824,0,2255839,0,0,394920,440195,38703,6,
05/14/2022,19,IH2,2965895,108400.00,1311680.00,1545815.00,0,142399.00,0,0,0,2255286.00,2170729.00,1987000.00,406938.00,41176.00,1053544.00,1160395.00,171,108281.00,0,0,0,2255286.00,1099034.00,52.8,1051060.00,0,93607,#DIV/0!,957453.00,0,179275.00,0,778178,#DIV/0!,873755.00,42,837304.00,0,761407.00,0,141111.00,0,38721.00,394901.00,440127.00,6,38695,394813,403790,6,38650,394544,328207,6,3491,79828,57791,1,277664,31.8,277592,33.2,263723,34.6,158298,43.2,71612,50.7,132572,142667,2306,119,1098649,0,873597,0,2254715,0,0,394827,440068,38696,6,
05/13/2022,19,IH2,2960695,108400.00,1311680.00,1540615.00,0,142149.00,0,0,0,2253584.00,2169116.00,1985528.00,406447.00,41172.00,1052654.00,1159587.00,171,108199.00,0,0,0,2253584.00,1098656.00,52.7,1050740.00,0,93550,#DIV/0!,957190.00,0,179221.00,0,777969,#DIV/0!,873424.00,41.9,837004.00,0,761137.00,0,141038.00,0,38717.00,394723.00,439978.00,6,38691,394635,403672,6,38646,394367,328118,6,3491,79780,57766,1,277176,31.7,277104,33.1,263289,34.6,158055,43.2,71509,50.7,132267,142484,2306,119,1098273,0,873266,0,2253015,0,0,394649,439919,38692,6,
05/12/2022,19,IH2,2960595,108400.00,1311580.00,1540615.00,0,142144.00,0,0,0,2251611.00,2167343.00,1984055.00,405895.00,41147.00,1051908.00,1158385.00,171,108104.00,0,0,0,2251611.00,1098077.00,52.7,1050307.00,0,93426,#DIV/0!,956881.00,0,179149.00,0,777732,#DIV/0!,873082.00,41.9,836715.00,0,760894.00,0,140955.00,0,38695.00,394602.00,439779.00,6,38669,394514,403526,6,38624,394246,328018,6,3489,79730,57735,1,276646,31.7,276575,33.1,262890,34.6,157854,43.1,71422,50.7,132072,142152,2303,119,1097694,0,872924,0,2251042,0,0,394528,439720,38670,6,
05/11/2022,19,IH2,2953095,108300.00,1308680.00,1536115.00,0,141784.00,0,0,0,2249796.00,2165646.00,1982435.00,405256.00,41123.00,1051090.00,1157412.00,171,108017.00,0,0,0,2249796.00,1097704.00,52.7,1050001.00,0,93399,#DIV/0!,956602.00,0,179086.00,0,777516,#DIV/0!,872768.00,41.9,836452.00,0,760646.00,0,140882.00,0,38675.00,394485.00,439602.00,6,38649,394397,403400,6,38604,394129,327907,6,3489,79691,57701,1,276197,31.6,276126,33,262476,34.5,157609,43.1,71313,50.6,131852,141927,2299,119,1097322,0,872610,0,2249228,0,0,394411,439543,38650,6,
05/10/2022,19,IH2,2952195,108300.00,1308180.00,1535715.00,0,141741.00,0,0,0,2248264.00,2164190.00,1981090.00,404752.00,41100.00,1050468.00,1156525.00,171,107944.00,0,0,0,2248264.00,1097384.00,52.7,1049723.00,0,93355,#DIV/0!,956368.00,0,179033.00,0,777335,#DIV/0!,872500.00,41.9,836218.00,0,760437.00,0,140809.00,0,38665.00,394396.00,439433.00,6,38639,394308,403265,6,38594,394040,327797,6,3488,79648,57672,1,275754,31.6,275683,33,262075,34.5,157354,43,71208,50.6,131681,141668,2286,119,1097002,0,872342,0,2247696,0,0,394322,439374,38640,6,
05/09/2022,19,IH2,2947595,107700.00,1304180.00,1535715.00,0,141520.00,0,0,0,2247951.00,2163890.00,1980803.00,404655.00,41096.00,1050303.00,1156381.00,171,107929.00,0,0,0,2247951.00,1097341.00,52.7,1049684.00,0,93355,#DIV/0!,956329.00,0,179022.00,0,777307,#DIV/0!,872434.00,41.9,836160.00,0,760383.00,0,140795.00,0,38665.00,394363.00,439400.00,6,38639,394275,403240,6,38594,394007,327776,6,3488,79640,57666,1,275695,31.6,275625,33,262026,34.5,157324,43,71199,50.6,131651,141643,2282,119,1096959,0,872276,0,2247383,0,0,394289,439341,38640,6,
05/08/2022,19,IH2,2947595,107700.00,1304180.00,1535715.00,0,141520.00,0,0,0,2247864.00,2163810.00,1980725.00,404628.00,41094.00,1050267.00,1156332.00,171,107924.00,0,0,0,2247864.00,1097312.00,52.7,1049658.00,0,93353,#DIV/0!,956305.00,0,179018.00,0,777287,#DIV/0!,872413.00,41.9,836143.00,0,760366.00,0,140792.00,0,38663.00,394354.00,439390.00,6,38637,394266,403234,6,38592,393998,327770,6,3488,79638,57665,1,275680,31.6,275610,33,262011,34.5,157314,43,71195,50.6,131642,141637,2282,119,1096930,0,872255,0,2247296,0,0,394280,439331,38638,6,
