Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,IL,27855445,1168900.00,9716540.00,16970005.00,0,219822.00,257021.00,282683.00,1363300.00,22933087.00,22028759.00,20519842.00,5512651.00,686647.00,8146095.00,14069439.00,30906.00,180977.00,203258.00,208240.00,269801.00,23187669.00,9732985.00,76.8,9255828.00,85.4,698250,71.3,8557578.00,86.8,1984799.00,95,6572779,84.6,8760614.00,69.1,8338508.00,76.9,7701978.00,78.2,1822159.00,89.2,628798.00,2839633.00,5282722.00,9461,628741,2839516,4860799,9452,626124,2831823,4234798,9233,84423,811637,922278,3821,4551262,52,4549731,54.6,4363615,56.7,2661089,69.1,1426953,78.3,1844286,2649990,55079,1907,9723481,81.5,8753959,73.4,22916854,192177,233591,2839535,5276224,628744,9456,
05/16/2022,20,IL,27846445,1168900.00,9713240.00,16964305.00,0,219751.00,256938.00,282592.00,1362860.00,22921026.00,22017059.00,20508630.00,5508579.00,686452.00,8141878.00,14061811.00,30885.00,180882.00,203151.00,208126.00,269601.00,23175110.00,9730451.00,76.8,9253483.00,85.4,698096,71.3,8555387.00,86.8,1984329.00,95,6571058,84.6,8758789.00,69.1,8336814.00,76.9,7700366.00,78.1,1821803.00,89.2,628628.00,2839046.00,5281660.00,9455,628571,2838929,4859868,9446,625954,2831237,4233947,9228,84412,811467,922106,3818,4548884,51.9,4547393,54.5,4361529,56.6,2659868,69.1,1426472,78.3,1843542,2648372,55063,1907,9720999,81.5,8752170,73.4,22904880,192076,233515,2838948,5275198,628574,9450,
05/15/2022,20,IL,27846445,1168900.00,9713240.00,16964305.00,0,219751.00,256938.00,282592.00,1362860.00,22907845.00,22004319.00,20496349.00,5502961.00,686406.00,8136809.00,14053757.00,30873.00,180778.00,203033.00,208001.00,269326.00,23162027.00,9728743.00,76.8,9251967.00,85.4,697981,71.3,8553986.00,86.8,1983893.00,95,6570093,84.6,8757727.00,69.1,8335942.00,76.9,7699566.00,78.1,1821531.00,89.1,628594.00,2838739.00,5280944.00,9450,628537,2838622,4859342,9441,625920,2830931,4233492,9223,84405,811342,921966,3818,4546624,51.9,4545188,54.5,4359585,56.6,2658794,69.1,1425975,78.3,1842856,2646810,55054,1904,9719363,81.5,8751165,73.4,22891829,191967,233515,2838641,5274539,628540,9445,
05/14/2022,19,IL,27846445,1168900.00,9713240.00,16964305.00,0,219751.00,256938.00,282592.00,1362860.00,22879834.00,21976795.00,20469406.00,5490671.00,686092.00,8125873.00,14037059.00,30810.00,180557.00,202779.00,207728.00,268725.00,23134371.00,9723353.00,76.7,9246803.00,85.3,697817,71.3,8548986.00,86.8,1982583.00,95,6566403,84.5,8752809.00,69.1,8331232.00,76.9,7694992.00,78.1,1820162.00,89.1,628341.00,2837097.00,5277943.00,9428,628284,2836980,4856549,9419,625670,2829291,4230830,9201,84350,810769,921230,3813,4541420,51.9,4540025,54.5,4354691,56.6,2655739,69,1424269,78.2,1840983,2643525,55017,1895,9714060,81.5,8746310,73.3,22863971,191733,233515,2836999,5271601,628287,9423,
05/13/2022,19,IL,27773745,1168700.00,9682940.00,16922105.00,0,219177.00,256267.00,281854.00,1359310.00,22854087.00,21951543.00,20444953.00,5480137.00,685708.00,8116340.00,14021303.00,30736.00,180354.00,202546.00,207480.00,268209.00,23108807.00,9718726.00,76.7,9242428.00,85.3,697569,71.2,8544859.00,86.7,1981800.00,95,6563059,84.5,8748766.00,69,8327397.00,76.8,7691368.00,78.1,1819476.00,89,628037.00,2835840.00,5275482.00,9407,627980,2835723,4854296,9398,625370,2828037,4228781,9180,84338,810421,920911,3806,4536532,51.9,4535174,54.5,4350134,56.6,2653256,69,1423023,78.2,1839325,2640345,54974,1888,9709517,81.4,8742314,73.3,22838356,191518,232906,2835742,5269187,627983,9402,
05/12/2022,19,IL,27730145,1168700.00,9667740.00,16893705.00,0,218833.00,255865.00,281412.00,1357170.00,22886032.00,21983612.00,20476587.00,5486962.00,687929.00,8127550.00,14039544.00,31009.00,180606.00,202842.00,207801.00,268543.00,23140116.00,9750554.00,76.9,9274115.00,85.6,698128,71.3,8575987.00,87,1989683.00,95,6586304,84.8,8760011.00,69.1,8338901.00,76.9,7702850.00,78.2,1822988.00,89.2,630292.00,2839795.00,5280369.00,9555,630235,2839678,4859442,9546,627627,2831997,4233901,9325,84656,811860,922604,3868,4533764,51.8,4532448,54.4,4347774,56.4,2652910,68.9,1423886,78.1,1838561,2638385,54926,1892,9741398,81.7,8753614,73.4,22870407,191787,232540,2839697,5274129,630238,9550,
05/11/2022,19,IL,27695945,1168500.00,9638240.00,16889205.00,0,218563.00,255549.00,281065.00,1355500.00,22836698.00,21935053.00,20429445.00,5474546.00,686359.00,8109226.00,14010186.00,30927.00,180216.00,202394.00,207322.00,267936.00,23090610.00,9737534.00,76.8,9261528.00,85.5,697629,71.2,8563899.00,86.9,1988317.00,95,6575582,84.6,8747591.00,69,8326771.00,76.8,7691166.00,78.1,1821558.00,89.2,629015.00,2835659.00,5273388.00,9529,628958,2835542,4852751,9520,626350,2827865,4227651,9300,84590,811211,921892,3865,4521619,51.7,4520340,54.3,4336081,56.4,2646278,68.8,1421761,78.1,1834161,2630800,54781,1877,9728492,81.6,8741238,73.3,22821232,191375,232253,2835561,5267192,628961,9524,
05/10/2022,19,IL,27677745,1168500.00,9628840.00,16880405.00,0,218420.00,255381.00,280880.00,1354610.00,22800481.00,21899151.00,20393987.00,5460558.00,684611.00,8095168.00,13989867.00,30835.00,179931.00,202063.00,206963.00,267251.00,23054630.00,9727682.00,76.8,9251832.00,85.4,697511,71.2,8554321.00,86.8,1985667.00,95,6568654,84.5,8738087.00,69,8317401.00,76.7,7681925.00,78,1818966.00,89,627552.00,2832408.00,5268630.00,9497,627495,2832291,4848127,9488,624889,2824616,4223151,9269,84479,810061,920574,3852,4512866,51.6,4511610,54.2,4327546,56.3,2640961,68.8,1419043,78,1830800,2625486,54715,1865,9718690,81.5,8731780,73.2,22785111,191072,232101,2832310,5262480,627498,9492,
05/09/2022,19,IL,27661345,1168400.00,9622640.00,16870305.00,0,218290.00,255230.00,280713.00,1353800.00,22792408.00,21891364.00,20386587.00,5457075.00,684579.00,8092437.00,13984559.00,30833.00,179867.00,201991.00,206888.00,267081.00,23046013.00,9726325.00,76.8,9250611.00,85.4,697420,71.2,8553191.00,86.8,1985217.00,95,6567974,84.5,8737130.00,68.9,8316569.00,76.7,7681136.00,77.9,1818609.00,89,627520.00,2832114.00,5268001.00,9495,627463,2831997,4847623,9486,624858,2824324,4222687,9267,84472,809907,920379,3851,4511216,51.6,4509990,54.2,4326175,56.3,2640177,68.8,1418621,78,1830366,2624279,54707,1864,9717382,81.5,8730860,73.2,22777125,191005,231963,2832016,5261888,627466,9490,
05/08/2022,19,IL,27661345,1168400.00,9622640.00,16870305.00,0,218290.00,255230.00,280713.00,1353800.00,22777592.00,21877021.00,20372754.00,5450242.00,684522.00,8086622.00,13975632.00,30816.00,179750.00,201858.00,206747.00,266746.00,23031262.00,9724545.00,76.7,9248992.00,85.3,697307,71.2,8551685.00,86.8,1984659.00,95,6567026,84.5,8735676.00,68.9,8315348.00,76.7,7680019.00,77.9,1818099.00,89,627483.00,2831679.00,5267023.00,9491,627426,2831562,4846878,9482,624821,2823890,4222044,9264,84459,809659,920132,3849,4508719,51.6,4507561,54.2,4324031,56.3,2638958,68.7,1417984,78,1829588,2622577,54692,1862,9715647,81.5,8729471,73.2,22762421,190882,231963,2831581,5260975,627429,9486,
