Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,KS,6129915,256400.00,2363040.00,3510475.00,0,210410.00,250027.00,276988.00,1289190.00,4653906.00,4502566.00,4199903.00,1295075.00,138884.00,1767784.00,2742869.00,4369.00,159746.00,183651.00,189778.00,272368.00,4763562.00,2176256.00,74.7,2091739.00,85.3,148057,62.1,1943682.00,87.8,531889.00,95,1411793,85.4,1797334.00,61.7,1730534.00,70.6,1605490.00,72.5,437673.00,92,126726.00,639619.00,1030193.00,796,126702,639584,963478,770,126574,639190,839053,673,18701,207249,211432,291,772166,43,771995,44.6,744170,46.4,493036,58.1,289500,66.1,332354,428643,10906,263,2176052,79.8,1797309,65.9,4653684,170591,224705,639611,1030183,126721,794,
05/16/2022,20,KS,6121815,256400.00,2354940.00,3510475.00,0,210132.00,249697.00,276622.00,1287480.00,4651245.00,4499963.00,4197430.00,1293796.00,138878.00,1766775.00,2741223.00,4369.00,159655.00,183545.00,189666.00,272099.00,4760802.00,2175888.00,74.7,2091400.00,85.3,148020,62.1,1943380.00,87.8,531782.00,95,1411598,85.4,1796877.00,61.7,1730115.00,70.6,1605099.00,72.5,437486.00,92,126721.00,639446.00,1029914.00,796,126697,639411,963237,770,126569,639017,838840,673,18701,207160,211334,291,771653,42.9,771483,44.6,743726,46.3,492757,58.1,289359,66.1,332206,428281,10903,263,2175684,79.8,1796852,65.9,4651023,170493,224408,639438,1029904,126716,794,
05/15/2022,20,KS,6121515,256400.00,2354940.00,3510175.00,0,210122.00,249685.00,276608.00,1287420.00,4651245.00,4499963.00,4197430.00,1293796.00,138878.00,1766775.00,2741223.00,4369.00,159655.00,183545.00,189666.00,272099.00,4760778.00,2175874.00,74.7,2091386.00,85.3,148019,62.1,1943367.00,87.8,531773.00,95,1411594,85.4,1796871.00,61.7,1730109.00,70.6,1605093.00,72.5,437483.00,92,126721.00,639442.00,1029912.00,796,126697,639407,963235,770,126569,639013,838838,673,18701,207159,211332,291,771651,42.9,771481,44.6,743726,46.3,492757,58.1,289359,66.1,332206,428279,10903,263,2175670,79.8,1796846,65.9,4651023,170493,224397,639434,1029902,126716,794,
05/14/2022,19,KS,6121515,256400.00,2354940.00,3510175.00,0,210122.00,249685.00,276608.00,1287420.00,4647094.00,4495988.00,4193636.00,1291493.00,138853.00,1765064.00,2738818.00,4359.00,159512.00,183383.00,189495.00,271615.00,4756838.00,2175442.00,74.7,2091019.00,85.3,147974,62.1,1943045.00,87.8,531658.00,95,1411387,85.3,1796262.00,61.7,1729597.00,70.5,1604621.00,72.5,437243.00,92,126706.00,639261.00,1029502.00,793,126682,639226,962920,769,126554,638832,838563,672,18701,207061,211191,290,770957,42.9,770787,44.6,743102,46.3,492316,58,289111,66.1,331916,427883,10896,262,2175239,79.7,1796238,65.8,4646874,170341,224397,639253,1029492,126701,792,
05/13/2022,19,KS,6116015,256400.00,2353540.00,3506075.00,0,209933.00,249460.00,276360.00,1286260.00,4642352.00,4491813.00,4189569.00,1288918.00,138824.00,1763462.00,2735712.00,4354.00,159350.00,183212.00,189311.00,271073.00,4752270.00,2174608.00,74.6,2090425.00,85.3,147936,62.0,1942489.00,87.8,531417.00,95,1411072,85.3,1795475.00,61.6,1729056.00,70.5,1604107.00,72.5,436965.00,91.9,126687.00,639067.00,1028928.00,793,126663,639033,962591,769,126535,638639,838261,672,18701,206950,211024,290,770053,42.9,769884,44.5,742232,46.3,491642,58,288652,66.1,331614,427284,10893,262,2174405,79.7,1795451,65.8,4642132,170167,224195,639059,1028918,126682,792,
05/12/2022,19,KS,6108215,256400.00,2351440.00,3500375.00,0,209666.00,249142.00,276007.00,1284620.00,4638623.00,4488303.00,4186177.00,1286781.00,138797.00,1762047.00,2733434.00,4345.00,159222.00,183069.00,189158.00,270624.00,4748585.00,2174113.00,74.6,2090010.00,85.2,147901,62.0,1942109.00,87.8,531291.00,95,1410818,85.3,1794903.00,61.6,1728594.00,70.5,1603674.00,72.5,436769.00,91.9,126666.00,638888.00,1028558.00,791,126642,638854,962331,767,126514,638460,838030,670,18699,206869,210911,290,769385,42.9,769217,44.5,741611,46.2,491221,58,288361,66,331352,426883,10889,261,2173910,79.7,1794879,65.8,4638403,170030,223910,638880,1028548,126661,790,
05/11/2022,19,KS,6102315,256400.00,2346140.00,3499775.00,0,209463.00,248902.00,275741.00,1283380.00,4634977.00,4484818.00,4182806.00,1284686.00,138752.00,1760710.00,2731179.00,4336.00,159096.00,182927.00,189005.00,270183.00,4744908.00,2173578.00,74.6,2089517.00,85.2,147866,62.0,1941651.00,87.7,531112.00,95,1410539,85.3,1794235.00,61.6,1728035.00,70.5,1603152.00,72.4,436517.00,91.8,126633.00,638694.00,1028120.00,788,126609,638660,962002,764,126481,638266,837736,669,18692,206777,210758,290,768684,42.8,768517,44.5,740945,46.2,490759,57.9,288048,66,331114,426427,10884,259,2173375,79.7,1794211,65.8,4634757,169897,223693,638686,1028110,126628,787,
05/10/2022,19,KS,6098615,256400.00,2345340.00,3496875.00,0,209336.00,248751.00,275573.00,1282600.00,4632275.00,4482317.00,4180432.00,1283236.00,138737.00,1759634.00,2729580.00,4324.00,159004.00,182825.00,188898.00,269878.00,4742292.00,2173236.00,74.6,2089210.00,85.2,147845,62.0,1941365.00,87.7,531007.00,95,1410358,85.3,1793745.00,61.6,1727661.00,70.5,1602810.00,72.4,436345.00,91.8,126624.00,638565.00,1027770.00,786,126600,638531,961768,762,126473,638137,837532,668,18691,206717,210647,290,768222,42.8,768057,44.5,740530,46.2,490465,57.9,287863,66,330931,426151,10883,257,2173034,79.7,1793721,65.8,4632056,169798,223558,638557,1027760,126619,785,
05/09/2022,19,KS,6096715,256400.00,2344940.00,3495375.00,0,209271.00,248673.00,275488.00,1282200.00,4629885.00,4479999.00,4178235.00,1282150.00,138729.00,1758934.00,2727898.00,4324.00,158922.00,182731.00,188799.00,269650.00,4739865.00,2172858.00,74.6,2088876.00,85.2,147800,62.0,1941076.00,87.7,530915.00,95,1410161,85.3,1793312.00,61.6,1727274.00,70.5,1602453.00,72.4,436191.00,91.7,126616.00,638438.00,1027472.00,786,126592,638404,961516,762,126465,638010,837310,668,18691,206657,210553,290,767748,42.8,767583,44.4,740109,46.2,490205,57.9,287742,66,330801,425811,10879,257,2172656,79.6,1793289,65.7,4629666,169710,223488,638430,1027463,126611,785,
05/08/2022,19,KS,6096715,256400.00,2344940.00,3495375.00,0,209271.00,248673.00,275488.00,1282200.00,4629884.00,4479998.00,4178234.00,1282150.00,138729.00,1758934.00,2727897.00,4324.00,158922.00,182730.00,188799.00,269650.00,4739820.00,2172830.00,74.6,2088849.00,85.2,147800,62.0,1941049.00,87.7,530905.00,95,1410144,85.3,1793306.00,61.6,1727269.00,70.5,1602448.00,72.4,436191.00,91.7,126615.00,638436.00,1027469.00,786,126591,638402,961514,762,126464,638008,837308,668,18691,206657,210553,290,767743,42.8,767578,44.4,740104,46.2,490200,57.9,287738,66,330796,425811,10879,257,2172628,79.6,1793283,65.7,4629665,169710,223488,638428,1027460,126610,785,
05/07/2022,18,KS,6096715,256400.00,2344940.00,3495375.00,0,209271.00,248673.00,275488.00,1282200.00,4626397.00,4476633.00,4174977.00,1280341.00,138698.00,1757434.00,2725947.00,4318.00,158802.00,182593.00,188651.00,269269.00,4736506.00,2172467.00,74.6,2088535.00,85.2,147775,62.0,1940760.00,87.7,530833.00,95,1409927,85.2,1792782.00,61.5,1726800.00,70.4,1602003.00,72.4,435981.00,91.7,126588.00,638256.00,1027153.00,785,126564,638222,961253,761,126437,637829,837070,667,18691,206561,210439,290,767134,42.8,766971,44.4,739547,46.2,489841,57.9,287543,66,330570,425435,10872,257,2172265,79.6,1792759,65.7,4626178,169582,223488,638248,1027144,126583,784,
05/06/2022,18,KS,6088115,256400.00,2339540.00,3492175.00,0,208976.00,248322.00,275099.00,1280400.00,4622619.00,4473066.00,4171540.00,1278541.00,138609.00,1755618.00,2724081.00,4311.00,158672.00,182448.00,188496.00,268891.00,4732782.00,2171848.00,74.5,2087974.00,85.2,147745,62.0,1940229.00,87.7,530708.00,95,1409521,85.2,1791955.00,61.5,1726091.00,70.4,1601323.00,72.4,435756.00,91.6,126513.00,637884.00,1026774.00,784,126489,637850,960992,760,126362,637457,836838,666,18686,206459,210322,289,766458,42.8,766295,44.4,738923,46.1,489444,57.9,287323,65.9,330312,425032,10859,255,2171647,79.6,1791932,65.7,4622401,169444,223173,637876,1026765,126508,783,
05/05/2022,18,KS,6076415,256400.00,2339240.00,3480775.00,0,208574.00,247845.00,274570.00,1277940.00,4618862.00,4469851.00,4168447.00,1276560.00,138553.00,1754441.00,2721561.00,4307.00,158543.00,182317.00,188356.00,268474.00,4729092.00,2171296.00,74.5,2087573.00,85.1,147701,61.9,1939872.00,87.7,530565.00,95,1409307,85.2,1791072.00,61.5,1725546.00,70.4,1600815.00,72.3,435469.00,91.6,126483.00,637726.00,1026080.00,783,126459,637692,960636,759,126332,637299,836519,665,18683,206373,210125,288,765889,42.8,765727,44.4,738392,46.1,489079,57.8,287106,65.9,330119,424675,10840,255,2171097,79.6,1791049,65.7,4618645,169306,222744,637718,1026071,126478,782,
05/04/2022,18,KS,6070215,256400.00,2333440.00,3480375.00,0,208361.00,247592.00,274290.00,1276630.00,4614579.00,4465769.00,4164500.00,1274055.00,138513.00,1753039.00,2718728.00,4299.00,158396.00,182150.00,188178.00,267947.00,4724865.00,2170771.00,74.5,2087151.00,85.1,147666,61.9,1939485.00,87.6,530433.00,95,1409052,85.2,1790439.00,61.5,1725000.00,70.4,1600306.00,72.3,435208.00,91.5,126454.00,637573.00,1025632.00,780,126430,637539,960274,757,126303,637146,836194,663,18679,206273,209969,287,765207,42.7,765045,44.4,737760,46.1,488666,57.8,286861,65.9,329903,424217,10832,255,2170572,79.6,1790416,65.6,4614362,169149,222517,637565,1025623,126449,779,
05/03/2022,18,KS,6064015,256400.00,2332140.00,3475475.00,0,208148.00,247339.00,274010.00,1275330.00,4611728.00,4463140.00,4162010.00,1272623.00,138483.00,1751866.00,2717094.00,4285.00,158298.00,182043.00,188066.00,267646.00,4722069.00,2170376.00,74.5,2086860.00,85.1,147626,61.9,1939234.00,87.6,530358.00,95,1408876,85.2,1789975.00,61.4,1724632.00,70.3,1599971.00,72.3,435062.00,91.5,126430.00,637422.00,1025345.00,778,126406,637388,960083,755,126279,636995,836035,662,18675,206206,209895,286,764679,42.7,764517,44.3,737279,46.1,488333,57.8,286689,65.9,329730,423869,10829,251,2170179,79.6,1789952,65.6,4611513,169045,222289,637414,1025336,126425,777,
05/02/2022,18,KS,6062415,256400.00,2331240.00,3474775.00,0,208093.00,247274.00,273938.00,1274990.00,4609070.00,4460557.00,4159564.00,1271420.00,138456.00,1751028.00,2715301.00,4285.00,158207.00,181938.00,187955.00,267393.00,4719241.00,2169971.00,74.5,2086509.00,85.1,147589,61.9,1938920.00,87.6,530272.00,95,1408648,85.2,1789515.00,61.4,1724212.00,70.3,1599581.00,72.3,434882.00,91.5,126416.00,637292.00,1025029.00,778,126392,637257,959808,755,126265,636864,835790,662,18674,206146,209776,286,764084,42.7,763922,44.3,736750,46.1,488009,57.8,286538,65.9,329554,423458,10821,251,2169774,79.5,1789492,65.6,4608855,168947,222231,637284,1025020,126411,777,
05/01/2022,18,KS,6062415,256400.00,2331240.00,3474775.00,0,208093.00,247274.00,273938.00,1274990.00,4609070.00,4460557.00,4159564.00,1271420.00,138456.00,1751028.00,2715301.00,4285.00,158207.00,181938.00,187955.00,267393.00,4719197.00,2169947.00,74.5,2086486.00,85.1,147588,61.9,1938898.00,87.6,530258.00,95,1408640,85.2,1789503.00,61.4,1724202.00,70.3,1599572.00,72.3,434879.00,91.5,126416.00,637288.00,1025021.00,778,126392,637253,959802,755,126265,636860,835785,662,18674,206144,209775,286,764080,42.7,763918,44.3,736746,46.1,488007,57.8,286538,65.9,329553,423455,10821,251,2169750,79.5,1789480,65.6,4608855,168947,222231,637280,1025012,126411,777,
04/30/2022,17,KS,6062415,256400.00,2331240.00,3474775.00,0,208093.00,247274.00,273938.00,1274990.00,4604323.00,4455981.00,4155137.00,1268869.00,138406.00,1749146.00,2712491.00,4280.00,158044.00,181751.00,187755.00,266857.00,4714675.00,2169343.00,74.5,2085967.00,85.1,147542,61.9,1938425.00,87.6,530124.00,95,1408301,85.2,1788832.00,61.4,1723601.00,70.3,1598998.00,72.3,434606.00,91.4,126384.00,637073.00,1024598.00,777,126360,637038,959449,754,126233,636645,835459,661,18671,206042,209607,286,763267,42.7,763106,44.3,735989,46,487498,57.7,286233,65.9,329236,422969,10812,250,2169146,79.5,1788809,65.6,4604108,168773,222231,637065,1024589,126379,776,
