Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,KY,9007375,383300.00,3720400.00,4903675.00,0,201612.00,236652.00,259968.00,1200080.00,6578266.00,6411443.00,6057164.00,1862223.00,237261.00,2700424.00,3638050.00,2531.00,147241.00,168449.00,174820.00,248110.00,6639093.00,2961965.00,66.3,2870427.00,75.4,174878,51.1,2695549.00,77.8,729410.00,95,1966139,72.9,2570284.00,57.5,2495913.00,65.6,2344413.00,67.7,649511.00,86.5,211415.00,982145.00,1374875.00,1849,211378,982020,1300685,1830,211248,981745,1149696,1724,38892,297032,312735,852,1144033,44.5,1143870,45.8,1113596,47.5,773327,59.4,447134,68.8,515261,604606,23944,222,2961476,70.6,2570229,61.3,6577060,156781,214714,982132,1374858,211391,1848,
05/16/2022,20,KY,8998575,383200.00,3715900.00,4899475.00,0,201415.00,236421.00,259714.00,1198910.00,6574780.00,6408033.00,6053866.00,1860549.00,237236.00,2699020.00,3635993.00,2531.00,147163.00,168359.00,174725.00,247887.00,6635533.00,2961501.00,66.3,2870009.00,75.4,174837,51.1,2695172.00,77.8,729325.00,95,1965847,72.9,2569903.00,57.5,2495565.00,65.6,2344088.00,67.7,649414.00,86.5,211397.00,982006.00,1374651.00,1849,211360,981881,1300494,1830,211230,981606,1149528,1724,38891,296981,312690,852,1143306,44.5,1143143,45.8,1112918,47.5,772931,59.4,446940,68.8,514969,604176,23939,222,2961013,70.6,2569848,61.3,6573575,156698,214504,981993,1374634,211373,1848,
05/15/2022,20,KY,8998575,383200.00,3715900.00,4899475.00,0,201415.00,236421.00,259714.00,1198910.00,6570273.00,6403595.00,6049575.00,1858205.00,237221.00,2697264.00,3633257.00,2531.00,147063.00,168243.00,174601.00,247574.00,6631112.00,2961057.00,66.3,2869600.00,75.4,174802,51.1,2694798.00,77.8,729213.00,95,1965585,72.9,2569418.00,57.5,2495113.00,65.6,2343673.00,67.6,649259.00,86.5,211385.00,981827.00,1374357.00,1849,211348,981702,1300233,1830,211218,981427,1149304,1724,38890,296892,312625,852,1142600,44.5,1142438,45.8,1112283,47.5,772568,59.4,446752,68.8,514689,603751,23939,221,2960569,70.6,2569363,61.2,6569068,156590,214504,981814,1374340,211361,1848,
05/14/2022,19,KY,8998575,383200.00,3715900.00,4899475.00,0,201415.00,236421.00,259714.00,1198910.00,6565919.00,6399306.00,6045398.00,1855814.00,237193.00,2695486.00,3630709.00,2531.00,146965.00,168130.00,174480.00,247256.00,6626761.00,2960604.00,66.3,2869178.00,75.4,174771,51.1,2694407.00,77.8,729102.00,95,1965305,72.9,2568962.00,57.5,2494689.00,65.5,2343291.00,67.6,649124.00,86.5,211360.00,981681.00,1374073.00,1848,211323,981556,1299981,1829,211193,981281,1149094,1723,38888,296835,312550,851,1141897,44.4,1141736,45.8,1111625,47.4,772155,59.4,446531,68.8,514408,603333,23935,221,2960116,70.6,2568907,61.2,6564714,156487,214504,981668,1374056,211336,1847,
05/13/2022,19,KY,8990075,383100.00,3713800.00,4893175.00,0,201225.00,236198.00,259469.00,1197780.00,6561789.00,6395261.00,6041456.00,1853539.00,237181.00,2693716.00,3628361.00,2531.00,146873.00,168024.00,174367.00,246953.00,6622564.00,2960093.00,66.3,2868708.00,75.4,174739,51.1,2693969.00,77.8,728979.00,95,1964990,72.9,2568496.00,57.5,2494265.00,65.5,2342898.00,67.6,648961.00,86.5,211347.00,981519.00,1373782.00,1848,211310,981394,1299732,1829,211180,981119,1148876,1723,38886,296763,312461,851,1141143,44.4,1140982,45.7,1110915,47.4,771681,59.4,446249,68.8,514082,602907,23933,221,2959605,70.5,2568441,61.2,6560584,156388,214301,981506,1373765,211323,1847,
05/12/2022,19,KY,8977175,383000.00,3708500.00,4885675.00,0,200936.00,235859.00,259096.00,1196060.00,6557558.00,6391141.00,6037436.00,1851457.00,237104.00,2692073.00,3625850.00,2531.00,146778.00,167915.00,174251.00,246675.00,6618268.00,2959438.00,66.2,2868113.00,75.4,174693,51.0,2693420.00,77.7,728848.00,95,1964572,72.8,2567956.00,57.5,2493772.00,65.5,2342441.00,67.6,648833.00,86.4,211287.00,981341.00,1373480.00,1848,211250,981216,1299477,1829,211120,980941,1148657,1723,38882,296706,312394,851,1140302,44.4,1140143,45.7,1110100,47.4,771177,59.3,445967,68.7,513769,602392,23920,221,2958950,70.5,2567901,61.2,6556353,156287,213994,981328,1373463,211263,1847,
05/11/2022,19,KY,8966875,383000.00,3699100.00,4884775.00,0,200706.00,235588.00,258799.00,1194690.00,6554688.00,6388335.00,6034708.00,1849953.00,237074.00,2690775.00,3624308.00,2531.00,146714.00,167842.00,174172.00,246475.00,6614994.00,2958960.00,66.2,2867669.00,75.3,174660,51.0,2693009.00,77.7,728730.00,95,1964279,72.8,2567447.00,57.5,2493293.00,65.5,2342006.00,67.6,648712.00,86.4,211255.00,981182.00,1373162.00,1848,211219,981057,1299188,1829,211089,980782,1148412,1723,38878,296640,312343,851,1139740,44.4,1139581,45.7,1109565,47.4,770834,59.3,445782,68.7,513548,602058,23913,221,2958473,70.5,2567393,61.2,6553484,156219,213748,981169,1373145,211232,1847,
05/10/2022,19,KY,8959075,382900.00,3696600.00,4879575.00,0,200531.00,235383.00,258574.00,1193650.00,6551715.00,6385449.00,6031915.00,1848348.00,237045.00,2689540.00,3622599.00,2531.00,146647.00,167766.00,174091.00,246261.00,6611840.00,2958523.00,66.2,2867280.00,75.3,174634,51.0,2692646.00,77.7,728640.00,95,1964006,72.8,2567027.00,57.5,2492913.00,65.5,2341655.00,67.6,648609.00,86.4,211228.00,981069.00,1372883.00,1847,211192,980944,1298949,1828,211062,980669,1148202,1722,38878,296606,312274,851,1139114,44.4,1138956,45.7,1108983,47.4,770454,59.3,445538,68.7,513304,601687,23902,221,2958037,70.5,2566973,61.2,6550512,156148,213562,981056,1372866,211205,1846,
05/09/2022,19,KY,8947975,382800.00,3690800.00,4874375.00,0,200283.00,235091.00,258254.00,1192170.00,6549976.00,6383739.00,6030280.00,1847562.00,237036.00,2688840.00,3621569.00,2531.00,146608.00,167721.00,174044.00,246156.00,6610020.00,2958242.00,66.2,2867016.00,75.3,174619,51.0,2692397.00,77.7,728580.00,95,1963817,72.8,2566754.00,57.5,2492656.00,65.5,2341419.00,67.6,648538.00,86.4,211218.00,980964.00,1372725.00,1847,211182,980839,1298807,1828,211052,980564,1148081,1722,38878,296574,312235,851,1138779,44.4,1138621,45.7,1108684,47.4,770280,59.3,445456,68.7,513170,601486,23902,221,2957757,70.5,2566700,61.2,6548774,156107,213298,980951,1372708,211195,1846,
05/08/2022,19,KY,8947975,382800.00,3690800.00,4874375.00,0,200283.00,235091.00,258254.00,1192170.00,6548468.00,6382246.00,6028851.00,1846778.00,237028.00,2688260.00,3620649.00,2531.00,146574.00,167682.00,174003.00,246052.00,6608513.00,2958076.00,66.2,2866856.00,75.3,174601,51.0,2692255.00,77.7,728543.00,95,1963712,72.8,2566551.00,57.4,2492463.00,65.5,2341243.00,67.6,648476.00,86.4,211211.00,980897.00,1372596.00,1847,211175,980772,1298688,1828,211045,980497,1147979,1722,38878,296544,312203,851,1138534,44.4,1138376,45.7,1108467,47.3,770161,59.3,445393,68.7,513089,601322,23902,221,2957592,70.5,2566497,61.2,6547266,156071,213298,980884,1372579,211188,1846,
