Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MA,17219610,619300.00,6549520.00,10050790.00,0,249831.00,286195.00,310840.00,1472600.00,15046711.00,14462105.00,13507388.00,3532638.00,404629.00,5915483.00,8726150.00,449,218305.00,240364.00,243829.00,302107.00,15117404.00,6800886.00,95,6480786.00,95,455799,95.0,6024987.00,95,1429380.00,95,4595607,95.0,5467431.00,79.3,5204763.00,86.5,4828305.00,87.2,1137189.00,95,382089.00,1924571.00,3160558.00,213,382059,1924530,2897965,209,380794,1919132,2528191,188,74444,517488,545180,77,2819006,51.6,2818112,54.1,2689962,55.7,1573813,64.9,810701,71.3,1310489,1481356,27131,30,6794152,95,5463171,83.6,15035630,230074,263493,1924562,3156314,382083,212,
05/16/2022,20,MA,17212010,619300.00,6543020.00,10049690.00,0,249721.00,286068.00,310703.00,1471950.00,15016593.00,14432872.00,13479058.00,3518667.00,404542.00,5901462.00,8710140.00,449,217869.00,239878.00,243317.00,300913.00,15087352.00,6795987.00,95,6476324.00,95,455546,94.9,6020778.00,95,1427750.00,95,4593028,94.9,5463807.00,79.3,5201475.00,86.4,4825158.00,87.1,1135557.00,95,382024.00,1923002.00,3158568.00,213,381994,1922961,2896311,209,380729,1917565,2526676,188,74441,516624,544415,77,2814127,51.5,2813340,54.1,2685691,55.7,1570936,64.9,809135,71.3,1308573,1478411,27113,30,6789396,95,5459644,83.5,15005756,229616,263376,1922993,3154421,382018,212,
05/15/2022,20,MA,17208110,619300.00,6543020.00,10045790.00,0,249664.00,286004.00,310632.00,1471620.00,15016316.00,14432596.00,13478783.00,3518496.00,404537.00,5901284.00,8710046.00,449,217864.00,239874.00,243312.00,300898.00,15086876.00,6795737.00,95,6476075.00,95,455544,94.9,6020531.00,95,1427611.00,95,4592920,94.9,5463662.00,79.3,5201331.00,86.4,4825014.00,87.1,1135480.00,95,382019.00,1922919.00,3158511.00,213,381989,1922878,2896255,209,380724,1917482,2526620,188,74441,516576,544386,77,2814095,51.5,2813308,54.1,2685660,55.7,1570920,64.9,809126,71.3,1308559,1478393,27113,30,6789146,95,5459499,83.5,15005479,229612,263317,1922910,3154364,382013,212,
05/14/2022,19,MA,17208010,619300.00,6542920.00,10045790.00,0,249663.00,286002.00,310631.00,1471610.00,15015831.00,14432111.00,13478300.00,3518142.00,404531.00,5900993.00,8709858.00,449,217857.00,239866.00,243304.00,300868.00,15086169.00,6795465.00,95,6475806.00,95,455540,94.9,6020266.00,95,1427458.00,95,4592808,94.9,5463486.00,79.3,5201155.00,86.4,4824840.00,87.1,1135380.00,95,382010.00,1922838.00,3158425.00,213,381980,1922797,2896169,209,380715,1917401,2526536,188,74440,516524,544339,77,2813997,51.5,2813210,54.1,2685563,55.7,1570847,64.9,809067,71.3,1308500,1478356,27111,30,6788874,95,5459323,83.5,15004994,229605,263315,1922829,3154278,382004,212,
05/13/2022,19,MA,17188110,619300.00,6535820.00,10032990.00,0,249374.00,285671.00,310271.00,1469910.00,15002124.00,14418733.00,13465231.00,3510608.00,404498.00,5894632.00,8702545.00,449,217659.00,239643.00,243068.00,300223.00,15072477.00,6793244.00,95,6473739.00,95,455456,94.9,6018283.00,95,1426533.00,95,4591750,94.9,5461831.00,79.2,5199635.00,86.4,4823380.00,87.1,1134552.00,95,381983.00,1922085.00,3157551.00,212,381953,1922044,2895430,208,380688,1916649,2525856,187,74439,516054,543982,77,2811850,51.5,2811095,54.1,2683608,55.6,1569476,64.9,808208,71.2,1307659,1477058,27104,29,6786710,95,5457704,83.5,14991382,229396,263011,1922076,3153440,381977,211,
05/12/2022,19,MA,17163210,619300.00,6528820.00,10015090.00,0,249013.00,285257.00,309822.00,1467780.00,14973037.00,14390362.00,13437467.00,3493758.00,404434.00,5881572.00,8686583.00,448,217237.00,239172.00,242567.00,298782.00,15043824.00,6788815.00,95,6469676.00,95,455291,94.9,6014385.00,95,1424563.00,95,4589822,94.9,5458519.00,79.2,5196624.00,86.4,4820496.00,87,1132807.00,95,381930.00,1920673.00,3155704.00,212,381900,1920632,2893884,208,380637,1915238,2524434,187,74435,515162,543133,77,2807252,51.4,2806538,54,2679354,55.6,1566456,64.8,806301,71.2,1305831,1474308,27084,29,6782403,95,5454482,83.5,14962509,228955,262630,1920664,3151683,381924,211,
05/11/2022,19,MA,17136710,619000.00,6509920.00,10007790.00,0,248628.00,284817.00,309343.00,1465510.00,14972695.00,14390021.00,13437131.00,3493519.00,404423.00,5881316.00,8686508.00,448,217232.00,239166.00,242560.00,298762.00,15042249.00,6788267.00,95,6469146.00,95,455289,94.9,6013857.00,95,1424324.00,95,4589533,94.9,5457960.00,79.2,5196055.00,86.4,4819938.00,87,1132572.00,95,381898.00,1920396.00,3155455.00,211,381868,1920355,2893625,207,380605,1914961,2524186,186,74435,515032,543029,76,2806941,51.4,2806227,54,2679052,55.6,1566318,64.8,806202,71.2,1305675,1474154,27084,28,6781856,95,5453923,83.5,14962167,228949,262224,1920387,3151434,381892,210,
05/10/2022,19,MA,17115710,619000.00,6499620.00,9997090.00,0,248324.00,284468.00,308964.00,1463720.00,14962610.00,14380208.00,13427612.00,3488176.00,404389.00,5876925.00,8680848.00,448,217085.00,239003.00,242389.00,298305.00,15032085.00,6786437.00,95,6467470.00,95,455201,94.9,6012269.00,95,1423544.00,95,4588725,94.9,5456798.00,79.2,5194986.00,86.3,4818917.00,87,1132021.00,95,381868.00,1919926.00,3154793.00,211,381838,1919885,2893056,207,380575,1914492,2523664,186,74434,514756,542755,76,2805174,51.4,2804484,54,2677465,55.6,1565249,64.8,805555,71.2,1305002,1473071,27073,28,6780074,95,5452783,83.4,14952152,228796,261903,1919917,3150794,381862,210,
05/09/2022,19,MA,17101510,618900.00,6496920.00,9985690.00,0,248118.00,284232.00,308708.00,1462500.00,14933003.00,14351399.00,13399657.00,3473568.00,404284.00,5863118.00,8665153.00,448,216656.00,238524.00,241884.00,297056.00,15002705.00,6781854.00,95,6463273.00,95,454937,94.8,6008336.00,95,1421881.00,95,4586455,94.8,5453165.00,79.1,5191683.00,86.3,4815758.00,86.9,1130337.00,95,381784.00,1918273.00,3152897.00,211,381754,1918232,2891490,207,380492,1912841,2522239,186,74425,513805,542031,76,2800590,51.4,2799982,53.9,2673393,55.5,1562479,64.7,803988,71.1,1303178,1470333,27051,28,6775641,95,5449253,83.4,14922807,228347,261685,1918264,3149001,381778,210,
05/08/2022,19,MA,17101510,618900.00,6496920.00,9985690.00,0,248118.00,284232.00,308708.00,1462500.00,14933003.00,14351399.00,13399657.00,3473568.00,404284.00,5863118.00,8665153.00,448,216656.00,238524.00,241884.00,297056.00,15001787.00,6781276.00,95,6462699.00,95,454912,94.8,6007787.00,95,1421699.00,95,4586088,94.8,5452905.00,79.1,5191428.00,86.3,4815510.00,86.9,1130204.00,95,381778.00,1918222.00,3152694.00,211,381748,1918181,2891292,207,380486,1912790,2522048,186,74424,513778,541926,76,2800538,51.4,2799930,53.9,2673344,55.5,1562455,64.7,803977,71.1,1303156,1470304,27050,28,6775064,95,5448993,83.4,14922807,228347,261685,1918213,3148798,381772,210,
