Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MD,16103870,608100.00,5518860.00,9976910.00,0,266370.00,311916.00,341836.00,1678540.00,12199469.00,11720347.00,10855836.00,2791672.00,366568.00,4429357.00,7385206.00,18338.00,201788.00,227011.00,230436.00,290982.00,12309983.00,5242889.00,86.7,4986908.00,95,395535,95.0,4591373.00,95,1011942.00,95,3579431,95.0,4587804.00,75.9,4366575.00,84.6,4016224.00,85.3,915012.00,95,327297.00,1525768.00,2730079.00,4660,327118,1525652,2509274,4531,326899,1525010,2160168,4147,55310,436231,422205,1266,2346947,51.2,2345618,53.7,2233105,55.6,1358605,67.9,696180,76.1,976553,1333571,35819,1004,5241859,92.2,4587638,80.7,12198336,214618,283332,1525733,2729993,327256,4656,
05/16/2022,20,MD,16102870,608100.00,5518060.00,9976710.00,0,266353.00,311897.00,341815.00,1678440.00,12190074.00,11711194.00,10847008.00,2787310.00,366524.00,4425504.00,7379736.00,18310.00,201633.00,226834.00,230249.00,290528.00,12300498.00,5241922.00,86.7,4986080.00,95,395463,95.0,4590617.00,95,1011738.00,95,3578879,95.0,4586931.00,75.9,4365799.00,84.6,4015501.00,85.2,914744.00,95,327264.00,1525487.00,2729522.00,4658,327085,1525371,2508814,4529,326867,1524730,2159758,4146,55308,436109,422062,1265,2345529,51.1,2344207,53.7,2231874,55.6,1357875,67.8,695826,76.1,976104,1332614,35811,1000,5240894,92.2,4586765,80.7,12188943,214453,283315,1525452,2729436,327223,4654,
05/15/2022,20,MD,16099870,608100.00,5518060.00,9973710.00,0,266304.00,311839.00,341751.00,1678130.00,12183176.00,11704430.00,10840502.00,2784282.00,366514.00,4422776.00,7375578.00,18308.00,201519.00,226703.00,230111.00,290212.00,12293501.00,5241359.00,86.7,4985583.00,95,395421,95.0,4590162.00,95,1011580.00,95,3578582,95.0,4586347.00,75.9,4365286.00,84.6,4015017.00,85.2,914587.00,95,327253.00,1525304.00,2729131.00,4659,327074,1525188,2508494,4530,326856,1524547,2159467,4147,55307,436049,421966,1265,2344514,51.1,2343193,53.7,2231037,55.6,1357371,67.8,695622,76.1,975802,1331903,35809,1000,5240334,92.2,4586181,80.7,12182047,214331,283262,1525269,2729045,327212,4655,
05/14/2022,19,MD,16099870,608100.00,5518060.00,9973710.00,0,266304.00,311839.00,341751.00,1678130.00,12173137.00,11694617.00,10831054.00,2779987.00,366497.00,4418791.00,7369544.00,18305.00,201353.00,226513.00,229910.00,289764.00,12283303.00,5240484.00,86.7,4984839.00,95,395351,95.0,4589488.00,95,1011390.00,95,3578098,95.0,4585503.00,75.8,4364539.00,84.5,4014309.00,85.2,914317.00,95,327243.00,1525018.00,2728583.00,4659,327064,1524902,2508043,4530,326846,1524261,2159055,4147,55306,435934,421812,1265,2343064,51.1,2341747,53.7,2229842,55.5,1356706,67.8,695354,76.1,975375,1330888,35801,1000,5239460,92.2,4585338,80.7,12172008,214155,283262,1524983,2728498,327202,4655,
05/13/2022,19,MD,16068070,607900.00,5497960.00,9962210.00,0,265778.00,311223.00,341076.00,1674810.00,12160786.00,11682700.00,10819528.00,2774002.00,366463.00,4413422.00,7362621.00,18280.00,201148.00,226282.00,229666.00,289140.00,12270939.00,5239203.00,86.7,4983768.00,95,395275,94.9,4588493.00,95,1011115.00,95,3577378,94.9,4584266.00,75.8,4363523.00,84.5,4013366.00,85.2,913963.00,95,327219.00,1524639.00,2727753.00,4655,327040,1524523,2507432,4528,326822,1523882,2158517,4145,55305,435767,421626,1265,2341169,51.1,2339857,53.6,2228178,55.5,1355652,67.8,694816,76,974724,1329658,35792,995,5238181,92.2,4584101,80.7,12159659,213938,282702,1524604,2727668,327178,4651,
05/12/2022,19,MD,16049070,607900.00,5494660.00,9946510.00,0,265463.00,310855.00,340673.00,1672830.00,12146202.00,11668560.00,10805685.00,2766313.00,366422.00,4405629.00,7355896.00,18255.00,200907.00,226008.00,229372.00,288339.00,12256285.00,5237891.00,86.6,4982670.00,95,395205,94.9,4587465.00,95,1010788.00,95,3576677,94.9,4582996.00,75.8,4362468.00,84.5,4012361.00,85.2,913549.00,95,327192.00,1524219.00,2726933.00,4652,327013,1524105,2506825,4525,326795,1523466,2157957,4143,55304,435561,421419,1265,2338887,51,2337582,53.6,2226082,55.5,1354329,67.7,694145,76,973597,1328518,35785,987,5236877,92.1,4582831,80.6,12145083,213681,282368,1524184,2726848,327151,4648,
05/11/2022,19,MD,16019970,607300.00,5468860.00,9943810.00,0,264982.00,310291.00,340055.00,1669800.00,12135064.00,11657769.00,10795230.00,2760496.00,366373.00,4400781.00,7349675.00,18235.00,200723.00,225799.00,229150.00,287733.00,12245032.00,5236790.00,86.6,4981747.00,95,395139,94.9,4586608.00,95,1010554.00,95,3576054,94.9,4581808.00,75.8,4361428.00,84.5,4011392.00,85.1,913192.00,95,327159.00,1523858.00,2726143.00,4648,326982,1523744,2506181,4521,326764,1523105,2157384,4139,55301,435400,421226,1265,2336978,51,2335677,53.6,2224374,55.5,1353260,67.7,693552,75.9,972883,1327339,35771,985,5235778,92.1,4581643,80.6,12133947,213485,281856,1523823,2726058,327118,4644,
05/10/2022,19,MD,15999370,607300.00,5466860.00,9925210.00,0,264641.00,309892.00,339618.00,1667650.00,12125048.00,11648099.00,10785845.00,2755549.00,366317.00,4396671.00,7343864.00,18196.00,200557.00,225612.00,228951.00,287217.00,12234710.00,5235603.00,86.6,4980739.00,95,395064,94.9,4585675.00,95,1010294.00,95,3575381,94.9,4580586.00,75.8,4360368.00,84.5,4010406.00,85.1,912810.00,95,327112.00,1523474.00,2725358.00,4642,326935,1523360,2505556,4517,326718,1522721,2156831,4136,55299,435218,421031,1262,2335315,51,2334014,53.5,2222858,55.4,1352340,67.7,693113,75.9,972258,1326320,35763,974,5234595,92.1,4580421,80.6,12123935,213309,281494,1523439,2725273,327071,4638,
05/09/2022,19,MD,15985370,607300.00,5465760.00,9912310.00,0,264410.00,309621.00,339321.00,1666190.00,12117551.00,11640809.00,10778823.00,2751648.00,366281.00,4393630.00,7339474.00,18166.00,200433.00,225471.00,228802.00,286810.00,12227298.00,5234837.00,86.6,4980084.00,95,395011,94.9,4585073.00,95,1010107.00,95,3574966,94.9,4579828.00,75.8,4359701.00,84.4,4009790.00,85.1,912575.00,95,327097.00,1523245.00,2724849.00,4637,326920,1523131,2505138,4512,326703,1522494,2156460,4133,55298,435112,420906,1259,2334103,51,2332804,53.5,2221790,55.4,1351672,67.7,692730,75.9,971872,1325510,35756,965,5233830,92.1,4579663,80.6,12116439,213177,281247,1523210,2724764,327056,4633,
05/08/2022,19,MD,15985370,607300.00,5465760.00,9912310.00,0,264410.00,309621.00,339321.00,1666190.00,12113770.00,11637154.00,10775358.00,2750126.00,366264.00,4392012.00,7337333.00,18161.00,200371.00,225400.00,228728.00,286652.00,12223353.00,5234359.00,86.6,4979674.00,95,394983,94.9,4584691.00,95,1009998.00,95,3574693,94.9,4579369.00,75.7,4359297.00,84.4,4009407.00,85.1,912453.00,95,327081.00,1523079.00,2724573.00,4636,326904,1522965,2504917,4511,326687,1522328,2156260,4132,55297,435056,420841,1259,2333416,51,2332118,53.5,2221236,55.4,1351354,67.7,692616,75.9,971657,1325044,35752,963,5233352,92.1,4579204,80.6,12112658,213111,281247,1523044,2724488,327040,4632,
