Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,69671.00,62995.00,55894.00,3413.00,2867.00,52314.00,14488.00,2,89619.00,109807.00,117600.00,91452.00,69745.00,35733.00,46,31053.00,54.1,4333,44.0,26720.00,56.2,1507.00,40.4,25213,57.5,28044.00,36.1,26083.00,45.5,23542.00,49.5,1338.00,35.9,2822.00,20560.00,4659.00,3,2819,20551,2710,3,2810,20518,211,3,121,1212,5,0,8141,29,8139,31.2,8086,34.3,2493,44.6,650,48.6,7740,372,29,0,35709,51.6,28033,40.5,69637,100634,154455,20555,4654,2821,3,
05/16/2022,20,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,69671.00,62995.00,55894.00,3413.00,2867.00,52314.00,14488.00,2,89619.00,109807.00,117600.00,91452.00,69745.00,35733.00,46,31053.00,54.1,4333,44.0,26720.00,56.2,1507.00,40.4,25213,57.5,28044.00,36.1,26083.00,45.5,23542.00,49.5,1338.00,35.9,2822.00,20560.00,4659.00,3,2819,20551,2710,3,2810,20518,211,3,121,1212,5,0,8141,29,8139,31.2,8086,34.3,2493,44.6,650,48.6,7740,372,29,0,35709,51.6,28033,40.5,69637,100634,154455,20555,4654,2821,3,
05/15/2022,20,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,69671.00,62995.00,55894.00,3413.00,2867.00,52314.00,14488.00,2,89619.00,109807.00,117600.00,91452.00,69745.00,35733.00,46,31053.00,54.1,4333,44.0,26720.00,56.2,1507.00,40.4,25213,57.5,28044.00,36.1,26083.00,45.5,23542.00,49.5,1338.00,35.9,2822.00,20560.00,4659.00,3,2819,20551,2710,3,2810,20518,211,3,121,1212,5,0,8141,29,8139,31.2,8086,34.3,2493,44.6,650,48.6,7740,372,29,0,35709,51.6,28033,40.5,69637,100634,154455,20555,4654,2821,3,
05/14/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/13/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/12/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/11/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/10/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/09/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
05/08/2022,19,MH,106880,12600.00,57000.00,37280.00,0,137482.00,186303.00,224873.00,2863880.00,67997.00,61931.00,55044.00,3347.00,2846.00,51502.00,13647.00,2,87466.00,107952.00,115811.00,89684.00,68073.00,35102.00,45.2,30777.00,53.6,4189,42.5,26588.00,55.9,1501.00,40.2,25087,57.3,27600.00,35.5,25893.00,45.1,23409.00,49.3,1329.00,35.6,2804.00,20446.00,4347.00,3,2801,20437,2652,3,2793,20405,208,3,121,1203,5,0,7593,27.5,7591,29.3,7552,32.3,2353,42.3,621,46.7,7210,354,29,0,35080,50.7,27589,39.9,67965,98218,154455,20441,4342,2803,3,
