Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109387.00,100832.00,88722.00,8824.00,1379.00,15102.00,92897.00,9,210964.00,238430.00,245938.00,235056.00,109549.00,45546.00,87.8,41053.00,95,5399,95.0,35654.00,95,3244.00,86.4,32410,96.0,43344.00,83.6,39286.00,92.9,34133.00,94.6,3119.00,83.1,1168.00,5216.00,36957.00,3,1168,5216,32899,3,1168,5215,27747,3,120,502,2497,0,21097,48.7,21096,53.7,19525,57.2,9518,70.1,2363,75.8,4175,16709,213,0,45541,94.7,43344,90.1,109382,227396,262006,5216,36957,1168,3,
05/16/2022,20,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109368.00,100813.00,88706.00,8819.00,1379.00,15102.00,92878.00,9,210927.00,238385.00,245893.00,234923.00,109530.00,45546.00,87.8,41053.00,95,5399,95.0,35654.00,95,3244.00,86.4,32410,96.0,43341.00,83.6,39283.00,92.9,34130.00,94.6,3119.00,83.1,1168.00,5216.00,36954.00,3,1168,5216,32896,3,1168,5215,27744,3,120,502,2497,0,21089,48.7,21088,53.7,19520,57.2,9516,70,2363,75.8,4175,16701,213,0,45541,94.7,43341,90.1,109363,227356,262006,5216,36954,1168,3,
05/15/2022,20,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109323.00,100771.00,88672.00,8810.00,1379.00,15102.00,92833.00,9,210841.00,238286.00,245799.00,234683.00,109485.00,45541.00,87.8,41051.00,95,5398,95.0,35653.00,95,3243.00,86.4,32410,96.0,43338.00,83.6,39280.00,92.9,34127.00,94.6,3118.00,83.1,1168.00,5216.00,36951.00,3,1168,5216,32893,3,1168,5215,27741,3,120,502,2496,0,21068,48.6,21067,53.6,19506,57.2,9512,70,2362,75.8,4175,16680,213,0,45536,94.7,43338,90.1,109318,227263,262006,5216,36951,1168,3,
05/14/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109323.00,100771.00,88672.00,8810.00,1379.00,15102.00,92833.00,9,210841.00,238286.00,245799.00,234683.00,109484.00,45541.00,87.8,41051.00,95,5398,95.0,35653.00,95,3243.00,86.4,32410,96.0,43338.00,83.6,39280.00,92.9,34127.00,94.6,3118.00,83.1,1168.00,5216.00,36951.00,3,1168,5216,32893,3,1168,5215,27741,3,120,502,2496,0,21067,48.6,21066,53.6,19505,57.2,9511,70,2361,75.7,4174,16680,213,0,45536,94.7,43338,90.1,109318,227263,262006,5216,36951,1168,3,
05/13/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109323.00,100771.00,88672.00,8810.00,1379.00,15102.00,92833.00,9,210841.00,238286.00,245799.00,234683.00,109484.00,45541.00,87.8,41051.00,95,5398,95.0,35653.00,95,3243.00,86.4,32410,96.0,43338.00,83.6,39280.00,92.9,34127.00,94.6,3118.00,83.1,1168.00,5216.00,36951.00,3,1168,5216,32893,3,1168,5215,27741,3,120,502,2496,0,21067,48.6,21066,53.6,19505,57.2,9511,70,2361,75.7,4174,16680,213,0,45536,94.7,43338,90.1,109318,227263,262006,5216,36951,1168,3,
05/12/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109240.00,100688.00,88592.00,8785.00,1379.00,15083.00,92769.00,9,210681.00,238089.00,245577.00,234017.00,109401.00,45536.00,87.8,41046.00,95,5398,95.0,35648.00,95,3243.00,86.4,32405,95.9,43334.00,83.6,39276.00,92.9,34124.00,94.6,3118.00,83.1,1168.00,5215.00,36948.00,3,1168,5215,32890,3,1168,5214,27739,3,120,502,2496,0,21042,48.6,21041,53.6,19482,57.1,9498,69.9,2357,75.6,4166,16663,213,0,45531,94.7,43334,90.1,109235,227090,262006,5215,36948,1168,3,
05/11/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109240.00,100688.00,88592.00,8785.00,1379.00,15083.00,92769.00,9,210681.00,238089.00,245577.00,234017.00,109375.00,45519.00,87.8,41029.00,95,5394,94.9,35635.00,95,3240.00,86.3,32395,95.9,43328.00,83.6,39270.00,92.9,34119.00,94.6,3117.00,83,1168.00,5215.00,36942.00,3,1168,5215,32884,3,1168,5214,27734,3,120,502,2495,0,21040,48.6,21039,53.6,19480,57.1,9496,69.9,2355,75.6,4166,16661,213,0,45514,94.6,43328,90.1,109235,227090,262006,5215,36942,1168,3,
05/10/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109218.00,100666.00,88572.00,8778.00,1379.00,15081.00,92749.00,9,210638.00,238037.00,245522.00,233831.00,109353.00,45518.00,87.8,41028.00,95,5394,94.9,35634.00,95,3240.00,86.3,32394,95.9,43326.00,83.6,39268.00,92.9,34117.00,94.6,3117.00,83,1168.00,5215.00,36940.00,3,1168,5215,32882,3,1168,5214,27732,3,120,502,2495,0,21036,48.6,21035,53.6,19477,57.1,9494,69.9,2355,75.6,4166,16657,213,0,45513,94.6,43326,90.1,109213,227045,262006,5215,36940,1168,3,
05/09/2022,19,MP,126030,3600.00,25720.00,96710.00,0,243062.00,298014.00,349356.00,3357220.00,109200.00,100648.00,88555.00,8769.00,1379.00,15074.00,92738.00,9,210603.00,237995.00,245475.00,233591.00,109333.00,45516.00,87.8,41026.00,95,5394,94.9,35632.00,95,3238.00,86.3,32394,95.9,43325.00,83.6,39267.00,92.9,34117.00,94.6,3117.00,83,1168.00,5215.00,36939.00,3,1168,5215,32881,3,1168,5214,27732,3,120,502,2495,0,21036,48.6,21035,53.6,19477,57.1,9494,69.9,2355,75.6,4166,16657,213,0,45511,94.6,43325,90.1,109195,227007,262006,5215,36939,1168,3,
05/08/2022,19,MP,125430,3600.00,25720.00,96110.00,0,241905.00,296595.00,347692.00,3341240.00,109200.00,100648.00,88555.00,8769.00,1379.00,15074.00,92738.00,9,210603.00,237995.00,245475.00,233591.00,109333.00,45516.00,87.8,41026.00,95,5394,94.9,35632.00,95,3238.00,86.3,32394,95.9,43325.00,83.6,39267.00,92.9,34117.00,94.6,3117.00,83,1168.00,5215.00,36939.00,3,1168,5215,32881,3,1168,5214,27732,3,120,502,2495,0,21036,48.6,21035,53.6,19477,57.1,9494,69.9,2355,75.6,4166,16657,213,0,45511,94.6,43325,90.1,109195,227007,260758,5215,36939,1168,3,
