Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MS,5614315,228600.00,2272160.00,3113555.00,0,188644.00,222664.00,246505.00,1153560.00,3896920.00,3820789.00,3607070.00,1151830.00,93670.00,1567315.00,2232760.00,3175.00,130938.00,151533.00,158374.00,236665.00,3935535.00,1777592.00,59.7,1735147.00,68.8,111908,45.6,1623239.00,71.3,447274.00,91.9,1175965,65.7,1546195.00,52,1512660.00,60,1419369.00,62.3,409681.00,84.2,86452.00,587340.00,871034.00,1369,86433,587318,837542,1367,86346,586961,744747,1315,17792,207880,183413,596,579970,37.5,579845,38.3,569065,40.1,431894,53.1,257986,63,269463,301534,8220,753,1777418,63.6,1546163,55.4,3896729,139534,201037,587332,871022,86440,1369,
05/16/2022,20,MS,5613015,228600.00,2271660.00,3112755.00,0,188600.00,222613.00,246448.00,1153300.00,3892931.00,3816916.00,3603363.00,1149958.00,93650.00,1565617.00,2230493.00,3171.00,130804.00,151379.00,158211.00,236280.00,3931634.00,1777049.00,59.7,1734657.00,68.8,111871,45.6,1622786.00,71.3,447192.00,91.9,1175594,65.7,1545698.00,51.9,1512218.00,60,1418979.00,62.3,409558.00,84.2,86439.00,587200.00,870691.00,1368,86420,587178,837254,1366,86333,586821,744511,1314,17792,207814,183356,596,579141,37.5,579019,38.3,568308,40.1,431434,53.1,257745,62.9,269170,301007,8212,752,1776875,63.6,1545666,55.3,3892740,139391,200991,587192,870679,86427,1368,
05/15/2022,20,MS,5611715,228600.00,2271660.00,3111455.00,0,188556.00,222561.00,246391.00,1153030.00,3892930.00,3816915.00,3603362.00,1149958.00,93649.00,1565617.00,2230493.00,3171.00,130804.00,151379.00,158211.00,236280.00,3931585.00,1777021.00,59.7,1734629.00,68.8,111869,45.6,1622760.00,71.2,447182.00,91.9,1175578,65.7,1545688.00,51.9,1512210.00,60,1418971.00,62.3,409556.00,84.2,86437.00,587199.00,870684.00,1368,86418,587177,837249,1366,86331,586820,744506,1314,17792,207814,183354,596,579136,37.5,579014,38.3,568304,40.1,431433,53.1,257744,62.9,269168,301004,8212,752,1776847,63.6,1545656,55.3,3892739,139391,200944,587191,870672,86425,1368,
05/14/2022,19,MS,5611715,228600.00,2271660.00,3111455.00,0,188556.00,222561.00,246391.00,1153030.00,3892858.00,3816846.00,3603293.00,1149909.00,93648.00,1565557.00,2230482.00,3171.00,130802.00,151377.00,158208.00,236270.00,3931460.00,1776976.00,59.7,1734586.00,68.8,111868,45.6,1622718.00,71.2,447171.00,91.9,1175547,65.7,1545657.00,51.9,1512183.00,60,1418946.00,62.3,409551.00,84.1,86430.00,587192.00,870668.00,1367,86411,587170,837237,1365,86324,586813,744495,1314,17792,207810,183353,596,579116,37.5,578994,38.3,568284,40,431416,53.1,257729,62.9,269153,300999,8212,752,1776802,63.6,1545625,55.3,3892667,139389,200944,587184,870656,86418,1367,
05/13/2022,19,MS,5604215,228200.00,2270060.00,3105955.00,0,188304.00,222264.00,246062.00,1151490.00,3890525.00,3814564.00,3601064.00,1148687.00,93626.00,1564435.00,2229312.00,3152.00,130723.00,151286.00,158110.00,236019.00,3929090.00,1776631.00,59.7,1734272.00,68.8,111846,45.6,1622426.00,71.2,447114.00,91.9,1175312,65.7,1545314.00,51.9,1511862.00,60,1418647.00,62.3,409469.00,84.1,86406.00,587077.00,870476.00,1355,86387,587055,837067,1353,86300,586698,744347,1302,17788,207761,183328,592,578653,37.4,578531,38.3,567831,40,431091,53.1,257539,62.9,268938,300757,8211,747,1776458,63.6,1545282,55.3,3890335,139305,200676,587069,870464,86394,1355,
05/12/2022,19,MS,5592015,228200.00,2267060.00,3096755.00,0,187894.00,221780.00,245526.00,1148980.00,3888226.00,3812338.00,3598926.00,1147480.00,93610.00,1563403.00,2228062.00,3151.00,130646.00,151198.00,158016.00,235771.00,3926741.00,1776295.00,59.7,1733974.00,68.8,111814,45.6,1622160.00,71.2,447050.00,91.9,1175110,65.7,1545007.00,51.9,1511593.00,59.9,1418405.00,62.3,409402.00,84.1,86387.00,586983.00,870283.00,1354,86369,586965,836907,1352,86282,586609,744213,1301,17787,207723,183301,591,578168,37.4,578047,38.2,567377,40,430792,53,257368,62.9,268737,300476,8210,745,1776123,63.6,1544975,55.3,3888037,139223,200239,586975,870271,86375,1354,
05/11/2022,19,MS,5584115,228000.00,2261260.00,3094855.00,0,187629.00,221467.00,245179.00,1147360.00,3885828.00,3810001.00,3596658.00,1146238.00,93578.00,1562305.00,2226802.00,3143.00,130566.00,151105.00,157917.00,235516.00,3924261.00,1775931.00,59.7,1733645.00,68.8,111792,45.6,1621853.00,71.2,446990.00,91.8,1174863,65.6,1544644.00,51.9,1511257.00,59.9,1418097.00,62.3,409326.00,84.1,86357.00,586874.00,870064.00,1349,86339,586856,836715,1347,86252,586500,744047,1298,17784,207680,183271,591,577680,37.4,577561,38.2,566916,40,430498,53,257201,62.8,268548,300184,8206,742,1775759,63.6,1544612,55.3,3885639,139137,199956,586866,870052,86345,1349,
05/10/2022,19,MS,5577815,227900.00,2259460.00,3090455.00,0,187417.00,221217.00,244902.00,1146060.00,3884090.00,3808307.00,3595010.00,1145305.00,93568.00,1561465.00,2225920.00,3137.00,130507.00,151038.00,157844.00,235324.00,3922473.00,1775696.00,59.7,1733431.00,68.7,111782,45.6,1621649.00,71.2,446935.00,91.8,1174714,65.6,1544415.00,51.9,1511047.00,59.9,1417905.00,62.3,409266.00,84.1,86345.00,586799.00,869926.00,1345,86327,586781,836596,1343,86240,586425,743946,1294,17783,207653,183240,590,577320,37.4,577201,38.2,566576,40,430247,53,257061,62.8,268400,299976,8206,738,1775525,63.6,1544383,55.3,3883902,139075,199730,586791,869914,86333,1345,
05/09/2022,19,MS,5573915,227700.00,2257360.00,3088855.00,0,187286.00,221062.00,244731.00,1145260.00,3880619.00,3804937.00,3591775.00,1143700.00,93538.00,1560017.00,2223927.00,3137.00,130391.00,150904.00,157702.00,234994.00,3919002.00,1775165.00,59.6,1732940.00,68.7,111741,45.5,1621199.00,71.2,446856.00,91.8,1174343,65.6,1543857.00,51.9,1510550.00,59.9,1417453.00,62.2,409143.00,84.1,86315.00,586626.00,869571.00,1345,86297,586608,836302,1343,86210,586252,743697,1294,17779,207588,183186,590,576682,37.4,576564,38.2,565992,39.9,429877,52.9,256865,62.8,268152,299590,8202,738,1774994,63.6,1543825,55.3,3880431,138951,199591,586618,869559,86303,1345,
05/08/2022,19,MS,5573915,227700.00,2257360.00,3088855.00,0,187286.00,221062.00,244731.00,1145260.00,3880619.00,3804937.00,3591775.00,1143700.00,93538.00,1560017.00,2223927.00,3137.00,130391.00,150904.00,157702.00,234994.00,3918977.00,1775144.00,59.6,1732919.00,68.7,111741,45.5,1621178.00,71.2,446849.00,91.8,1174329,65.6,1543855.00,51.9,1510548.00,59.9,1417451.00,62.2,409143.00,84.1,86314.00,586626.00,869570.00,1345,86296,586608,836301,1343,86209,586252,743696,1294,17779,207588,183186,590,576681,37.4,576563,38.2,565991,39.9,429876,52.9,256865,62.8,268151,299590,8202,738,1774973,63.6,1543823,55.3,3880431,138951,199591,586618,869558,86302,1345,
