Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,MT,2005695,105200.00,825400.00,1075095.00,0,187662.00,218581.00,238719.00,971577.00,1602756.00,1560428.00,1478884.00,525826.00,61267.00,675073.00,864130.00,2286.00,149962.00,170056.00,176018.00,254715.00,1607823.00,698675.00,65.4,675077.00,73.6,39953,51.8,635124.00,75.6,197493.00,95,437631,69.2,608173.00,56.9,589566.00,64.3,555346.00,66.1,178060.00,86.3,55136.00,238145.00,314366.00,526,55129,238121,295791,525,55058,238000,261774,514,10120,85705,81991,244,291819,48,291749,49.5,284818,51.3,200139,62.5,125600,70.5,136990,149283,5155,391,698537,69.3,608144,60.4,1602580,159046,199052,238129,314358,55131,526,
05/16/2022,20,MT,2004895,105200.00,825200.00,1074495.00,0,187588.00,218494.00,238624.00,971190.00,1602755.00,1560427.00,1478883.00,525826.00,61267.00,675073.00,864129.00,2286.00,149961.00,170056.00,176018.00,254715.00,1607781.00,698655.00,65.4,675057.00,73.6,39953,51.8,635104.00,75.6,197484.00,95,437620,69.2,608167.00,56.9,589560.00,64.3,555340.00,66.1,178057.00,86.3,55136.00,238143.00,314362.00,526,55129,238119,295787,525,55058,237998,261770,514,10120,85703,81990,244,291812,48,291742,49.5,284811,51.3,200134,62.5,125596,70.5,136989,149278,5154,391,698517,69.3,608138,60.4,1602579,159046,198973,238127,314354,55131,526,
05/15/2022,20,MT,2004895,105200.00,825200.00,1074495.00,0,187588.00,218494.00,238624.00,971190.00,1602748.00,1560420.00,1478876.00,525820.00,61267.00,675066.00,864129.00,2286.00,149961.00,170055.00,176017.00,254712.00,1607761.00,698646.00,65.4,675048.00,73.6,39953,51.8,635095.00,75.6,197476.00,95,437619,69.2,608162.00,56.9,589555.00,64.2,555335.00,66.1,178054.00,86.3,55136.00,238139.00,314361.00,526,55129,238115,295786,525,55058,237994,261769,514,10120,85700,81990,244,291810,48,291740,49.5,284809,51.3,200133,62.5,125595,70.5,136988,149277,5154,391,698508,69.3,608133,60.4,1602572,159045,198973,238123,314353,55131,526,
05/14/2022,19,MT,2004895,105200.00,825200.00,1074495.00,0,187588.00,218494.00,238624.00,971190.00,1602678.00,1560353.00,1478812.00,525793.00,61267.00,675012.00,864113.00,2286.00,149954.00,170048.00,176009.00,254699.00,1607661.00,698625.00,65.4,675029.00,73.6,39952,51.8,635077.00,75.6,197471.00,95,437606,69.2,608135.00,56.9,589529.00,64.2,555310.00,66.1,178040.00,86.2,55136.00,238123.00,314350.00,526,55129,238099,295776,525,55058,237978,261760,514,10120,85691,81985,244,291784,48,291714,49.5,284784,51.3,200116,62.5,125586,70.5,136966,149273,5154,391,698487,69.3,608106,60.4,1602502,159038,198973,238107,314342,55131,526,
05/13/2022,19,MT,2003195,105200.00,825000.00,1072995.00,0,187429.00,218309.00,238422.00,970366.00,1602547.00,1560224.00,1478685.00,525717.00,61267.00,674892.00,864102.00,2286.00,149942.00,170034.00,175994.00,254662.00,1607492.00,698568.00,65.4,674973.00,73.6,39952,51.8,635021.00,75.6,197439.00,95,437582,69.2,608106.00,56.9,589501.00,64.2,555283.00,66.1,178030.00,86.2,55136.00,238103.00,314341.00,526,55129,238079,295768,525,55058,237958,261753,514,10120,85684,81982,244,291754,48,291684,49.5,284755,51.3,200094,62.5,125572,70.5,136943,149266,5154,391,698430,69.3,608077,60.3,1602371,159025,198804,238087,314333,55131,526,
05/12/2022,19,MT,2000495,105200.00,824700.00,1070595.00,0,187176.00,218014.00,238100.00,969058.00,1601134.00,1558846.00,1477329.00,524836.00,61256.00,674275.00,863318.00,2285.00,149810.00,169883.00,175833.00,254235.00,1606088.00,698439.00,65.3,674856.00,73.5,39949,51.8,634907.00,75.6,197392.00,95,437515,69.2,607962.00,56.9,589378.00,64.2,555174.00,66.1,177983.00,86.2,55129.00,238046.00,314261.00,526,55122,238022,295709,525,55051,237901,261708,514,10119,85654,81966,244,291556,48,291486,49.5,284561,51.3,199968,62.5,125495,70.5,136849,149164,5152,391,698301,69.3,607933,60.3,1600958,158885,198536,238030,314253,55124,526,
05/11/2022,19,MT,1998195,105200.00,822600.00,1070395.00,0,186961.00,217764.00,237827.00,967944.00,1599010.00,1556779.00,1475317.00,523576.00,61236.00,673384.00,862109.00,2281.00,149611.00,169658.00,175593.00,253625.00,1603922.00,698181.00,65.3,674630.00,73.5,39937,51.8,634693.00,75.5,197325.00,95,437368,69.2,607733.00,56.9,589174.00,64.2,554983.00,66.1,177901.00,86.2,55114.00,237964.00,314129.00,526,55107,237940,295602,525,55036,237819,261614,514,10114,85612,81931,244,291175,47.9,291106,49.4,284213,51.2,199716,62.4,125338,70.5,136682,148960,5145,388,698043,69.3,607704,60.3,1598834,158674,198308,237948,314121,55109,526,
05/10/2022,19,MT,1997795,105200.00,822300.00,1070295.00,0,186923.00,217720.00,237779.00,967750.00,1598974.00,1556747.00,1475286.00,523563.00,61236.00,673360.00,862097.00,2281.00,149608.00,169655.00,175590.00,253619.00,1603862.00,698163.00,65.3,674614.00,73.5,39936,51.8,634678.00,75.5,197317.00,95,437361,69.2,607712.00,56.9,589157.00,64.2,554966.00,66.1,177896.00,86.2,55115.00,237953.00,314118.00,526,55108,237929,295595,525,55037,237808,261607,514,10114,85610,81928,244,291159,47.9,291090,49.4,284198,51.2,199705,62.4,125333,70.5,136670,148956,5145,388,698025,69.3,607683,60.3,1598798,158670,198268,237937,314110,55110,526,
05/09/2022,19,MT,1996695,105000.00,821500.00,1070195.00,0,186820.00,217600.00,237648.00,967218.00,1594628.00,1552469.00,1471129.00,520829.00,61198.00,671406.00,859751.00,2273.00,149201.00,169188.00,175095.00,252294.00,1599598.00,697808.00,65.3,674291.00,73.5,39896,51.7,634395.00,75.5,197213.00,95,437182,69.1,607323.00,56.8,588799.00,64.2,554633.00,66,177752.00,86.1,55089.00,237799.00,313911.00,524,55082,237775,295419,523,55011,237654,261456,512,10113,85534,81863,242,290546,47.8,290478,49.3,283630,51.1,199309,62.3,125100,70.4,136417,148600,5141,388,697670,69.2,607294,60.3,1594452,158239,198159,237783,313903,55084,524,
05/08/2022,19,MT,1996695,105000.00,821500.00,1070195.00,0,186820.00,217600.00,237648.00,967218.00,1594627.00,1552468.00,1471128.00,520828.00,61198.00,671405.00,859751.00,2273.00,149201.00,169188.00,175095.00,252294.00,1599578.00,697796.00,65.3,674279.00,73.5,39896,51.7,634383.00,75.5,197205.00,95,437178,69.1,607316.00,56.8,588792.00,64.2,554626.00,66,177747.00,86.1,55089.00,237796.00,313907.00,524,55082,237772,295415,523,55011,237651,261452,512,10113,85532,81860,242,290545,47.8,290477,49.3,283629,51.1,199308,62.3,125099,70.4,136416,148600,5141,388,697658,69.2,607287,60.3,1594451,158239,198159,237780,313899,55084,524,
