Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NC,22382100,934200.00,8471660.00,12976240.00,0,213405.00,249091.00,273374.00,1278180.00,16887386.00,16370975.00,15376730.00,4592349.00,519286.00,6296780.00,10070369.00,951,161015.00,182193.00,187810.00,262256.00,16789318.00,8877454.00,84.6,8587626.00,95,528062,95.0,8059564.00,95,2242270.00,95,5817294,95.0,6458520.00,61.6,6240254.00,69.4,5838908.00,71.3,1611332.00,92,485815.00,2239900.00,3732642.00,163,485786,2239779,3514527,162,484325,2236684,3117742,157,55410,768557,787296,69,1723402,26.7,1723078,27.6,1664975,28.5,1123912,35.5,637975,39.6,754874,939604,28892,32,8873134,89.8,6456159,65.4,16880715,170887,226578,2239856,3730343,485798,162,
05/16/2022,20,NC,22364500,934000.00,8456660.00,12973840.00,0,213237.00,248895.00,273159.00,1277170.00,16882513.00,16366217.00,15372160.00,4590169.00,519276.00,6294722.00,10067564.00,951,160969.00,182140.00,187755.00,262132.00,16784002.00,8875515.00,84.6,8585767.00,95,527970,95.0,8057797.00,95,2241519.00,95,5816278,95.0,6456454.00,61.6,6238227.00,69.4,5836923.00,71.3,1610205.00,92,485803.00,2238999.00,3731489.00,163,485774,2238878,3513413,162,484313,2235784,3116669,157,55409,768045,786682,69,1722793,26.7,1722470,27.6,1664428,28.5,1123597,35.5,637817,39.6,754647,939224,28890,32,8871203,89.8,6454094,65.3,16875850,170837,226400,2238955,3729191,485786,162,
05/15/2022,20,NC,22364500,934000.00,8456660.00,12973840.00,0,213237.00,248895.00,273159.00,1277170.00,16875116.00,16359141.00,15365427.00,4587097.00,519256.00,6292285.00,10062624.00,951,160898.00,182061.00,187672.00,261956.00,16776691.00,8873244.00,84.6,8583660.00,95,527818,95.0,8055842.00,95,2240773.00,95,5815069,95.0,6454302.00,61.5,6236208.00,69.4,5834972.00,71.3,1609293.00,91.9,485785.00,2238321.00,3730033.00,163,485756,2238200,3512090,162,484295,2235106,3115414,157,55408,767730,786086,69,1721624,26.7,1721308,27.6,1663377,28.5,1122841,35.5,637402,39.6,754264,938441,28887,32,8868958,89.8,6451959,65.3,16868496,170763,226400,2238277,3727752,485768,162,
05/14/2022,19,NC,22364500,934000.00,8456660.00,12973840.00,0,213237.00,248895.00,273159.00,1277170.00,16863803.00,16348224.00,15354872.00,4581527.00,519191.00,6287321.00,10056340.00,951,160790.00,181940.00,187543.00,261638.00,16765453.00,8870551.00,84.6,8581177.00,95,527664,94.9,8053513.00,95,2239794.00,95,5813719,94.9,6451486.00,61.5,6233572.00,69.4,5832424.00,71.2,1607974.00,91.8,485730.00,2237180.00,3728414.00,162,485701,2237059,3510651,161,484241,2233965,3114062,156,55401,767093,785411,69,1719571,26.7,1719262,27.6,1661444,28.5,1121416,35.5,636533,39.6,753406,937255,28878,32,8866313,89.8,6449160,65.3,16857250,170649,226400,2237136,3726150,485713,161,
05/13/2022,19,NC,22342000,934000.00,8449460.00,12958540.00,0,213023.00,248645.00,272884.00,1275890.00,16852111.00,16336765.00,15343711.00,4575433.00,519174.00,6281963.00,10050024.00,950,160679.00,181812.00,187407.00,261290.00,16753808.00,8866394.00,84.5,8577152.00,95,527518,94.9,8049634.00,95,2237784.00,95,5811850,94.9,6447495.00,61.5,6229689.00,69.3,5828627.00,71.2,1605651.00,91.7,485710.00,2235627.00,3725996.00,162,485681,2235506,3508341,161,484221,2232412,3111838,156,55401,766120,784061,69,1718175,26.6,1717874,27.6,1660129,28.5,1120474,35.5,636047,39.6,752668,936601,28875,31,8862167,89.7,6445172,65.2,16845572,170531,226172,2235583,3723735,485693,161,
05/12/2022,19,NC,22317500,934000.00,8442460.00,12941040.00,0,212789.00,248372.00,272585.00,1274490.00,16839752.00,16324770.00,15332119.00,4568871.00,518999.00,6276820.00,10042983.00,950,160561.00,181679.00,187266.00,260915.00,16741472.00,8863023.00,84.5,8573968.00,95,527329,94.9,8046639.00,95,2236526.00,95,5810113,94.9,6443951.00,61.4,6226321.00,69.3,5825379.00,71.2,1603714.00,91.6,485556.00,2234279.00,3723954.00,162,485527,2234158,3506475,161,484068,2231064,3110091,156,55394,765262,782989,69,1716040,26.6,1715742,27.6,1658089,28.5,1119014,35.4,635133,39.6,751831,935323,28855,31,8858821,89.7,6441648,65.2,16833260,170406,225924,2234235,3721713,485539,161,
05/11/2022,19,NC,22288900,933700.00,8422360.00,12932840.00,0,212516.00,248054.00,272235.00,1272860.00,16827093.00,16312419.00,15320178.00,4562325.00,518706.00,6271146.00,10036292.00,949,160440.00,181541.00,187120.00,260541.00,16728713.00,8859290.00,84.5,8570414.00,95,527124,94.8,8043290.00,95,2235110.00,95,5808180,94.9,6440201.00,61.4,6222692.00,69.3,5821854.00,71.1,1601718.00,91.5,485299.00,2232704.00,3722036.00,162,485270,2232583,3504678,161,483812,2229491,3108395,156,55370,764258,782021,69,1713767,26.6,1713481,27.5,1655933,28.4,1117472,35.4,634168,39.6,750894,934016,28826,31,8855114,89.6,6437916,65.2,16820647,170279,225635,2232660,3719813,485282,161,
05/10/2022,19,NC,22252200,933700.00,8415360.00,12903140.00,0,212166.00,247645.00,271787.00,1270760.00,16816843.00,16302357.00,15310417.00,4556749.00,518567.00,6266195.00,10031132.00,949,160342.00,181429.00,187000.00,260223.00,16718509.00,8856391.00,84.4,8567621.00,95,526980,94.8,8040641.00,95,2233879.00,95,5806762,94.8,6436724.00,61.4,6219285.00,69.2,5818525.00,71.1,1599606.00,91.3,485181.00,2231129.00,3720252.00,162,485152,2231008,3502964,161,483696,2227916,3106757,156,55359,763133,781045,69,1712208,26.6,1711926,27.5,1654462,28.4,1116487,35.4,633569,39.6,750176,933197,28804,31,8852223,89.6,6434449,65.1,16810415,170175,225263,2231085,3718039,485164,161,
05/09/2022,19,NC,22221300,932700.00,8392560.00,12896040.00,0,211872.00,247301.00,271410.00,1269000.00,16809737.00,16295409.00,15303679.00,4553058.00,518560.00,6263193.00,10027035.00,949,160275.00,181352.00,186918.00,260012.00,16710965.00,8853395.00,84.4,8564726.00,95,526871,94.8,8037855.00,95,2232424.00,95,5805431,94.8,6433572.00,61.3,6216194.00,69.2,5815496.00,71,1597734.00,91.2,485168.00,2229755.00,3718487.00,162,485139,2229634,3501260,161,483684,2226542,3105114,156,55358,762253,780054,69,1711535,26.6,1711254,27.5,1653843,28.4,1116121,35.4,633381,39.6,749928,932776,28800,31,8849228,89.6,6431297,65.1,16803310,170103,224950,2229711,3716274,485151,161,
05/08/2022,19,NC,22221300,932700.00,8392560.00,12896040.00,0,211872.00,247301.00,271410.00,1269000.00,16804021.00,16289970.00,15298494.00,4550596.00,518520.00,6261045.00,10023507.00,949,160220.00,181291.00,186855.00,259872.00,16705248.00,8851732.00,84.4,8563205.00,95,526757,94.8,8036448.00,95,2231888.00,95,5804560,94.8,6432183.00,61.3,6214929.00,69.2,5814274.00,71,1597157.00,91.2,485133.00,2229263.00,3717625.00,162,485104,2229142,3500522,161,483649,2226050,3104419,156,55358,762003,779727,69,1710445,26.6,1710173,27.5,1652855,28.4,1115457,35.4,633000,39.6,749512,932107,28795,31,8847589,89.6,6429924,65.1,16797634,170046,224950,2229219,3715428,485116,161,
