Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,ND,1411900,53200.00,543220.00,815480.00,0,185274.00,221563.00,242640.00,1178110.00,1112288.00,1076363.00,1018446.00,306288.00,39761.00,413330.00,658871.00,326,145958.00,168909.00,175024.00,255570.00,1088628.00,500862.00,65.7,482766.00,75.8,27822,50.5,454944.00,78.2,121854.00,95,333090,73.4,424529.00,55.7,410031.00,64.3,386296.00,66.4,103547.00,86.4,36615.00,146005.00,241895.00,14,36607,145999,227411,14,36459,145789,204035,13,4385,48713,50443,6,182947,43.1,182910,44.6,178433,46.2,119995,60,72278,69.8,78255,102163,2521,8,500468,70.7,424333,59.9,1111683,157026,199432,146001,241709,36609,14,
05/16/2022,20,ND,1411600,53200.00,543120.00,815280.00,0,185234.00,221516.00,242588.00,1177860.00,1111808.00,1075911.00,1018028.00,306067.00,39758.00,413209.00,658515.00,326,145895.00,168838.00,174952.00,255386.00,1088150.00,500781.00,65.7,482699.00,75.7,27813,50.5,454886.00,78.2,121837.00,95,333049,73.4,424456.00,55.7,409969.00,64.3,386240.00,66.4,103523.00,86.4,36612.00,145987.00,241843.00,14,36604,145981,227370,14,36456,145771,204000,13,4385,48705,50427,6,182830,43.1,182796,44.6,178337,46.2,119944,60,72250,69.8,78238,102063,2521,8,500394,70.7,424260,59.9,1111212,156959,199390,145983,241657,36606,14,
05/15/2022,20,ND,1411600,53200.00,543120.00,815280.00,0,185234.00,221516.00,242588.00,1177860.00,1111806.00,1075909.00,1018026.00,306067.00,39758.00,413207.00,658515.00,326,145894.00,168837.00,174951.00,255386.00,1088139.00,500776.00,65.7,482694.00,75.7,27813,50.5,454881.00,78.2,121835.00,95,333046,73.4,424454.00,55.7,409967.00,64.3,386238.00,66.4,103523.00,86.4,36612.00,145987.00,241841.00,14,36604,145981,227368,14,36456,145771,203998,13,4385,48705,50427,6,182828,43.1,182794,44.6,178335,46.2,119943,60,72250,69.8,78237,102062,2521,8,500389,70.7,424258,59.9,1111210,156959,199390,145983,241655,36606,14,
05/14/2022,19,ND,1411600,53200.00,543120.00,815280.00,0,185234.00,221516.00,242588.00,1177860.00,1111744.00,1075853.00,1017973.00,306035.00,39758.00,413162.00,658498.00,326,145886.00,168829.00,174942.00,255359.00,1088046.00,500745.00,65.7,482666.00,75.7,27812,50.5,454854.00,78.2,121821.00,95,333033,73.4,424436.00,55.7,409953.00,64.3,386225.00,66.4,103519.00,86.4,36612.00,145980.00,241830.00,14,36604,145974,227361,14,36456,145764,203992,13,4385,48703,50425,6,182813,43.1,182779,44.6,178322,46.2,119935,60,72246,69.8,78228,102056,2521,8,500359,70.7,424240,59.9,1111148,156950,199390,145976,241644,36606,14,
05/13/2022,19,ND,1407900,53200.00,539420.00,815280.00,0,184749.00,220935.00,241953.00,1174770.00,1111065.00,1075204.00,1017361.00,305665.00,39754.00,412887.00,658098.00,326,145797.00,168727.00,174837.00,255050.00,1087406.00,500653.00,65.7,482582.00,75.7,27806,50.4,454776.00,78.2,121791.00,95,332985,73.4,424327.00,55.7,409859.00,64.3,386138.00,66.4,103480.00,86.3,36608.00,145951.00,241754.00,14,36600,145945,227300,14,36452,145735,203938,13,4385,48693,50396,6,182692,43.1,182660,44.6,178223,46.2,119867,60,72202,69.8,78188,101975,2521,8,500268,70.7,424133,59.9,1110472,156855,198867,145947,241570,36602,14,
05/12/2022,19,ND,1403400,53200.00,539220.00,810980.00,0,184158.00,220229.00,241179.00,1171010.00,1110437.00,1074605.00,1016802.00,305347.00,39752.00,412623.00,657736.00,326,145715.00,168633.00,174741.00,254785.00,1086830.00,500565.00,65.7,482505.00,75.7,27798,50.4,454707.00,78.1,121766.00,95,332941,73.4,424243.00,55.7,409788.00,64.3,386073.00,66.3,103445.00,86.3,36606.00,145932.00,241691.00,14,36598,145926,227250,14,36450,145716,203894,13,4384,48680,50375,6,182551,43,182523,44.5,178113,46.1,119805,60,72160,69.8,78150,101873,2520,8,500183,70.7,424051,59.9,1109850,156767,198231,145928,241509,36600,14,
05/11/2022,19,ND,1403200,53200.00,539020.00,810980.00,0,184132.00,220198.00,241145.00,1170850.00,1109839.00,1074039.00,1016247.00,305021.00,39751.00,412438.00,657324.00,326,145636.00,168544.00,174646.00,254513.00,1086261.00,500484.00,65.7,482438.00,75.7,27794,50.4,454644.00,78.1,121753.00,95,332891,73.4,424144.00,55.7,409705.00,64.3,385994.00,66.3,103413.00,86.3,36602.00,145915.00,241613.00,14,36594,145909,227188,14,36446,145699,203836,13,4383,48668,50356,6,182448,43,182421,44.5,178016,46.1,119750,60,72125,69.7,78122,101798,2520,8,500106,70.6,423954,59.9,1109258,156683,198203,145911,241433,36596,14,
05/10/2022,19,ND,1402600,53200.00,539020.00,810380.00,0,184053.00,220103.00,241042.00,1170350.00,1109337.00,1073556.00,1015793.00,304763.00,39746.00,412277.00,656988.00,326,145570.00,168468.00,174568.00,254298.00,1085788.00,500422.00,65.7,482387.00,75.7,27787,50.4,454600.00,78.1,121745.00,95,332855,73.4,424063.00,55.6,409632.00,64.3,385924.00,66.3,103385.00,86.3,36598.00,145900.00,241551.00,14,36590,145894,227134,14,36442,145684,203785,13,4383,48661,50335,6,182352,43,182325,44.5,177936,46.1,119688,60,72094,69.7,78102,101722,2520,8,500046,70.6,423874,59.9,1108758,156613,198118,145896,241372,36592,14,
05/09/2022,19,ND,1402200,53200.00,538920.00,810080.00,0,184001.00,220041.00,240973.00,1170010.00,1108822.00,1073087.00,1015343.00,304521.00,39743.00,412145.00,656608.00,326,145503.00,168394.00,174490.00,254096.00,1085297.00,500337.00,65.7,482322.00,75.7,27783,50.4,454539.00,78.1,121727.00,95,332812,73.4,423986.00,55.6,409572.00,64.3,385868.00,66.3,103353.00,86.2,36595.00,145881.00,241496.00,14,36587,145875,227096,14,36439,145665,203751,13,4383,48649,50315,6,182248,43,182223,44.5,177842,46.1,119633,59.9,72061,69.7,78078,101642,2520,8,499964,70.6,423801,59.9,1108250,156541,198062,145877,241321,36589,14,
05/08/2022,19,ND,1402200,53200.00,538920.00,810080.00,0,184001.00,220041.00,240973.00,1170010.00,1108821.00,1073086.00,1015342.00,304521.00,39743.00,412145.00,656607.00,326,145503.00,168394.00,174490.00,254096.00,1085281.00,500331.00,65.7,482316.00,75.7,27783,50.4,454533.00,78.1,121725.00,95,332808,73.4,423983.00,55.6,409569.00,64.3,385865.00,66.3,103353.00,86.2,36595.00,145879.00,241495.00,14,36587,145873,227095,14,36439,145663,203750,13,4383,48649,50315,6,182244,43,182219,44.5,177838,46.1,119632,59.9,72060,69.7,78074,101642,2520,8,499958,70.6,423798,59.9,1108249,156541,198062,145875,241320,36589,14,
