Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NE,4035610,150500.00,1416280.00,2468830.00,0,208622.00,249511.00,276727.00,1291570.00,3231407.00,3119164.00,2911475.00,883030.00,95348.00,1158559.00,1970586.00,6914.00,167049.00,192850.00,199644.00,282608.00,3244568.00,1362042.00,70.4,1302163.00,80.5,96583,60.4,1205580.00,82.7,309673.00,95,895907,79.2,1232458.00,63.7,1180659.00,73,1093293.00,75,288470.00,92.3,88823.00,416776.00,725110.00,1749,88797,416733,673404,1725,88728,416551,586391,1623,7018,139995,140520,937,625917,50.8,625732,53,602576,55.1,386010,68.5,223549,77.5,245455,372999,6966,497,1361724,75.5,1232392,68.3,3231007,179149,223762,416754,725085,88807,1746,
05/16/2022,20,NE,4034410,150500.00,1415980.00,2467930.00,0,208560.00,249437.00,276645.00,1291190.00,3231403.00,3119160.00,2911471.00,883028.00,95348.00,1158555.00,1970586.00,6914.00,167049.00,192849.00,199644.00,282607.00,3244463.00,1361987.00,70.4,1302113.00,80.5,96582,60.4,1205531.00,82.7,309647.00,95,895884,79.2,1232435.00,63.7,1180637.00,73,1093273.00,75,288463.00,92.3,88823.00,416767.00,725096.00,1749,88797,416724,673391,1725,88728,416542,586380,1623,7018,139991,140517,937,625905,50.8,625720,53,602564,55.1,386002,68.5,223544,77.5,245451,372991,6966,497,1361669,75.5,1232369,68.3,3231003,179149,223695,416745,725071,88807,1746,
05/15/2022,20,NE,4034010,150500.00,1415980.00,2467530.00,0,208540.00,249412.00,276618.00,1291060.00,3231403.00,3119160.00,2911471.00,883028.00,95348.00,1158555.00,1970586.00,6914.00,167049.00,192849.00,199644.00,282607.00,3244446.00,1361976.00,70.4,1302102.00,80.5,96582,60.4,1205520.00,82.7,309640.00,95,895880,79.2,1232430.00,63.7,1180632.00,73,1093268.00,75,288461.00,92.3,88823.00,416765.00,725093.00,1749,88797,416722,673388,1725,88728,416540,586377,1623,7018,139989,140517,937,625905,50.8,625720,53,602564,55.1,386002,68.5,223544,77.5,245451,372991,6966,497,1361658,75.5,1232364,68.3,3231003,179149,223673,416743,725068,88807,1746,
05/14/2022,19,NE,4034010,150500.00,1415980.00,2467530.00,0,208540.00,249412.00,276618.00,1291060.00,3231389.00,3119148.00,2911459.00,883022.00,95348.00,1158546.00,1970581.00,6914.00,167048.00,192849.00,199643.00,282605.00,3244397.00,1361952.00,70.4,1302080.00,80.5,96581,60.4,1205499.00,82.7,309628.00,95,895871,79.2,1232409.00,63.7,1180615.00,73,1093252.00,75,288454.00,92.3,88823.00,416752.00,725085.00,1749,88797,416709,673384,1725,88728,416527,586374,1623,7018,139983,140516,937,625903,50.8,625718,53,602562,55.1,386001,68.6,223544,77.5,245451,372989,6966,497,1361634,75.5,1232343,68.3,3230989,179148,223673,416730,725060,88807,1746,
05/13/2022,19,NE,4027210,150500.00,1415180.00,2461530.00,0,208188.00,248992.00,276151.00,1288880.00,3231377.00,3119142.00,2911453.00,883021.00,95348.00,1158546.00,1970569.00,6914.00,167047.00,192848.00,199642.00,282605.00,3244315.00,1361915.00,70.4,1302045.00,80.5,96581,60.4,1205464.00,82.7,309608.00,95,895856,79.2,1232382.00,63.7,1180593.00,73,1093230.00,75,288442.00,92.3,88823.00,416739.00,725071.00,1749,88797,416696,673375,1725,88728,416514,586365,1623,7018,139975,140512,937,625893,50.8,625708,53,602552,55.1,385993,68.6,223539,77.5,245442,372988,6966,497,1361597,75.5,1232316,68.3,3230977,179148,223296,416717,725046,88807,1746,
05/12/2022,19,NE,4019510,150500.00,1412180.00,2456830.00,0,207790.00,248516.00,275623.00,1286420.00,3228840.00,3116676.00,2909089.00,881597.00,95337.00,1157744.00,1968870.00,6889.00,166916.00,192696.00,199480.00,282149.00,3241790.00,1361707.00,70.4,1301864.00,80.5,96550,60.4,1205314.00,82.7,309561.00,95,895753,79.1,1232096.00,63.7,1180342.00,73,1093002.00,74.9,288355.00,92.3,88816.00,416668.00,724868.00,1744,88790,416625,673207,1720,88721,416443,586219,1619,7015,139942,140463,935,625474,50.8,625290,53,602182,55.1,385767,68.5,223383,77.5,245331,372687,6966,490,1361389,75.5,1232030,68.3,3228440,179007,222869,416646,724843,88800,1741,
05/11/2022,19,NE,4013110,150500.00,1407580.00,2455030.00,0,207459.00,248120.00,275185.00,1284370.00,3226848.00,3114736.00,2907217.00,880422.00,95328.00,1157018.00,1967636.00,6866.00,166813.00,192576.00,199352.00,281773.00,3239779.00,1361518.00,70.4,1301704.00,80.5,96530,60.4,1205174.00,82.6,309509.00,95,895665,79.1,1231862.00,63.7,1180129.00,73,1092805.00,74.9,288265.00,92.3,88809.00,416604.00,724710.00,1739,88783,416561,673070,1715,88714,416378,586098,1615,7012,139904,140416,933,625119,50.7,624938,53,601860,55.1,385591,68.5,223269,77.5,245227,372441,6966,485,1361200,75.5,1231796,68.3,3226448,178896,222514,416582,724685,88793,1736,
05/10/2022,19,NE,4010910,150500.00,1406680.00,2453730.00,0,207346.00,247984.00,275034.00,1283660.00,3223924.00,3111922.00,2904554.00,879014.00,95310.00,1156170.00,1965603.00,6841.00,166662.00,192402.00,199169.00,281322.00,3236899.00,1361236.00,70.4,1301456.00,80.5,96498,60.4,1204958.00,82.6,309462.00,95,895496,79.1,1231521.00,63.7,1179863.00,72.9,1092572.00,74.9,288187.00,92.2,88795.00,416526.00,724465.00,1735,88769,416483,672900,1711,88700,416300,585961,1611,7010,139871,140373,933,624658,50.7,624477,52.9,601478,55.1,385395,68.5,223167,77.4,245108,372107,6962,481,1360919,75.5,1231455,68.3,3223525,178734,222392,416504,724440,88779,1732,
05/09/2022,19,NE,4007410,150500.00,1405480.00,2451430.00,0,207165.00,247767.00,274794.00,1282540.00,3223924.00,3111922.00,2904554.00,879014.00,95310.00,1156170.00,1965603.00,6841.00,166662.00,192402.00,199169.00,281322.00,3236771.00,1361169.00,70.4,1301392.00,80.5,96494,60.4,1204898.00,82.6,309436.00,95,895462,79.1,1231492.00,63.7,1179836.00,72.9,1092547.00,74.9,288178.00,92.2,88794.00,416517.00,724446.00,1735,88768,416474,672883,1711,88699,416291,585946,1611,7010,139869,140366,933,624639,50.7,624458,52.9,601465,55.1,385387,68.5,223163,77.4,245099,372097,6962,481,1360852,75.5,1231426,68.3,3223525,178734,222198,416495,724421,88778,1732,
05/08/2022,19,NE,4007410,150500.00,1405480.00,2451430.00,0,207165.00,247767.00,274794.00,1282540.00,3214267.00,3102583.00,2895537.00,873640.00,95261.00,1152507.00,1959709.00,6790.00,166163.00,191824.00,198551.00,279602.00,3227479.00,1360312.00,70.3,1300654.00,80.4,96415,60.3,1204239.00,82.6,309269.00,95,894970,79.1,1230516.00,63.6,1179039.00,72.9,1091844.00,74.9,287943.00,92.2,88759.00,416285.00,723746.00,1726,88733,416242,672362,1702,88664,416060,585517,1603,7009,139780,140222,932,623221,50.6,623047,52.8,600192,55,384674,68.4,222777,77.4,244612,371187,6954,468,1359995,75.4,1230450,68.2,3213868,178199,222198,416263,723721,88743,1723,
