Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NH,3580600,179500.00,1260240.00,2140860.00,0,263335.00,298740.00,324195.00,1410440.00,2588744.00,2518048.00,2364853.00,727065.00,88635.00,966036.00,1533948.00,125,190389.00,210088.00,214119.00,286399.00,2606398.00,1205171.00,88.6,1164376.00,95,70426,95.0,1093950.00,95,311972.00,95,781978,95.0,962796.00,70.8,932480.00,77.8,876038.00,79.3,248500.00,95,79394.00,345838.00,537454.00,110,79382,345735,507253,110,79350,345576,451009,103,15732,102326,130397,45,443626,46.1,443569,47.6,426518,48.7,285094,56,150373,60.5,188890,246927,7783,26,1204646,92.9,962602,74.3,2588043,199681,276262,345737,537371,79384,110,
05/16/2022,20,NH,3578400,179500.00,1259840.00,2139060.00,0,263174.00,298556.00,323996.00,1409570.00,2582143.00,2511528.00,2358499.00,723519.00,88609.00,963457.00,1529961.00,116,189904.00,209544.00,213544.00,285003.00,2600222.00,1204433.00,88.6,1163679.00,95,70385,94.9,1093294.00,95,311691.00,95,781603,95.0,962125.00,70.8,931846.00,77.7,875440.00,79.3,248186.00,95,79371.00,345572.00,537072.00,110,79359,345469,506908,110,79327,345310,450700,103,15726,102167,130248,45,442043,45.9,441986,47.4,424999,48.5,283813,55.8,149563,60.3,188370,245872,7779,22,1203911,92.9,961932,74.2,2581444,199172,276092,345471,536990,79361,110,
05/15/2022,20,NH,3578400,179500.00,1259840.00,2139060.00,0,263174.00,298556.00,323996.00,1409570.00,2581985.00,2511370.00,2358353.00,723448.00,88609.00,963445.00,1529815.00,116,189892.00,209531.00,213530.00,284975.00,2600061.00,1204363.00,88.6,1163609.00,95,70378,94.9,1093231.00,95,311663.00,95,781568,95.0,962069.00,70.8,931790.00,77.7,875384.00,79.3,248154.00,95,79371.00,345570.00,537018.00,110,79359,345467,506854,110,79327,345308,450646,103,15726,102166,130217,45,442022,45.9,441965,47.4,424983,48.5,283799,55.8,149558,60.3,188367,245854,7779,22,1203841,92.9,961876,74.2,2581286,199159,276092,345469,536936,79361,110,
05/14/2022,19,NH,3578400,179500.00,1259840.00,2139060.00,0,263174.00,298556.00,323996.00,1409570.00,2581649.00,2511036.00,2358026.00,723259.00,88608.00,963371.00,1529554.00,116,189867.00,209503.00,213501.00,284900.00,2599678.00,1204241.00,88.6,1163490.00,95,70376,94.9,1093114.00,95,311606.00,95,781508,94.9,961933.00,70.7,931656.00,77.7,875250.00,79.2,248060.00,95,79369.00,345548.00,536906.00,110,79357,345445,506744,110,79325,345286,450536,103,15726,102148,130141,45,441964,45.9,441907,47.4,424929,48.5,283761,55.8,149546,60.3,188349,245814,7779,22,1203720,92.9,961740,74.2,2580950,199134,276092,345447,536824,79359,110,
05/13/2022,19,NH,3574100,179500.00,1259540.00,2135060.00,0,262857.00,298197.00,323607.00,1407880.00,2581346.00,2510735.00,2357732.00,723064.00,88608.00,963290.00,1529332.00,116,189845.00,209478.00,213474.00,284823.00,2599219.00,1204085.00,88.6,1163339.00,95,70371,94.9,1092968.00,95,311510.00,95,781458,94.9,961786.00,70.7,931511.00,77.7,875111.00,79.2,247972.00,95,79369.00,345517.00,536790.00,110,79357,345414,506630,110,79325,345255,450428,103,15726,102128,130073,45,441899,45.9,441842,47.4,424870,48.6,283711,55.8,149518,60.3,188322,245776,7779,22,1203564,92.9,961593,74.2,2580647,199110,275760,345416,536708,79359,110,
05/12/2022,19,NH,3566100,179500.00,1258140.00,2128460.00,0,262269.00,297530.00,322882.00,1404730.00,2581028.00,2510417.00,2357420.00,722870.00,88607.00,963210.00,1529095.00,116,189822.00,209451.00,213446.00,284747.00,2598635.00,1203875.00,88.5,1163136.00,95,70366,94.9,1092770.00,95,311399.00,95,781371,94.9,961601.00,70.7,931334.00,77.7,874934.00,79.2,247848.00,95,79366.00,345472.00,536653.00,110,79354,345369,506501,110,79322,345210,450299,103,15725,102094,129984,45,441816,45.9,441760,47.4,424792,48.6,283649,55.8,149479,60.3,188282,245733,7779,22,1203354,92.8,961408,74.2,2580329,199086,275143,345371,536571,79356,110,
05/11/2022,19,NH,3554000,179400.00,1246740.00,2127860.00,0,261379.00,296520.00,321787.00,1399960.00,2570605.00,2500096.00,2347451.00,717427.00,88566.00,958778.00,1523147.00,114,189055.00,208590.00,212543.00,282603.00,2588839.00,1202710.00,88.5,1162014.00,95,70283,94.8,1091731.00,95,311018.00,95,780713,94.8,960457.00,70.6,930243.00,77.6,873930.00,79.1,247317.00,95,79346.00,345099.00,535903.00,109,79334,344996,505804,109,79302,344838,449688,102,15723,101866,129683,45,438416,45.6,438362,47.1,421569,48.2,281340,55.5,148152,59.9,186868,243762,7764,22,1202190,92.8,960264,74.1,2569907,198282,274209,344998,535821,79336,109,
05/10/2022,19,NH,3553500,179400.00,1246540.00,2127560.00,0,261342.00,296479.00,321742.00,1399770.00,2570185.00,2499682.00,2347047.00,717174.00,88566.00,958689.00,1522816.00,114,189024.00,208556.00,212507.00,282503.00,2588341.00,1202557.00,88.4,1161864.00,95,70277,94.8,1091587.00,95,310935.00,95,780652,94.8,960264.00,70.6,930052.00,77.6,873742.00,79.1,247193.00,95,79346.00,345074.00,535735.00,109,79334,344971,505638,109,79302,344813,449525,102,15723,101854,129571,45,438351,45.6,438297,47.1,421507,48.2,281292,55.5,148126,59.9,186845,243720,7764,22,1202037,92.7,960071,74.1,2569487,198249,274171,344973,535653,79336,109,
05/09/2022,19,NH,3551300,179400.00,1245940.00,2125960.00,0,261181.00,296295.00,321542.00,1398900.00,2565567.00,2495101.00,2342670.00,714973.00,88543.00,956620.00,1520292.00,112,188685.00,208173.00,212110.00,281636.00,2583854.00,1201844.00,88.4,1161166.00,95,70234,94.7,1090932.00,95,310679.00,95,780253,94.8,959780.00,70.6,929589.00,77.6,873309.00,79.1,247008.00,95,79326.00,344879.00,535466.00,109,79314,344776,505390,109,79282,344618,449307,102,15723,101749,129491,45,436065,45.4,436011,46.9,419330,48,279647,55.2,147110,59.6,185730,242552,7761,22,1201325,92.7,959589,74,2564869,197893,274001,344778,535386,79316,109,
05/08/2022,19,NH,3551300,179400.00,1245940.00,2125960.00,0,261181.00,296295.00,321542.00,1398900.00,2546353.00,2475975.00,2324129.00,706145.00,88337.00,948689.00,1509227.00,100,187272.00,206578.00,210432.00,278159.00,2566503.00,1199331.00,88.2,1158698.00,95,70065,94.5,1088633.00,95,309935.00,95,778698,94.6,957981.00,70.5,927825.00,77.4,871690.00,78.9,246390.00,95,79233.00,344363.00,534276.00,109,79221,344260,504235,109,79189,344102,448297,102,15706,101461,129178,45,427847,44.7,427793,46.1,411330,47.2,273699,54.1,143714,58.3,182315,237831,7681,20,1198812,92.5,957790,73.9,2545656,196410,274001,344262,534196,79223,109,
