Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NM,4533245,187700.00,1769300.00,2576245.00,0,216195.00,253618.00,279659.00,1200520.00,3987789.00,3851064.00,3582966.00,1069993.00,119965.00,1620749.00,2237189.00,9886.00,190182.00,215452.00,221036.00,283362.00,4137437.00,1846702.00,88.1,1763846.00,95,137746,95.0,1626100.00,95,431544.00,95,1194556,95.0,1496642.00,71.4,1434084.00,80.2,1319995.00,81.4,358683.00,95,110294.00,565748.00,818251.00,2349,110275,565684,755787,2338,110132,565258,642306,2299,21405,168516,167624,1138,747784,50,747557,52.1,713947,54.1,447693,63.8,249150,69.5,313697,422950,10847,290,1846442,93.5,1496579,75.7,3987506,201813,229433,565731,818216,110284,2348,
05/16/2022,20,NM,4529945,187700.00,1766900.00,2575345.00,0,216038.00,253433.00,279455.00,1199650.00,3986504.00,3849810.00,3581767.00,1069479.00,119965.00,1620209.00,2236445.00,9885.00,190121.00,215382.00,220962.00,283226.00,4136112.00,1846466.00,88.1,1763628.00,95,137735,95.0,1625893.00,95,431456.00,95,1194437,95.0,1496493.00,71.4,1433947.00,80.2,1319863.00,81.4,358646.00,95,110294.00,565682.00,818169.00,2348,110275,565618,755717,2337,110132,565192,642241,2298,21405,168491,167612,1138,747606,50,747379,52.1,713807,54.1,447612,63.8,249116,69.5,313633,422836,10847,290,1846207,93.4,1496430,75.7,3986222,201748,229266,565665,818134,110284,2347,
05/15/2022,20,NM,4529945,187700.00,1766900.00,2575345.00,0,216038.00,253433.00,279455.00,1199650.00,3984721.00,3848051.00,3580072.00,1068663.00,119959.00,1619426.00,2235452.00,9884.00,190036.00,215284.00,220857.00,283010.00,4134206.00,1846137.00,88,1763318.00,95,137708,95.0,1625610.00,95,431340.00,95,1194270,95.0,1496258.00,71.4,1433725.00,80.2,1319654.00,81.4,358550.00,95,110290.00,565571.00,818049.00,2348,110271,565507,755610,2337,110128,565082,642146,2298,21405,168438,167569,1138,747342,49.9,747115,52.1,713577,54.1,447462,63.8,249043,69.5,313505,422702,10845,290,1845878,93.4,1496195,75.7,3984439,201658,229266,565554,818014,110280,2347,
05/14/2022,19,NM,4529945,187700.00,1766900.00,2575345.00,0,216038.00,253433.00,279455.00,1199650.00,3980613.00,3844057.00,3576215.00,1066755.00,119945.00,1617729.00,2233073.00,9866.00,189840.00,215060.00,220619.00,282505.00,4130110.00,1845425.00,88,1762679.00,95,137672,94.9,1625007.00,95,431121.00,95,1193886,94.9,1495712.00,71.3,1433228.00,80.2,1319182.00,81.4,358350.00,94.9,110279.00,565355.00,817732.00,2346,110260,565291,755342,2335,110117,564866,641903,2296,21405,168338,167470,1137,746701,49.9,746474,52.1,712992,54,447084,63.8,248847,69.4,313261,422310,10843,287,1845168,93.4,1495649,75.7,3980333,201450,229266,565338,817697,110269,2345,
05/13/2022,19,NM,4520945,187700.00,1765200.00,2568045.00,0,215609.00,252930.00,278900.00,1197270.00,3976913.00,3840425.00,3572660.00,1064818.00,119927.00,1616107.00,2231024.00,9855.00,189663.00,214857.00,220400.00,281992.00,4126170.00,1844762.00,88,1762054.00,95,137648,94.9,1624406.00,95,430874.00,95,1193532,94.9,1495252.00,71.3,1432813.00,80.2,1318780.00,81.4,358186.00,94.9,110264.00,565182.00,817463.00,2343,110245,565118,755118,2332,110102,564693,641692,2293,21404,168261,167386,1135,746112,49.9,745887,52.1,712447,54,446713,63.8,248636,69.4,313006,421981,10839,286,1844505,93.4,1495189,75.7,3976633,201263,228811,565165,817428,110254,2342,
05/12/2022,19,NM,4518545,187700.00,1763700.00,2567145.00,0,215494.00,252795.00,278752.00,1196630.00,3973633.00,3837237.00,3569550.00,1063084.00,119917.00,1614601.00,2229292.00,9823.00,189507.00,214679.00,220208.00,281533.00,4122665.00,1844216.00,88,1761567.00,95,137621,94.9,1623946.00,95,430681.00,95,1193265,94.9,1494796.00,71.3,1432403.00,80.1,1318388.00,81.3,358026.00,94.8,110256.00,564970.00,817231.00,2339,110237,564906,754932,2328,110094,564484,641521,2289,21402,168173,167316,1135,745566,49.9,745344,52,711947,54,446393,63.7,248443,69.4,312759,421688,10838,281,1843960,93.3,1494733,75.7,3973354,201097,228689,564953,817196,110246,2338,
05/11/2022,19,NM,4514645,187700.00,1760200.00,2566745.00,0,215308.00,252577.00,278511.00,1195600.00,3967375.00,3831068.00,3563501.00,1059487.00,119906.00,1611827.00,2225838.00,9804.00,189208.00,214334.00,219835.00,280580.00,4116403.00,1843261.00,87.9,1760677.00,95,137587,94.9,1623090.00,95,430264.00,95,1192826,94.9,1494120.00,71.3,1431759.00,80.1,1317774.00,81.3,357721.00,94.7,110247.00,564677.00,816859.00,2337,110228,564613,754592,2326,110085,564191,641211,2287,21401,168014,167171,1135,744687,49.8,744465,52,711125,54,445838,63.7,248101,69.4,312376,421195,10836,280,1843004,93.3,1494057,75.6,3967096,200780,228492,564660,816824,110237,2336,
05/10/2022,19,NM,4505245,187700.00,1759600.00,2557945.00,0,214860.00,252051.00,277932.00,1193110.00,3965160.00,3828902.00,3561388.00,1058359.00,119895.00,1610849.00,2224639.00,9777.00,189103.00,214213.00,219704.00,280281.00,4114116.00,1842847.00,87.9,1760293.00,95,137563,94.9,1622730.00,95,430116.00,95,1192614,94.8,1493871.00,71.2,1431528.00,80.1,1317556.00,81.3,357629.00,94.7,110239.00,564566.00,816733.00,2333,110220,564502,754484,2322,110077,564080,641116,2283,21400,167968,167127,1134,744367,49.8,744146,52,710825,54,445648,63.7,247998,69.3,312251,421001,10835,280,1842590,93.3,1493808,75.6,3964881,200668,228016,564549,816698,110229,2332,
05/09/2022,19,NM,4503045,187600.00,1757500.00,2557945.00,0,214755.00,251928.00,277796.00,1192530.00,3964257.00,3828020.00,3560548.00,1057986.00,119894.00,1610544.00,2224045.00,9774.00,189060.00,214163.00,219653.00,280183.00,4112962.00,1842597.00,87.9,1760057.00,95,137545,94.9,1622512.00,95,430037.00,95,1192475,94.8,1493703.00,71.2,1431386.00,80.1,1317429.00,81.3,357576.00,94.7,110240.00,564512.00,816618.00,2333,110221,564448,754395,2322,110078,564026,641042,2283,21400,167944,167098,1134,744164,49.8,743944,52,710658,53.9,445542,63.7,247944,69.3,312187,420863,10834,280,1842340,93.2,1493641,75.6,3963978,200622,227905,564495,816584,110230,2332,
05/08/2022,19,NM,4503045,187600.00,1757500.00,2557945.00,0,214755.00,251928.00,277796.00,1192530.00,3962414.00,3826232.00,3558820.00,1057093.00,119889.00,1609728.00,2223026.00,9771.00,188972.00,214063.00,219546.00,279946.00,4111145.00,1842295.00,87.9,1759783.00,95,137527,94.8,1622256.00,95,429927.00,95,1192329,94.8,1493497.00,71.2,1431207.00,80.1,1317264.00,81.3,357498.00,94.7,110236.00,564422.00,816507.00,2332,110217,564358,754311,2321,110074,563936,640972,2282,21400,167904,167060,1134,743900,49.8,743681,52,710422,53.9,445385,63.7,247868,69.3,312074,420713,10833,280,1842038,93.2,1493435,75.6,3962135,200529,227905,564405,816473,110226,2331,
