Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NV,6031510,259200.00,2069100.00,3703210.00,0,195818.00,230052.00,252627.00,1216100.00,4941431.00,4821588.00,4524016.00,1242124.00,187999.00,1696338.00,3056565.00,529,160428.00,183904.00,189486.00,250442.00,4916373.00,2325134.00,75.5,2258359.00,86.1,153826,65.7,2104533.00,88.1,507042.00,95,1597491,86.1,1879272.00,61,1827160.00,69.7,1707273.00,71.5,420086.00,84.7,172879.00,606961.00,1099365.00,67,172875,606955,1047263,67,172831,606848,927530,64,26189,192882,200977,38,731005,38.9,730949,40,710745,41.6,469692,54.6,265657,63.2,298857,419778,12363,7,2325024,80.3,1879256,64.9,4941318,170709,208372,606956,1099357,172876,67,
05/16/2022,20,NV,6028910,259200.00,2068900.00,3700810.00,0,195734.00,229953.00,252518.00,1215580.00,4939072.00,4819324.00,4521867.00,1241141.00,187999.00,1695611.00,3054933.00,529,160351.00,183817.00,189396.00,250244.00,4914009.00,2324676.00,75.5,2257960.00,86.1,153801,65.7,2104159.00,88.1,506927.00,95,1597232,86.1,1878937.00,61,1826861.00,69.7,1707011.00,71.5,419994.00,84.7,172877.00,606871.00,1099122.00,67,172873,606865,1047056,67,172829,606758,927360,64,26189,192837,200930,38,730572,38.9,730517,40,710367,41.6,469461,54.6,265540,63.2,298744,419458,12363,7,2324566,80.3,1878921,64.9,4938959,170628,208283,606866,1099114,172874,67,
05/15/2022,20,NV,6028010,259200.00,2068900.00,3699910.00,0,195705.00,229919.00,252480.00,1215390.00,4937056.00,4817354.00,4519974.00,1240153.00,187983.00,1694775.00,3053769.00,529,160286.00,183742.00,189317.00,250045.00,4912002.00,2324370.00,75.5,2257679.00,86.1,153775,65.7,2103904.00,88.1,506843.00,95,1597061,86.1,1878669.00,61,1826611.00,69.7,1706791.00,71.5,419912.00,84.7,172863.00,606783.00,1098956.00,67,172859,606777,1046908,67,172815,606670,927242,64,26185,192801,200888,38,730193,38.9,730138,40,710010,41.6,469230,54.5,265429,63.2,298611,419215,12360,7,2324260,80.3,1878653,64.9,4936943,170558,208252,606778,1098948,172860,67,
05/14/2022,19,NV,6028010,259200.00,2068900.00,3699910.00,0,195705.00,229919.00,252480.00,1215390.00,4932964.00,4813383.00,4516139.00,1238158.00,187961.00,1693203.00,3051271.00,529,160153.00,183591.00,189156.00,249643.00,4907953.00,2323700.00,75.4,2257079.00,86.1,153735,65.7,2103344.00,88.1,506683.00,95,1596661,86.1,1878136.00,61,1826130.00,69.7,1706355.00,71.5,419703.00,84.6,172849.00,606610.00,1098610.00,67,172845,606604,1046614,67,172801,606497,926993,64,26185,192699,200781,38,729477,38.8,729422,39.9,709345,41.6,468795,54.5,265193,63.2,298373,418744,12353,7,2323591,80.3,1878120,64.9,4932851,170417,208252,606605,1098602,172846,67,
05/13/2022,19,NV,6020510,259200.00,2068300.00,3693010.00,0,195461.00,229633.00,252166.00,1213880.00,4930247.00,4810720.00,4513529.00,1236610.00,187939.00,1691959.00,3049820.00,529,160065.00,183489.00,189047.00,249331.00,4905169.00,2323233.00,75.4,2256649.00,86.1,153713,65.6,2102936.00,88.1,506529.00,95,1596407,86.1,1877793.00,61,1825806.00,69.6,1706043.00,71.5,419556.00,84.6,172832.00,606495.00,1098399.00,67,172828,606489,1046422,67,172784,606382,926813,64,26184,192640,200694,38,728953,38.8,728898,39.9,708841,41.5,468467,54.5,265012,63.2,298143,418453,12350,7,2323125,80.3,1877777,64.9,4930135,170323,207992,606490,1098391,172829,67,
05/12/2022,19,NV,6008010,259200.00,2064000.00,3684810.00,0,195055.00,229156.00,251643.00,1211360.00,4927396.00,4807935.00,4510821.00,1235089.00,187924.00,1690885.00,3048058.00,529,159972.00,183383.00,188934.00,249024.00,4902333.00,2322731.00,75.4,2256174.00,86.1,153682,65.6,2102492.00,88.1,506373.00,95,1596119,86.0,1877382.00,61,1825430.00,69.6,1705691.00,71.4,419405.00,84.6,172817.00,606382.00,1098116.00,67,172813,606376,1046174,67,172769,606269,926589,64,26183,192570,200614,38,728449,38.8,728394,39.9,708359,41.5,468152,54.5,264839,63.1,297958,418137,12347,7,2322623,80.2,1877366,64.9,4927284,170224,207561,606377,1098108,172814,67,
05/11/2022,19,NV,6000410,259200.00,2058500.00,3682710.00,0,194809.00,228866.00,251324.00,1209830.00,4923746.00,4804383.00,4507408.00,1233199.00,187911.00,1689588.00,3045718.00,529,159854.00,183247.00,188791.00,248643.00,4898427.00,2322236.00,75.4,2255705.00,86,153649,65.6,2102056.00,88,506223.00,95,1595833,86.0,1876622.00,60.9,1824728.00,69.6,1705038.00,71.4,419150.00,84.5,172793.00,606107.00,1097655.00,67,172789,606101,1045771,67,172745,605994,926235,64,26181,192436,200495,38,727622,38.8,727567,39.9,707571,41.5,467662,54.4,264550,63.1,297640,417634,12341,7,2322128,80.2,1876606,64.8,4923634,170098,207298,606102,1097647,172790,67,
05/10/2022,19,NV,5998710,259000.00,2057600.00,3682110.00,0,194753.00,228801.00,251253.00,1209490.00,4921891.00,4802602.00,4505687.00,1232347.00,187894.00,1688832.00,3044636.00,529,159794.00,183179.00,188719.00,248471.00,4896556.00,2321888.00,75.4,2255395.00,86,153626,65.6,2101769.00,88,506145.00,95,1595624,86.0,1876344.00,60.9,1824486.00,69.6,1704816.00,71.4,419065.00,84.5,172781.00,606025.00,1097471.00,67,172777,606019,1045623,67,172733,605912,926107,64,26179,192397,200451,38,727259,38.8,727205,39.9,707228,41.5,467436,54.4,264436,63.1,297493,417421,12338,7,2321780,80.2,1876328,64.8,4921779,170034,207239,606020,1097463,172778,67,
05/09/2022,19,NV,5994810,259000.00,2056700.00,3679110.00,0,194627.00,228652.00,251090.00,1208700.00,4920959.00,4801715.00,4504855.00,1231997.00,187893.00,1688498.00,3044039.00,529,159763.00,183146.00,188684.00,248401.00,4895412.00,2321591.00,75.4,2255125.00,86,153603,65.6,2101522.00,88,506054.00,95,1595468,86.0,1876136.00,60.9,1824296.00,69.6,1704639.00,71.4,418991.00,84.5,172771.00,605953.00,1097345.00,67,172767,605947,1045515,67,172723,605840,926012,64,26179,192364,200410,38,727031,38.8,726978,39.8,707026,41.5,467307,54.4,264371,63.1,297422,417266,12336,7,2321483,80.2,1876120,64.8,4920847,170002,207105,605948,1097337,172768,67,
05/08/2022,19,NV,5994810,259000.00,2056700.00,3679110.00,0,194627.00,228652.00,251090.00,1208700.00,4918540.00,4799385.00,4502624.00,1230981.00,187890.00,1687708.00,3042413.00,529,159685.00,183057.00,188590.00,248196.00,4893051.00,2321155.00,75.4,2254735.00,86,153577,65.6,2101158.00,88,505944.00,95,1595214,86.0,1875775.00,60.9,1823982.00,69.6,1704352.00,71.4,418883.00,84.5,172769.00,605861.00,1097078.00,67,172765,605855,1045295,67,172721,605748,925819,64,26179,192332,200334,38,726560,38.7,726507,39.8,706598,41.5,467038,54.4,264231,63.1,297275,416942,12336,7,2321047,80.2,1875759,64.8,4918428,169918,207105,605856,1097070,172766,67,
