Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,NY,46711255,1900800.00,16524500.00,28285955.00,0,240117.00,278487.00,302823.00,1417150.00,39609034.00,38344871.00,35987322.00,9061692.00,1436360.00,14347507.00,23801176.00,23991.00,203608.00,228608.00,233301.00,274918.00,39648662.00,17588035.00,90.4,16908491.00,95,1119738,95.0,15788753.00,95,3494733.00,95,12294020,95.0,15016608.00,77.2,14434242.00,86.1,13449127.00,87.2,3050289.00,92.5,1255639.00,5021022.00,8733155.00,6792,1255423,5020310,8152179,6330,1254422,5017927,7171045,5733,187574,1435775,1424856,2084,6879113,45.8,6877194,47.6,6626719,49.3,3977467,60.5,2073985,68,2920458,3840880,117099,676,17585225,95,15016027,81.9,39605500,216110,254883,5020891,8732884,1255526,6726,
05/16/2022,20,NY,46687155,1900600.00,16518600.00,28267955.00,0,239993.00,278343.00,302667.00,1416420.00,39592667.00,38329011.00,35972258.00,9055088.00,1436163.00,14340936.00,23791641.00,23927.00,203524.00,228513.00,233204.00,274717.00,39631677.00,17585235.00,90.4,16905961.00,95,1119486,95.0,15786475.00,95,3494095.00,95,12292380,95.0,15013822.00,77.2,14431700.00,86,13446763.00,87.2,3049393.00,92.5,1255529.00,5020104.00,8731417.00,6772,1255313,5019392,8150680,6315,1254312,5017016,7169716,5719,187567,1435357,1424389,2080,6875696,45.8,6873785,47.6,6623672,49.3,3975713,60.5,2073046,68,2919257,3838714,117054,671,17582431,95,15013245,81.9,39589144,216021,254751,5019973,8731150,1255416,6706,
05/15/2022,20,NY,46687155,1900600.00,16518600.00,28267955.00,0,239993.00,278343.00,302667.00,1416420.00,39582535.00,38319296.00,35963066.00,9050883.00,1436092.00,14336967.00,23785567.00,23909.00,203472.00,228455.00,233144.00,274590.00,39621530.00,17583603.00,90.4,16904544.00,95,1119337,95.0,15785207.00,95,3493783.00,95,12291424,95.0,15012171.00,77.2,14430252.00,86,13445389.00,87.2,3048845.00,92.5,1255480.00,5019604.00,8730323.00,6764,1255264,5018892,8149789,6307,1254263,5016516,7168899,5711,187564,1435110,1424091,2080,6873713,45.8,6871804,47.6,6621983,49.3,3974847,60.5,2072651,68,2918630,3837372,117040,671,17580800,95,15011594,81.9,39579013,215965,254751,5019473,8730056,1255367,6698,
05/14/2022,19,NY,46687155,1900600.00,16518600.00,28267955.00,0,239993.00,278343.00,302667.00,1416420.00,39559335.00,38297028.00,35942006.00,9040736.00,1435961.00,14327739.00,23771765.00,23870.00,203353.00,228322.00,233007.00,274282.00,39598522.00,17580602.00,90.4,16901982.00,95,1119026,94.9,15782956.00,95,3493187.00,95,12289769,95.0,15008560.00,77.2,14427120.00,86,13442501.00,87.1,3047610.00,92.5,1255394.00,5018464.00,8727955.00,6747,1255178,5017752,8147898,6292,1254177,5015378,7167248,5698,187559,1434496,1423476,2079,6869600,45.8,6867696,47.6,6618480,49.2,3972914,60.5,2071704,68,2917231,3834689,117010,670,17577807,95,15007983,81.9,39555820,215839,254751,5018333,8727688,1255281,6681,
05/13/2022,19,NY,46635855,1900300.00,16490700.00,28244855.00,0,239729.00,278038.00,302334.00,1414860.00,39530347.00,38268934.00,35914835.00,9026106.00,1435747.00,14314954.00,23755865.00,23781.00,203204.00,228155.00,232831.00,273838.00,39569714.00,17576797.00,90.4,16898563.00,95,1118728,94.9,15779835.00,95,3492274.00,95,12287561,95.0,15003991.00,77.1,14423026.00,86,13438633.00,87.1,3045879.00,92.4,1255247.00,5016870.00,8725152.00,6722,1255031,5016161,8145564,6270,1254031,5013787,7165136,5679,187548,1433670,1422588,2073,6864508,45.8,6862610,47.6,6613728,49.2,3970029,60.5,2070083,68,2915145,3831739,116961,663,17574016,95,15003417,81.9,39526851,215681,254471,5016742,8724885,1255134,6656,
05/12/2022,19,NY,46552755,1900100.00,16482400.00,28170255.00,0,239302.00,277542.00,301796.00,1412340.00,39505025.00,38244364.00,35891168.00,9013611.00,1435523.00,14304462.00,23741327.00,23713.00,203073.00,228008.00,232678.00,273459.00,39544255.00,17573281.00,90.3,16895399.00,95,1118456,94.9,15776943.00,95,3491450.00,95,12285493,94.9,15000019.00,77.1,14419435.00,86,13435258.00,87.1,3044385.00,92.4,1255086.00,5015592.00,8722644.00,6697,1254870,5014883,8143434,6248,1253871,5012514,7163215,5658,187531,1432998,1421790,2066,6859827,45.7,6857934,47.6,6609392,49.2,3967464,60.5,2068633,67.9,2913306,3828942,116920,659,17570511,95,14999448,81.8,39501543,215543,254018,5015464,8722379,1254973,6632,
05/11/2022,19,NY,46475555,1899100.00,16414900.00,28161555.00,0,238905.00,277082.00,301295.00,1410000.00,39479347.00,38219367.00,35867112.00,9000708.00,1435339.00,14294064.00,23726317.00,23627.00,202941.00,227859.00,232522.00,273068.00,39518277.00,17569795.00,90.3,16892233.00,95,1118154,94.9,15774079.00,95,3490705.00,95,12283374,94.9,14995661.00,77.1,14415425.00,85.9,13431489.00,87.1,3042849.00,92.3,1254939.00,5014188.00,8719865.00,6669,1254723,5013480,8140999,6223,1253724,5011121,7161004,5640,187513,1432329,1420946,2061,6854947,45.7,6853060,47.5,6604869,49.2,3964764,60.4,2067072,67.9,2911470,3825945,116878,654,17567031,95,14995093,81.8,39475873,215403,253597,5014060,8719602,1254826,6605,
05/10/2022,19,NY,46425755,1899100.00,16405500.00,28121155.00,0,238649.00,276785.00,300972.00,1408490.00,39452039.00,38192852.00,35841554.00,8987011.00,1435069.00,14283465.00,23709968.00,23537.00,202801.00,227701.00,232356.00,272652.00,39491401.00,17566266.00,90.3,16889082.00,95,1117877,94.8,15771205.00,95,3489888.00,95,12281317,94.9,14991196.00,77.1,14411357.00,85.9,13427694.00,87.1,3041190.00,92.3,1254766.00,5012877.00,8716915.00,6638,1254552,5012169,8138440,6196,1253554,5009810,7158715,5615,187487,1431639,1420008,2056,6850150,45.7,6848268,47.5,6600421,49.2,3962016,60.4,2065518,67.9,2909679,3822987,116837,647,17563512,95,14990628,81.8,39448577,215254,253325,5012749,8716652,1254653,6574,
05/09/2022,19,NY,46408555,1899100.00,16400700.00,28108755.00,0,238561.00,276682.00,300861.00,1407960.00,39416173.00,38158490.00,35808902.00,8972933.00,1434656.00,14270049.00,23688114.00,23354.00,202617.00,227497.00,232145.00,272225.00,39456232.00,17560397.00,90.3,16883867.00,95,1117386,94.8,15766481.00,95,3488771.00,95,12277710,94.9,14984651.00,77,14405599.00,85.9,13422363.00,87,3039450.00,92.2,1254480.00,5011228.00,8712379.00,6564,1254266,5010521,8134679,6133,1253270,5008169,7155368,5556,187469,1430961,1418972,2048,6842687,45.7,6840816,47.5,6593671,49.1,3958364,60.4,2063629,67.9,2907137,3818145,116763,642,17557650,95,14984085,81.8,39412720,215058,253231,5011100,8712117,1254367,6501,
05/08/2022,19,NY,46408555,1899100.00,16400700.00,28108755.00,0,238561.00,276682.00,300861.00,1407960.00,39408421.00,38150945.00,35801787.00,8969598.00,1434617.00,14266897.00,23683553.00,23354.00,202577.00,227452.00,232098.00,272124.00,39448191.00,17559433.00,90.3,16883009.00,95,1117282,94.8,15765727.00,95,3488577.00,95,12277150,94.9,14983501.00,77,14404558.00,85.9,13421412.00,87,3038987.00,92.2,1254448.00,5010773.00,8711716.00,6564,1254234,5010066,8134125,6133,1253238,5007714,7154904,5556,187467,1430712,1418760,2048,6841265,45.7,6839394,47.5,6592493,49.1,3957704,60.4,2063335,67.9,2906690,3817180,116753,642,17556686,95,14982936,81.8,39404968,215016,253231,5010645,8711455,1254335,6501,
