Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,OK,7406530,326000.00,3112080.00,3968450.00,0,187177.00,222738.00,246495.00,1166140.00,5958986.00,5822058.00,5479773.00,1645091.00,155034.00,2407372.00,3394058.00,2522.00,150595.00,175088.00,182371.00,259016.00,5927481.00,2821243.00,71.3,2744962.00,82.5,175432,54.5,2569530.00,85.5,684701.00,95,1884829,82.5,2274357.00,57.5,2213892.00,66.6,2068869.00,68.9,559628.00,88.1,144517.00,859763.00,1269625.00,452,144499,859734,1209229,430,144422,859442,1064625,380,20797,284139,254565,127,857123,37.7,857028,38.7,836076,40.4,584429,53.1,351162,62.7,391774,452967,12116,266,2820925,76.2,2274302,61.4,5958632,160982,200099,859744,1269605,144502,451,
05/16/2022,20,OK,7406130,326000.00,3111680.00,3968450.00,0,187167.00,222726.00,246482.00,1166080.00,5953327.00,5816563.00,5474532.00,1642337.00,154998.00,2405236.00,3390591.00,2502.00,150452.00,174922.00,182197.00,258582.00,5921856.00,2820377.00,71.3,2744167.00,82.5,175352,54.5,2568815.00,85.5,684500.00,95,1884315,82.5,2273425.00,57.5,2213054.00,66.6,2068091.00,68.8,559327.00,88.1,144485.00,859456.00,1269033.00,451,144467,859427,1208731,429,144390,859135,1064187,379,20796,283995,254409,127,856069,37.7,855975,38.7,835138,40.4,583846,53.1,350839,62.7,391408,452291,12113,257,2820059,76.2,2273370,61.4,5952973,160829,200088,859437,1269013,144470,450,
05/15/2022,20,OK,7406130,326000.00,3111680.00,3968450.00,0,187167.00,222726.00,246482.00,1166080.00,5952948.00,5816200.00,5474192.00,1642220.00,154998.00,2405089.00,3390359.00,2502.00,150442.00,174912.00,182186.00,258564.00,5921424.00,2820168.00,71.3,2743967.00,82.5,175336,54.5,2568631.00,85.5,684449.00,95,1884182,82.5,2273250.00,57.4,2212885.00,66.5,2067926.00,68.8,559250.00,88.1,144483.00,859382.00,1268934.00,451,144465,859353,1208638,429,144388,859061,1064098,379,20796,283950,254377,127,856039,37.7,855945,38.7,835114,40.4,583834,53.1,350834,62.7,391403,452266,12113,257,2819850,76.2,2273195,61.4,5952594,160818,200088,859363,1268914,144468,450,
05/14/2022,19,OK,7406130,326000.00,3111680.00,3968450.00,0,187167.00,222726.00,246482.00,1166080.00,5952681.00,5815937.00,5473936.00,1642095.00,154998.00,2404973.00,3390208.00,2502.00,150435.00,174904.00,182177.00,258544.00,5921073.00,2820037.00,71.3,2743837.00,82.5,175331,54.5,2568506.00,85.5,684408.00,95,1884098,82.5,2273157.00,57.4,2212795.00,66.5,2067839.00,68.8,559215.00,88,144481.00,859338.00,1268887.00,451,144463,859309,1208594,429,144386,859017,1064057,379,20795,283927,254366,127,855988,37.7,855894,38.7,835067,40.4,583802,53.1,350815,62.7,391389,452229,12113,257,2819719,76.2,2273102,61.4,5952327,160811,200088,859319,1268867,144466,450,
05/13/2022,19,OK,7391530,326000.00,3110380.00,3955150.00,0,186798.00,222287.00,245996.00,1163780.00,5945913.00,5809360.00,5467608.00,1638483.00,154902.00,2401923.00,3386652.00,2436.00,150264.00,174706.00,181967.00,257975.00,5914321.00,2818911.00,71.2,2742812.00,82.5,175258,54.4,2567554.00,85.5,684120.00,95,1883434,82.4,2271932.00,57.4,2211666.00,66.5,2066792.00,68.8,558771.00,88,144399.00,858918.00,1268175.00,440,144381,858889,1207978,418,144304,858599,1063521,368,20772,283693,254183,123,854730,37.6,854637,38.6,833907,40.3,583003,53.1,350320,62.7,390898,451490,12103,239,2818594,76.1,2271877,61.4,5945560,160628,199693,858899,1268155,144384,439,
05/12/2022,19,OK,7382430,326000.00,3107180.00,3949250.00,0,186568.00,222013.00,245693.00,1162350.00,5945239.00,5808703.00,5466967.00,1638139.00,154901.00,2401618.00,3386284.00,2436.00,150247.00,174686.00,181945.00,257921.00,5913596.00,2818658.00,71.2,2742573.00,82.5,175252,54.4,2567321.00,85.4,684033.00,95,1883288,82.4,2271666.00,57.4,2211404.00,66.5,2066535.00,68.8,558626.00,88,144396.00,858800.00,1268030.00,440,144378,858771,1207837,418,144301,858481,1063385,368,20772,283620,254111,123,854648,37.6,854555,38.6,833828,40.3,582942,53.1,350286,62.7,390871,451435,12103,239,2818341,76.1,2271611,61.4,5944887,160610,199448,858781,1268010,144381,439,
05/11/2022,19,OK,7364830,325700.00,3091680.00,3947450.00,0,186123.00,221484.00,245108.00,1159580.00,5939150.00,5802783.00,5461281.00,1635023.00,154805.00,2398946.00,3383058.00,2341.00,150093.00,174508.00,181756.00,257430.00,5907476.00,2817622.00,71.2,2741629.00,82.4,175200,54.4,2566429.00,85.4,683805.00,95,1882624,82.4,2270521.00,57.4,2210333.00,66.5,2065542.00,68.7,558266.00,87.9,144318.00,858376.00,1267399.00,428,144300,858347,1207279,407,144223,858058,1062903,358,20772,283428,253949,117,853367,37.6,853276,38.6,832650,40.3,582169,53,349808,62.7,390396,450681,12080,210,2817307,76.1,2270466,61.3,5938799,160446,198972,858357,1267379,144303,427,
05/10/2022,19,OK,7363330,325700.00,3090480.00,3947150.00,0,186085.00,221439.00,245058.00,1159340.00,5938551.00,5802197.00,5460713.00,1634695.00,154805.00,2398649.00,3382756.00,2341.00,150078.00,174490.00,181737.00,257379.00,5906815.00,2817404.00,71.2,2741421.00,82.4,175191,54.4,2566230.00,85.4,683709.00,95,1882521,82.4,2270224.00,57.4,2210043.00,66.5,2065261.00,68.7,558090.00,87.9,144313.00,858227.00,1267256.00,428,144295,858198,1207143,407,144218,857909,1062776,358,20772,283324,253877,117,853301,37.6,853210,38.6,832588,40.3,582133,53,349792,62.7,390368,450643,12080,210,2817089,76.1,2270169,61.3,5938200,160430,198932,858208,1267236,144298,427,
05/09/2022,19,OK,7361530,325600.00,3089480.00,3946450.00,0,186040.00,221385.00,244998.00,1159060.00,5933300.00,5797127.00,5455908.00,1632312.00,154776.00,2396520.00,3379685.00,2319.00,149946.00,174338.00,181577.00,257004.00,5901607.00,2816538.00,71.2,2740634.00,82.4,175116,54.4,2565518.00,85.4,683523.00,95,1881995,82.4,2269177.00,57.3,2209096.00,66.4,2064391.00,68.7,557755.00,87.8,144289.00,857862.00,1266601.00,425,144271,857833,1206588,404,144194,857544,1062298,355,20769,283162,253710,114,852340,37.6,852249,38.6,831739,40.3,581631,53,349539,62.7,390032,450022,12079,207,2816223,76.1,2269123,61.3,5932949,160288,198883,857843,1266582,144274,424,
05/08/2022,19,OK,7361530,325600.00,3089480.00,3946450.00,0,186040.00,221385.00,244998.00,1159060.00,5933150.00,5796978.00,5455775.00,1632261.00,154776.00,2396440.00,3379615.00,2319.00,149942.00,174334.00,181573.00,256996.00,5901416.00,2816453.00,71.2,2740552.00,82.4,175107,54.4,2565445.00,85.4,683494.00,95,1881951,82.4,2269098.00,57.3,2209019.00,66.4,2064316.00,68.7,557723.00,87.8,144288.00,857817.00,1266568.00,425,144270,857788,1206557,404,144193,857499,1062269,355,20769,283141,253699,114,852321,37.6,852230,38.6,831727,40.3,581626,53,349537,62.7,390027,450008,12079,207,2816138,76.1,2269044,61.3,5932799,160284,198883,857798,1266549,144273,424,
