Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,PA,31114525,1534600.00,11923660.00,17656265.00,0,243044.00,280778.00,306023.00,1300030.00,23259679.00,22530885.00,21227497.00,6734395.00,781672.00,8992521.00,13484035.00,1451.00,181688.00,203319.00,208780.00,281378.00,23319547.00,10909091.00,85.2,10516024.00,94.9,638506,93.4,9877518.00,95,2740504.00,95,7137014,95.0,8805406.00,68.8,8484508.00,76.6,7961986.00,78.3,2280962.00,95,726069.00,3150001.00,4928645.00,691,725966,3149686,4608168,688,725470,3147445,4088434,637,91302,1072374,1116981,305,3777359,42.9,3776456,44.5,3649193,45.8,2514313,56.4,1465456,64.2,1653181,2062666,61432,80,10905817,90.1,8804162,72.7,23255181,192127,257058,3149874,4927585,726013,690,
05/16/2022,20,PA,31093125,1534500.00,11917260.00,17641365.00,0,242877.00,280585.00,305813.00,1299140.00,23220383.00,22492575.00,21190531.00,6714446.00,781415.00,8975382.00,13462135.00,1451.00,181381.00,202974.00,208417.00,280545.00,23280605.00,10903129.00,85.2,10510553.00,94.8,638063,93.3,9872490.00,95,2738814.00,95,7133676,95.0,8799094.00,68.7,8478635.00,76.5,7956421.00,78.3,2278326.00,95,725873.00,3147643.00,4924887.00,691,725770,3147328,4604849,688,725275,3145089,4085420,637,91284,1071157,1115580,305,3770806,42.9,3769919,44.5,3643203,45.8,2510101,56.4,1463153,64.2,1650538,2058808,61380,80,10899871,90.1,8797866,72.7,23215917,191803,256882,3147516,4923843,725817,690,
05/15/2022,20,PA,31093125,1534500.00,11917260.00,17641365.00,0,242877.00,280585.00,305813.00,1299140.00,23219763.00,22491955.00,21189918.00,6714055.00,781414.00,8975075.00,13461823.00,1451.00,181376.00,202968.00,208411.00,280528.00,23279808.00,10902760.00,85.2,10510185.00,94.8,638057,93.3,9872128.00,95,2738619.00,95,7133509,95.0,8798765.00,68.7,8478306.00,76.5,7956094.00,78.3,2278106.00,95,725869.00,3147481.00,4924724.00,691,725766,3147166,4604686,688,725271,3144927,4085259,637,91284,1071041,1115476,305,3770759,42.9,3769872,44.5,3643157,45.8,2510072,56.4,1463143,64.2,1650513,2058786,61380,80,10899502,90,8797537,72.7,23215297,191798,256882,3147354,4923680,725813,690,
05/14/2022,19,PA,31093125,1534500.00,11917260.00,17641365.00,0,242877.00,280585.00,305813.00,1299140.00,23218712.00,22490906.00,21188875.00,6713299.00,781410.00,8974585.00,13461266.00,1451.00,181368.00,202958.00,208401.00,280497.00,23278455.00,10902182.00,85.2,10509615.00,94.8,638047,93.3,9871568.00,95,2738280.00,95,7133288,95.0,8798369.00,68.7,8477912.00,76.5,7955701.00,78.2,2277839.00,95,725863.00,3147280.00,4924536.00,690,725760,3146965,4604500,687,725265,3144726,4085074,636,91284,1070889,1115362,304,3770644,42.9,3769757,44.5,3643043,45.8,2509992,56.4,1463093,64.2,1650457,2058729,61378,80,10898925,90,8797141,72.7,23214246,191789,256882,3147153,4923492,725807,689,
05/13/2022,19,PA,31065925,1534200.00,11906260.00,17625465.00,0,242665.00,280340.00,305545.00,1298000.00,23198855.00,22471623.00,21170146.00,6702320.00,781268.00,8965874.00,13450262.00,1451.00,181213.00,202784.00,208216.00,280038.00,23258449.00,10898913.00,85.1,10506632.00,94.8,637860,93.3,9868772.00,95,2737197.00,95,7131575,94.9,8794881.00,68.7,8474688.00,76.5,7952624.00,78.2,2276223.00,95,725754.00,3146046.00,4922391.00,690,725651,3145732,4602618,687,725158,3143494,4083336,636,91271,1070173,1114475,304,3767343,42.8,3766465,44.4,3639937,45.8,2507746,56.4,1461708,64.2,1649098,2056810,61355,80,10895677,90,8793661,72.7,23194419,191625,256657,3145919,4921355,725698,689,
05/12/2022,19,PA,30998725,1534200.00,11898260.00,17566265.00,0,242140.00,279733.00,304884.00,1295200.00,23179385.00,22452798.00,21151966.00,6691489.00,781116.00,8957032.00,13439786.00,1451.00,181061.00,202615.00,208038.00,279585.00,23238773.00,10895478.00,85.1,10503520.00,94.8,637610,93.2,9865910.00,95,2736024.00,95,7129886,94.9,8791408.00,68.7,8471505.00,76.4,7949626.00,78.2,2274674.00,95,725642.00,3144695.00,4920381.00,690,725539,3144381,4600898,687,725046,3142144,4081800,636,91258,1069386,1113726,304,3764129,42.8,3763257,44.4,3636917,45.7,2505529,56.4,1460337,64.2,1647683,2055046,61320,80,10892249,90,8790199,72.6,23174966,191464,256102,3144568,4919356,725586,689,
05/11/2022,19,PA,30896325,1531900.00,11813560.00,17550865.00,0,241340.00,278809.00,303877.00,1290920.00,23158671.00,22432622.00,21132439.00,6679811.00,780910.00,8948262.00,13428048.00,1451.00,180899.00,202433.00,207846.00,279097.00,23217577.00,10891940.00,85.1,10500256.00,94.8,637370,93.2,9862886.00,95,2734759.00,95,7128127,94.9,8787666.00,68.6,8467974.00,76.4,7946276.00,78.2,2273020.00,95,725475.00,3143346.00,4918157.00,688,725372,3143032,4598885,685,724879,3140796,4079967,634,91238,1068641,1112838,303,3760627,42.8,3759761,44.4,3633638,45.7,2503195,56.3,1458866,64.2,1646228,2053041,61278,80,10888722,90,8786464,72.6,23154271,191293,255256,3143219,4917139,725419,687,
05/10/2022,19,PA,30874725,1531900.00,11803560.00,17539265.00,0,241171.00,278614.00,303665.00,1290020.00,23144069.00,22418545.00,21118937.00,6672183.00,780796.00,8942359.00,13419464.00,1450.00,180785.00,202306.00,207713.00,278779.00,23202744.00,10889122.00,85.1,10497702.00,94.7,637177,93.2,9860525.00,95,2733815.00,95,7126710,94.9,8785016.00,68.6,8465557.00,76.4,7944031.00,78.1,2271957.00,94.9,725379.00,3142481.00,4916468.00,688,725276,3142167,4597429,685,724783,3139933,4078681,634,91232,1068235,1112187,303,3758147,42.8,3757289,44.4,3631345,45.7,2501612,56.3,1457902,64.2,1645257,2051554,61256,80,10885918,89.9,8783815,72.6,23139685,191173,255077,3142354,4915451,725323,687,
05/09/2022,19,PA,30848825,1531900.00,11794660.00,17522265.00,0,240969.00,278381.00,303410.00,1288930.00,23133293.00,22408084.00,21108856.00,6666947.00,780745.00,8938621.00,13412477.00,1450.00,180701.00,202211.00,207614.00,278560.00,23191608.00,10887147.00,85,10495874.00,94.7,637037,93.2,9858837.00,95,2733211.00,95,7125626,94.8,8783136.00,68.6,8463829.00,76.4,7942402.00,78.1,2271260.00,94.9,725338.00,3141820.00,4915290.00,688,725235,3141506,4596403,685,724742,3139273,4077753,634,91229,1067895,1111833,303,3756293,42.8,3755439,44.4,3629636,45.7,2500474,56.3,1457332,64.2,1644594,2050374,61245,80,10883959,89.9,8781948,72.6,23128938,191084,254863,3141693,4914286,725282,687,
05/08/2022,19,PA,30848825,1531900.00,11794660.00,17522265.00,0,240969.00,278381.00,303410.00,1288930.00,23106124.00,22381608.00,21083267.00,6652857.00,780523.00,8926352.00,13397799.00,1450.00,180489.00,201972.00,207362.00,277971.00,23164918.00,10883277.00,85,10492307.00,94.7,636763,93.1,9855544.00,95,2732130.00,95,7123414,94.8,8778739.00,68.6,8459768.00,76.3,7938536.00,78.1,2269430.00,94.8,725164.00,3140127.00,4912761.00,687,725061,3139813,4594210,684,724569,3137581,4075753,633,91209,1066947,1110971,303,3751989,42.7,3751140,44.3,3625712,45.7,2497699,56.3,1455798,64.1,1642775,2047925,61209,80,10880092,89.9,8777551,72.5,23101772,190860,254863,3140000,4911757,725108,686,
05/07/2022,18,PA,30848825,1531900.00,11794660.00,17522265.00,0,240969.00,278381.00,303410.00,1288930.00,23104985.00,22380470.00,21082135.00,6652023.00,780517.00,8925677.00,13397341.00,1450.00,180480.00,201962.00,207351.00,277936.00,23163472.00,10882721.00,85,10491753.00,94.7,636756,93.1,9854997.00,95,2731809.00,95,7123188,94.8,8778314.00,68.6,8459343.00,76.3,7938111.00,78.1,2269140.00,94.8,725157.00,3139891.00,4912579.00,687,725054,3139577,4594028,684,724562,3137345,4075571,633,91208,1066767,1110862,303,3751859,42.7,3751010,44.3,3625583,45.7,2497596,56.3,1455726,64.2,1642692,2047879,61208,80,10879536,89.9,8777126,72.5,23100633,190850,254863,3139764,4911575,725101,686,
05/06/2022,18,PA,30818425,1531700.00,11783860.00,17502865.00,0,240732.00,278106.00,303111.00,1287660.00,23085079.00,22361494.00,21063890.00,6641230.00,780371.00,8917267.00,13385991.00,1450.00,180324.00,201791.00,207171.00,277485.00,23143591.00,10879291.00,85,10488742.00,94.7,636490,93.1,9852252.00,95,2730701.00,95,7121551,94.8,8774887.00,68.5,8456399.00,76.3,7935365.00,78,2267817.00,94.8,725035.00,3138722.00,4910443.00,687,724932,3138408,4592375,684,724440,3136177,4074115,633,91197,1066121,1110196,303,3748280,42.7,3747437,44.3,3622251,45.6,2495179,56.3,1454204,64.1,1641319,2045695,61187,79,10876135,89.9,8773722,72.5,23080778,190686,254612,3138595,4909462,724979,686,
05/05/2022,18,PA,30798825,1531600.00,11776760.00,17490465.00,0,240578.00,277929.00,302918.00,1286840.00,23065417.00,22342778.00,21045889.00,6630430.00,780183.00,8908120.00,13375664.00,1450.00,180171.00,201622.00,206994.00,277034.00,23123892.00,10876006.00,85,10485865.00,94.6,636255,93.1,9849610.00,95,2729707.00,95,7119903,94.8,8771422.00,68.5,8453428.00,76.3,7932588.00,78,2266422.00,94.7,724881.00,3137496.00,4908358.00,687,724778,3137182,4590784,684,724287,3134951,4072717,633,91179,1065417,1109523,303,3745084,42.7,3744248,44.3,3619316,45.6,2492994,56.2,1452849,64.1,1639927,2043916,61162,79,10872878,89.8,8770274,72.5,23061161,190524,254450,3137369,4907394,724825,686,
