Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47623.00,45181.00,41596.00,5059.00,2349.00,36527.00,8622.00,125,221173.00,242322.00,250835.00,253966.00,47985.00,20424.00,94.9,19022.00,95,1528,95.0,17494.00,95,1870.00,93.9,15624,95.1,18167.00,84.4,17125.00,91.8,15687.00,94.6,1803.00,90.5,2354.00,12669.00,3083.00,61,2354,12669,2041,61,2354,12669,603,61,227,1539,35,2,11406,62.8,11405,66.6,10775,68.7,4621,77.4,1531,84.9,10520,886,0,0,20421,95,18166,89.2,47619,233736,220831,12669,3082,2354,61,
05/16/2022,20,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47623.00,45181.00,41596.00,5059.00,2349.00,36527.00,8622.00,125,221173.00,242322.00,250835.00,253966.00,47984.00,20424.00,94.9,19022.00,95,1528,95.0,17494.00,95,1870.00,93.9,15624,95.1,18167.00,84.4,17125.00,91.8,15687.00,94.6,1803.00,90.5,2354.00,12669.00,3083.00,61,2354,12669,2041,61,2354,12669,603,61,227,1539,35,2,11405,62.8,11404,66.6,10774,68.7,4621,77.4,1531,84.9,10519,886,0,0,20421,95,18166,89.2,47619,233736,220831,12669,3082,2354,61,
05/15/2022,20,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47906.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18161.00,84.3,17123.00,91.8,15685.00,94.6,1802.00,90.5,2354.00,12667.00,3079.00,61,2354,12667,2041,61,2354,12667,603,61,227,1538,35,2,11392,62.7,11391,66.5,10765,68.6,4617,77.3,1530,84.9,10510,882,0,0,20419,95,18160,89.1,47541,233353,220831,12667,3078,2354,61,
05/14/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47905.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11392,62.7,11391,66.5,10765,68.6,4617,77.3,1530,84.9,10510,882,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/13/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47905.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11392,62.7,11391,66.5,10765,68.6,4617,77.3,1530,84.9,10510,882,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/12/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47905.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11392,62.7,11391,66.5,10765,68.6,4617,77.3,1530,84.9,10510,882,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/11/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47904.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11391,62.7,11390,66.5,10764,68.6,4617,77.3,1530,84.9,10510,881,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/10/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47903.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11391,62.7,11390,66.5,10764,68.6,4617,77.3,1530,84.9,10510,881,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/09/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47545.00,45108.00,41527.00,5041.00,2349.00,36459.00,8612.00,125,220811.00,241931.00,250419.00,253062.00,47903.00,20422.00,94.8,19021.00,95,1528,95.0,17493.00,95,1870.00,93.9,15623,95.1,18160.00,84.3,17122.00,91.8,15684.00,94.6,1802.00,90.5,2354.00,12666.00,3079.00,61,2354,12666,2041,61,2354,12666,603,61,227,1538,35,2,11391,62.7,11390,66.5,10764,68.6,4617,77.3,1530,84.9,10510,881,0,0,20419,95,18159,89.1,47541,233353,220831,12666,3078,2354,61,
05/08/2022,19,PW,44990,3800.00,29000.00,12190.00,0,208945.00,241298.00,271302.00,2258530.00,47441.00,45005.00,41427.00,5007.00,2349.00,36363.00,8607.00,122,220328.00,241378.00,249816.00,251355.00,47799.00,20413.00,94.8,19012.00,95,1527,95.0,17485.00,95,1869.00,93.8,15616,95.1,18155.00,84.3,17118.00,91.8,15681.00,94.6,1802.00,90.5,2354.00,12664.00,3077.00,60,2354,12664,2040,60,2354,12664,603,60,227,1538,35,2,11375,62.7,11374,66.4,10749,68.5,4606,77.2,1525,84.6,10495,880,0,0,20410,95,18154,89.1,47437,232842,220831,12664,3076,2354,60,
