Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,RI,2626225,89100.00,1008600.00,1528525.00,0,247907.00,283154.00,307209.00,1404050.00,2244520.00,2172631.00,2037657.00,577446.00,65719.00,857290.00,1319645.00,1866.00,211875.00,234248.00,238360.00,308719.00,2411844.00,1049291.00,95,1002652.00,95,68349,95.0,934303.00,95,221324.00,95,712979,95.0,878282.00,82.9,838476.00,90.4,778918.00,91.1,190458.00,95,60653.00,293693.00,523458.00,478,60652,293679,483673,472,60624,293551,424286,457,6816,85142,98344,156,473334,53.9,473139,56.4,454295,58.3,281336,70.1,148568,78,200449,267650,5162,73,1049104,95,878244,87.4,2244384,223357,261358,293689,523426,60652,477,
05/16/2022,20,RI,2625025,89100.00,1008000.00,1527925.00,0,247793.00,283024.00,307069.00,1403410.00,2243560.00,2171685.00,2036750.00,576950.00,65718.00,856837.00,1319139.00,1866.00,211784.00,234146.00,238254.00,308454.00,2409283.00,1048496.00,95,1001914.00,95,68305,94.9,933609.00,95,221111.00,95,712498,94.9,877838.00,82.9,838069.00,90.4,778541.00,91.1,190307.00,95,60653.00,293579.00,523128.00,478,60652,293565,483380,472,60624,293437,424023,457,6816,85089,98246,156,472881,53.9,472686,56.4,453892,58.3,281130,70.1,148472,78,200328,267318,5162,73,1048315,95,877802,87.4,2243424,223262,261238,293575,523098,60652,477,
05/15/2022,20,RI,2625025,89100.00,1008000.00,1527925.00,0,247793.00,283024.00,307069.00,1403410.00,2242239.00,2170384.00,2035482.00,576344.00,65716.00,856232.00,1318427.00,1864.00,211660.00,234006.00,238105.00,308130.00,2408064.00,1048398.00,95,1001826.00,95,68302,94.9,933524.00,95,221090.00,95,712434,94.9,877744.00,82.9,837985.00,90.3,778460.00,91.1,190281.00,95,60652.00,293537.00,523077.00,478,60651,293523,483339,472,60623,293395,423985,457,6816,85074,98235,156,472714,53.9,472519,56.4,453751,58.3,281055,70.1,148441,78,200262,267219,5161,72,1048217,95,877708,87.3,2242103,223130,261238,293533,523047,60651,477,
05/14/2022,19,RI,2625025,89100.00,1008000.00,1527925.00,0,247793.00,283024.00,307069.00,1403410.00,2240354.00,2168554.00,2033702.00,575328.00,65708.00,855399.00,1317408.00,1839.00,211482.00,233809.00,237897.00,307586.00,2406230.00,1048200.00,95,1001656.00,95,68291,94.9,933365.00,95,221031.00,95,712334,94.9,877573.00,82.8,837839.00,90.3,778326.00,91,190224.00,95,60649.00,293477.00,522980.00,467,60648,293463,483266,462,60620,293335,423924,447,6816,85042,98216,150,472400,53.8,472207,56.4,453466,58.3,280871,70,148332,78,200125,267042,5161,72,1048021,95,877537,87.3,2240220,222943,261238,293473,522950,60648,466,
05/13/2022,19,RI,2623925,89100.00,1007500.00,1527325.00,0,247689.00,282906.00,306940.00,1402820.00,2238343.00,2166613.00,2031825.00,574303.00,65699.00,854484.00,1316326.00,1834.00,211292.00,233599.00,237678.00,307038.00,2403829.00,1047809.00,95,1001308.00,95,68269,94.9,933039.00,95,220931.00,95,712108,94.9,877278.00,82.8,837584.00,90.3,778089.00,91,190146.00,95,60642.00,293403.00,522767.00,466,60641,293389,483093,461,60613,293261,423769,446,6814,85013,98170,149,471961,53.8,471769,56.3,453067,58.2,280658,70,148220,78,199974,266759,5158,70,1047632,95,877242,87.3,2238210,222743,261129,293399,522737,60641,465,
05/12/2022,19,RI,2620925,89100.00,1007100.00,1524725.00,0,247406.00,282582.00,306589.00,1401220.00,2236291.00,2164597.00,2029870.00,573120.00,65688.00,853604.00,1315175.00,1824.00,211098.00,233382.00,237449.00,306406.00,2401342.00,1047415.00,95,1000935.00,95,68248,94.9,932687.00,95,220810.00,95,711877,94.9,876943.00,82.8,837269.00,90.3,777804.00,91,190048.00,95,60637.00,293300.00,522542.00,464,60636,293286,482888,459,60608,293158,423594,444,6813,84964,98122,149,471545,53.8,471355,56.3,452684,58.2,280441,70,148107,77.9,199829,266492,5155,69,1047238,95,876907,87.3,2236158,222539,260830,293296,522512,60636,463,
05/11/2022,19,RI,2617125,89100.00,1004000.00,1524025.00,0,247048.00,282173.00,306144.00,1399190.00,2234138.00,2162504.00,2027824.00,571932.00,65676.00,852687.00,1313958.00,1817.00,210895.00,233156.00,237210.00,305771.00,2398702.00,1047000.00,95,1000561.00,95,68231,94.8,932330.00,95,220705.00,95,711625,94.8,876588.00,82.7,836959.00,90.2,777514.00,91,189959.00,95,60628.00,293197.00,522302.00,461,60627,293183,482693,456,60599,293055,423418,442,6811,84928,98071,149,471065,53.7,470876,56.3,452242,58.2,280193,69.9,147973,77.9,199669,266173,5154,69,1046823,95,876552,87.2,2234005,222324,260452,293193,522272,60627,460,
05/10/2022,19,RI,2615625,89100.00,1002800.00,1523725.00,0,246906.00,282011.00,305969.00,1398390.00,2232933.00,2161326.00,2026677.00,571298.00,65669.00,852122.00,1313325.00,1817.00,210781.00,233029.00,237075.00,305432.00,2397518.00,1046875.00,95,1000447.00,95,68223,94.8,932224.00,95,220678.00,95,711546,94.8,876442.00,82.7,836828.00,90.2,777393.00,90.9,189916.00,95,60622.00,293147.00,522212.00,461,60621,293133,482618,456,60593,293005,423353,442,6811,84911,98045,149,470866,53.7,470677,56.2,452054,58.1,280077,69.9,147906,77.9,199589,266055,5153,69,1046698,95,876406,87.2,2232800,222205,260303,293143,522182,60621,460,
05/09/2022,19,RI,2615125,89100.00,1002600.00,1523425.00,0,246859.00,281957.00,305911.00,1398120.00,2232282.00,2160687.00,2026066.00,571023.00,65667.00,851833.00,1312965.00,1817.00,210720.00,232960.00,237004.00,305285.00,2395605.00,1046248.00,95,999853.00,95,68189,94.8,931664.00,95,220507.00,95,711157,94.8,876103.00,82.7,836512.00,90.2,777111.00,90.9,189827.00,95,60619.00,293051.00,521972.00,461,60618,293037,482401,456,60590,292909,423170,442,6811,84880,97987,149,470493,53.7,470304,56.2,451717,58.1,279892,69.9,147817,77.9,199487,265784,5153,69,1046071,95,876068,87.2,2232149,222140,260253,293047,521943,60618,460,
05/08/2022,19,RI,2615125,89100.00,1002600.00,1523425.00,0,246859.00,281957.00,305911.00,1398120.00,2230921.00,2159349.00,2024772.00,570377.00,65660.00,851193.00,1312251.00,1817.00,210591.00,232816.00,236853.00,304939.00,2394270.00,1046129.00,95,999747.00,95,68186,94.8,931561.00,95,220475.00,95,711086,94.7,875978.00,82.7,836396.00,90.2,777009.00,90.9,189785.00,95,60615.00,292992.00,521910.00,461,60614,292978,482348,456,60586,292850,423131,442,6811,84853,97972,149,470284,53.7,470095,56.2,451530,58.1,279786,69.9,147769,77.9,199407,265657,5151,69,1045952,95,875943,87.2,2230788,222004,260253,292988,521881,60614,460,
