Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,UT,6351450,247800.00,2157760.00,3945890.00,0,198114.00,245016.00,279212.00,1735980.00,5244739.00,5010459.00,4555631.00,1013393.00,184809.00,1822419.00,3237178.00,333,163594.00,193286.00,200267.00,276980.00,5213780.00,2315773.00,72.2,2186488.00,84.3,216450,67.9,1970038.00,86.6,377263.00,95,1592775,84.8,2065312.00,64.4,1961269.00,75.7,1769229.00,77.8,343862.00,94,170322.00,668851.00,1226124.00,15,170277,668778,1122200,14,170109,668357,930751,12,16962,147835,179061,4,924085,44.7,923748,47.1,881523,49.8,477394,65.8,257437,74.9,352933,558550,12594,8,2315177,78.3,2065188,69.8,5244043,177274,214710,668828,1226055,170290,15,
05/16/2022,20,UT,6347650,247800.00,2157660.00,3942190.00,0,197995.00,244870.00,279045.00,1734940.00,5244708.00,5010429.00,4555601.00,1013390.00,184809.00,1822415.00,3237151.00,333,163593.00,193284.00,200266.00,276979.00,5213673.00,2315700.00,72.2,2186418.00,84.3,216449,67.9,1969969.00,86.6,377251.00,95,1592718,84.8,2065293.00,64.4,1961251.00,75.7,1769212.00,77.8,343857.00,94,170322.00,668843.00,1226113.00,15,170277,668770,1122190,14,170109,668349,930742,12,16962,147831,179060,4,924073,44.7,923736,47.1,881513,49.8,477388,65.8,257435,74.9,352930,558541,12594,8,2315104,78.3,2065169,69.8,5244012,177273,214581,668820,1226044,170290,15,
05/15/2022,20,UT,6347650,247800.00,2157660.00,3942190.00,0,197995.00,244870.00,279045.00,1734940.00,5244696.00,5010417.00,4555589.00,1013390.00,184809.00,1822407.00,3237147.00,333,163592.00,193284.00,200266.00,276979.00,5213612.00,2315668.00,72.2,2186387.00,84.3,216448,67.9,1969939.00,86.6,377238.00,95,1592701,84.8,2065275.00,64.4,1961233.00,75.7,1769195.00,77.8,343852.00,94,170322.00,668835.00,1226103.00,15,170277,668762,1122180,14,170109,668341,930733,12,16962,147829,179057,4,924066,44.7,923729,47.1,881506,49.8,477385,65.8,257434,74.9,352929,558535,12594,8,2315072,78.3,2065151,69.8,5244000,177273,214581,668812,1226034,170290,15,
05/14/2022,19,UT,6347650,247800.00,2157660.00,3942190.00,0,197995.00,244870.00,279045.00,1734940.00,5244632.00,5010357.00,4555530.00,1013354.00,184809.00,1822352.00,3237138.00,333,163590.00,193282.00,200263.00,276970.00,5213495.00,2315613.00,72.2,2186335.00,84.3,216447,67.9,1969888.00,86.6,377218.00,95,1592670,84.8,2065259.00,64.4,1961218.00,75.7,1769180.00,77.8,343845.00,94,170321.00,668826.00,1226097.00,15,170276,668753,1122175,14,170108,668332,930728,12,16962,147822,179057,4,924052,44.7,923715,47.1,881492,49.8,477373,65.8,257428,74.9,352919,558531,12594,8,2315017,78.3,2065135,69.8,5243936,177270,214581,668803,1226028,170289,15,
05/13/2022,19,UT,6337250,247600.00,2155160.00,3934490.00,0,197671.00,244468.00,278588.00,1732100.00,5244552.00,5010277.00,4555451.00,1013306.00,184808.00,1822278.00,3237133.00,333,163588.00,193279.00,200259.00,276956.00,5213357.00,2315565.00,72.2,2186287.00,84.3,216444,67.9,1969843.00,86.6,377198.00,95,1592645,84.8,2065237.00,64.4,1961196.00,75.7,1769158.00,77.8,343834.00,94,170320.00,668810.00,1226092.00,15,170275,668737,1122170,14,170107,668316,930723,12,16962,147812,179056,4,924036,44.7,923699,47.1,881476,49.8,477363,65.8,257421,74.9,352905,558529,12594,8,2314969,78.3,2065113,69.8,5243856,177268,214230,668787,1226023,170288,15,
05/12/2022,19,UT,6330650,247600.00,2153660.00,3929390.00,0,197465.00,244214.00,278298.00,1730290.00,5244415.00,5010141.00,4555322.00,1013255.00,184808.00,1822187.00,3237087.00,333,163583.00,193273.00,200254.00,276942.00,5213136.00,2315464.00,72.2,2186188.00,84.3,216437,67.9,1969751.00,86.6,377159.00,95,1592592,84.8,2065212.00,64.4,1961171.00,75.7,1769137.00,77.8,343827.00,94,170318.00,668799.00,1226080.00,15,170273,668726,1122158,14,170105,668305,930715,12,16962,147807,179054,4,923978,44.7,923641,47.1,881418,49.8,477332,65.8,257408,74.9,352870,558506,12594,8,2314868,78.3,2065088,69.8,5243719,177263,214007,668776,1226011,170286,15,
05/11/2022,19,UT,6324450,247500.00,2149560.00,3927390.00,0,197272.00,243975.00,278025.00,1728600.00,5244229.00,5009972.00,4555158.00,1013188.00,184808.00,1822055.00,3237034.00,332,163578.00,193267.00,200247.00,276924.00,5212824.00,2315376.00,72.2,2186115.00,84.3,216438,67.9,1969677.00,86.6,377125.00,95,1592552,84.8,2065141.00,64.4,1961101.00,75.7,1769069.00,77.8,343795.00,94,170318.00,668769.00,1226039.00,15,170273,668696,1122118,14,170105,668275,930677,12,16961,147790,179040,4,923882,44.7,923545,47.1,881323,49.8,477273,65.8,257369,74.9,352806,558475,12593,8,2314781,78.3,2065017,69.8,5243534,177257,213797,668746,1225970,170286,15,
05/10/2022,19,UT,6321950,247500.00,2147860.00,3926590.00,0,197194.00,243878.00,277916.00,1727910.00,5244081.00,5009827.00,4555013.00,1013130.00,184808.00,1821918.00,3237023.00,332,163573.00,193261.00,200240.00,276908.00,5212629.00,2315299.00,72.2,2186043.00,84.3,216441,67.9,1969602.00,86.6,377106.00,95,1592496,84.8,2065105.00,64.4,1961065.00,75.7,1769032.00,77.8,343787.00,94,170314.00,668745.00,1226032.00,14,170269,668672,1122111,13,170101,668251,930669,11,16961,147784,179039,3,923825,44.7,923488,47.1,881266,49.8,477224,65.8,257344,74.9,352754,558472,12592,7,2314704,78.2,2064981,69.8,5243386,177252,213713,668722,1225963,170282,14,
05/09/2022,19,UT,6317450,247500.00,2145860.00,3924090.00,0,197053.00,243705.00,277718.00,1726680.00,5219467.00,4986048.00,4533759.00,1003047.00,184529.00,1814886.00,3219720.00,332,162805.00,192344.00,199306.00,274152.00,5188938.00,2312542.00,72.1,2183704.00,84.2,215955,67.7,1967749.00,86.5,376779.00,95,1590970,84.7,2061533.00,64.3,1957885.00,75.5,1766858.00,77.7,343339.00,93.8,170132.00,668156.00,1223231.00,14,170087,668084,1119701,13,169919,667666,929262,11,16950,147614,178772,3,918245,44.5,917916,46.9,876647,49.6,475263,65.6,256342,74.7,351302,554412,12524,7,2311948,78.2,2061409,69.7,5218773,176420,213560,668133,1223162,170100,14,
05/08/2022,19,UT,6317450,247500.00,2145860.00,3924090.00,0,197053.00,243705.00,277718.00,1726680.00,5219467.00,4986048.00,4533759.00,1003047.00,184529.00,1814886.00,3219720.00,332,162805.00,192344.00,199306.00,274152.00,5188899.00,2312509.00,72.1,2183671.00,84.2,215953,67.7,1967718.00,86.5,376769.00,95,1590949,84.7,2061528.00,64.3,1957880.00,75.5,1766853.00,77.7,343337.00,93.8,170131.00,668155.00,1223228.00,14,170086,668083,1119698,13,169918,667665,929259,11,16950,147613,178771,3,918245,44.5,917916,46.9,876647,49.6,475263,65.6,256342,74.7,351302,554412,12524,7,2311915,78.2,2061404,69.7,5218773,176420,213560,668132,1223159,170099,14,
