Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7475915.00,7475719.00,7472366.00,3984140.00,255870.00,3858537.00,3361225.00,283,0,0,0,0,7475915.00,3461461.00,0,3461340.00,0,1907,#DIV/0!,3459433.00,0,1691698.00,0,1767735,#DIV/0!,2955331.00,0,2955255.00,0,2953853.00,0,1508048.00,0,233675.00,1449579.00,1272065.00,12,233668,1449556,1272019,12,233633,1449517,1270691,12,76658,823831,607558,1,1156932,39.1,1156926,39.1,1156858,39.2,1048776,45.1,755366,50.1,612843,522910,21179,0,3461356,0,2955260,0,7475740,0,0,1449556,1272023,233669,12,
05/16/2022,20,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7475909.00,7475713.00,7472360.00,3984138.00,255870.00,3858532.00,3361224.00,283,0,0,0,0,7475909.00,3461459.00,0,3461338.00,0,1907,#DIV/0!,3459431.00,0,1691698.00,0,1767733,#DIV/0!,2955331.00,0,2955255.00,0,2953853.00,0,1508048.00,0,233675.00,1449579.00,1272065.00,12,233668,1449556,1272019,12,233633,1449517,1270691,12,76658,823831,607558,1,1156928,39.1,1156922,39.1,1156854,39.2,1048773,45.1,755364,50.1,612840,522909,21179,0,3461354,0,2955260,0,7475734,0,0,1449556,1272023,233669,12,
05/15/2022,20,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7475886.00,7475690.00,7472337.00,3984126.00,255870.00,3858510.00,3361223.00,283,0,0,0,0,7475886.00,3461453.00,0,3461332.00,0,1907,#DIV/0!,3459425.00,0,1691694.00,0,1767731,#DIV/0!,2955329.00,0,2955253.00,0,2953851.00,0,1508048.00,0,233675.00,1449577.00,1272065.00,12,233668,1449554,1272019,12,233633,1449515,1270691,12,76658,823831,607558,1,1156924,39.1,1156918,39.1,1156850,39.2,1048770,45.1,755363,50.1,612836,522909,21179,0,3461348,0,2955258,0,7475711,0,0,1449554,1272023,233669,12,
05/14/2022,19,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7469866.00,7469670.00,7466317.00,3980046.00,255864.00,3855377.00,3358342.00,283,0,0,0,0,7469866.00,3460205.00,0,3460084.00,0,1907,#DIV/0!,3458177.00,0,1691115.00,0,1767062,#DIV/0!,2954784.00,0,2954708.00,0,2953306.00,0,1507690.00,0,233671.00,1449290.00,1271811.00,12,233664,1449267,1271765,12,233629,1449228,1270437,12,76658,823620,607411,1,1155940,39.1,1155934,39.1,1155866,39.1,1047885,45.1,754754,50.1,612316,522446,21178,0,3460100,0,2954713,0,7469691,0,0,1449267,1271769,233665,12,
05/13/2022,19,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7463173.00,7462977.00,7459624.00,3975281.00,255853.00,3851635.00,3355402.00,283,0,0,0,0,7463173.00,3458897.00,0,3458776.00,0,1907,#DIV/0!,3456869.00,0,1690442.00,0,1766427,#DIV/0!,2954146.00,0,2954070.00,0,2952668.00,0,1507275.00,0,233662.00,1448943.00,1271529.00,12,233655,1448920,1271483,12,233620,1448881,1270155,12,76653,823390,607231,1,1154803,39.1,1154797,39.1,1154729,39.1,1046843,45,753958,50,611672,521955,21176,0,3458792,0,2954075,0,7462998,0,0,1448920,1271487,233656,12,
05/12/2022,19,VA2,8184820,626600.00,3982880.00,3575340.00,0,0,0,0,0,7456232.00,7456036.00,7452684.00,3970272.00,255848.00,3847709.00,3352392.00,283,0,0,0,0,7456232.00,3457546.00,0,3457425.00,0,1906,#DIV/0!,3455519.00,0,1689709.00,0,1765810,#DIV/0!,2953538.00,0,2953462.00,0,2952060.00,0,1506870.00,0,233660.00,1448602.00,1271264.00,12,233653,1448579,1271218,12,233618,1448540,1269890,12,76653,823156,607060,1,1153504,39.1,1153498,39.1,1153430,39.1,1045663,45,753062,50,610926,521404,21174,0,3457441,0,2953467,0,7456057,0,0,1448579,1271222,233654,12,
05/11/2022,19,VA2,8168020,626600.00,3982880.00,3558540.00,0,0,0,0,0,7449581.00,7449385.00,7446036.00,3965469.00,255845.00,3844138.00,3349315.00,283,0,0,0,0,7449581.00,3456348.00,0,3456227.00,0,1905,#DIV/0!,3454322.00,0,1689046.00,0,1765276,#DIV/0!,2952911.00,0,2952835.00,0,2951435.00,0,1506413.00,0,233658.00,1448253.00,1270988.00,12,233651,1448230,1270942,12,233616,1448191,1269616,12,76653,822889,606870,1,1152344,39,1152338,39,1152270,39,1044613,44.9,752304,49.9,610310,520861,21173,0,3456243,0,2952840,0,7449406,0,0,1448230,1270946,233652,12,
05/10/2022,19,VA2,8168020,626600.00,3982880.00,3558540.00,0,0,0,0,0,7444087.00,7443891.00,7440542.00,3961569.00,255840.00,3841373.00,3346591.00,283,0,0,0,0,7444087.00,3455362.00,0,3455241.00,0,1905,#DIV/0!,3453336.00,0,1688507.00,0,1764829,#DIV/0!,2952391.00,0,2952315.00,0,2950915.00,0,1506076.00,0,233654.00,1447984.00,1270741.00,12,233647,1447961,1270695,12,233612,1447922,1269369,12,76651,822708,606716,1,1151381,39,1151375,39,1151307,39,1043747,44.9,751693,49.9,609814,520395,21172,0,3455257,0,2952320,0,7443912,0,0,1447961,1270699,233648,12,
05/09/2022,19,VA2,8149320,626600.00,3964180.00,3558540.00,0,0,0,0,0,7444084.00,7443888.00,7440539.00,3961567.00,255840.00,3841370.00,3346591.00,283,0,0,0,0,7444084.00,3455361.00,0,3455240.00,0,1905,#DIV/0!,3453335.00,0,1688506.00,0,1764829,#DIV/0!,2952391.00,0,2952315.00,0,2950915.00,0,1506076.00,0,233654.00,1447984.00,1270741.00,12,233647,1447961,1270695,12,233612,1447922,1269369,12,76651,822708,606716,1,1151380,39,1151374,39,1151306,39,1043746,44.9,751692,49.9,609813,520395,21172,0,3455256,0,2952320,0,7443909,0,0,1447961,1270699,233648,12,
05/08/2022,19,VA2,8149320,626600.00,3964180.00,3558540.00,0,0,0,0,0,7444077.00,7443881.00,7440532.00,3961561.00,255840.00,3841363.00,3346591.00,283,0,0,0,0,7444077.00,3455361.00,0,3455240.00,0,1905,#DIV/0!,3453335.00,0,1688506.00,0,1764829,#DIV/0!,2952390.00,0,2952314.00,0,2950914.00,0,1506075.00,0,233654.00,1447983.00,1270741.00,12,233647,1447960,1270695,12,233612,1447921,1269369,12,76651,822707,606716,1,1151378,39,1151372,39,1151304,39,1043744,44.9,751690,49.9,609811,520395,21172,0,3455256,0,2952319,0,7443902,0,0,1447960,1270699,233648,12,
