Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146816.00,144316.00,137254.00,42070.00,2326.00,43956.00,100534.00,0,138128.00,161382.00,168395.00,205440.00,144540.00,69911.00,65.8,68476.00,76.6,3635,45.8,64841.00,79.6,19039.00,93,45802,75.1,56990.00,53.6,55904.00,62.5,52863.00,64.9,15420.00,75.3,2111.00,15831.00,39042.00,6,2108,15821,37969,6,2104,15798,34955,6,571,6134,8711,4,17910,31.4,17909,32,17518,33.1,13255,41.6,7463,48.4,6042,11720,146,2,69843,70.1,56964,57.2,146721,147275,153337,15823,39027,2108,6,
05/16/2022,20,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146636.00,144139.00,137084.00,41994.00,2325.00,43912.00,100399.00,0,137958.00,161184.00,168187.00,205069.00,144362.00,69796.00,65.7,68363.00,76.4,3631,45.8,64732.00,79.4,18994.00,92.8,45738,75.0,56967.00,53.6,55882.00,62.5,52843.00,64.8,15413.00,75.3,2110.00,15824.00,39027.00,6,2107,15814,37955,6,2103,15791,34943,6,571,6132,8706,4,17889,31.4,17888,32,17498,33.1,13239,41.5,7452,48.3,6034,11707,146,2,69728,70,56941,57.2,146541,147094,153337,15816,39012,2107,6,
05/15/2022,20,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146636.00,144139.00,137084.00,41994.00,2325.00,43912.00,100399.00,0,137958.00,161184.00,168187.00,205069.00,144361.00,69796.00,65.7,68363.00,76.4,3631,45.8,64732.00,79.4,18994.00,92.8,45738,75.0,56967.00,53.6,55882.00,62.5,52843.00,64.8,15413.00,75.3,2110.00,15824.00,39027.00,6,2107,15814,37955,6,2103,15791,34943,6,571,6132,8706,4,17888,31.4,17887,32,17497,33.1,13238,41.5,7451,48.3,6034,11706,146,2,69728,70,56941,57.2,146541,147094,153337,15816,39012,2107,6,
05/14/2022,19,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146636.00,144139.00,137084.00,41994.00,2325.00,43912.00,100399.00,0,137958.00,161184.00,168187.00,205069.00,144360.00,69795.00,65.7,68362.00,76.4,3631,45.8,64731.00,79.4,18993.00,92.7,45738,75.0,56967.00,53.6,55882.00,62.5,52843.00,64.8,15413.00,75.3,2110.00,15824.00,39027.00,6,2107,15814,37955,6,2103,15791,34943,6,571,6132,8706,4,17888,31.4,17887,32,17497,33.1,13238,41.5,7451,48.3,6034,11706,146,2,69727,70,56941,57.2,146541,147094,153337,15816,39012,2107,6,
05/13/2022,19,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146514.00,144024.00,136974.00,41946.00,2324.00,43848.00,100342.00,0,137844.00,161056.00,168052.00,204834.00,144239.00,69740.00,65.6,68308.00,76.4,3628,45.7,64680.00,79.4,18973.00,92.7,45707,74.9,56948.00,53.6,55869.00,62.5,52831.00,64.8,15408.00,75.2,2109.00,15816.00,39017.00,6,2106,15806,37951,6,2102,15783,34940,6,570,6128,8706,4,17869,31.4,17868,32,17479,33.1,13222,41.5,7442,48.3,6022,11699,146,2,69672,69.9,56922,57.1,146419,146972,153337,15808,39002,2106,6,
05/12/2022,19,VI,152760,2900.00,40940.00,108920.00,0,143720.00,170825.00,187419.00,745971.00,146424.00,143936.00,136887.00,41896.00,2324.00,43794.00,100306.00,0,137759.00,160957.00,167945.00,204590.00,144150.00,69720.00,65.6,68290.00,76.4,3628,45.7,64662.00,79.3,18965.00,92.6,45697,74.9,56930.00,53.6,55851.00,62.5,52814.00,64.8,15399.00,75.2,2109.00,15802.00,39013.00,6,2106,15792,37947,6,2102,15769,34937,6,570,6121,8704,4,17841,31.3,17840,31.9,17451,33,13198,41.4,7427,48.2,6008,11685,146,2,69652,69.9,56904,57.1,146329,146881,153337,15794,38998,2106,6,
05/11/2022,19,VI,151560,2900.00,40940.00,107720.00,0,142591.00,169483.00,185947.00,740111.00,146337.00,143850.00,136803.00,41855.00,2324.00,43757.00,100256.00,0,137677.00,160861.00,167842.00,204390.00,144053.00,69663.00,65.5,68234.00,76.3,3627,45.7,64607.00,79.3,18935.00,92.5,45672,74.9,56922.00,53.6,55843.00,62.4,52807.00,64.8,15396.00,75.2,2109.00,15801.00,39006.00,6,2106,15791,37940,6,2102,15768,34931,6,570,6120,8702,4,17829,31.3,17828,31.9,17440,33,13191,41.4,7424,48.2,6005,11676,146,2,69595,69.9,56896,57.1,146242,146794,152132,15793,38991,2106,6,
05/10/2022,19,VI,151560,2900.00,40940.00,107720.00,0,142591.00,169483.00,185947.00,740111.00,146230.00,143745.00,136701.00,41800.00,2319.00,43729.00,100182.00,0,137576.00,160744.00,167717.00,204121.00,143941.00,69601.00,65.5,68174.00,76.2,3626,45.7,64548.00,79.2,18901.00,92.3,45647,74.8,56897.00,53.5,55818.00,62.4,52783.00,64.8,15386.00,75.1,2105.00,15790.00,38996.00,6,2102,15780,37930,6,2098,15757,34922,6,570,6113,8699,4,17814,31.3,17813,31.9,17426,33,13180,41.4,7417,48.2,6000,11667,145,2,69533,69.8,56871,57.1,146135,146687,152132,15782,38981,2102,6,
05/09/2022,19,VI,150760,2900.00,40440.00,107420.00,0,141838.00,168588.00,184966.00,736205.00,146147.00,143662.00,136622.00,41772.00,2312.00,43691.00,100144.00,0,137498.00,160651.00,167620.00,203985.00,143857.00,69577.00,65.5,68149.00,76.2,3626,45.7,64523.00,79.2,18892.00,92.3,45631,74.8,56883.00,53.5,55805.00,62.4,52771.00,64.7,15386.00,75.1,2101.00,15787.00,38989.00,6,2098,15778,37923,6,2094,15755,34916,6,570,6113,8699,4,17789,31.3,17788,31.9,17403,33,13163,41.4,7410,48.2,5990,11654,143,2,69508,69.8,56858,57.1,146052,146603,151329,15780,38974,2098,6,
05/08/2022,19,VI,150760,2900.00,40440.00,107420.00,0,141838.00,168588.00,184966.00,736205.00,146147.00,143662.00,136622.00,41772.00,2312.00,43691.00,100144.00,0,137498.00,160651.00,167620.00,203985.00,143856.00,69577.00,65.5,68149.00,76.2,3626,45.7,64523.00,79.2,18892.00,92.3,45631,74.8,56883.00,53.5,55805.00,62.4,52771.00,64.7,15386.00,75.1,2101.00,15787.00,38989.00,6,2098,15778,37923,6,2094,15755,34916,6,570,6113,8699,4,17789,31.3,17788,31.9,17403,33,13163,41.4,7410,48.2,5990,11654,143,2,69508,69.8,56858,57.1,146052,146603,151329,15780,38974,2098,6,
