Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,VT,1833490,72500.00,717220.00,1043770.00,0,293834.00,332787.00,359519.00,1466340.00,1425750.00,1369440.00,1282183.00,416960.00,53556.00,558769.00,812543.00,882.00,228490.00,248560.00,251416.00,333464.00,1404112.00,585467.00,93.8,555996.00,95,37388,95.0,518608.00,95,143829.00,95,374779,95.0,508078.00,81.4,482051.00,87.5,448686.00,88,127935.00,95,47443.00,179410.00,280955.00,270,47427,179391,254963,270,47363,179338,221733,252,2658,61984,63136,157,308602,60.7,308515,64,292138,65.1,187845,74.6,104135,81.4,132128,171938,4519,17,585163,95,508064,85.4,1425449,239593,308178,179409,280946,47439,270,
05/16/2022,20,VT,1832390,72500.00,717120.00,1042770.00,0,293657.00,332587.00,359303.00,1465460.00,1423877.00,1367612.00,1280399.00,415960.00,53551.00,558017.00,811427.00,882,228189.00,248228.00,251067.00,332664.00,1402209.00,585263.00,93.8,555809.00,95,37380,95.0,518429.00,95,143742.00,95,374687,95.0,507903.00,81.4,481893.00,87.5,448534.00,88,127864.00,95,47441.00,179325.00,280867.00,270,47425,179306,254892,270,47361,179253,221668,252,2658,61930,63119,157,308320,60.7,308236,64,291890,65.1,187676,74.5,104036,81.4,132024,171761,4518,17,584966,95,507889,85.4,1423584,239280,307993,179324,280858,47437,270,
05/15/2022,20,VT,1832090,72500.00,717120.00,1042470.00,0,293609.00,332533.00,359245.00,1465220.00,1423875.00,1367610.00,1280397.00,415960.00,53551.00,558017.00,811425.00,882,228189.00,248228.00,251066.00,332664.00,1402202.00,585259.00,93.8,555805.00,95,37379,95.0,518426.00,95,143741.00,95,374685,95.0,507902.00,81.4,481892.00,87.5,448533.00,88,127864.00,95,47441.00,179325.00,280866.00,270,47425,179306,254891,270,47361,179253,221667,252,2658,61930,63119,157,308318,60.7,308234,64,291888,65.1,187675,74.5,104035,81.4,132023,171760,4518,17,584962,95,507888,85.4,1423582,239279,307942,179324,280857,47437,270,
05/14/2022,19,VT,1832090,72500.00,717120.00,1042470.00,0,293609.00,332533.00,359245.00,1465220.00,1422219.00,1365982.00,1278803.00,414954.00,53543.00,557173.00,810621.00,882,227924.00,247932.00,250754.00,331860.00,1400640.00,585154.00,93.8,555707.00,95,37375,95.0,518332.00,95,143701.00,95,374631,95.0,507787.00,81.4,481793.00,87.4,448441.00,87.9,127821.00,95,47438.00,179285.00,280794.00,270,47422,179266,254835,270,47358,179213,221618,252,2658,61908,63098,157,308055,60.7,307972,63.9,291647,65,187481,74.5,103918,81.3,131899,171621,4518,17,584858,95,507773,85.3,1421928,239001,307942,179284,280785,47434,270,
05/13/2022,19,VT,1828290,72500.00,716420.00,1039370.00,0,293000.00,331843.00,358499.00,1462180.00,1420645.00,1364431.00,1277301.00,414018.00,53534.00,556557.00,809672.00,882,227671.00,247651.00,250459.00,331111.00,1399208.00,585063.00,93.8,555626.00,95,37373,95.0,518253.00,95,143661.00,95,374592,95.0,507678.00,81.4,481689.00,87.4,448343.00,87.9,127781.00,95,47436.00,179248.00,280724.00,270,47420,179229,254770,270,47356,179176,221559,252,2658,61886,63080,157,307819,60.6,307737,63.9,291431,65,187311,74.4,103803,81.2,131810,171476,4516,17,584770,95,507664,85.3,1420357,238737,307304,179247,280715,47432,270,
05/12/2022,19,VT,1823790,72500.00,714220.00,1037070.00,0,292279.00,331026.00,357617.00,1458580.00,1418979.00,1362800.00,1275697.00,413058.00,53523.00,555766.00,808808.00,882,227404.00,247355.00,250145.00,330343.00,1397707.00,584973.00,93.7,555548.00,95,37372,95.0,518176.00,95,143637.00,95,374539,94.9,507556.00,81.3,481574.00,87.4,448231.00,87.9,127733.00,95,47433.00,179200.00,280653.00,270,47417,179182,254705,270,47353,179129,221497,252,2657,61861,63058,157,307576,60.6,307496,63.9,291208,65,187146,74.4,103702,81.2,131716,171328,4515,17,584681,95,507542,85.3,1418692,238457,306547,179199,280644,47429,270,
05/11/2022,19,VT,1819290,72400.00,710720.00,1036170.00,0,291558.00,330210.00,356735.00,1454980.00,1417567.00,1361417.00,1274353.00,412196.00,53517.00,555207.00,807961.00,882,227178.00,247104.00,249881.00,329654.00,1396210.00,584792.00,93.7,555376.00,95,37366,94.9,518010.00,95,143540.00,95,374470,94.9,507383.00,81.3,481414.00,87.4,448075.00,87.9,127645.00,95,47427.00,179108.00,280578.00,270,47411,179090,254643,270,47347,179037,221439,252,2655,61802,63031,157,307343,60.6,307265,63.8,291003,64.9,186983,74.3,103604,81.2,131615,171196,4515,17,584503,95,507370,85.3,1417284,238221,305791,179107,280570,47423,270,
05/10/2022,19,VT,1816490,72400.00,710620.00,1033470.00,0,291109.00,329701.00,356186.00,1452740.00,1417074.00,1360924.00,1273864.00,411880.00,53516.00,554977.00,807699.00,882,227099.00,247014.00,249785.00,329401.00,1395717.00,584749.00,93.7,555333.00,95,37364,94.9,517969.00,95,143523.00,95,374446,94.9,507360.00,81.3,481391.00,87.4,448052.00,87.9,127630.00,95,47426.00,179101.00,280563.00,270,47410,179083,254628,270,47346,179030,221424,252,2655,61797,63021,157,307273,60.6,307195,63.8,290935,64.9,186927,74.3,103566,81.1,131583,171158,4515,17,584460,95,507347,85.3,1416791,238138,305320,179100,280555,47422,270,
05/09/2022,19,VT,1813950,72400.00,709480.00,1032070.00,0,290702.00,329240.00,355688.00,1450710.00,1415073.00,1358962.00,1271947.00,410763.00,53504.00,554228.00,806459.00,882,226779.00,246658.00,249409.00,328508.00,1393753.00,584573.00,93.7,555175.00,95,37358,94.9,517817.00,95,143468.00,95,374349,94.9,507199.00,81.3,481245.00,87.3,447910.00,87.8,127567.00,95,47424.00,179037.00,280468.00,270,47408,179019,254548,270,47344,178966,221348,252,2655,61765,62990,157,306988,60.5,306911,63.8,290682,64.9,186741,74.3,103453,81.1,131476,170982,4513,17,584287,95,507186,85.2,1414793,237802,304893,179036,280460,47420,270,
05/08/2022,19,VT,1813950,72400.00,709480.00,1032070.00,0,290702.00,329240.00,355688.00,1450710.00,1415073.00,1358962.00,1271947.00,410763.00,53504.00,554228.00,806459.00,882,226779.00,246658.00,249409.00,328508.00,1392984.00,584007.00,93.6,554610.00,95,37353,94.9,517257.00,95,143128.00,95,374129,94.8,507052.00,81.3,481099.00,87.3,447768.00,87.8,127490.00,95,47406.00,178946.00,280430.00,270,47390,178928,254511,270,47326,178875,221315,252,2653,61704,62976,157,306936,60.5,306859,63.8,290630,64.9,186712,74.3,103440,81.1,131445,170962,4512,17,583721,95,507039,85.2,1414793,237802,304893,178945,280422,47402,270,
