Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,WV,4140045,166800.00,1657720.00,2315525.00,0,231010.00,265756.00,288992.00,1128040.00,2745693.00,2696219.00,2568977.00,912220.00,67470.00,1184803.00,1491679.00,1741.00,153207.00,173075.00,179325.00,248554.00,2747603.00,1167258.00,65.1,1139145.00,73.1,61608,49.1,1077537.00,75.2,342441.00,93.3,735096,69.0,1034304.00,57.7,1012540.00,65,958317.00,66.9,311337.00,84.8,61131.00,424271.00,548422.00,480,61112,424174,526785,469,61052,423808,473021,436,9627,159694,141818,198,475632,46,475531,47,465230,48.5,341067,59.1,209682,67.3,224274,246196,5083,79,1166823,68.7,1034067,60.9,2744961,161552,243658,424195,548279,61114,479,
05/16/2022,20,WV,4138245,166800.00,1656920.00,2314525.00,0,230910.00,265640.00,288867.00,1127550.00,2745693.00,2696219.00,2568977.00,912220.00,67470.00,1184803.00,1491679.00,1741.00,153207.00,173075.00,179325.00,248554.00,2747508.00,1167227.00,65.1,1139115.00,73.1,61607,49.1,1077508.00,75.2,342432.00,93.3,735076,69.0,1034271.00,57.7,1012507.00,65,958284.00,66.9,311318.00,84.8,61130.00,424253.00,548408.00,480,61111,424156,526771,469,61051,423790,473007,436,9627,159681,141812,198,475616,46,475515,47,465214,48.5,341054,59.1,209675,67.4,224265,246189,5083,79,1166792,68.7,1034034,60.9,2744961,161552,243552,424177,548265,61113,479,
05/15/2022,20,WV,4137945,166800.00,1656920.00,2314225.00,0,230893.00,265621.00,288846.00,1127470.00,2745691.00,2696217.00,2568975.00,912220.00,67470.00,1184803.00,1491677.00,1741.00,153207.00,173074.00,179325.00,248554.00,2747462.00,1167205.00,65.1,1139093.00,73.1,61606,49.1,1077487.00,75.2,342426.00,93.3,735061,69.0,1034259.00,57.7,1012495.00,65,958272.00,66.9,311313.00,84.8,61129.00,424250.00,548400.00,480,61110,424153,526763,469,61050,423787,472999,436,9627,159679,141809,198,475610,46,475509,47,465208,48.5,341050,59.1,209673,67.4,224260,246188,5083,79,1166770,68.7,1034022,60.9,2744959,161552,243534,424174,548257,61112,479,
05/14/2022,19,WV,4137945,166800.00,1656920.00,2314225.00,0,230893.00,265621.00,288846.00,1127470.00,2745571.00,2696097.00,2568855.00,912120.00,67470.00,1184683.00,1491677.00,1741.00,153200.00,173067.00,179317.00,248527.00,2747239.00,1167142.00,65.1,1139031.00,73.1,61603,49.1,1077428.00,75.2,342394.00,93.3,735034,69.0,1034212.00,57.7,1012448.00,65,958225.00,66.9,311286.00,84.8,61127.00,424213.00,548392.00,480,61108,424116,526755,469,61048,423750,472991,436,9627,159655,141806,198,475582,46,475481,47,465183,48.5,341028,59.1,209657,67.4,224243,246177,5083,79,1166707,68.7,1033975,60.9,2744839,161545,243534,424137,548249,61110,479,
05/13/2022,19,WV,4133845,166800.00,1655120.00,2311925.00,0,230664.00,265358.00,288559.00,1126360.00,2743477.00,2694017.00,2566809.00,910849.00,67460.00,1183681.00,1490596.00,1740.00,153083.00,172933.00,179174.00,248180.00,2745107.00,1166948.00,65.1,1138843.00,73.1,61595,49.1,1077248.00,75.2,342333.00,93.3,734915,69.0,1033987.00,57.7,1012231.00,65,958025.00,66.9,311189.00,84.8,61120.00,424124.00,548263.00,480,61101,424027,526634,469,61041,423661,472887,436,9627,159595,141769,198,475221,46,475120,46.9,464836,48.5,340779,59.1,209489,67.3,224078,245983,5081,79,1166513,68.7,1033750,60.8,2742745,161421,243293,424048,548120,61103,479,
05/12/2022,19,WV,4126545,166800.00,1653920.00,2305825.00,0,230257.00,264889.00,288050.00,1124370.00,2741317.00,2691885.00,2564736.00,909613.00,67444.00,1182624.00,1489510.00,1739.00,152963.00,172796.00,179029.00,247844.00,2742920.00,1166660.00,65.1,1138574.00,73.1,61574,49.1,1077000.00,75.2,342252.00,93.3,734748,68.9,1033756.00,57.7,1012013.00,65,957818.00,66.9,311097.00,84.8,61103.00,424029.00,548144.00,480,61084,423932,526528,469,61024,423566,472792,436,9627,159538,141734,198,474834,45.9,474733,46.9,464472,48.5,340542,59,209345,67.3,223935,245743,5078,78,1166226,68.6,1033519,60.8,2740586,161294,242863,423953,548001,61086,479,
05/11/2022,19,WV,4120845,166600.00,1649220.00,2305025.00,0,229939.00,264524.00,287652.00,1122810.00,2739898.00,2690503.00,2563398.00,908826.00,67430.00,1181957.00,1488773.00,1738.00,152884.00,172708.00,178936.00,247629.00,2741286.00,1166423.00,65.1,1138357.00,73.1,61562,49.1,1076795.00,75.2,342177.00,93.2,734618,68.9,1033454.00,57.7,1011731.00,64.9,957560.00,66.8,311009.00,84.7,61081.00,423916.00,547978.00,479,61062,423819,526382,468,61002,423453,472670,435,9626,159485,141700,198,474531,45.9,474430,46.9,464189,48.5,340327,59,209230,67.3,223815,245563,5075,78,1165989,68.6,1033217,60.8,2739168,161211,242528,423840,547835,61064,478,
05/10/2022,19,WV,4118945,166600.00,1648720.00,2303625.00,0,229833.00,264402.00,287519.00,1122300.00,2738549.00,2689177.00,2562101.00,908029.00,67422.00,1181300.00,1488089.00,1738.00,152808.00,172622.00,178845.00,247412.00,2739865.00,1166241.00,65.1,1138190.00,73.1,61555,49.1,1076635.00,75.2,342117.00,93.2,734518,68.9,1033249.00,57.7,1011539.00,64.9,957379.00,66.8,310948.00,84.7,61069.00,423834.00,547867.00,479,61050,423737,526284,468,60990,423371,472583,435,9626,159449,141675,198,474243,45.9,474143,46.9,463917,48.5,340125,59,209099,67.2,223704,245389,5072,78,1165807,68.6,1033012,60.8,2737819,161131,242416,423758,547724,61052,478,
05/09/2022,19,WV,4115745,166600.00,1647320.00,2301825.00,0,229654.00,264196.00,287296.00,1121420.00,2735463.00,2686158.00,2559149.00,906376.00,67400.00,1179995.00,1486332.00,1736.00,152636.00,172429.00,178639.00,246962.00,2736914.00,1165942.00,65.1,1137935.00,73,61536,49.1,1076399.00,75.1,342050.00,93.2,734349,68.9,1032951.00,57.6,1011262.00,64.9,957129.00,66.8,310834.00,84.7,61052.00,423693.00,547727.00,479,61033,423596,526165,468,60974,423230,472490,435,9626,159376,141634,198,473738,45.9,473639,46.8,463436,48.4,339797,59,208926,67.2,223493,245100,5068,77,1165508,68.6,1032714,60.8,2734733,160950,242228,423617,547584,61035,478,
05/08/2022,19,WV,4115745,166600.00,1647320.00,2301825.00,0,229654.00,264196.00,287296.00,1121420.00,2735463.00,2686158.00,2559149.00,906376.00,67400.00,1179995.00,1486332.00,1736.00,152636.00,172429.00,178639.00,246962.00,2736855.00,1165916.00,65.1,1137911.00,73,61536,49.1,1076375.00,75.1,342037.00,93.2,734338,68.9,1032931.00,57.6,1011243.00,64.9,957110.00,66.8,310829.00,84.7,61049.00,423683.00,547720.00,479,61030,423586,526159,468,60971,423220,472484,435,9625,159372,141634,198,473732,45.9,473633,46.8,463430,48.4,339791,59,208922,67.2,223489,245098,5068,77,1165482,68.6,1032694,60.8,2734733,160950,242228,423607,547577,61032,478,
