Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,WY,990085,48400.00,437840.00,503845.00,0,171070.00,201761.00,222479.00,998281.00,748821.00,732777.00,695327.00,234629.00,28807.00,330331.00,388994.00,689.00,129384.00,149327.00,156244.00,236571.00,752415.00,336537.00,58.1,327699.00,66.8,18464,40.5,309235.00,69.5,92563.00,93.3,216672,62.7,295238.00,51,287918.00,58.7,271771.00,61.1,83485.00,84.2,26670.00,119988.00,148431.00,149,26666,119986,141118,148,26646,119960,125021,144,3942,42814,36665,64,128017,43.4,127993,44.5,125013,46,90151,58.4,57066,68.4,59677,66450,1834,56,336501,61.9,295232,54.3,748782,137687,182058,119987,148429,26667,149,
05/16/2022,20,WY,989685,48300.00,437540.00,503845.00,0,171001.00,201680.00,222389.00,997878.00,748031.00,731997.00,694599.00,234207.00,28797.00,329935.00,388610.00,689,129247.00,149168.00,156081.00,236146.00,751606.00,336436.00,58.1,327603.00,66.8,18448,40.4,309155.00,69.5,92540.00,93.3,216615,62.7,295142.00,51,287826.00,58.7,271696.00,61.1,83455.00,84.1,26660.00,119949.00,148384.00,149,26656,119947,141075,148,26636,119921,124995,144,3942,42791,36658,64,127859,43.3,127835,44.4,124874,46,90057,58.4,57022,68.3,59597,66373,1833,56,336400,61.9,295136,54.3,747992,137542,181985,119948,148382,26657,149,
05/15/2022,20,WY,989685,48300.00,437540.00,503845.00,0,171001.00,201680.00,222389.00,997878.00,748023.00,731989.00,694591.00,234204.00,28797.00,329931.00,388606.00,689,129246.00,149166.00,156079.00,236143.00,751583.00,336420.00,58.1,327587.00,66.8,18448,40.4,309139.00,69.5,92531.00,93.3,216608,62.7,295136.00,51,287820.00,58.7,271690.00,61.1,83451.00,84.1,26659.00,119945.00,148383.00,149,26655,119943,141074,148,26635,119917,124994,144,3942,42787,36658,64,127857,43.3,127833,44.4,124873,46,90056,58.4,57021,68.3,59596,66372,1833,56,336384,61.9,295130,54.3,747984,137541,181985,119944,148381,26656,149,
05/14/2022,19,WY,989685,48300.00,437540.00,503845.00,0,171001.00,201680.00,222389.00,997878.00,747997.00,731964.00,694572.00,234192.00,28796.00,329917.00,388595.00,689,129242.00,149161.00,156075.00,236131.00,751536.00,336407.00,58.1,327574.00,66.8,18448,40.4,309126.00,69.5,92525.00,93.3,216601,62.6,295121.00,51,287806.00,58.6,271678.00,61,83444.00,84.1,26657.00,119940.00,148375.00,149,26653,119938,141067,148,26633,119912,124989,144,3942,42783,36655,64,127846,43.3,127822,44.4,124866,46,90052,58.4,57018,68.3,59593,66364,1833,56,336371,61.9,295115,54.3,747958,137536,181985,119939,148373,26654,149,
05/13/2022,19,WY,987485,48200.00,437240.00,502045.00,0,170621.00,201231.00,221894.00,995659.00,747349.00,731330.00,693953.00,233771.00,28787.00,329661.00,388212.00,689,129130.00,149032.00,155936.00,235706.00,750878.00,336306.00,58.1,327483.00,66.7,18445,40.4,309038.00,69.4,92492.00,93.3,216546,62.6,295058.00,51,287749.00,58.6,271627.00,61,83426.00,84.1,26652.00,119919.00,148338.00,149,26648,119917,141036,148,26628,119891,124964,144,3942,42772,36648,64,127752,43.3,127728,44.4,124778,45.9,89991,58.4,56975,68.3,59558,66309,1829,56,336270,61.8,295052,54.3,747310,137417,181580,119918,148336,26649,149,
05/12/2022,19,WY,986485,48200.00,436540.00,501745.00,0,170448.00,201028.00,221670.00,994651.00,746942.00,730933.00,693565.00,233540.00,28786.00,329475.00,387992.00,689,129059.00,148951.00,155849.00,235473.00,750470.00,336243.00,58.1,327422.00,66.7,18440,40.4,308982.00,69.4,92469.00,93.2,216513,62.6,294997.00,51,287694.00,58.6,271574.00,61,83399.00,84.1,26650.00,119897.00,148301.00,149,26646,119895,141005,148,26626,119869,124935,144,3942,42756,36637,64,127675,43.3,127651,44.4,124703,45.9,89947,58.3,56945,68.3,59525,66267,1827,56,336207,61.8,294991,54.2,746903,137342,181397,119896,148299,26647,149,
05/11/2022,19,WY,985085,48200.00,435240.00,501645.00,0,170206.00,200742.00,221355.00,993239.00,746402.00,730403.00,693054.00,233245.00,28783.00,329234.00,387698.00,687,128966.00,148843.00,155734.00,235176.00,749897.00,336168.00,58.1,327350.00,66.7,18434,40.4,308916.00,69.4,92449.00,93.2,216467,62.6,294921.00,51,287622.00,58.6,271502.00,61,83371.00,84.1,26643.00,119870.00,148260.00,148,26639,119868,140968,147,26619,119842,124898,143,3941,42739,36627,64,127565,43.3,127541,44.3,124605,45.9,89884,58.3,56905,68.3,59485,66196,1828,56,336132,61.8,294915,54.2,746363,137242,181139,119869,148258,26640,148,
05/10/2022,19,WY,984185,48200.00,435140.00,500845.00,0,170051.00,200559.00,221153.00,992332.00,746052.00,730077.00,692741.00,233084.00,28773.00,329090.00,387502.00,687,128905.00,148776.00,155663.00,235013.00,749557.00,336104.00,58.1,327299.00,66.7,18431,40.4,308868.00,69.4,92434.00,93.2,216434,62.6,294853.00,50.9,287564.00,58.6,271451.00,61,83357.00,84,26635.00,119849.00,148221.00,148,26631,119847,140939,147,26611,119821,124876,143,3941,42731,36621,64,127515,43.2,127491,44.3,124559,45.9,89858,58.3,56886,68.2,59468,66165,1826,56,336068,61.8,294847,54.2,746013,137178,180974,119848,148219,26632,148,
05/09/2022,19,WY,983385,48200.00,434940.00,500245.00,0,169913.00,200396.00,220973.00,991525.00,758768.00,741879.00,702973.00,234805.00,29127.00,330842.00,398118.00,681,131103.00,151181.00,157963.00,236749.00,761632.00,340846.00,58.9,331534.00,67.6,19126,41.9,312408.00,70.2,92797.00,93.6,219611,63.5,298929.00,51.6,291262.00,59.4,274553.00,61.7,83715.00,84.4,26855.00,120138.00,151788.00,148,26851,120136,144128,147,26830,120110,127470,143,3951,42755,36945,64,129453,43.3,129415,44.4,126262,46,90446,58.3,57111,68.2,59523,68025,1850,55,340805,62.7,298922,55,758721,139515,180826,120137,151785,26852,148,
05/08/2022,19,WY,983385,48200.00,434940.00,500245.00,0,169913.00,200396.00,220973.00,991525.00,758755.00,741866.00,702960.00,234800.00,29125.00,330836.00,398113.00,681,131100.00,151179.00,157960.00,236744.00,761601.00,340832.00,58.9,331520.00,67.6,19126,41.9,312394.00,70.2,92796.00,93.6,219598,63.5,298918.00,51.6,291251.00,59.4,274542.00,61.7,83709.00,84.4,26853.00,120133.00,151784.00,148,26849,120131,144124,147,26828,120105,127466,143,3951,42751,36943,64,129447,43.3,129409,44.4,126256,46,90442,58.3,57111,68.2,59521,68021,1850,55,340791,62.7,298911,55,758708,139512,180826,120132,151781,26850,148,
