State code,Condition,Competition,Incentive,Start Date,Prize date/End date,Min doses,Incentive t0,State wide
AL,13-29,TikTok,4x $250 Visa gift card,16/07/2021,06/08/2021,1,16/07/2021,Yes
AK,12-17,Lottery,"9x $49,000 scholarship fund + $10,000 for parents if vaccinated",02/09/2021,30/10/2021,1,02/09/2021,Yes
AK,18+,Lottery,"9x $49,000",02/09/2021,30/10/2021,1,02/09/2021,Yes
AR,12+,No,$20 Arkansas Game and Fish certificate for fishing/hunting licenses,26/05/2021,30/06/2021,1,26/05/2021,Yes
AR,12+,Lottery,20$ lottery ticket ($1 million prize),26/05/2021,30/06/2021,1,26/05/2021,Yes
CA,12+,Automatic lottery,10 winners $1.5 million (saving account if under 18),27/05/2021,15/06/2021,1,27/05/2021,Yes
CA,12+,Automatic lottery,"15 winners $50,000 (saving account if under 18)",27/05/2021,04/06/2021,1,27/05/2021,Yes
CA,12+,Automatic lottery,15 winners $1.5 million (saving account if under 18),27/05/2021,11/06/2021,1,27/05/2021,Yes
CA,12+,No,$50 incentive card,27/05/2021,18/07/2021,1,27/05/2021,Yes
CO,18+,Automatic lottery,5 x $1 million,25/05/2021,07/07/2021,1,25/05/2021,Yes
CO,12+,No,$100 Walmart gift cards & $50 Colorado Parks and Wildlife vouchers,22/07/2021,While supplies last,1,25/05/2021,Yes
CT,12+,No,Free drinks at partner restaurants,19/05/2021,31/05/2021,1,19/05/2021,Yes
CT,18+,Lottery,"A drawing for concert tickets, free admission to different amusement parks/museums, and $10 gift cards",25/06/2021,29/06/2021,1,19/05/2021,Yes
DE,12-17,Lottery,Full scholarship to a Delaware university,25/05/2021,29/06/2021,1,25/05/2021,Yes
DE,18+,Lottery,"Cash prizes, tickets to Firefly, four-day vacations at destinations in Delaware, a dart pass for a year, and free tolls within the state of Delaware",25/05/2021,29/06/2021,1,25/05/2021,Yes
DE,18+,Automatic lottery,"$302, 000 and two low-number license plates",25/05/2021,19/07/2021,1,25/05/2021,Yes
HI,18+,Lottery,"$34,150 of discounts, giveaways (eg $15,000 cash, plane tickets, vacations, restaurant vouchers, ...)",04/07/2021,30/09/2021,1,04/07/2021,Yes
IL,12+,No,"50,000 free Six Flags tickets",26/05/2021,While supplies last,1,26/05/2021,Selected sites
IL,18+,Automatic lottery,"$7 million cash prize pool, three $1 million jackpots and forty $100k cash prices",17/06/2021,26/08/2021,1,26/05/2021,Yes
IL,12-17,Automatic lottery,"$3 million scholarship, twenty $150k scholarships awards",17/06/2021,26/08/2021,1,26/05/2021,Yes
KS,12+,No,$50 gift card per shot at Dillon and Dollar General stores,31/08/2021,While supplies last,1,31/08/2021,Selected sites
