Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,AK,1564365,85300.00,605820.00,873245.00,0,213844.00,256926.00,283625.00,1708050.00,1155037.00,1112535.00,1034801.00,231664.00,46773.00,446362.00,660812.00,1090.00,157890.00,182719.00,187613.00,252941.00,1157760.00,511003.00,69.9,488306.00,80.2,36295,63.0,452011.00,82,87220.00,95,364791,79.4,457621.00,62.6,438431.00,72,405473.00,73.5,79176.00,86.4,41811.00,161377.00,254300.00,133,41807,161369,235124,131,41649,160938,202761,125,3708,43434,31988,46,200347,43.8,200235,45.7,191810,47.3,115139,63.6,58744,74.2,88571,108734,3010,32,510571,75,457376,67.2,1154360,169643,229896,161373,254061,41809,133,
05/16/2022,20,AK,1561365,85300.00,604720.00,871345.00,0,213434.00,256434.00,283081.00,1704770.00,1155005.00,1112503.00,1034771.00,231664.00,46771.00,446354.00,660790.00,1090.00,157886.00,182714.00,187607.00,252941.00,1157693.00,510970.00,69.8,488273.00,80.2,36294,63.0,451979.00,81.9,87217.00,95,364762,79.4,457595.00,62.6,438405.00,72,405447.00,73.5,79170.00,86.4,41807.00,161371.00,254284.00,133,41803,161363,235108,131,41645,160932,202745,125,3708,43432,31984,46,200342,43.8,200230,45.7,191805,47.3,115136,63.6,58742,74.2,88570,108730,3010,32,510538,75,457350,67.2,1154328,169638,229456,161367,254045,41805,133,
05/15/2022,20,AK,1561365,85300.00,604720.00,871345.00,0,213434.00,256434.00,283081.00,1704770.00,1153357.00,1110928.00,1033272.00,230993.00,46761.00,445559.00,659948.00,1089.00,157660.00,182455.00,187336.00,252209.00,1156072.00,510819.00,69.8,488144.00,80.2,36280,63.0,451864.00,81.9,87189.00,95,364675,79.4,457433.00,62.5,438286.00,72,405348.00,73.5,79140.00,86.4,41799.00,161330.00,254171.00,133,41795,161322,235038,131,41637,160891,202695,125,3706,43417,31971,46,200029,43.7,199925,45.6,191540,47.3,114991,63.5,58675,74.1,88453,108537,3008,31,510393,75,457198,67.2,1152696,169398,229456,161326,253942,41797,133,
05/14/2022,19,AK,1561065,85300.00,604720.00,871045.00,0,213393.00,256384.00,283026.00,1704440.00,1153294.00,1110875.00,1033222.00,230968.00,46758.00,445531.00,659916.00,1089.00,157652.00,182447.00,187327.00,252182.00,1156021.00,510795.00,69.8,488122.00,80.2,36277,63.0,451845.00,81.9,87182.00,95,364663,79.4,457423.00,62.5,438278.00,72,405340.00,73.5,79138.00,86.4,41797.00,161327.00,254166.00,133,41793,161319,235035,131,41635,160888,202692,125,3705,43416,31971,46,200023,43.7,199919,45.6,191534,47.3,114985,63.5,58671,74.1,88447,108537,3008,31,510369,75,457188,67.2,1152633,169389,229412,161323,253937,41795,133,
05/13/2022,19,AK,1558765,85300.00,604620.00,868845.00,0,213078.00,256007.00,282609.00,1701930.00,1153223.00,1110812.00,1033163.00,230938.00,46758.00,445484.00,659892.00,1089.00,157642.00,182436.00,187316.00,252149.00,1155952.00,510769.00,69.8,488097.00,80.2,36276,62.9,451821.00,81.9,87170.00,95,364651,79.4,457403.00,62.5,438258.00,72,405320.00,73.5,79132.00,86.4,41795.00,161317.00,254158.00,133,41791,161309,235027,131,41633,160878,202684,125,3705,43413,31968,46,200018,43.7,199914,45.6,191529,47.3,114980,63.5,58669,74.1,88443,108536,3008,31,510343,75,457168,67.2,1152562,169379,229074,161313,253929,41793,133,
05/12/2022,19,AK,1556165,85300.00,604120.00,866745.00,0,212723.00,255580.00,282138.00,1699090.00,1152507.00,1110139.00,1032528.00,230583.00,46754.00,445114.00,659550.00,1089.00,157544.00,182326.00,187201.00,251761.00,1155247.00,510691.00,69.8,488035.00,80.2,36270,62.9,451765.00,81.9,87147.00,95,364618,79.4,457317.00,62.5,438198.00,72,405268.00,73.5,79117.00,86.4,41791.00,161294.00,254099.00,133,41787,161286,234994,131,41629,160855,202659,125,3704,43406,31961,46,199905,43.7,199803,45.6,191442,47.2,114929,63.5,58637,74.1,88398,108468,3008,31,510270,75,457089,67.2,1151858,169275,228691,161290,253877,41789,133,
05/11/2022,19,AK,1553165,85200.00,602520.00,865445.00,0,212313.00,255087.00,281594.00,1695820.00,1152460.00,1110095.00,1032485.00,230561.00,46754.00,445083.00,659534.00,1089.00,157538.00,182318.00,187193.00,251737.00,1155174.00,510699.00,69.8,488042.00,80.2,36267,62.9,451775.00,81.9,87150.00,95,364625,79.4,457284.00,62.5,438165.00,72,405240.00,73.5,79104.00,86.4,41797.00,161271.00,254083.00,133,41793,161263,234978,131,41635,160832,202648,125,3706,43394,31958,46,199879,43.7,199777,45.6,191416,47.2,114911,63.5,58622,74.1,88381,108459,3008,31,510278,75,457056,67.2,1151811,169268,228251,161267,253861,41795,133,
05/10/2022,19,AK,1551565,85100.00,601720.00,864745.00,0,212094.00,254824.00,281304.00,1694070.00,1149342.00,1107642.00,1030161.00,229669.00,46728.00,443871.00,657590.00,1153.00,157112.00,181916.00,186772.00,250763.00,1152430.00,511292.00,69.9,488662.00,80.3,36300,63.0,452362.00,82,87215.00,95,365147,79.5,456262.00,62.4,437882.00,71.9,405054.00,73.4,79082.00,86.3,41786.00,161244.00,253100.00,132,41779,161235,234738,130,41620,160803,202507,124,3702,43398,31936,46,197493,43.3,197393,45.1,189137,46.7,113757,62.9,58159,73.5,87268,107232,2962,31,510863,75.1,456035,67,1148685,168809,228015,161239,252883,41781,132,
05/09/2022,19,AK,1550265,85100.00,601720.00,863445.00,0,211917.00,254611.00,281068.00,1692650.00,1149342.00,1107642.00,1030161.00,229669.00,46728.00,443871.00,657590.00,1153.00,157112.00,181916.00,186772.00,250763.00,1152379.00,511265.00,69.9,488635.00,80.3,36299,63.0,452336.00,82,87199.00,95,365137,79.5,456247.00,62.4,437868.00,71.9,405040.00,73.4,79076.00,86.3,41786.00,161237.00,253092.00,132,41779,161228,234731,130,41620,160796,202500,124,3702,43395,31933,46,197489,43.3,197389,45.1,189133,46.7,113754,62.9,58157,73.5,87268,107228,2962,31,510836,75.1,456020,67,1148685,168809,227824,161232,252875,41781,132,
05/08/2022,19,AK,1550265,85100.00,601720.00,863445.00,0,211917.00,254611.00,281068.00,1692650.00,1149342.00,1107642.00,1030161.00,229669.00,46728.00,443871.00,657590.00,1153.00,157112.00,181916.00,186772.00,250763.00,1152358.00,511252.00,69.9,488622.00,80.2,36299,63.0,452323.00,82,87196.00,95,365127,79.5,456245.00,62.4,437866.00,71.9,405038.00,73.4,79075.00,86.3,41786.00,161236.00,253091.00,132,41779,161227,234730,130,41620,160795,202499,124,3702,43394,31933,46,197488,43.3,197388,45.1,189132,46.7,113753,62.9,58156,73.5,87267,107228,2962,31,510823,75.1,456018,67,1148685,168809,227824,161231,252874,41781,132,
