Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,AR,6310280,255000.00,2645420.00,3409860.00,0,209102.00,246761.00,272271.00,1204520.00,4274934.00,4162127.00,3902330.00,1238866.00,123548.00,1828382.00,2318944.00,4060.00,141657.00,162758.00,168375.00,236478.00,4321314.00,2018074.00,66.9,1951883.00,76.3,134620,56.0,1817263.00,78.4,502553.00,95,1314710,73.5,1647918.00,54.6,1600955.00,62.6,1491501.00,64.4,423818.00,80.9,113280.00,668640.00,864628.00,1370,113149,668616,818186,1004,112716,667422,710403,960,15798,237825,169675,520,657992,39.9,657788,41.1,640432,42.9,453164,55.1,275744,65.1,319571,327869,10056,496,2015751,71.2,1647230,58.2,4272020,150990,223030,668626,864081,113159,1364,
05/16/2022,20,AR,6301480,255000.00,2645320.00,3401160.00,0,208810.00,246416.00,271891.00,1202840.00,4274572.00,4161781.00,3902009.00,1238755.00,123547.00,1828245.00,2318720.00,4060.00,141645.00,162745.00,168361.00,236457.00,4320824.00,2017927.00,66.9,1951748.00,76.3,134610,56.0,1817138.00,78.4,502510.00,95,1314628,73.5,1647810.00,54.6,1600854.00,62.6,1491406.00,64.3,423781.00,80.9,113277.00,668600.00,864563.00,1370,113146,668576,818128,1004,112713,667383,710350,960,15798,237810,169653,520,657905,39.9,657701,41.1,640365,42.9,453129,55.1,275730,65.1,319535,327818,10056,496,2015605,71.2,1647124,58.2,4271661,150977,222719,668586,864018,113156,1364,
05/15/2022,20,AR,6301180,255000.00,2645320.00,3400860.00,0,208800.00,246405.00,271878.00,1202790.00,4270905.00,4158234.00,3898621.00,1237072.00,123470.00,1826603.00,2316772.00,4060.00,141524.00,162606.00,168214.00,236136.00,4317238.00,2017350.00,66.8,1951223.00,76.3,134559,56.0,1816664.00,78.4,502398.00,95,1314266,73.5,1647265.00,54.6,1600371.00,62.6,1490961.00,64.3,423649.00,80.9,113203.00,668415.00,864277.00,1370,113072,668391,817904,1004,112639,667199,710163,960,15795,237727,169607,520,657168,39.9,656969,41.1,639704,42.9,452706,55.1,275493,65,319234,327383,10055,496,2015039,71.2,1646585,58.2,4268011,150848,222708,668401,863738,113082,1364,
05/14/2022,19,AR,6301180,255000.00,2645320.00,3400860.00,0,208800.00,246405.00,271878.00,1202790.00,4270807.00,4158136.00,3898523.00,1237003.00,123470.00,1826525.00,2316752.00,4060.00,141520.00,162602.00,168210.00,236122.00,4317108.00,2017327.00,66.8,1951200.00,76.3,134559,56.0,1816641.00,78.4,502389.00,95,1314252,73.5,1647234.00,54.6,1600340.00,62.6,1490932.00,64.3,423630.00,80.9,113203.00,668399.00,864262.00,1370,113072,668375,817889,1004,112639,667183,710150,960,15795,237718,169597,520,657142,39.9,656943,41.1,639678,42.9,452686,55.1,275483,65,319217,327374,10055,496,2015016,71.2,1646554,58.2,4267913,150845,222708,668385,863723,113082,1364,
05/13/2022,19,AR,6289480,255000.00,2641220.00,3393260.00,0,208412.00,245947.00,271373.00,1200550.00,4265437.00,4152929.00,3893508.00,1234169.00,123428.00,1824024.00,2313927.00,4058.00,141342.00,162398.00,167994.00,235581.00,4311750.00,2016511.00,66.8,1950475.00,76.3,134495,56.0,1815980.00,78.4,502206.00,95,1313774,73.4,1646520.00,54.6,1599695.00,62.6,1490335.00,64.3,423407.00,80.8,113164.00,668135.00,863854.00,1367,113033,668111,817550,1001,112601,666922,709855,957,15793,237613,169481,520,656126,39.8,655931,41,638744,42.9,452052,55,275104,65,318784,326793,10053,496,2014218,71.2,1645850,58.2,4262571,150656,222295,668121,863325,113043,1361,
05/12/2022,19,AR,6265280,255000.00,2639620.00,3370660.00,0,207611.00,245001.00,270329.00,1195930.00,4265281.00,4152773.00,3893352.00,1234082.00,123428.00,1823901.00,2313894.00,4058.00,141337.00,162392.00,167987.00,235565.00,4311518.00,2016452.00,66.8,1950415.00,76.3,134493,56.0,1815922.00,78.4,502181.00,95,1313741,73.4,1646482.00,54.6,1599656.00,62.6,1490296.00,64.3,423400.00,80.8,113164.00,668108.00,863843.00,1367,113033,668084,817538,1001,112601,666895,709843,957,15793,237606,169481,520,656098,39.8,655903,41,638716,42.9,452031,55,275095,65,318767,326782,10053,496,2014159,71.2,1645812,58.2,4262415,150651,221440,668094,863314,113043,1361,
05/11/2022,19,AR,6255880,255000.00,2631420.00,3369460.00,0,207299.00,244633.00,269924.00,1194140.00,4262320.00,4149900.00,3890583.00,1232533.00,123396.00,1822499.00,2312368.00,4057.00,141239.00,162280.00,167868.00,235269.00,4308063.00,2015785.00,66.8,1949782.00,76.2,134473,56.0,1815309.00,78.3,501856.00,95,1313453,73.4,1645807.00,54.5,1599012.00,62.5,1489681.00,64.3,423068.00,80.8,113146.00,667640.00,863656.00,1365,113016,667616,817381,999,112585,666429,709712,955,15793,237334,169422,519,655497,39.8,655304,41,638153,42.8,451635,55,274855,65,318487,326465,10050,495,2013497,71.2,1645147,58.1,4259468,150546,221107,667626,863137,113025,1359,
05/10/2022,19,AR,6249580,254700.00,2626120.00,3368760.00,0,207090.00,244387.00,269652.00,1192940.00,4258785.00,4146711.00,3887535.00,1231055.00,123302.00,1821175.00,2310256.00,4052.00,141122.00,162155.00,167736.00,234987.00,4304504.00,2015095.00,66.8,1949224.00,76.2,134422,56.0,1814802.00,78.3,501737.00,95,1313065,73.4,1645149.00,54.5,1598566.00,62.5,1489259.00,64.3,422958.00,80.7,113085.00,667505.00,863195.00,1364,112955,667481,817132,998,112524,666294,709487,954,15789,237278,169372,519,654636,39.8,654445,40.9,637359,42.8,451134,54.9,274603,64.9,318187,325940,10016,493,2012814,71.1,1644495,58.1,4255946,150422,220885,667491,862682,112964,1358,
05/09/2022,19,AR,6245880,254700.00,2624920.00,3366260.00,0,206968.00,244242.00,269492.00,1192230.00,4258785.00,4146711.00,3887535.00,1231055.00,123302.00,1821175.00,2310256.00,4052.00,141122.00,162155.00,167736.00,234987.00,4304371.00,2015012.00,66.8,1949144.00,76.2,134422,56.0,1814722.00,78.3,501697.00,95,1313025,73.4,1645109.00,54.5,1598528.00,62.5,1489222.00,64.3,422941.00,80.7,113084.00,667485.00,863177.00,1363,112954,667461,817116,997,112523,666274,709472,953,15789,237267,169366,519,654629,39.8,654438,40.9,637352,42.8,451129,54.9,274598,64.9,318182,325938,10016,493,2012731,71.1,1644455,58.1,4255946,150422,220754,667471,862664,112963,1357,
05/08/2022,19,AR,6245880,254700.00,2624920.00,3366260.00,0,206968.00,244242.00,269492.00,1192230.00,4255406.00,4143455.00,3884421.00,1229400.00,123285.00,1819814.00,2308260.00,4047.00,141010.00,162028.00,167602.00,234671.00,4301045.00,2014538.00,66.8,1948729.00,76.2,134379,55.9,1814350.00,78.3,501599.00,95,1312751,73.4,1644617.00,54.5,1598091.00,62.5,1488818.00,64.2,422817.00,80.7,113067.00,667305.00,862885.00,1360,112937,667281,816878,995,112507,666094,709266,951,15788,237203,169309,517,653980,39.8,653796,40.9,636773,42.8,450739,54.9,274359,64.9,317966,325507,10015,492,2012269,71.1,1643973,58.1,4252589,150303,220754,667291,862382,112946,1354,
