Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,CA,91570655,3730400.00,32901280.00,54938975.00,0,231753.00,272157.00,299079.00,1568500.00,75853280.00,73069599.00,67705473.00,16223449.00,2315109.00,28437273.00,45085776.00,15122.00,191974.00,217170.00,221133.00,277888.00,76139599.00,32540183.00,82.4,31026105.00,92.2,2485158,82.1,28540947.00,93.2,5969790.00,95,22571157,92.7,28616528.00,72.4,27348362.00,81.3,25128901.00,82.1,5310786.00,91,2087482.00,9813557.00,16710714.00,4775,2086860,9812750,15444043,4709,2079459,9785959,13259088,4395,202477,2683419,2423436,1454,15070647,52.7,15065671,55.1,14389532,57.3,7959506,68.5,4034685,76,6459137,8379264,231644,602,32507531,87.6,28595947,77,75800137,204156,246632,9813239,16690843,2087091,4774,
05/16/2022,20,CA,91528055,3730400.00,32889880.00,54907775.00,0,231645.00,272030.00,298940.00,1567770.00,75822297.00,73039720.00,67677103.00,16212774.00,2315026.00,28423874.00,45068278.00,15119.00,191896.00,217081.00,221040.00,277706.00,76108091.00,32536494.00,82.3,31022952.00,92.2,2484861,82.1,28538091.00,93.2,5969131.00,95,22568960,92.7,28613626.00,72.4,27345920.00,81.3,25126681.00,82.1,5310171.00,91,2087413.00,9812594.00,16708845.00,4774,2086791,9811789,15442632,4708,2079391,9785003,13257893,4394,202473,2683095,2423150,1453,15063978,52.6,15059130,55.1,14383967,57.2,7956611,68.5,4033447,76,6456855,8374900,231622,601,32503997,87.5,28593136,77,75769404,204073,246517,9812276,16689065,2087022,4773,
05/15/2022,20,CA,91487555,3730400.00,32889880.00,54867275.00,0,231542.00,271910.00,298807.00,1567070.00,75794574.00,73013247.00,67651969.00,16202129.00,2314905.00,28412977.00,45051573.00,15119.00,191826.00,217003.00,220958.00,277523.00,76080112.00,32533411.00,82.3,31020393.00,92.2,2484627,82.1,28535766.00,93.2,5968580.00,95,22567186,92.7,28610997.00,72.4,27343885.00,81.3,25124879.00,82.1,5309685.00,90.9,2087341.00,9811976.00,16706907.00,4773,2086719,9811171,15441288,4707,2079322,9784389,13256775,4393,202471,2682877,2422884,1453,15057798,52.6,15053087,55.1,14378784,57.2,7953734,68.4,4032112,75.9,6454944,8370674,231579,601,32501030,87.5,28590611,77,75741901,203999,246408,9811658,16687231,2086950,4772,
05/14/2022,19,CA,91484555,3730400.00,32889880.00,54864275.00,0,231535.00,271901.00,298797.00,1567020.00,75717825.00,72939489.00,67580946.00,16168299.00,2314635.00,28378725.00,45009352.00,15113.00,191631.00,216783.00,220726.00,276944.00,76003310.00,32525194.00,82.3,31013640.00,92.2,2484044,82.0,28529596.00,93.2,5966830.00,95,22562766,92.7,28604955.00,72.4,27339149.00,81.3,25120566.00,82,5308242.00,90.9,2087188.00,9810196.00,16702801.00,4770,2086567,9809391,15438487,4704,2079172,9782615,13254389,4390,202458,2682154,2422177,1453,15042607,52.6,15038117,55,14365457,57.2,7945943,68.4,4028008,75.9,6449240,8361278,231488,601,32493235,87.5,28584839,77,75665853,203794,246400,9809878,16683394,2086798,4769,
05/13/2022,19,CA,91384555,3729400.00,32839180.00,54815975.00,0,231282.00,271604.00,298471.00,1565310.00,75643369.00,72867189.00,67510615.00,16132497.00,2314381.00,28343447.00,44970451.00,15090.00,191443.00,216568.00,220496.00,276331.00,75928551.00,32518071.00,82.3,31007569.00,92.2,2483578,82.0,28523991.00,93.2,5965221.00,95,22558770,92.7,28598941.00,72.4,27334114.00,81.2,25115927.00,82,5306649.00,90.9,2087014.00,9808246.00,16698919.00,4762,2086393,9807441,15435584,4696,2079000,9780672,13251873,4382,202444,2681360,2421394,1451,15027598,52.5,15023244,55,14351658,57.1,7938093,68.3,4023787,75.8,6442736,8352851,231412,599,32486379,87.5,28579030,77,75591872,203595,246130,9807928,16679717,2086624,4761,
05/12/2022,19,CA,91223655,3728600.00,32788580.00,54706475.00,0,230875.00,271126.00,297945.00,1562550.00,75582187.00,72808134.00,67453423.00,16103559.00,2314141.00,28315920.00,44937047.00,15079.00,191288.00,216393.00,220309.00,275835.00,75866857.00,32511047.00,82.3,31001580.00,92.1,2483080,82.0,28518500.00,93.1,5963672.00,95,22554828,92.7,28593661.00,72.4,27329793.00,81.2,25111963.00,82,5305358.00,90.9,2086844.00,9806605.00,16695454.00,4758,2086223,9805800,15433078,4692,2078837,9779037,13249711,4378,202431,2680719,2420759,1449,15015263,52.5,15011050,54.9,14340413,57.1,7931423,68.3,4020077,75.8,6437864,8345465,231336,598,32479619,87.5,28573924,77,75531129,203432,245697,9806287,16676426,2086454,4757,
05/11/2022,19,CA,91023955,3726100.00,32684680.00,54613175.00,0,230369.00,270532.00,297293.00,1559130.00,75556682.00,72763344.00,67388240.00,16066519.00,2324025.00,28260246.00,44956340.00,16071.00,191224.00,216260.00,220097.00,275200.00,75846098.00,33157998.00,83.9,31631319.00,94,2534615,83.7,29096704.00,95,6119958.00,95,22976746,94.4,28513412.00,72.2,27248045.00,81,25035071.00,81.8,5293325.00,90.7,2101825.00,9761935.00,16644485.00,5167,2101185,9761125,15380633,5102,2093686,9734703,13201897,4785,203592,2678152,2410063,1518,14543235,51,14539538,53.4,13895330,55.5,7698975,66.5,3904988,73.8,6238494,8078183,225960,598,33126391,89.2,28494096,76.7,75505833,203364,245159,9761618,16625885,2101427,5166,
05/10/2022,19,CA,90963355,3726100.00,32661580.00,54575675.00,0,230216.00,270352.00,297095.00,1558100.00,75555458.00,72762146.00,67387089.00,16065842.00,2324004.00,28259625.00,44955759.00,16070.00,191220.00,216256.00,220093.00,275189.00,75843973.00,33157242.00,83.9,31630583.00,94,2534584,83.7,29095999.00,95,6119701.00,95,22976298,94.4,28512965.00,72.2,27247619.00,81,25034662.00,81.8,5293157.00,90.7,2101798.00,9761736.00,16644264.00,5167,2101158,9760926,15380433,5102,2093659,9734504,13201714,4785,203589,2678040,2410010,1518,14542875,51,14539178,53.4,13894981,55.5,7698745,66.5,3904844,73.8,6238345,8077985,225947,598,33125635,89.2,28493649,76.7,75504609,203360,244996,9761419,16625664,2101400,5166,
05/09/2022,19,CA,90875755,3725900.00,32629380.00,54520475.00,0,229994.00,270092.00,296809.00,1556590.00,75538447.00,72745819.00,67371621.00,16060144.00,2323947.00,28252960.00,44945470.00,16070.00,191177.00,216208.00,220042.00,275091.00,75826118.00,33153253.00,83.9,31626973.00,94,2534294,83.7,29092679.00,95,6118643.00,95,22974036,94.4,28511233.00,72.2,27246143.00,81,25033317.00,81.8,5292751.00,90.7,2101743.00,9761181.00,16643142.00,5167,2101103,9760371,15379567,5102,2093605,9733952,13200975,4785,203583,2677829,2409821,1518,14539281,51,14535644,53.3,13891891,55.5,7697249,66.5,3904209,73.8,6237193,8075560,225930,598,33121721,89.2,28491975,76.7,75487734,203315,244760,9760864,16624600,2101345,5166,
05/08/2022,19,CA,90875755,3725900.00,32629380.00,54520475.00,0,229994.00,270092.00,296809.00,1556590.00,75503086.00,72712095.00,67339637.00,16046574.00,2323799.00,28238232.00,44924985.00,16070.00,191088.00,216107.00,219938.00,274859.00,75790713.00,33147243.00,83.9,31621759.00,94,2533823,83.7,29087936.00,95,6117047.00,95,22970889,94.4,28507959.00,72.1,27243565.00,81,25031035.00,81.8,5292026.00,90.6,2101644.00,9760258.00,16640891.00,5166,2101004,9759448,15378012,5101,2093506,9733033,13199712,4784,203578,2677433,2409498,1517,14532325,51,14528823,53.3,13886014,55.5,7694072,66.5,3902729,73.7,6234871,8070970,225886,598,33115876,89.2,28488826,76.7,75452665,203220,244760,9759941,16622474,2101246,5165,
