Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,CT,8919925,345300.00,3444180.00,5130445.00,0,250188.00,287189.00,314320.00,1415310.00,7706266.00,7441852.00,6924584.00,1963686.00,250132.00,2923831.00,4531081.00,1222.00,216147.00,239600.00,244008.00,311576.00,7741158.00,3420439.00,95,3277113.00,95,244939,95.0,3032174.00,95,751924.00,95,2280250,95.0,2834779.00,79.5,2715197.00,87.4,2508159.00,88.4,620654.00,95,231501.00,957610.00,1645212.00,456,231418,957280,1526046,453,231308,957070,1319431,350,22803,245329,352418,104,1471328,51.9,1471144,54.2,1408621,56.2,890622,67.1,460972,74.3,669283,784049,17972,24,3418871,95,2834330,83.8,7704294,227697,263624,957402,1645051,231422,455,
05/16/2022,20,CT,8911825,345300.00,3442580.00,5123945.00,0,249961.00,286928.00,314035.00,1414030.00,7703368.00,7439038.00,6921908.00,1962461.00,250128.00,2922631.00,4529387.00,1222.00,216066.00,239509.00,243914.00,311381.00,7737976.00,3419835.00,95,3276562.00,95,244896,95.0,3031666.00,95,751744.00,95,2279922,95.0,2834339.00,79.5,2714789.00,87.4,2507767.00,88.4,620483.00,95,231497.00,957453.00,1644933.00,456,231414,957123,1525799,453,231304,956913,1319200,350,22803,245265,352311,104,1470782,51.9,1470599,54.2,1408160,56.2,890351,67.1,460837,74.3,669123,783663,17972,24,3418268,95,2833890,83.8,7701396,227611,263385,957245,1644772,231418,455,
05/15/2022,20,CT,8908025,345300.00,3442580.00,5120145.00,0,249854.00,286805.00,313901.00,1413430.00,7697582.00,7433418.00,6916535.00,1959701.00,250115.00,2920063.00,4526182.00,1222.00,215904.00,239329.00,243725.00,310943.00,7732299.00,3418952.00,95,3275751.00,95,244833,95.0,3030918.00,95,751423.00,95,2279495,95.0,2833460.00,79.5,2714001.00,87.4,2507033.00,88.3,620100.00,95,231489.00,957082.00,1644433.00,456,231406,956752,1525390,453,231296,956542,1318845,350,22803,245061,352132,104,1469965,51.9,1469783,54.2,1407473,56.1,889945,67.1,460639,74.3,668855,783119,17967,24,3417385,95,2833011,83.7,7695610,227440,263272,956874,1644272,231410,455,
05/14/2022,19,CT,8908025,345300.00,3442580.00,5120145.00,0,249854.00,286805.00,313901.00,1413430.00,7691431.00,7427467.00,6910769.00,1956431.00,250103.00,2917471.00,4522635.00,1222.00,215731.00,239137.00,243522.00,310424.00,7726210.00,3418183.00,95,3275076.00,95,244782,94.9,3030294.00,95,751132.00,95,2279162,95.0,2832798.00,79.5,2713445.00,87.4,2506518.00,88.3,619837.00,95,231475.00,956857.00,1644010.00,456,231392,956527,1525073,453,231283,956317,1318568,350,22802,244941,351990,104,1469064,51.9,1468882,54.1,1406665,56.1,889453,67.1,460384,74.3,668515,782559,17966,24,3416618,95,2832349,83.7,7689461,227258,263272,956649,1643849,231396,455,
05/13/2022,19,CT,8900325,345300.00,3440980.00,5114045.00,0,249638.00,286558.00,313629.00,1412200.00,7684488.00,7420675.00,6904179.00,1952533.00,250074.00,2914413.00,4518779.00,1222.00,215536.00,238918.00,243289.00,309806.00,7719150.00,3417076.00,95,3274037.00,95,244715,94.9,3029322.00,95,750636.00,95,2278686,94.9,2831854.00,79.4,2712582.00,87.3,2505706.00,88.3,619386.00,95,231452.00,956468.00,1643478.00,456,231369,956138,1524622,453,231261,955928,1318167,350,22801,244708,351773,104,1468104,51.8,1467922,54.1,1405794,56.1,888902,67.1,460074,74.3,668089,782029,17962,24,3415513,95,2831405,83.7,7682520,227053,263045,956260,1643317,231373,455,
05/12/2022,19,CT,8882925,345300.00,3434280.00,5103345.00,0,249150.00,285997.00,313016.00,1409440.00,7678275.00,7414596.00,6898247.00,1948976.00,250033.00,2911907.00,4515113.00,1222.00,215362.00,238723.00,243080.00,309242.00,7712815.00,3416241.00,95,3273270.00,95,244666,94.9,3028604.00,95,750300.00,95,2278304,94.9,2831156.00,79.4,2711953.00,87.3,2505110.00,88.3,619064.00,95,231427.00,956199.00,1643074.00,456,231344,955869,1524287,453,231236,955660,1317864,350,22796,244560,351604,104,1467212,51.8,1467031,54.1,1404970,56.1,888401,67.1,459805,74.3,667744,781489,17955,24,3414678,95,2830708,83.7,7676308,226870,262531,955991,1642914,231348,455,
05/11/2022,19,CT,8870225,345100.00,3423380.00,5101745.00,0,248794.00,285588.00,312569.00,1407430.00,7671594.00,7408058.00,6891835.00,1945112.00,250007.00,2909057.00,4511308.00,1222.00,215175.00,238512.00,242854.00,308628.00,7705687.00,3415121.00,95,3272232.00,95,244634,94.9,3027598.00,95,749912.00,95,2277686,94.9,2830122.00,79.4,2710985.00,87.3,2504171.00,88.2,618620.00,95,231397.00,955751.00,1642518.00,456,231314,955421,1523797,453,231206,955212,1317403,350,22792,244344,351380,104,1466200,51.8,1466019,54.1,1404026,56.1,887757,67.1,459450,74.3,667338,780887,17951,24,3413560,95,2829674,83.6,7669629,226672,262155,955543,1642358,231318,455,
05/10/2022,19,CT,8860725,345100.00,3418180.00,5097445.00,0,248528.00,285283.00,312234.00,1405920.00,7666644.00,7403196.00,6887107.00,1942174.00,249992.00,2907188.00,4508243.00,1221.00,215036.00,238356.00,242688.00,308162.00,7700658.00,3414399.00,95,3271560.00,95,244597,94.9,3026963.00,95,749603.00,95,2277360,94.9,2829498.00,79.4,2710398.00,87.3,2503620.00,88.2,618332.00,95,231380.00,955526.00,1642136.00,456,231297,955196,1523452,453,231189,954987,1317094,350,22790,244229,351209,104,1465435,51.8,1465255,54.1,1403332,56.1,887303,67.1,459185,74.3,667080,780382,17949,24,3412839,95,2829050,83.6,7664680,226526,261874,955318,1641976,231301,455,
05/09/2022,19,CT,8850825,345100.00,3416580.00,5089145.00,0,248250.00,284964.00,311885.00,1404350.00,7663738.00,7400362.00,6884397.00,1940818.00,249979.00,2905924.00,4506614.00,1221.00,214954.00,238264.00,242592.00,307947.00,7697359.00,3413704.00,95,3270906.00,95,244561,94.9,3026345.00,95,749324.00,95,2277021,94.9,2828990.00,79.3,2709924.00,87.2,2503176.00,88.2,618129.00,95,231365.00,955351.00,1641818.00,456,231282,955021,1523168,453,231174,954812,1316840,350,22789,244148,351088,104,1464926,51.8,1464747,54.1,1402894,56,887039,67,459062,74.3,666903,780053,17946,24,3412145,95,2828542,83.6,7661774,226440,261582,955143,1641658,231286,455,
05/08/2022,19,CT,8850825,345100.00,3416580.00,5089145.00,0,248250.00,284964.00,311885.00,1404350.00,7658516.00,7395293.00,6879524.00,1938425.00,249961.00,2903637.00,4503697.00,1221.00,214808.00,238101.00,242421.00,307567.00,7692238.00,3412892.00,95,3270180.00,95,244508,94.8,3025672.00,95,749034.00,95,2276638,94.8,2828327.00,79.3,2709326.00,87.2,2502605.00,88.2,617864.00,95,231353.00,955085.00,1641433.00,456,231270,954755,1522848,453,231162,954546,1316547,350,22787,244040,350933,104,1464244,51.8,1464066,54,1402318,56,886716,67,458915,74.3,666668,779609,17943,24,3411334,95,2827879,83.6,7656553,226286,261582,954877,1641273,231274,455,
