Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,DD2,6693510,210500.00,2200640.00,4282370.00,0,0.00,0,0,0,7504409.00,7382374.00,6992810.00,638015.00,327504.00,2491480.00,4661746.00,23679.00,0,0,0,0,7504409.00,4263579.00,0,4187154.00,0,217282,#DIV/0!,3969872.00,0,411289.00,0,3558583,#DIV/0!,3189237.00,0,3144045.00,0,2976625.00,0,199933.00,0,293909.00,985749.00,1909341.00,238,293880,985722,1864205,238,293666,985486,1697243,230,9740,72649,117541,3,1874,0.1,1873,0.1,1869,0.1,277,0,63,0,609,1232,33,0,4263291,0,3189165,0,7504063,0,0,985729,1909310,293888,238,
05/16/2022,20,DD2,6692910,210500.00,2200640.00,4281770.00,0,0,0,0,0,7502469.00,7380506.00,6991016.00,637148.00,327458.00,2490595.00,4660737.00,23679.00,0,0,0,0,7502469.00,4261984.00,0,4185604.00,0,217225,#DIV/0!,3968379.00,0,410501.00,0,3557878,#DIV/0!,3188851.00,0,3143686.00,0,2976282.00,0,199854.00,0,293863.00,985578.00,1909174.00,236,293834,985551,1864065,236,293620,985315,1697119,228,9740,72588,117523,3,1874,0.1,1873,0.1,1869,0.1,277,0,63,0,609,1232,33,0,4261696,0,3188779,0,7502123,0,0,985558,1909143,293842,236,
05/15/2022,20,DD2,6692910,210500.00,2200640.00,4281770.00,0,0,0,0,0,7501023.00,7379081.00,6989649.00,636343.00,327435.00,2489835.00,4660074.00,23679.00,0,0,0,0,7501023.00,4260820.00,0,4184451.00,0,217188,#DIV/0!,3967263.00,0,409773.00,0,3557490,#DIV/0!,3188555.00,0,3143400.00,0,2976015.00,0,199776.00,0,293840.00,985417.00,1909062.00,236,293811,985390,1863963,236,293597,985154,1697036,228,9739,72518,117516,3,1874,0.1,1873,0.1,1869,0.1,277,0,63,0,609,1232,33,0,4260532,0,3188483,0,7500677,0,0,985397,1909031,293819,236,
05/14/2022,19,DD2,6692910,210500.00,2200640.00,4281770.00,0,0,0,0,0,7498204.00,7376549.00,6987330.00,635610.00,327362.00,2488871.00,4658298.00,23673.00,0,0,0,0,7498204.00,4258861.00,0,4182629.00,0,217050,#DIV/0!,3965579.00,0,409179.00,0,3556400,#DIV/0!,3187663.00,0,3142657.00,0,2975347.00,0,199637.00,0,293767.00,985156.00,1908504.00,236,293738,985129,1863554,236,293525,984893,1696701,228,9738,72429,117467,3,1872,0.1,1871,0.1,1867,0.1,277,0,63,0,608,1231,33,0,4258573,0,3187591,0,7497858,0,0,985136,1908473,293746,236,
05/13/2022,19,DD2,6692910,210500.00,2200640.00,4281770.00,0,0,0,0,0,7494936.00,7373504.00,6984439.00,634579.00,327262.00,2487588.00,4656419.00,23667.00,0,0,0,0,7494936.00,4256664.00,0,4180550.00,0,216961,#DIV/0!,3963589.00,0,408306.00,0,3555283,#DIV/0!,3186550.00,0,3141645.00,0,2974399.00,0,199480.00,0,293667.00,984807.00,1907840.00,236,293638,984780,1862991,236,293425,984545,1696201,228,9737,72308,117432,3,1871,0.1,1870,0.1,1866,0.1,277,0,63,0,607,1231,33,0,4256377,0,3186478,0,7494591,0,0,984787,1907809,293646,236,
05/12/2022,19,DD2,6692110,210500.00,2200040.00,4281570.00,0,0,0,0,0,7492097.00,7370823.00,6981925.00,633673.00,327169.00,2486445.00,4654833.00,23650.00,0,0,0,0,7492097.00,4254727.00,0,4178701.00,0,216870,#DIV/0!,3961831.00,0,407554.00,0,3554277,#DIV/0!,3185626.00,0,3140791.00,0,2973618.00,0,199329.00,0,293574.00,984455.00,1907361.00,236,293545,984428,1862582,236,293332,984197,1695861,228,9737,72196,117393,3,1870,0.1,1869,0.1,1865,0.1,276,0,63,0,606,1231,33,0,4254442,0,3185554,0,7491754,0,0,984435,1907330,293553,236,
05/11/2022,19,DD2,6691310,210500.00,2199440.00,4281370.00,0,0,0,0,0,7489602.00,7368476.00,6979693.00,632909.00,327076.00,2485537.00,4653343.00,23646.00,0,0,0,0,7489602.00,4253021.00,0,4177067.00,0,216802,#DIV/0!,3960265.00,0,406905.00,0,3553360,#DIV/0!,3184820.00,0,3140059.00,0,2972931.00,0,199213.00,0,293481.00,984224.00,1906879.00,236,293452,984197,1862174,236,293239,983966,1695498,228,9733,72130,117347,3,1869,0.1,1868,0.1,1864,0.1,276,0,63,0,605,1231,33,0,4252736,0,3184748,0,7489259,0,0,984204,1906848,293460,236,
05/10/2022,19,DD2,6688610,210500.00,2197740.00,4280370.00,0,0,0,0,0,7487267.00,7366216.00,6977547.00,632105.00,327027.00,2484611.00,4651993.00,23636.00,0,0,0,0,7487267.00,4251455.00,0,4175545.00,0,216734,#DIV/0!,3958811.00,0,406236.00,0,3552575,#DIV/0!,3184062.00,0,3139332.00,0,2972248.00,0,199080.00,0,293432.00,983975.00,1906419.00,236,293403,983948,1861745,236,293190,983717,1695113,228,9730,72032,117315,3,1867,0.1,1866,0.1,1862,0.1,275,0,62,0,604,1230,33,0,4251170,0,3183990,0,7486924,0,0,983955,1906388,293411,236,
05/09/2022,19,DD2,6688410,210500.00,2197540.00,4280370.00,0,0,0,0,0,7485520.00,7364520.00,6975913.00,630992.00,327013.00,2483699.00,4651172.00,23636.00,0,0,0,0,7485520.00,4249969.00,0,4174089.00,0,216681,#DIV/0!,3957408.00,0,405247.00,0,3552161,#DIV/0!,3183790.00,0,3139081.00,0,2972006.00,0,198956.00,0,293418.00,983807.00,1906329.00,236,293389,983780,1861676,236,293176,983549,1695053,228,9730,71924,117299,3,1867,0.1,1866,0.1,1862,0.1,275,0,62,0,604,1230,33,0,4249684,0,3183718,0,7485177,0,0,983787,1906298,293397,236,
05/08/2022,19,DD2,6688410,210500.00,2197540.00,4280370.00,0,0,0,0,0,7483668.00,7362714.00,6974200.00,630238.00,326939.00,2482878.00,4650215.00,23636.00,0,0,0,0,7483668.00,4248390.00,0,4172533.00,0,216610,#DIV/0!,3955923.00,0,404576.00,0,3551347,#DIV/0!,3183451.00,0,3138765.00,0,2971712.00,0,198873.00,0,293344.00,983658.00,1906213.00,236,293315,983631,1861583,236,293102,983400,1694982,228,9730,71851,117289,3,1866,0.1,1865,0.1,1861,0.1,275,0,62,0,604,1229,33,0,4248105,0,3183379,0,7483325,0,0,983638,1906182,293323,236,
