Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_12_17,Administered_Dose1_Recip_12_17_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_Dose1_Recip_18_64,Administered_Dose1_Recip_18_64_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Administered_5Plus,Admin_Per_100k_5Plus,Distributed_Per_100k_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Janssen_5Plus,Series_Complete_Unk_Manuf_5Plus,Second_Booster
05/17/2022,20,DE,2403255,100100.00,930000.00,1373155.00,0,246801.00,286168.00,312033.00,1272200.00,1837502.00,1784647.00,1673690.00,562832.00,62340.00,709069.00,1063806.00,2287.00,188701.00,212507.00,217308.00,297943.00,1809804.00,812254.00,83.4,783451.00,93.3,50366,74.0,733085.00,95,212889.00,95,520196,95.0,676246.00,69.4,653358.00,77.8,610390.00,79.3,182878.00,95,57247.00,237116.00,381157.00,726,57236,237102,358299,721,57186,236965,315539,700,10006,75741,96762,369,311041,46,310950,47.6,299619,49.1,213203,60.5,126671,69.3,133435,172356,5185,65,812077,88.4,676215,73.6,1837300,199914,261495,237105,381141,57243,726,
05/16/2022,20,DE,2401655,100100.00,929800.00,1371755.00,0,246636.00,285977.00,311825.00,1271350.00,1833769.00,1781017.00,1670171.00,560779.00,62324.00,707328.00,1061831.00,2286.00,188318.00,212075.00,216851.00,296856.00,1806258.00,811810.00,83.4,783059.00,93.2,50344,74.0,732715.00,95,212742.00,95,519973,95.0,675766.00,69.4,652922.00,77.7,609980.00,79.2,182690.00,95,57234.00,236921.00,380885.00,726,57223,236908,358070,721,57173,236771,315336,700,10005,75645,96671,369,310341,45.9,310252,47.5,298967,49,212699,60.4,126346,69.2,133139,171957,5180,65,811633,88.3,675735,73.5,1833567,199508,261321,236910,380869,57230,726,
05/15/2022,20,DE,2401655,100100.00,929800.00,1371755.00,0,246636.00,285977.00,311825.00,1271350.00,1833769.00,1781017.00,1670171.00,560779.00,62324.00,707328.00,1061831.00,2286.00,188318.00,212075.00,216851.00,296856.00,1806218.00,811793.00,83.4,783042.00,93.2,50344,74.0,732698.00,95,212737.00,95,519961,95.0,675756.00,69.4,652912.00,77.7,609970.00,79.2,182685.00,95,57234.00,236915.00,380881.00,726,57223,236902,358066,721,57173,236765,315332,700,10005,75642,96669,369,310337,45.9,310248,47.5,298963,49,212698,60.4,126346,69.2,133138,171954,5180,65,811616,88.3,675725,73.5,1833567,199508,261321,236904,380865,57230,726,
05/14/2022,19,DE,2401655,100100.00,929800.00,1371755.00,0,246636.00,285977.00,311825.00,1271350.00,1833727.00,1780975.00,1670129.00,560743.00,62324.00,707315.00,1061802.00,2286.00,188313.00,212070.00,216846.00,296837.00,1806137.00,811764.00,83.4,783014.00,93.2,50344,74.0,732670.00,95,212721.00,95,519949,95.0,675744.00,69.4,652900.00,77.7,609959.00,79.2,182680.00,95,57234.00,236911.00,380873.00,726,57223,236898,358058,721,57173,236761,315325,700,10005,75640,96666,369,310329,45.9,310240,47.5,298955,49,212692,60.4,126341,69.2,133133,171951,5180,65,811587,88.3,675713,73.5,1833525,199503,261321,236900,380857,57230,726,
05/13/2022,19,DE,2398555,100100.00,929000.00,1369455.00,0,246318.00,285608.00,311423.00,1269710.00,1831812.00,1779108.00,1668303.00,559672.00,62314.00,706444.00,1060770.00,2284.00,188117.00,211847.00,216609.00,296270.00,1804257.00,811528.00,83.3,782800.00,93.2,50333,74.0,732467.00,95,212653.00,95,519814,94.9,675488.00,69.4,652666.00,77.7,609739.00,79.2,182590.00,95,57224.00,236804.00,380734.00,726,57213,236791,357941,721,57163,236654,315222,700,10005,75590,96626,369,309996,45.9,309908,47.5,298637,49,212453,60.4,126184,69.1,132992,171762,5177,65,811351,88.3,675457,73.5,1831610,199295,260983,236793,380718,57220,726,
05/12/2022,19,DE,2388255,100100.00,928500.00,1359655.00,0,245260.00,284381.00,310086.00,1264260.00,1829918.00,1777252.00,1666489.00,558537.00,62304.00,705706.00,1059628.00,2280.00,187922.00,211626.00,216373.00,295669.00,1802425.00,811294.00,83.3,782591.00,93.2,50324,74.0,732267.00,95,212571.00,95,519696,94.9,675232.00,69.3,652422.00,77.7,609503.00,79.1,182469.00,95,57218.00,236704.00,380585.00,725,57207,236691,357804,720,57157,236554,315093,699,10005,75529,96566,369,309609,45.9,309521,47.4,298268,48.9,212157,60.4,125974,69,132857,171511,5176,65,811117,88.3,675201,73.5,1829716,199089,259863,236693,380569,57214,725,
05/11/2022,19,DE,2379655,99600.00,922500.00,1357555.00,0,244377.00,283357.00,308969.00,1259700.00,1828066.00,1775443.00,1664725.00,557406.00,62294.00,704927.00,1058568.00,2277.00,187732.00,211411.00,216144.00,295071.00,1800600.00,811068.00,83.3,782385.00,93.2,50316,73.9,732069.00,95,212493.00,95,519576,94.9,674994.00,69.3,652207.00,77.7,609301.00,79.1,182365.00,95,57212.00,236641.00,380415.00,726,57201,236628,357657,721,57151,236491,314959,700,10004,75499,96493,369,309225,45.8,309137,47.4,297903,48.9,211858,60.3,125751,69,132723,171262,5175,65,810891,88.2,674963,73.4,1827864,198887,258927,236630,380399,57208,726,
05/10/2022,19,DE,2378255,99600.00,922000.00,1356655.00,0,244233.00,283191.00,308787.00,1258960.00,1823330.00,1770984.00,1660444.00,554841.00,62271.00,702977.00,1055822.00,2260.00,187246.00,210880.00,215588.00,293713.00,1796169.00,810539.00,83.2,781952.00,93.1,50272,73.9,731680.00,95,212327.00,95,519353,94.8,674333.00,69.3,651706.00,77.6,608842.00,79.1,182151.00,95,57196.00,236413.00,380003.00,721,57185,236400,357405,716,57135,236263,314748,696,10003,75379,96404,365,308410,45.7,308322,47.3,297155,48.8,211299,60.2,125407,68.8,132384,170790,5172,64,810362,88.2,674302,73.4,1823128,198372,258775,236402,379987,57192,721,
05/09/2022,19,DE,2376355,99600.00,920900.00,1355855.00,0,244038.00,282964.00,308541.00,1257960.00,1823330.00,1770984.00,1660444.00,554841.00,62271.00,702977.00,1055822.00,2260.00,187246.00,210880.00,215588.00,293713.00,1796087.00,810491.00,83.2,781906.00,93.1,50269,73.9,731637.00,95,212305.00,95,519332,94.8,674319.00,69.2,651693.00,77.6,608829.00,79,182145.00,95,57194.00,236406.00,379998.00,721,57183,236393,357401,716,57133,236256,314744,696,10003,75375,96402,365,308397,45.7,308309,47.3,297142,48.8,211289,60.2,125400,68.8,132378,170783,5172,64,810314,88.2,674288,73.4,1823128,198372,258568,236395,379982,57190,721,
05/08/2022,19,DE,2376355,99600.00,920900.00,1355855.00,0,244038.00,282964.00,308541.00,1257960.00,1823330.00,1770984.00,1660444.00,554841.00,62271.00,702977.00,1055822.00,2260.00,187246.00,210880.00,215588.00,293713.00,1796030.00,810460.00,83.2,781876.00,93.1,50269,73.9,731607.00,95,212290.00,95,519317,94.8,674305.00,69.2,651679.00,77.6,608815.00,79,182137.00,95,57194.00,236398.00,379992.00,721,57183,236385,357395,716,57133,236248,314738,696,10003,75368,96401,365,308391,45.7,308303,47.3,297136,48.8,211283,60.2,125396,68.8,132376,170779,5172,64,810283,88.2,674274,73.4,1823128,198372,258568,236387,379976,57190,721,
